"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTRNR2L12",3.27505786335231e-123,-1.59046159214256,0.222,0.923,7.34136970649055e-119
"APOO",2.59131915055678e-52,3.62081188365347,0.533,0.161,5.80870100788809e-48
"RBFOX2",3.59883029765715e-49,3.02370259685133,0.561,0.219,8.06713799522827e-45
"HLA-C",1.65592085516082e-36,0.610629925653778,0.998,0.984,3.71191218892849e-32
"AL138963.4",8.73162240621926e-35,-1.82364142228291,0.288,0.648,1.95728047857811e-30
"PTPRCAP",4.84909270501302e-34,1.89550045264348,0.634,0.361,1.08697262075572e-29
"AC004448.2",1.09002626470435e-28,-2.1381348605103,0.14,0.416,2.44340287496128e-24
"EEF2",4.266783968066e-28,-0.55603892827665,0.977,1,9.56442294281674e-24
"MT-ATP6",5.50001223730179e-24,-1.11762892016252,0.786,0.874,1.23288274311357e-19
"EIF1",1.76975271601563e-21,-0.445705418139725,0.996,1,3.96707768822063e-17
"JUNB",2.39554941073568e-18,-0.702982567503668,0.791,0.894,5.3698635591051e-14
"PDE3B",3.48798021336969e-18,1.29152930902237,0.573,0.329,7.8186564462895e-14
"FP236383.3",3.80583249794068e-18,1.01432281506749,0.719,0.455,8.53115412738384e-14
"RPS25",3.88864765146156e-18,0.344108988634694,0.999,0.997,8.71679257551624e-14
"U2AF1",7.18183504699082e-18,6.84055949373382,0.133,0,1.60988014413346e-13
"UBALD2",2.05364015492257e-17,-0.714046502462437,0.81,0.903,4.60343977127443e-13
"CCR7",2.86642546438871e-17,1.07210382956813,0.717,0.5,6.42537932097373e-13
"SELL",4.82356885753344e-17,0.716581391617027,0.882,0.787,1.0812511951047e-12
"SGK1",6.89506870701115e-17,-1.66959218674095,0.135,0.361,1.54559860136362e-12
"ZFP36",1.74337288683282e-15,-0.692796032915579,0.747,0.865,3.90794466312444e-11
"H3F3B",4.989319164014e-15,-0.459519578248958,0.893,0.984,1.11840578380538e-10
"RBMS3",1.09029311234388e-14,1.68786099087888,0.361,0.171,2.44400104063004e-10
"STK17B",2.3689031227832e-14,-0.596658122098125,0.751,0.897,5.31013324003082e-10
"GBP5",3.4483538081156e-14,1.74713198347578,0.56,0.384,7.72982989627193e-10
"CMTM3",9.85834957097238e-14,-0.788565734541051,0.461,0.677,2.20984763982917e-09
"NCAPG2",1.07081523817888e-13,-4.35075357001746,0.009,0.103,2.40033943790177e-09
"GNAS",1.99734180144609e-13,-0.472909152043087,0.797,0.939,4.47724138212155e-09
"MAZ",2.82720327235959e-13,-0.960053087790835,0.383,0.581,6.33745885532125e-09
"AC105052.4",4.75139691428122e-13,3.74073688821405,0.135,0.01,1.06507313230528e-08
"GBP4",6.78523139928375e-13,1.91562488897273,0.345,0.161,1.52097747046345e-08
"RPS4X",8.15477752381703e-13,-0.384796068029742,0.999,1,1.82797492973883e-08
"HLA-A",8.33639549137149e-13,0.39929192164574,0.998,1,1.86868641334583e-08
"EEF1A1",8.50690975202152e-13,-0.292745575156073,1,1,1.90690889001314e-08
"JUND",2.09043727743099e-12,-0.620964534343708,0.682,0.845,4.6859242010893e-08
"AC139720.1",4.89232096081734e-12,4.48151417032392,0.117,0.006,1.09666266657681e-07
"SSH2",5.40447766270221e-12,1.144090104642,0.482,0.284,1.21146771287133e-07
"RPL37A",6.35247158772824e-12,0.421662052423559,0.981,0.987,1.42397003110516e-07
"MT-ATP8",7.72761917683929e-12,0.681804426453079,0.939,0.906,1.7322231146803e-07
"RPL36",1.29389026353302e-11,0.240968448303899,1,1,2.90038441473561e-07
"PRDM1",2.28775793992406e-11,-1.49878971494402,0.103,0.268,5.12823819813378e-07
"XRN1",3.45143660732385e-11,1.00037685353171,0.522,0.329,7.73674029897714e-07
"RPS6",3.7558036835728e-11,-0.33405915031542,0.996,0.997,8.4190095370968e-07
"FTH1",4.16281544832748e-11,0.698012364621288,0.985,0.974,9.33136710897089e-07
"PLAC8",6.43029497179473e-11,0.916687551211639,0.545,0.348,1.44141492087751e-06
"LINC01578",9.20000459140954e-11,-0.425569028483068,0.731,0.897,2.06227302921036e-06
"RPL3",1.17212639051783e-10,-0.354976138405155,0.999,1,2.62743851698477e-06
"PNRC1",2.19740110878561e-10,-0.415617868085914,0.968,0.971,4.92569432545383e-06
"TNFRSF4",2.27384628950446e-10,-1.78124539650144,0.156,0.265,5.09705384255319e-06
"AC133644.2",2.90323691105015e-10,5.88891481351388,0.074,0,6.50789585981002e-06
"STAT1",2.98589208926592e-10,1.66575042784596,0.444,0.29,6.69317570729848e-06
"SOCS2",3.70732483402663e-10,-0.926192781433906,0.298,0.5,8.3103393479541e-06
"DLEU2",3.86178006217901e-10,1.96661701697116,0.228,0.084,8.65656618738047e-06
"FAAH2",5.41430115453544e-10,1.47046844098025,0.332,0.174,1.21366974680066e-05
"HEBP2",6.02464233740294e-10,-1.07824750329256,0.219,0.4,1.35048382635224e-05
"SOCS3",6.75864768713782e-10,-0.663074058498665,0.617,0.755,1.51501846554881e-05
"MAML2",9.73746276230987e-10,1.47589272188343,0.323,0.155,2.18274965279938e-05
"LGALS3",1.17954782583255e-09,-1.6470137884396,0.236,0.361,2.64407440638624e-05
"H3-3A",1.39484791360699e-09,7.65519272727586,0.069,0,3.12669108314142e-05
"RPL8",1.44922200148410e-09,-0.259173092590851,1,1,3.24857603852675e-05
"TALAM1",1.87643383042405e-09,9.0010700750868,0.068,0,4.20621407427855e-05
"H3-3B",1.88318756337091e-09,7.82148542903652,0.068,0,4.22135324205223e-05
"CMTM6",1.98590224054228e-09,-0.876638448695775,0.42,0.565,4.45159846239958e-05
"TCAF2",2.14986765660169e-09,1.0094498799469,0.509,0.403,4.81914333903835e-05
