"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTRNR2L12",1.35387086914009e-124,-2.89475691086613,0.132,0.945,3.03483694026442e-120
"RBFOX2",1.6011456254723e-68,4.12762053613549,0.687,0.132,3.5891280340587e-64
"XCL1",1.1741330921192e-55,-1.88011370124033,0.53,0.93,2.63193673929441e-51
"MT-ATP6",9.90218078402578e-52,-1.83976662342875,0.837,0.926,2.21967284454722e-47
"APOO",6.20363756860619e-49,4.09005025686159,0.549,0.092,1.39060739737876e-44
"FP236383.3",2.61495478201969e-47,2.04293663532004,0.807,0.29,5.86168263937534e-43
"AL138963.4",1.53183664315475e-46,-2.81325900063601,0.147,0.621,3.43376501929568e-42
"PTPRCAP",1.8802531645418e-42,2.1177505780898,0.764,0.463,4.21477549363689e-38
"SPRY2",2.60129859057131e-40,-2.94173872920542,0.1,0.526,5.83107092062465e-36
"ENO1",3.25080409578297e-39,-1.10425944773559,0.835,0.978,7.28700246110712e-35
"FOS",2.18220508714818e-36,-1.92158683325487,0.191,0.64,4.89163092335136e-32
"KLF6",2.22358028450703e-34,-1.18405585525971,0.687,0.934,4.98437756575095e-30
"MIF",1.75689916561894e-31,-0.856458218675553,0.932,0.985,3.93826516965143e-27
"RPLP0",5.63936166271782e-31,-0.770765650373069,0.972,0.993,1.26411931031483e-26
"HOPX",7.09403926859917e-31,-0.870443481007893,0.815,0.982,1.59019984244919e-26
"XCL2",1.20301020507135e-30,-1.58460192457603,0.603,0.89,2.69666767568794e-26
"PKM",2.06146182963004e-30,-0.983821025177948,0.722,0.949,4.62097283729869e-26
"FP671120.4",3.00580580826733e-30,0.804761339348685,0.682,0.261,6.73781429981204e-26
"AOAH",9.78577906564751e-30,1.36314249665157,0.873,0.706,2.19358023535555e-25
"CD74",2.59093411300439e-29,1.31605104833881,0.964,0.952,5.80783790771065e-25
"GAPDH",3.15954784602998e-29,-0.701250023941943,0.998,1,7.0824424516608e-25
"TPI1",4.1395094403879e-29,-0.834762448967533,0.901,0.982,9.27912436157353e-25
"GNAS",7.14737169403613e-28,-0.913667132673792,0.69,0.945,1.60215483893514e-23
"EEF1A1",1.50601337800157e-27,-0.494284702173768,1,1,3.37587958812831e-23
"JUND",7.70313908982801e-27,-0.944980189534094,0.7,0.952,1.72673565837585e-22
"GPI",2.40078593021583e-26,-1.12440932748735,0.56,0.871,5.3816017411718e-22
"MT-ATP8",2.87303453048423e-26,0.992733244839119,0.975,0.945,6.44019420353345e-22
"RABGAP1L",1.76175470142117e-24,1.25341979040994,0.758,0.515,3.9491493387057e-20
"HLA-A",5.82220849539617e-24,0.494584790882328,1,1,1.30510625632801e-19
"VEGFB",1.00729007743371e-23,-1.20760506279319,0.325,0.699,2.2579414375754e-19
"HSP90AB1",1.89896448030979e-23,-1.30093061517024,0.629,0.831,4.25671877906243e-19
"PRF1",3.47380776921378e-23,1.03700121653234,0.946,0.842,7.78688749546961e-19
"AC138123.1",4.91654829959793e-23,1.22822609760217,0.555,0.206,1.10209346683787e-18
"SAMD1",3.1014938020598e-22,-2.48834215435215,0.051,0.312,6.95230850669724e-18
"HLA-DPB1",6.52342090596987e-22,1.85600800499108,0.53,0.268,1.46229003028221e-17
"EEF2",7.87096491921018e-22,-0.69219495791338,0.913,0.985,1.76435549629015e-17
"RPL9",1.34225893584051e-21,-0.551633968304074,0.96,1,3.00880763058008e-17
"AL133415.1",3.7146437520072e-21,-2.39778031768977,0.097,0.386,8.32674543449935e-17
"HLA-DPA1",6.57908966408127e-21,1.73714257101628,0.542,0.305,1.47476873910046e-16
"PGK1",8.99012912906816e-21,-0.780588943710311,0.867,0.956,2.01522734557192e-16
"RPLP1",1.37369643031058e-20,-0.420617977906781,0.998,1,3.07927791818419e-16
"SPTSSB",1.49986439301993e-20,-7.51917115593855,0,0.132,3.36209602339347e-16
"CTSW",2.20460502610481e-20,-0.738048229591967,0.916,0.989,4.94184262651653e-16
"PNRC1",2.73819017084663e-20,-0.632713033515673,0.911,0.982,6.13792708696981e-16
"ZBTB20",1.18088170349881e-19,1.82990027540601,0.512,0.239,2.64706442656294e-15
"H3F3B",2.05056136486675e-19,-0.527888340634655,0.898,0.996,4.59653835548531e-15
"AC105052.4",2.80690566411637e-19,6.81164594428633,0.165,0,6.29195973668325e-15
"DARS",5.25041036276151e-19,-0.962279044157922,0.423,0.757,1.17693198691662e-14
"CD38",1.0340761740901e-18,1.53005137811555,0.501,0.279,2.31798515184036e-14
"HLA-DRA",1.11065528884511e-18,2.27839273459066,0.399,0.162,2.4896448954752e-14
"PHLDA1",1.48282066927209e-18,-2.22087513182913,0.086,0.338,3.32389081224032e-14
"RPL8",1.02853458777437e-17,-0.440649731959039,0.993,1,2.30556313195502e-13
"GIMAP7",8.96931891223892e-17,0.930476164861618,0.82,0.706,2.01056252736748e-12
"VIM",9.53862525622874e-17,-0.399542342403469,0.759,0.952,2.13817823743624e-12
"RPS10",1.3914766691215e-16,2.59125949673355,0.504,0.298,3.11913410150275e-12
"PPP1R15A",1.79385928464881e-16,-1.51328795329318,0.242,0.529,4.02111497246877e-12
"GIMAP4",2.80964675118165e-16,1.03077311861993,0.725,0.555,6.29810415744879e-12
"HLA-DRB5",3.76382417313471e-16,3.37285572153687,0.249,0.055,8.43698826649876e-12
"ALDOC",4.57244715701521e-16,-1.16606397506884,0.217,0.511,1.02495975471653e-11
"S1PR4",7.78009383660538e-16,1.1121398962329,0.606,0.401,1.74398583441346e-11
"GZMA",1.08136182808663e-15,1.34697344298194,0.699,0.485,2.42398067383898e-11
"CLEC2D",1.22354612857478e-15,1.52045965863564,0.46,0.224,2.74270100181324e-11
"PLAAT4",1.48003602669672e-15,0.907374898974104,0.863,0.746,3.31764875744337e-11
"CLIC3",1.79322148450301e-15,1.40117582275895,0.652,0.408,4.01968527966194e-11
"LDHA",1.81522264529147e-15,-0.674535526745963,0.848,0.952,4.06900308168535e-11
"ARHGAP15",2.87035661711068e-15,0.952252368815964,0.748,0.629,6.4341913929153e-11
"CISH",2.95439755082928e-15,-2.7452080108288,0.044,0.235,6.62257754993892e-11
"FTH1",3.78107825207179e-15,0.949915978831613,0.988,0.993,8.47566500984411e-11
"RPL10",4.375307803645e-15,-0.359292405564172,1,1,9.80768997265063e-11
"GZMK",4.46705229947914e-15,1.3906723800711,0.619,0.43,1.00133444345124e-10
"CAPG",4.81677756984396e-15,-1.34723033877611,0.321,0.607,1.07972886005622e-10
"ENO2",7.35717173209408e-15,-1.40036476410068,0.117,0.368,1.64918361546621e-10
"LYAR",8.65481773646908e-15,1.73876938484394,0.448,0.265,1.94006394380691e-10
"ENPP1",8.87051551765725e-15,-6.98310414553497,0,0.092,1.98841475843805e-10
"CD96",9.0886491160402e-15,0.766783986005127,0.827,0.754,2.03731158585157e-10
"CBLB",1.00224407573475e-14,0.876822754746243,0.723,0.614,2.24663032016702e-10
"HLA-DRB1",2.08234561984872e-14,1.74322543867223,0.458,0.276,4.66778594145289e-10
"SNRPD3",2.36116366853566e-14,1.44177668319789,0.458,0.213,5.29278447938953e-10
"MBNL1",2.84184035458015e-14,0.653929270852351,0.916,0.871,6.37026933882686e-10
"NFKBIA",4.02639484234778e-14,-1.05709245762991,0.565,0.761,9.02556667860678e-10
"EGR1",4.9310205709373e-14,-2.34913320418182,0.054,0.25,1.10533757118131e-09
"LINC01871",5.10913040082214e-14,1.68418890833006,0.412,0.169,1.14526267064829e-09
"ACTG1",5.26494631751119e-14,-0.82751834854849,0.937,0.996,1.18019036653331e-09
"BCL2",5.41084373119097e-14,-2.46147539287139,0.056,0.25,1.21289473078377e-09
"TRG-AS1",5.62647623023758e-14,1.50509993842079,0.415,0.239,1.26123091177006e-09
"RPS3A",1.70607868921088e-13,-0.348659059708892,0.992,1,3.8243459897351e-09
"SLFN12L",1.85708122805791e-13,1.83761478660554,0.318,0.103,4.16283328081461e-09
"LINC00861",2.04268195222173e-13,1.5743047142858,0.451,0.243,4.57887586410024e-09
"BNIP3L",3.54301682460973e-13,-0.764823618235877,0.494,0.754,7.94202651404517e-09
"IFITM3",4.58077675041294e-13,-0.576330410963533,0.837,0.941,1.02682691637256e-08
"STK38",4.89562961238216e-13,1.18549828636894,0.501,0.309,1.09740433391159e-08
"P2RY8",6.43110965285725e-13,1.87958599004334,0.297,0.11,1.44159753978448e-08
"DYNLRB1",6.70151192091432e-13,1.2231320521393,0.453,0.239,1.50221091219215e-08
"HLA-C",7.70759912452972e-13,0.468402647315934,1,0.996,1.72773541975458e-08
"ATXN1",8.06415041247412e-13,1.7495354592153,0.315,0.136,1.8076599564602e-08
"PICALM",8.08660852211422e-13,1.35477698705819,0.448,0.268,1.81269416631712e-08
"KLRC2",9.34807684402341e-13,1.20091276562744,0.781,0.68,2.09546490535629e-08
"LMNA",9.50410439085813e-13,2.02170049904211,0.115,0.188,2.13044004025476e-08
"PLP2",1.09632311394455e-12,-0.791310413600766,0.639,0.842,2.4575178922181e-08
"PFKP",1.32112719122599e-12,-1.13313453688763,0.252,0.515,2.96143871185217e-08
"MT2A",1.32371936362974e-12,1.35468573537494,0.498,0.287,2.96724932551242e-08
"MTRNR2L8",1.69377076704589e-12,-2.33826612190532,0.028,0.173,3.79675655141007e-08
"MT-CO2",2.1897162665808e-12,-0.324627402259222,1,1,4.90846798316753e-08
"FXYD2",2.78664011973942e-12,-1.26823128955163,0.122,0.342,6.24653249240789e-08
"ACTB",2.92937750566561e-12,-0.649513564746958,0.997,1,6.56649261670003e-08
"EIF1",3.07939634810349e-12,-0.419631056858261,0.984,0.989,6.90277485390879e-08
"SERPINB9",3.08301815218817e-12,1.68280973449729,0.334,0.136,6.91089348994499e-08
"CD69",3.10620016148494e-12,-1.0071577963294,0.529,0.721,6.96285828198464e-08
"AC079793.1",3.48529601305052e-12,2.86068955401143,0.189,0.029,7.81263954285405e-08
"WASHC1",3.56544943544483e-12,-1.13429291637719,0.211,0.467,7.99231145449313e-08
"DPYD",4.27492826947265e-12,1.24021845115116,0.512,0.316,9.58267920884989e-08
"RPS4X",5.2965060980286e-12,-0.372552779645103,0.997,1,1.18726480693409e-07
"TPT1",5.31143584840156e-12,-0.343087273446518,0.998,1,1.19061145977769e-07
"PDE3B",6.09120362548093e-12,1.01100925868723,0.639,0.456,1.3654042046878e-07
"RPL3",1.19586557645143e-11,-0.344930736666005,0.995,1,2.68065227617352e-07
"KLRC3",1.24260529594265e-11,1.13058326719363,0.527,0.386,2.78542403138505e-07
"IGFBP2",1.46794052541439e-11,-1.63920056103674,0.112,0.32,3.29053548176889e-07
"NDFIP2",1.78242797104635e-11,-2.13395790937108,0.069,0.246,3.9954905398975e-07
"SELL",1.95889689439433e-11,1.03670741345732,0.68,0.647,4.39106327847432e-07
"NREP",2.0045835020764e-11,-1.62435172343364,0.117,0.331,4.49347437825446e-07
"C1orf112",2.10845636930846e-11,3.21763892813559,0.16,0.026,4.72631579744184e-07
"LINC01578",2.12122210648516e-11,-0.664872756818429,0.634,0.816,4.75493147389713e-07
"SOS1",2.22779615079737e-11,1.71641595163516,0.297,0.118,4.99382785162738e-07
"LINGO2",2.24052057002726e-11,2.76973848862839,0.171,0.022,5.02235090977311e-07
"PPP1R14B",2.53942920601513e-11,-0.833644919296919,0.437,0.699,5.69238450820352e-07
"TLN1",2.58359507255097e-11,-0.704678438229845,0.671,0.831,5.79138671463025e-07
"RPL5",2.83907511650602e-11,-0.403510387442956,0.975,0.993,6.36407078115989e-07
"DHRS3",3.24744462417512e-11,-1.2338350423705,0.133,0.346,7.27947186955094e-07
"DUSP6",4.16872755364748e-11,-2.16651614644555,0.044,0.202,9.34461968425618e-07
"HLA-DQA1",4.49826251042364e-11,3.43708449295384,0.157,0.022,1.00833052433656e-06
"H3-3A",5.41093330803383e-11,7.95518394069643,0.089,0,1.21291481032886e-06
"H3-3B",5.41093330803383e-11,8.76625532136037,0.089,0,1.21291481032886e-06
"PSMB9",5.59245702649887e-11,0.560609841016771,0.878,0.812,1.25360516705999e-06
"CCSER2",5.72625922077428e-11,1.16423894683096,0.463,0.316,1.28359826692876e-06
"B2M",5.73186265789299e-11,0.328292175947974,1,1,1.28485433339329e-06
"AC105402.3",5.95231002350535e-11,4.41082382498542,0.117,0.004,1.33426981486896e-06
"AL157402.2",1.15228967029143e-10,3.96310283755124,0.138,0.011,2.58297252492527e-06
"MT-ND5",1.17927172216732e-10,-0.501671205509769,0.916,0.978,2.64345549241027e-06
"PRKCH",1.33666023333428e-10,0.728368669323763,0.717,0.522,2.99625757904213e-06
"AC020916.1",1.38047275204928e-10,-1.5634389045357,0.122,0.312,3.09446772099367e-06
"ASAP1",1.44499247704209e-10,1.6725368422189,0.298,0.129,3.23909513653754e-06
"U2AF1",1.74364135084671e-10,3.84311608980606,0.13,0.015,3.90854645205799e-06
"GNA15",1.76182307660565e-10,-1.13483790924646,0.104,0.29,3.94930260851923e-06
"DLEU2",1.90883656331705e-10,1.47565887018312,0.32,0.158,4.27884804033149e-06
"TC2N",1.96609001078826e-10,0.967213155276065,0.634,0.456,4.40718736818296e-06
"MAP3K8",2.08347857670203e-10,1.59780884144214,0.414,0.246,4.67032557753526e-06
"SIK3",3.0606430521364e-10,1.09772013288214,0.428,0.287,6.86073746566896e-06
"EPSTI1",3.2888922317078e-10,1.29017399136272,0.414,0.213,7.37238082659619e-06
"NCALD",4.30952336522228e-10,1.24118144768931,0.392,0.232,9.66022757548225e-06
"MFHAS1",4.35914465394318e-10,-2.11150428103806,0.038,0.18,9.77145865627903e-06
"H4C3",4.73189321605464e-10,7.54529966874788,0.081,0,1.06070118331081e-05
"TRAF3IP3",4.85563292913242e-10,0.708894350113506,0.646,0.585,1.08843867739432e-05
"PDE4B",5.0649386263692e-10,2.12248158130186,0.214,0.062,1.13535664248692e-05
"TAGLN2",5.21999491289736e-10,-0.329824649753885,0.913,0.989,1.17011405967507e-05
"LINC01619",5.56808224460814e-10,1.62039949605134,0.301,0.125,1.24814131595136e-05
"OOEP",5.87153654764332e-10,2.66682074837519,0.165,0.029,1.31616363251973e-05
"SPIDR",6.53842913693154e-10,1.33729662596073,0.361,0.195,1.46565427533457e-05
"C1orf21",6.67897153970605e-10,0.981452440885852,0.512,0.346,1.49715826034051e-05
"ENSG00000234961",6.8282592210549e-10,7.32082634704916,0.079,0,1.53062258699167e-05
"P4HA1",6.84000143031095e-10,-0.509317664542334,0.27,0.489,1.5332547206185e-05
"PFKFB4",6.90386776105453e-10,-1.43131569764355,0.081,0.25,1.54757099731798e-05
"ARL4A",7.00057347147986e-10,-1.36848199757045,0.064,0.21,1.56924854936693e-05
"LTA",7.11377253565896e-10,-3.08593771186003,0.038,0.165,1.59462325159331e-05
"ENSG00000289901",7.18716038761361e-10,7.9396700734587,0.079,0,1.61107387248747e-05
