"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTRNR2L12",3.55264100563387e-89,-2.22534854274438,0.135,0.944,7.96360007822889e-85
"RBFOX2",1.00728763443132e-34,3.56276920434203,0.638,0.188,2.25793596134124e-30
"AL138963.4",5.69314261954085e-30,-2.23779013701406,0.315,0.706,1.27617484959628e-25
"APOO",8.01168895355903e-30,4.16629135849128,0.495,0.107,1.79590019582979e-25
"MT-ATP6",1.108876647499e-29,-1.57029224208019,0.826,0.929,2.48565789303377e-25
"FP236383.3",5.99017725351122e-28,1.4664760959684,0.793,0.305,1.34275813314708e-23
"EEF1A1",6.06108381418548e-28,-0.581623165254096,1,1,1.35865254778782e-23
"MT-ATP8",1.05165670901377e-27,1.25439281985242,0.946,0.929,2.35739367892527e-23
"PTPRCAP",1.41880626162791e-26,2.11012418263948,0.733,0.503,3.18039611606512e-22
"RPS3A",1.59569215347923e-24,-0.591300660340413,0.998,1,3.57690353123905e-20
"FP671120.4",6.84899017022628e-23,0.521958965278702,0.7,0.294,1.53526963655792e-18
"RPS4X",1.41028671462979e-22,-0.604183257016223,1,1,3.16129869951414e-18
"RPS6",7.73656478634444e-22,-0.575913456684638,0.998,1,1.73422836250697e-17
"RPS27A",1.34711551312177e-20,-0.382107885416605,1,1,3.01969413421376e-16
"RPS5",3.36332845362032e-20,-0.588943454168815,0.985,1,7.53923706163531e-16
"EEF2",6.41923345014146e-20,-0.611616538286071,0.985,1,1.43893537018371e-15
"TPT1",1.07784069602699e-19,-0.562218314716314,0.998,1,2.4160877042141e-15
"RPL9",4.46353837830228e-19,-0.549660787476376,0.981,1,1.00054676288024e-14
"RPLP0",5.81049265130153e-19,-0.606278412613233,0.992,1,1.30248003271575e-14
"AC138123.1",2.81199173754531e-18,1.22942212923383,0.65,0.269,6.30336067888157e-14
"RPS3",8.8632134715774e-18,-0.432302344828464,1,1,1.98677793178879e-13
"ENO1",1.99124960109301e-17,-0.846390310544561,0.919,0.99,4.46358510581009e-13
"RPS8",2.3084994408234e-17,-0.539163784482842,1,1,5.17473234654973e-13
"EEF1B2",9.26053117990521e-17,-0.599279518362096,0.971,0.99,2.07584066928755e-12
"PASK",2.27200602040945e-16,-1.74255583220895,0.23,0.533,5.09292869534983e-12
"RPLP1",5.03046525317148e-16,-0.491907534947106,1,1,1.12762909115092e-11
"PNRC1",5.20287644603065e-16,-0.55789280317324,0.946,1,1.16627678414223e-11
"HLA-B",1.43600282394522e-15,0.44457901589624,1,1,3.21894393015561e-11
"GNAS",4.3730285618882e-15,-0.588963784599484,0.855,0.99,9.8025808243286e-11
"SNRPD3",7.21671844176388e-15,1.79089726553233,0.48,0.173,1.61769960590579e-10
"BNIP3",2.7496084492804e-14,-1.1778436134307,0.381,0.716,6.16352229990694e-10
"BNIP3L",3.49129174298467e-14,-0.794595696670797,0.59,0.853,7.82607957107443e-10
"RPL13",8.78049080143978e-14,-0.370085897565581,1,1,1.96823481805074e-09
"NIBAN1",1.22686209926263e-13,1.93070456802402,0.431,0.162,2.75013408170711e-09
"RPL7A",1.30806794365343e-13,-0.358268921559337,1,1,2.93216510249353e-09
"RPL21",1.72882746706019e-13,-0.485909216532207,0.996,0.995,3.87533965016212e-09
"PGK1",2.0004849987869e-13,-0.729896704952667,0.938,0.97,4.48428717328072e-09
"SNHG29",2.48932889644497e-13,-0.685393632305403,0.859,0.959,5.58007965427104e-09
"PKM",3.45759455465792e-13,-0.794217845364458,0.801,0.924,7.75054395372119e-09
"U2AF1",3.63262989588101e-13,6.00696500720588,0.145,0,8.14290317460687e-09
"RPL41",5.55271948343713e-13,-0.757214623179844,1,1,1.24469759940727e-08
"IGFBP2",7.60762282654757e-13,-1.57126123718944,0.195,0.503,1.7053247327989e-08
"TPI1",9.96510351294287e-13,-0.669679239638567,0.896,0.98,2.23377760346127e-08
"RPS12",1.19845652551289e-12,-0.437807415941633,1,1,2.6864601475897e-08
"EEF1G",1.28599665718508e-12,-0.43596048305267,0.969,0.99,2.88269010674608e-08
"RPL3",1.3472188151373e-12,-0.407826296892365,0.998,0.995,3.01992569601177e-08
"RPL8",1.50777870907406e-12,-0.376707270991848,1,1,3.37983675426042e-08
"ACTN1",1.66897537904028e-12,-1.87349161698034,0.114,0.396,3.74117520965669e-08
"SOS1",1.88285905665591e-12,1.16015143091161,0.507,0.228,4.22061686139988e-08
"RPS23",1.93859326747385e-12,-0.353981268041617,1,1,4.34555066836937e-08
"HLA-A",2.88225508270354e-12,0.459899231774606,1,1,6.46086299338826e-08
"PSMB9",3.23957563054584e-12,0.946667079412393,0.797,0.675,7.26183273343155e-08
"HLA-C",1.97532227523328e-11,0.534990839580114,1,0.995,4.42788241216293e-07
"RPL4",2.69151203650713e-11,-0.481897593716278,0.963,0.995,6.03329338103439e-07
"VEGFB",3.38404139272142e-11,-0.695577344898765,0.487,0.782,7.58566718592434e-07
"RPS16",7.02205805450922e-11,-0.47513407697019,0.992,1,1.57406453349879e-06
"PLAAT4",7.19123117459793e-11,1.12349612310312,0.776,0.624,1.61198638009787e-06
"UBB",9.3560273553299e-11,0.649769686366162,0.909,0.878,2.09724709197075e-06
"SYTL2",1.13606317051089e-10,1.88120670569312,0.327,0.122,2.54659920301722e-06
"GPI",1.36883387999335e-10,-0.702333097039843,0.667,0.888,3.06837802539309e-06
"CCR6",1.40897510667529e-10,2.18214941672877,0.333,0.112,3.15835859912332e-06
"ERN1",1.41735349521532e-10,1.37670936358932,0.534,0.289,3.17713959487467e-06
"LINC01578",1.90237725008551e-10,-0.629402855687001,0.716,0.893,4.26436884379168e-06
"PRKCQ-AS1",2.12567594872842e-10,-0.669684250855402,0.667,0.832,4.76491520666963e-06
"LRRN3",2.78262266090721e-10,-1.77576001169825,0.072,0.284,6.23752695668959e-06
"NFKBIA",2.95035973975917e-10,-0.801920428267088,0.665,0.843,6.61352639264416e-06
"B2M",3.47530673075114e-10,0.343191578069771,1,1,7.79024756765177e-06
"RHEX",4.10336230030057e-10,5.70633927816502,0.116,0,9.19809693235376e-06
"MAP3K5",4.57462477185008e-10,2.27356517655698,0.234,0.066,1.02544788885791e-05
"LDHA",5.26298767604723e-10,-0.595123873895952,0.921,0.99,1.17975131746275e-05
"NUCB2",5.60466760028056e-10,-1.17069321344601,0.342,0.579,1.25634228927889e-05
"MTRNR2L8",6.13035811866792e-10,-1.90495702887249,0.033,0.193,1.3741810758806e-05
"GBP5",6.38127445831031e-10,2.82232705387669,0.3,0.117,1.43042648257484e-05
"IFITM2",7.37238573136279e-10,0.668541558484656,0.942,0.97,1.65259398554228e-05
"NELL2",7.93142507233177e-10,-1.26592080045167,0.279,0.497,1.77790824421389e-05
"RPS26",8.98476421666137e-10,-0.282267840671115,1,1,2.01402474680681e-05
"LDLRAP1",1.36615395316577e-09,-1.14225941442546,0.209,0.482,3.06237070141639e-05
"RPL5",1.60803073848532e-09,-0.337385456722656,0.998,1,3.6045617033887e-05
"CD74",1.93711790457918e-09,1.19644804040665,0.834,0.792,4.34224349490469e-05
"AC079793.1",2.10899497589491e-09,2.62071396328413,0.207,0.046,4.72752313796603e-05
"RPL34",2.20023727337082e-09,-0.307911874238211,1,1,4.93205187198804e-05
"PZP",2.3422023715852e-09,3.68103593426832,0.141,0.01,5.25028083614538e-05
"RPS15A",2.83714052540075e-09,-0.282851090246942,1,1,6.35973420173832e-05
"C12orf57",2.90343624854437e-09,-0.635160690604184,0.737,0.853,6.50834269473705e-05
"RPS10",2.99201485040897e-09,2.31657489235594,0.553,0.411,6.70690048867674e-05
"HMGB1",3.32526555458276e-09,0.482996719039319,0.878,0.878,7.45391526715272e-05
"RFX3",3.59420771283103e-09,3.2527566738017,0.184,0.025,8.05677600908204e-05
"HLA-DPB1",4.14592519347456e-09,5.15760766924915,0.143,0.01,9.29350591369258e-05
"HERC1",4.63381636207605e-09,1.59243273959709,0.431,0.223,0.000103871627572297
"MT-ND4",4.6351591104272e-09,-0.480565204415095,0.882,0.929,0.000103901726619336
"ITGB1",4.64292048330622e-09,1.08725181875784,0.565,0.365,0.000104075705553792
"RORA",4.7215971599536e-09,0.983141223936443,0.646,0.497,0.00010583932193752
"CARD16",5.68236274274583e-09,1.28854329370641,0.427,0.234,0.000127375843241391
"AC105052.4",5.92469151108497e-09,2.98329267652857,0.162,0.02,0.000132807884912481
"RORC",7.99603216521251e-09,5.83811462747736,0.097,0,0.000179239057015404
"P4HA1",9.18502647123925e-09,-0.732781376136721,0.34,0.624,0.000205891553379299
"RPS10-NUDT3",1.10667806683165e-08,2.0592562965304,0.232,0.056,0.000248072955460983
"RPS14",1.27032394361796e-08,-0.349907862524033,0.998,1,0.000284755815201402
"CD27",1.2934397677469e-08,-1.05198684563865,0.466,0.675,0.000289937458338145
"H3-3A",1.99092144720054e-08,7.56134930525976,0.091,0,0.000446284951604473
"H3-3B",1.99092144720054e-08,8.39033141544469,0.091,0,0.000446284951604473
"TALAM1",1.99092144720054e-08,8.51820426831139,0.091,0,0.000446284951604473
"MIF",1.99401575085679e-08,-0.428400860246738,0.957,0.99,0.000446978570712058
"GZMH",2.21124707325527e-08,6.23525053187354,0.12,0.01,0.000495673143940901
"FTH1",2.50164947549854e-08,1.08953437418578,0.994,1,0.000560769746427752
"CCL5",2.64555479191113e-08,1.90174881891392,0.203,0.234,0.0005930275621548
"FOS",2.96504367263188e-08,-0.555458192064479,0.329,0.609,0.000664644189657161
"ADAM12",3.22251485857655e-08,3.68537816328298,0.118,0.005,0.00072235893069852
"RABGAP1L",3.43291031981918e-08,1.16477178574943,0.497,0.386,0.000769521177290668
"PDE3B",3.56146854876162e-08,0.874691891212134,0.766,0.711,0.000798338789890405
"DLEU2",3.65431804402678e-08,1.84741835698221,0.251,0.081,0.000819151932749042
"RPS18",4.3676305895132e-08,-0.341324548332913,1,1,0.000979048072945278
"LEF1",4.39572223758607e-08,-0.710926023083005,0.567,0.756,0.000985345096777294
"GSTM3",4.43410538252942e-08,-2.326316760104,0.035,0.183,0.000993949062547796
"HLA-DRB5",4.62019337429467e-08,6.23067072776881,0.085,0,0.00103566254678189
"RPS13",4.71335763142498e-08,-0.299234065762493,0.998,1,0.00105654624666022
"PSME2",5.32023906991688e-08,0.579309424653175,0.77,0.619,0.00119258478991257
"RPS21",5.36846874710501e-08,-0.259650339206805,0.994,1,0.00120339595435106
"RPL18",5.88429622418109e-08,-0.280361703188202,1,1,0.00131902384161243
"SIPA1L1",6.39642240686666e-08,1.57667761521447,0.368,0.173,0.00143382204672323
