"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTRNR2L12",0,-1.47388556204361,0.2,0.914,0
"APOO",1.14110693904396e-212,4.32235348808758,0.569,0.117,2.55790531456095e-208
"RBFOX2",2.1131958087772e-196,3.31042671775379,0.615,0.24,4.73693972495498e-192
"HLA-C",1.18922766234205e-152,0.701109594054849,0.998,0.973,2.66577272790595e-148
"PTPRCAP",1.46709263368973e-138,2.03821911743932,0.692,0.355,3.28863484767891e-134
"AL138963.4",1.13127742330964e-115,-1.53553983338067,0.334,0.685,2.5358714720909e-111
"EEF2",1.31216470639246e-110,-0.514271452358508,0.988,0.995,2.94134840584935e-106
"RPS4X",3.97398864909446e-108,-0.410789481186129,0.999,0.997,8.90809295581015e-104
"RPS3A",5.03943805147038e-105,-0.380438240657995,0.999,0.998,1.1296404336176e-100
"UBALD2",1.20571131336349e-92,-0.88231408404697,0.741,0.875,2.70272248003561e-88
"MT-ATP6",1.45771135706169e-81,-1.11565850959717,0.78,0.79,3.26760577798948e-77
"MT-ATP8",1.9396113230827e-78,0.969300790367663,0.925,0.901,4.34783274182219e-74
"PABPC1",1.39492404993123e-75,-0.461381214503882,0.992,0.998,3.12686175032584e-71
"GBP5",2.29262944671113e-71,4.90544489027084,0.227,0.015,5.13915816774766e-67
"RPL9",2.83513382365534e-71,-0.323089402457885,0.999,0.999,6.3552359791058e-67
"GNAS",5.70196033927307e-70,-0.58360192742018,0.835,0.967,1.27815142965145e-65
"AC004448.2",5.44753017828842e-66,-1.37324237193001,0.278,0.477,1.22111836476513e-61
"RPS27A",2.93410825685626e-65,-0.243826390345303,1,0.999,6.577097068569e-61
"EEF1A1",3.44894055355528e-65,-0.260807480427134,1,1,7.73114514484952e-61
"BNIP3",1.63212381894131e-64,-0.785203508909715,0.661,0.877,3.65856875253883e-60
"SNHG29",7.2335057429268e-63,-0.476832059993546,0.964,0.988,1.62146264733447e-58
"RPS3",1.60463531847056e-62,-0.263731769564638,0.999,1,3.59695052988362e-58
"VEGFB",3.77925646190406e-60,-0.782066726341952,0.556,0.802,8.47158128500415e-56
"AC105052.4",2.71227020271671e-59,3.75436633165117,0.194,0.014,6.07982488640979e-55
"FP236383.3",6.77644918374734e-58,0.965166208488678,0.743,0.488,1.5190088490288e-53
"RPS26",1.08439092452684e-57,-0.328289524954033,1,1,2.43077069641937e-53
"PNRC1",1.93108130815455e-57,-0.457485081759294,0.985,0.994,4.32871186035925e-53
"ANK3",4.14446161387347e-56,1.62064335665995,0.467,0.209,9.29022515365877e-52
"RPS25",1.0625923324538e-55,0.291882315347835,1,0.999,2.38190697242843e-51
"RPS6",1.33486285117119e-55,-0.258407893557005,0.999,0.999,2.99222856718535e-51
"GBP4",9.59290238031991e-55,2.29314388539334,0.332,0.099,2.15034499757251e-50
"SGK1",2.25919450326865e-53,-2.24529701282193,0.067,0.233,5.064210398527e-49
"PKM",2.00045216721739e-52,-0.553020685091937,0.887,0.957,4.4842135780345e-48
"RPS15A",2.45469035026374e-52,-0.224467034937673,1,1,5.50243388915121e-48
"LINC01578",3.96240569483025e-52,-0.530013350039876,0.81,0.958,8.88212860553148e-48
"RPS29",4.50682031883015e-52,0.459523517841357,0.995,0.994,1.01024884266897e-47
"IFITM2",1.48229498027704e-50,0.702189528239421,0.898,0.812,3.32271242778902e-46
"DDIT4",2.86613905849023e-50,1.63798330577145,0.447,0.26,6.42473731351171e-46
"MYC",7.96804802129675e-50,-0.605989179834554,0.754,0.884,1.78611764445388e-45
"EIF1",2.82698056737642e-49,-0.39411151364329,0.991,0.993,6.33695963983098e-45
"HLA-A",2.8155639202981e-48,0.349354436570237,0.999,0.994,6.31136808374022e-44
"SARAF",8.04305886742057e-48,-0.384830251740059,0.998,0.998,1.80293207572099e-43
"ACTN1",1.09090020359672e-46,-0.674214672945435,0.681,0.816,2.44536189638242e-42
"EEF1B2",1.22415666939796e-46,-0.298285036847226,0.99,0.994,2.74406959012248e-42
"RPL10",3.12807113187713e-45,-0.253100701861048,0.999,0.999,7.01188424921577e-41
"PDE3B",3.24500700461173e-45,0.868452678255441,0.752,0.581,7.27400770153765e-41
"PSME2",6.76971287435904e-45,1.01398931188351,0.616,0.394,1.51749883791632e-40
"PFN1",1.4738818692088e-44,0.473293143353748,0.984,0.949,3.30385359801845e-40
"RPL21",4.20094853878553e-44,-0.276151406298877,0.994,0.998,9.41684624454165e-40
"SEPTIN9",1.03651917338345e-43,-0.482935946363971,0.873,0.954,2.32346137905633e-39
"RPS5",3.66046479541379e-42,-0.221585178804834,0.999,0.996,8.20529788539955e-38
"FP671120.4",7.00517350278378e-42,-0.115063488796515,0.639,0.443,1.57027969238401e-37
"PGK1",3.56351481375408e-41,-0.444297769702406,0.93,0.961,7.98797480651114e-37
"TPT1",3.92090216027281e-41,-0.227959540008987,0.999,1,8.78909428246754e-37
"H3F3B",5.9073289962073e-41,-0.432760598959278,0.889,0.975,1.32418686778983e-36
