"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTRNR2L12",0,-1.76468439312539,0.218,0.94,0
"APOO",5.39669686175878e-277,4.62890113589667,0.621,0.14,1.20972356853185e-272
"RBFOX2",7.65278137967118e-256,3.55079847869406,0.693,0.247,1.71544747406709e-251
"HLA-C",3.46627207409407e-195,0.665101936439505,1,0.988,7.76999548128927e-191
"PTPRCAP",4.84634106435011e-169,2.01713763008414,0.752,0.45,1.08635581298472e-164
"MT-ATP6",9.34049724750932e-153,-1.56448572657815,0.838,0.892,2.09376586300169e-148
"GBP5",9.83323387562526e-136,4.96785746798651,0.392,0.048,2.20421770556016e-131
"MT-ATP8",5.52710132072057e-134,1.07625830488961,0.969,0.921,1.23895503205272e-129
"FP236383.3",3.44554978812512e-133,1.25047759049955,0.799,0.399,7.72354440506127e-129
"AL138963.4",5.59924320298502e-128,-1.6075485297974,0.387,0.754,1.25512635638112e-123
"EEF2",1.67368963315915e-125,-0.526312952080968,0.996,0.999,3.75174268168954e-121
"AC004448.2",3.86829813115204e-97,-1.65385386969618,0.24,0.394,8.67117709079041e-93
"FP671120.4",5.95017287827542e-95,0.215930447758774,0.696,0.382,1.33379075239422e-90
"AC138123.1",7.58321589539938e-89,0.729955769193003,0.703,0.367,1.69985367511273e-84
"UBALD2",5.57002574346117e-88,-0.805907244954366,0.797,0.922,1.24857697065426e-83
"RPS25",6.62397838166969e-86,0.293005198164443,1,1,1.48483099403508e-81
"STAT1",9.86791927864629e-85,2.21944905671682,0.637,0.402,2.21199278550135e-80
"GNAS",1.0885455834078e-84,-0.551778766192159,0.894,0.991,2.44008377976691e-80
"GBP4",5.3023438377287e-84,2.33449230078782,0.453,0.163,1.18857339466527e-79
"RPL9",6.38320906302942e-83,-0.319887844370972,0.999,0.999,1.43086014356868e-78
"RPS4X",5.92254537205809e-80,-0.328134981952016,0.999,1,1.32759777060054e-75
"PDE3B",3.94792432792424e-79,1.16260383299456,0.755,0.541,8.84966717347497e-75
"ANK3",7.29065383055786e-78,1.44035042943807,0.6,0.371,1.63427296265785e-73
