"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTRNR2L12",7.98262121282966e-82,8.95681201686111,0.893,0.023,1.7893843710679e-77
"GAPDH",1.26919192365021e-61,2.1758492023669,0.993,0.916,2.8450206160543e-57
"FP236383.3",6.24055874687764e-58,-2.10730206030783,0.279,0.997,1.39888364870009e-53
"MT-ATP8",5.84246524101802e-57,-1.713938484708,0.836,0.997,1.3096470084266e-52
"AOAH",2.26298980497578e-49,-2.20033724071602,0.721,0.965,5.07271794683372e-45
"MIF",7.06118550344063e-47,2.11322810633659,0.957,0.632,1.58283534245125e-42
"ENO1",7.42913717262603e-47,2.65762480807005,0.9,0.47,1.66531538861585e-42
"RBFOX2",1.24540526499119e-44,-4.60883945561318,0.064,0.736,2.79170044200424e-40
"TPI1",3.20070262146526e-44,2.10474936904998,0.936,0.687,7.17469499627653e-40
"EIF1",5.66958855284854e-43,1.29885866208699,0.993,0.896,1.27089497000653e-38
"MT-ATP6",7.10703898183553e-43,1.96542135558221,0.871,0.878,1.59311385816825e-38
"PTPRCAP",8.01304994411464e-42,-2.61628277666076,0.379,0.884,1.79620527547274e-37
"PKM",4.19218039256675e-41,2.73454843094728,0.886,0.328,9.39719156797762e-37
"PGK1",4.09622998140588e-37,2.25640427674304,0.9,0.472,9.18210912631941e-33
"LDHA",2.70867720520155e-35,2.09258114141832,0.936,0.484,6.07177082317979e-31
"GPI",8.80034105496372e-32,2.90268195521697,0.736,0.249,1.97268445088067e-27
"RPS4Y1",4.6896567502864e-29,9.4925257399683,0.4,0,1.0512334571442e-24
"AL138963.4",1.32037840607e-26,5.22133758837215,0.464,0.02,2.9597602350465e-22
"VEGFB",7.62600656070276e-26,2.93500798896522,0.629,0.128,1.70944563064713e-21
"ALDOA",1.25531236123896e-25,1.58993190324456,0.9,0.551,2.81390818895325e-21
"ZBTB20",2.57491951357522e-25,-2.76881733070865,0.236,0.701,5.77193958163022e-21
"PDE3B",1.00270355574904e-24,-2.44687345400838,0.286,0.699,2.24766029056705e-20
"RPL9",4.81783344029913e-24,1.18051027056849,0.943,0.693,1.07996554397745e-19
"RPL10",9.57654947935703e-24,0.699162425642674,1,1,2.14667933129267e-19
"EEF1A1",1.01646186998476e-22,0.624760450166295,1,1,2.27850092775784e-18
"RPS3A",1.24364124774735e-21,0.715934393833918,1,0.988,2.78774622095046e-17
"RPL8",1.36735577174715e-21,0.873751940666661,0.986,0.939,3.06506469794842e-17
"TPT1",6.77262435652576e-21,0.706271592457568,1,0.994,1.51815147575881e-16
"APOO",1.11248891809551e-20,-3.40983396084834,0.079,0.481,2.4937551588029e-16
"RPL12",1.20941521222731e-20,0.803167784491377,0.986,0.965,2.71102513972873e-16
"GNAS",4.39402690032194e-20,1.5572369952844,0.871,0.414,9.84965069976167e-16
"RPLP0",5.20392606114817e-20,1.09433981412578,0.986,0.861,1.16651206586697e-15
"RPLP1",7.0195623062062e-20,0.760690906378425,1,0.997,1.57350508655918e-15
"SLC2A3",2.10604478386628e-19,2.19165846755129,0.671,0.293,4.72090998751466e-15
"BNIP3",3.72162148787038e-19,3.40684319250343,0.379,0.041,8.34238672721024e-15
"FOS",1.42951982064488e-18,4.7650990813081,0.336,0.014,3.20441162995757e-14
"MBNL1",1.54632814071058e-17,-1.14350379304262,0.671,0.893,3.46624916021683e-13
"LINGO2",4.55152263208656e-17,-2.99916481658348,0.1,0.542,1.02026931320852e-12
"BNIP3L",1.27462009321514e-16,1.51128006893084,0.736,0.325,2.85718840095105e-12
"FTL",1.77283695622142e-16,1.05231911550813,1,0.936,3.97399132106593e-12
"FP671120.4",2.06022510833583e-16,-0.673290083786253,0.257,0.69,4.6182006028456e-12
"HLA-C",4.80195994914022e-16,-0.479267053482747,1,1,1.07640734219927e-11
"RPL13",1.78733930058564e-15,0.595785066882624,1,0.988,4.00649977619277e-11
"PYHIN1",3.68950982987482e-15,-1.52877649663145,0.614,0.852,8.27040523464741e-11
"RPS13",3.83251629946255e-15,0.584691998813043,0.993,0.974,8.59096853687525e-11
"CD96",4.46850099469996e-15,-1.30330232656883,0.593,0.78,1.00165918297194e-10
"ARHGAP15",7.66255823973338e-15,-1.64836837339952,0.393,0.658,1.71763905501864e-10
"CASK",9.13798090118838e-15,-2.99326836411738,0.057,0.301,2.04836979881039e-10
"JUND",1.00587337739936e-14,1.33550560583083,0.829,0.475,2.25476576277841e-10
"MT-CO3",1.16356988597247e-14,-0.473145734653525,0.957,1,2.60825825639588e-10
"SLFN12L",1.76383248360393e-14,-2.64993120790944,0.1,0.452,3.95380689524656e-10
"RPL19",5.76277676020714e-14,0.520819518117454,1,0.994,1.29178403856803e-09
"PARP8",7.54559518464334e-14,-1.49531534062927,0.493,0.757,1.69142061658965e-09
"RABGAP1L",1.05156448461245e-13,-1.41445744015513,0.45,0.728,2.35718694870728e-09
"PGAM1",1.10652699561416e-13,1.41986150761439,0.757,0.42,2.4803909133687e-09
"MIR181A2HG",1.31395764778528e-13,-4.02038679218897,0.029,0.313,2.94536746327549e-09
"RPS18",1.45515123105226e-13,0.597926089833355,1,0.988,3.26186699952674e-09
"DLEU2",1.49112130157429e-13,-3.06271075638145,0.064,0.357,3.34249750960892e-09
"ENO2",1.57879501049033e-13,3.01437728998539,0.329,0.049,3.53902689551512e-09
"ATM",2.01158504381181e-13,-1.42419637394734,0.514,0.757,4.50916903420855e-09
"SEC61G",2.16910559621326e-13,1.51946716463952,0.75,0.339,4.86226710447165e-09
"PNRC1",2.64460561086112e-13,0.717539598858482,0.993,0.939,5.92814793730629e-09
"RPL28",3.24985253863358e-13,0.523867065330478,1,0.991,7.28486945060104e-09
"RPS3",3.93765272332326e-13,0.421256224885364,1,0.997,8.82664234460142e-09
"RPS12",3.95378044387906e-13,0.491985732042848,1,1,8.86279424299931e-09
"EEF1G",4.36765039711553e-13,0.970219901590359,0.9,0.643,9.79052513017418e-09
"CLDND1",5.3247971615902e-13,-1.53429729453431,0.321,0.606,1.19360653174206e-08
"RPL32",5.49082303111157e-13,0.482685780098508,0.993,0.997,1.23082289065397e-08
"FTX",8.87794447900718e-13,-3.20409768117318,0.057,0.299,1.99008003441425e-08
"P4HB",1.22095204423417e-12,1.60695278798856,0.671,0.278,2.73688610235533e-08
"BCL2",1.64524206380384e-12,4.10847889233024,0.271,0.017,3.68797461022268e-08
"RPS23",1.69644955225455e-12,0.487348157042421,1,0.997,3.8027613163338e-08
"DARS",2.35389954860916e-12,1.84376265967872,0.571,0.188,5.27650122816229e-08
"RPL41",2.60882950949006e-12,1.00286422515048,1,0.997,5.84795222847293e-08
"MT-CYB",2.88576604093639e-12,-0.731833455106445,0.9,0.991,6.468733157363e-08
"UPP1",3.06856145283815e-12,1.41429231042836,0.636,0.258,6.878487352682e-08
"FAM162A",3.3371882872267e-12,2.47250344849994,0.436,0.093,7.48064126464738e-08
"PICALM",3.39083407664571e-12,-2.35555834263023,0.121,0.386,7.60089366620902e-08
"RPS6",3.43514160026698e-12,0.515719423903354,1,0.957,7.70021341115846e-08
"GNLY",5.0315591186216e-12,0.821037202750071,0.914,0.957,1.12787429203022e-07
"LINC00861",5.25402222049232e-12,-2.02023603114019,0.279,0.588,1.17774162094556e-07
"P4HA1",1.01805192869974e-11,1.8418526366743,0.507,0.142,2.28206520337333e-07
"IFITM3",1.10879963015697e-11,1.90224446620395,0.7,0.299,2.48548525095987e-07
"RPS5",1.44170312478142e-11,0.694399499903737,0.986,0.872,3.23172172451002e-07
"RPL5",1.46692529798225e-11,0.637958431238385,0.986,0.896,3.28825974795701e-07
"AC245297.3",1.8570913991988e-11,-1.62620004053753,0.264,0.533,4.16285608044404e-07
"AC105052.4",1.91760392142955e-11,-6.57929054562558,0,0.171,4.29850095027647e-07
"MYO1F",2.14939027672565e-11,-1.41454213627982,0.4,0.664,4.81807324430821e-07
"CD53",2.68605042187367e-11,0.868186697660328,0.829,0.635,6.02105062567203e-07
"DPYD",2.79489973686603e-11,-1.65566956662104,0.243,0.554,6.26504725015889e-07
"ATF7IP",2.9093413552634e-11,-1.98908919202648,0.15,0.441,6.52157958195844e-07
"AC097534.2",3.5497653439225e-11,7.21084460540508,0.129,0,7.95715399493668e-07
"CBLB",3.71545788791091e-11,-1.22608293814931,0.5,0.649,8.3285704015411e-07
"SLFN5",3.73824022329657e-11,-1.31077747968471,0.457,0.681,8.37963928454159e-07
"RPL7A",3.82473658551826e-11,0.467371068319398,1,0.991,8.57352953009774e-07
"FOXP1",4.66616044301975e-11,-1.48229995828418,0.357,0.626,1.04596652490731e-06
"STAU2",4.90871467111228e-11,-3.07658829729625,0.05,0.255,1.10033748067653e-06
