"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTRNR2L12",3.03860625939127e-75,8.9252442387815,0.981,0.024,6.81133979105146e-71
"RBFOX2",5.63068621970316e-63,-4.33379275180212,0.152,0.963,1.26217462300866e-58
"APOO",1.89001147178377e-42,-4.35301063087071,0.081,0.793,4.23664971515051e-38
"KLF6",4.5058526284468e-41,1.64111070274541,0.997,0.976,1.01003192519263e-36
"JUND",5.26756802869965e-39,1.9037505884413,0.994,0.805,1.18077804931331e-34
"GNAS",2.2502187641627e-33,1.34610545341628,0.987,0.915,5.04409038174711e-29
"DPYD",1.81457404388052e-32,-1.77093487901999,0.726,0.963,4.06754917676258e-28
"AOAH",4.06907496875243e-32,-2.16173731909819,0.558,0.89,9.12123844995544e-28
"FCHSD2",1.2616989918744e-31,-2.41863062631919,0.326,0.915,2.82822446018566e-27
"DUSP1",4.06534746985771e-31,2.11405018923101,0.981,0.756,9.11288288843305e-27
"MCTP1",6.37219212026739e-31,-2.29864685074494,0.429,0.902,1.42839058567914e-26
"FP236383.3",1.43549538305774e-30,-1.01162972398459,0.4,1,3.21780645066223e-26
"ZFP36",2.73399934545382e-30,2.45178208242668,0.977,0.78,6.12853293276928e-26
"DLEU2",3.61797164396745e-30,-2.02568495912346,0.452,0.915,8.11004523711745e-26
"MT-ATP8",3.54453245778884e-27,-1.41713006886541,0.965,1,7.94542395737947e-23
"FP671120.4",4.22685443032704e-27,0.417108062092725,0.4,0.89,9.4749168910211e-23
"SRGN",1.38293309242536e-26,1.25081646023928,0.99,0.976,3.0999828199807e-22
"ZEB2",1.90915935225048e-26,-1.31928668980875,0.929,0.988,4.27957160400467e-22
"RTN1",2.4329711129974e-26,-2.10276548178278,0.465,0.878,5.45374804689497e-22
"ITPR2",5.95470455805852e-26,-1.74064343072889,0.603,0.915,1.3348065737344e-21
"GLUL",1.45554697224947e-25,1.65040616970151,0.968,0.854,3.26275409299442e-21
"NAMPT",2.44804082921781e-25,2.00213530543498,0.955,0.585,5.48752832277463e-21
"ATG7",7.85635001940306e-24,-1.69690302636744,0.584,0.963,1.76107942034939e-19
"RPS29",1.46962715801355e-23,-1.09232380451597,0.91,1,3.29431623740318e-19
"DMXL2",1.52858211502275e-23,-1.35904594776095,0.787,0.939,3.426469669035e-19
"SLC9A9",9.30392525565375e-22,-3.10686353141705,0.152,0.622,2.08556788530735e-17
"UBE2E2",1.24018447894392e-20,-1.93691823322928,0.555,0.927,2.77999752800069e-16
"AL138963.4",3.47344798429726e-20,4.22156254688706,0.577,0.061,7.78608100160073e-16
"LRMDA",1.73308855294544e-19,-2.43423236171912,0.21,0.72,3.8848913002825e-15
"ACVR2A",2.90202130000532e-19,-2.64148192770965,0.152,0.634,6.50517094609192e-15
"KYNU",4.84537204532526e-19,-1.41508077200831,0.794,0.988,1.08613859768011e-14
"RPL37A",1.61359798125574e-17,-0.94853662258969,0.945,0.988,3.61704123478286e-13
"TYROBP",1.90652352748145e-17,0.524003852130914,0.99,0.988,4.27366313920241e-13
"PDE4DIP",1.90791029651519e-17,-2.57235764332505,0.213,0.659,4.27677172066846e-13
"DAPK1",2.84851116318897e-17,-1.4949772009188,0.535,0.768,6.38522262340438e-13
"NBPF26",3.55766129623846e-17,-1.78662773853435,0.313,0.793,7.97485356164813e-13
"EIF1",4.03082053543764e-17,0.710305592111844,1,1,9.03548731223701e-13
"LTA4H",6.00846839420187e-17,-1.22481100961673,0.806,0.951,1.34685827524429e-12
"HFM1",8.5366002187487e-17,-6.56164187893554,0,0.256,1.91356430503471e-12
"EGR1",1.09382884117559e-16,5.01841675092417,0.503,0.049,2.45192673037921e-12
"EGR2",1.45151971531805e-16,2.84408365240056,0.668,0.195,3.25372659385694e-12
