"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"APOO",7.36577650720152e-62,-4.45365587190372,0.305,0.959,1.65111246185429e-57
"RBFOX2",3.58797700087399e-59,-3.65145716975373,0.371,1,8.04280924515913e-55
"MTRNR2L12",4.95825973281675e-58,8.71346570903099,0.971,0.048,1.1114435017082e-53
"GNAS",4.07053031525915e-32,1.38804005360406,1,0.884,9.1245007546849e-28
"AC004448.2",1.85098682258614e-30,5.2135446675811,0.533,0.116,4.1491720615091e-26
"AL138963.4",1.71788351075381e-29,4.40184779879702,0.771,0.089,3.85080767770574e-25
"TPI1",2.13391849357858e-27,1.41908696546765,0.981,0.979,4.78339169520574e-23
"GAPDH",4.50286595504855e-25,1.34836811835693,1,0.993,1.00936243248368e-20
"GAREM1",4.63612757781744e-23,1.92313167739872,0.514,0.527,1.03923435784356e-18
"PGK1",7.92574367065724e-23,1.60460066665999,0.99,0.952,1.77663470121453e-18
"RPL13A",3.29126879163105e-22,-0.823622685954834,1,1,7.37770812332016e-18
"HLA-C",9.93215099396067e-22,-0.944431156326993,0.971,1,2.22639096680622e-17
"GPI",1.843844027667e-21,1.51367203178002,0.99,0.815,4.13316077241834e-17
"PGAM1",1.92493014529339e-21,1.39427912103828,0.981,0.884,4.31492341368967e-17
"LDHA",4.03498037787174e-21,1.55113131022573,0.99,0.952,9.04481201503728e-17
"JUND",8.80942803152369e-20,1.27096884411183,0.971,0.918,1.97472138754635e-15
"VEGFB",3.32874437309253e-19,2.12080677045545,0.829,0.377,7.46171338672422e-15
"FP236383.3",1.06419670028876e-17,-0.770239188737566,0.543,0.986,2.38550332336729e-13
"ENO1",1.46781758645348e-17,1.12628238240643,1,0.979,3.29025990179411e-13
"MT-ATP8",2.0607973006712e-17,-0.779755102130142,0.99,1,4.61948322918456e-13
"HLA-B",2.39304571418803e-17,0.657045239877403,0.99,1,5.36425127292388e-13
"FOS",2.64896292324129e-17,3.18965735981496,0.629,0.185,5.93791528873768e-13
"ALDOA",1.86111448216537e-16,1.39301351227743,0.99,0.945,4.17187422322189e-12
"IFITM3",7.38996064011828e-16,6.5166862420413,0.352,0,1.65653357708891e-11
"RPL9",8.98358176894112e-16,0.585143628120358,1,1,2.01375968932584e-11
"DIPK1A",1.52710213327729e-15,-2.09464953102867,0.295,0.753,3.42315214195437e-11
"NSMCE2",3.12551574541316e-15,-2.62648615816131,0.152,0.582,7.00615609491814e-11
"PKM",1.05386683011124e-14,0.916684891927816,0.981,0.973,2.36234788637735e-10
"ZCCHC7",2.2399918739148e-14,-1.69767470008298,0.533,0.877,5.02116578456741e-10
"RPL19",3.70095145902927e-14,0.35414246526135,1,1,8.29605279056e-10
"EVL",4.47318753024216e-14,1.1775824270198,0.829,0.733,1.00270971677908e-09
"BNIP3",4.84411237909189e-14,2.99530587553457,0.533,0.096,1.08585623089724e-09
"RNASET2",1.86242507940086e-13,1.67562059948857,0.857,0.644,4.17481205798496e-09
"MT-CO2",3.15921343474425e-13,0.513696299974974,0.99,1,7.08169283532271e-09
"HNRNPA1",4.53599717258431e-13,-0.485242325616043,0.943,0.979,1.0167891262065e-08
"MIF",8.0985693881067e-13,0.840229871338266,1,0.986,1.815375314038e-08
"MAZ",1.05471406478914e-12,1.48021616831948,0.819,0.452,2.36424704763135e-08
"NSF",1.12759796514299e-12,-1.32537785105357,0.61,0.842,2.52762359866452e-08
"CD69",1.21907853857638e-12,1.73345014734689,0.848,0.534,2.73268645207282e-08
"UBE2E2",1.60337256683541e-12,-1.33686702440665,0.619,0.849,3.59411994581827e-08
"RPS10",1.61024040764032e-12,-1.3516549537797,0.562,0.877,3.60951489776654e-08
"CCDC91",2.15690930281181e-12,-2.01054009566093,0.257,0.671,4.83492789318294e-08
"PPP1R15A",2.15716152004168e-12,1.54896041534463,0.81,0.384,4.83549326332544e-08
"FCHSD2",3.53122530666077e-12,-1.82033761371178,0.429,0.733,7.91559464741079e-08
"PTPRCAP",1.352608155008e-11,-2.12277149537545,0.39,0.664,3.03200644026594e-07
"RABGAP1L",1.94455850362142e-11,-1.85138678368016,0.4,0.685,4.35892234171778e-07
"RPS29",2.07206965218286e-11,-0.490861199499338,0.99,0.993,4.6447513323331e-07
"LINC00910",2.12826143049679e-11,-4.77491352745493,0,0.233,4.7707108226016e-07
"VPS13B",2.14682904983928e-11,-1.91954669329574,0.267,0.555,4.81233199811973e-07
"SPIDR",2.77455752860961e-11,-2.07454456164301,0.229,0.589,6.21944815613131e-07
"AC105402.3",3.52217918128548e-11,-5.08716267421015,0,0.247,7.89531685276952e-07
"RPS2",4.9034277407434e-11,-0.497450228428173,1,1,1.09915236236504e-06
"RPS3A",5.6130937303975e-11,0.503534138211436,1,1,1.2582310906059e-06
"BNIP3L",7.36074148488352e-11,1.42154727011637,0.714,0.39,1.64998381125149e-06
"CSRNP1",1.29440208078257e-10,2.19603976496123,0.552,0.185,2.9015317042822e-06
"RPL8",1.35889882203851e-10,0.356975974913929,1,1,3.04610759948152e-06
"ATP8B1",3.54888571790663e-10,-4.0615658356897,0.019,0.281,7.9551822252595e-06
"CD81",5.43169060423478e-10,1.01588263677408,0.924,0.733,1.21756776584527e-05
"CARM1",6.31818203453345e-10,2.77197552623106,0.448,0.082,1.41628368486102e-05
"TRBJ2-2P",7.16951252536982e-10,5.69770852684182,0.21,0,1.6071179276869e-05
"PNPT1",7.40935081670734e-10,-1.92643713130157,0.343,0.664,1.66088007907312e-05
"VEGFA",8.21559417029117e-10,2.55806387199749,0.4,0.082,1.84160758921247e-05
"RHOB",9.70277430320662e-10,3.49944240906298,0.381,0.068,2.1749738878068e-05
"ARHGAP15",9.81360607861806e-10,-1.41165118129565,0.619,0.788,2.19981793858302e-05
