"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTRNR2L12",6.022324965477e-268,7.82048880847646,0.952,0.064,1.34996436426133e-263
"APOO",1.49977848381879e-254,-5.14481706203141,0.103,0.929,3.36190344932821e-250
"RBFOX2",4.01239163502859e-252,-3.97744488298969,0.192,0.979,8.9941770890801e-248
"LDHA",3.94493721353174e-208,2.75430359839948,0.973,0.669,8.84297125785274e-204
"MT-ATP8",4.30524357297344e-199,-1.88306372742101,0.916,1,9.65063399317727e-195
"TPI1",7.29508789194247e-183,2.36629233626621,0.971,0.663,1.63526690185782e-178
"ENO1",2.60309807359874e-178,2.23652890448353,0.981,0.809,5.83510464177894e-174
"PKM",7.47329729908102e-174,2.5026163151631,0.96,0.55,1.675214322562e-169
"GAPDH",2.29166049276911e-173,2.38138061181983,0.991,0.868,5.13698616059124e-169
"PGK1",1.44310393658648e-163,2.4368525927638,0.959,0.728,3.23486178425226e-159
"IGFBP2",8.65430783208408e-160,4.64380814200744,0.782,0.079,1.93994964363997e-155
"FP236383.3",1.59150332504254e-158,-1.97689891365354,0.352,1,3.56751385341536e-154
"PTPRCAP",1.52569639485173e-138,-2.44692126556145,0.412,0.918,3.42000103869965e-134
"BNIP3",4.85673310446227e-135,3.02774275060825,0.851,0.263,1.08868529269626e-130
"GPI",4.64600675937461e-132,2.70531524185901,0.902,0.448,1.04144887518141e-127
"LINC00861",2.64116736232807e-123,-2.48899897557573,0.388,0.895,5.9204407593946e-119
"EIF1",8.04768748891527e-122,1.09925610160413,0.998,0.97,1.80396962751525e-117
"PDE3B",5.18689319911018e-121,-1.74211430562721,0.759,0.957,1.16269397951254e-116
"PNRC1",7.71198255181129e-121,1.18395533626077,0.998,0.957,1.72871800881402e-116
"ALDOA",4.09949682652887e-120,2.03439910789031,0.936,0.666,9.18943208634711e-116
"MIF",1.7862760315606e-115,1.29638649117364,0.99,0.957,4.00411635234624e-111
"AL138963.4",3.79898503310682e-113,4.41913603864386,0.72,0.135,8.51580485021225e-109
"BNIP3L",7.92675259240151e-110,2.07476660286103,0.904,0.454,1.77686086111272e-105
"PGAM1",2.79165530086309e-107,2.14724060184219,0.883,0.441,6.2577745224147e-103
"PCBP1",2.01853414619607e-103,1.05715948233335,0.993,0.944,4.52474614211311e-99
"VEGFB",2.55106509144685e-103,2.42785224817717,0.808,0.255,5.71846750898725e-99
"FP671120.4",7.97991710933139e-101,-1.2166724346952,0.332,0.919,1.78877821922772e-96
"ARHGAP15",1.13291888413494e-97,-1.79705669411225,0.562,0.901,2.53955097067689e-93
"SARAF",1.68233343911122e-97,0.898166320167941,1,0.992,3.77111863711171e-93
"RAC2",7.81499866076189e-89,1.05815811685674,0.993,0.909,1.75181009979639e-84
"AC004448.2",1.46826513955483e-77,4.43027336310175,0.338,0.09,3.2912631368261e-73
"FAM162A",2.37541073058416e-77,2.29826555689016,0.761,0.321,5.32472069367744e-73
"PPP1R15A",1.18279204467597e-73,3.48879629246756,0.567,0.085,2.65134664734566e-69
"JUND",3.12239380398264e-73,1.71075968418134,0.871,0.477,6.99915795100749e-69
"ENO2",1.92607471125971e-72,2.59882262515683,0.649,0.175,4.31748907275976e-68
"RPL13A",1.25562162049788e-70,-0.837298814581547,0.976,0.997,2.81460142450806e-66
"TSC22D3",5.09743972164821e-69,2.15408105916993,0.756,0.328,1.14264208800466e-64
"MT-ATP6",8.68247078098856e-69,1.81612637459108,0.907,0.909,1.9462626502664e-64
"P4HA1",6.90170150813771e-67,2.32477262314057,0.653,0.17,1.54708541006415e-62
"AC079793.1",7.69109648117278e-65,-3.98373899224638,0.033,0.384,1.72403618721969e-60
"FOS",1.49189880425652e-64,7.33379817195383,0.354,0.003,3.34424035962141e-60
"ZBTB20",1.6354132836759e-64,-1.94548314826826,0.337,0.752,3.66594241668791e-60
"HLA-B",9.34651423366735e-63,0.574791885234768,1,1,2.09511463061887e-58
"MAML2",2.114460065978e-62,-1.72028704258491,0.486,0.796,4.73977368389628e-58
"HLA-C",8.45636635438265e-62,-0.616655359348879,0.995,1,1.89557908199842e-57
"NELL2",1.25067312245173e-61,-1.29059287944232,0.72,0.816,2.8035088712878e-57
"AC097534.2",7.36720956323658e-60,4.34566084472489,0.376,0.018,1.65143369569511e-55
"MT-CO3",1.34318717501233e-59,-0.650313645027418,0.973,0.998,3.01088837150763e-55
"MT-CYB",2.22440574873545e-59,-0.764425753517875,0.969,0.998,4.98622792636538e-55
"C4orf3",3.07140250874131e-59,1.31898771214596,0.875,0.553,6.88485586359453e-55
"LINC01578",1.99929907227428e-58,1.0386416930723,0.942,0.775,4.48162880041002e-54
"GNAS",2.07707720686598e-58,0.961758117486982,0.969,0.783,4.65597626691078e-54
"RPL9",3.89047667249737e-58,0.549174882722228,0.998,0.998,8.7208925090701e-54
"C1orf112",1.52369135062908e-57,-4.18940378178427,0.024,0.36,3.41550653157015e-53
"RPS3A",3.86153046751151e-57,0.491202758060806,1,1,8.6560066959738e-53
"AC138123.1",7.04043468593115e-57,-0.902358306608599,0.314,0.758,1.57818383919833e-52
"TAGLN2",1.70549629477272e-56,1.02164690340442,0.957,0.825,3.82304049436253e-52
"IMMP2L",9.21127084856394e-56,-2.4177748533008,0.168,0.535,2.06479847341409e-51
"AC105052.4",5.84783080296679e-55,-4.35222939627957,0.012,0.301,1.31084975279304e-50
"RIPOR2",2.83049128611447e-54,-1.1157551492733,0.782,0.942,6.34482926695419e-50
"KLF6",1.13431747125591e-53,2.13476989994153,0.682,0.284,2.54268604356725e-49
"BTG1",2.29108674504118e-53,0.736930265305696,0.997,0.965,5.13570004768431e-49
"S100A10",8.86384005442546e-53,0.978947083621293,0.936,0.781,1.98691838660001e-48
"MIR210HG",2.2465475204826e-49,2.45441371984277,0.428,0.065,5.03586092191379e-45
"MTFP1",7.86242663909371e-49,2.0007785593284,0.601,0.19,1.76244155541925e-44
"FTX",2.57515781062534e-48,-2.47605045148868,0.129,0.473,5.77247374829777e-44
"RPS29",3.78458567530368e-48,-0.518377535202876,0.995,1,8.48352724976073e-44
"IL2RG",5.45626649439142e-48,0.926723733990737,0.955,0.83,1.22307669738278e-43
"DUSP1",7.926575970116e-48,4.11016394236635,0.351,0.03,1.7768212694612e-43
"CCDC107",2.63759151457795e-47,1.92477305062355,0.6,0.199,5.91242513907794e-43
"RPLP2",5.64656445231566e-47,-0.361407181229194,1,1,1.26573388763108e-42
"SIT1",6.04907620385052e-47,2.19889360876396,0.529,0.135,1.35596092185513e-42
"DIPK1A",1.28427096662405e-46,-2.43849783147945,0.125,0.447,2.87882179878446e-42
"IKZF1",1.30590988907498e-46,-1.08488982212472,0.72,0.894,2.92732760735048e-42
"MBNL1",1.81323465047822e-46,-0.898881389080581,0.84,0.939,4.06454679251197e-42
"BACH2",3.21253579115252e-46,-1.48211088445133,0.45,0.728,7.20122022944748e-42
