"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"APOO",0,-5.17689891888653,0.14,0.98,0
"RBFOX2",0,-4.15947736897114,0.247,0.995,0
"MTRNR2L12",1.24376559589409e-284,8.66558755297251,0.94,0.034,2.7880249597562e-280
"PTPRCAP",3.55492663951497e-220,-2.6053261367785,0.45,0.964,7.96872355513675e-216
"ENO1",9.84127160939535e-179,2.09793860094083,0.996,0.91,2.20601944396206e-174
"TPI1",9.90720710276329e-171,2.09068816345604,0.979,0.797,2.22079954415542e-166
"LDHA",1.08377459188427e-166,2.06024634485086,0.987,0.836,2.42938912516778e-162
"PGK1",2.91010262709937e-160,2.54044264344126,0.98,0.779,6.52328604890595e-156
"AC004448.2",5.52278710215543e-156,4.34548716688106,0.394,0.158,1.23798795681916e-151
"LINC00861",3.37114555333877e-154,-1.80492238224322,0.715,0.964,7.55675987236419e-150
"PKM",3.52542949046508e-148,1.98824180277134,0.971,0.691,7.90260274582653e-144
"GAPDH",1.23485354001635e-146,2.02878457298962,0.996,0.95,2.76804769530064e-142
"GNAS",6.64530481661581e-138,1.45755614019996,0.991,0.723,1.4896115276926e-133
"ANK3",1.13047486479035e-133,-2.41936843689388,0.371,0.804,2.53407245691404e-129
"AL138963.4",4.33037774911142e-130,4.69862038440858,0.754,0.113,9.70697476240816e-126
"BNIP3",2.62554276432529e-129,2.95172035037256,0.857,0.302,5.88541666051156e-125
"FP236383.3",3.59062395805831e-127,-1.44453420034753,0.399,0.998,8.0487426643835e-123
"MT-ATP8",4.2016328375078e-126,-1.4262407621138,0.921,1,9.41838016855749e-122
"IGFBP2",8.18857576292509e-124,4.53426446906978,0.689,0.068,1.83555114301729e-119
"SARAF",1.88957587483882e-115,0.909420046803326,1,0.991,4.2356732810387e-111
"HLA-B",2.17826881082277e-115,0.784237223787316,1,1,4.88280736634033e-111
"MIF",2.1697950581562e-111,1.03977058057938,0.998,0.991,4.86381260236293e-107
"VEGFB",1.43254163772888e-110,2.6142647780642,0.82,0.27,3.21118533513306e-106
"GPI",5.02719569631648e-103,2.34664436281962,0.918,0.543,1.1268961872863e-98
"ARHGAP15",6.26313870084383e-98,-1.57427797708099,0.629,0.881,1.40394517118115e-93
"PDE3B",1.54565229610152e-97,-1.80423544236332,0.541,0.849,3.46473418694117e-93
"EIF1",3.92434845594006e-97,0.927281820326984,0.999,0.984,8.79681949883525e-93
"BNIP3L",5.19988422808555e-96,1.78393310644753,0.915,0.547,1.16560604856766e-91
"RPL37A",1.30900189617975e-87,-0.610906006526191,0.996,1,2.93425865047653e-83
"ALDOA",7.18029947479207e-85,1.67166342201903,0.928,0.691,1.60953593026939e-80
"PGAM1",5.28157659063473e-83,1.85229224553263,0.858,0.48,1.18391820855668e-78
"MAML2",6.17481260571574e-82,-1.54078791573065,0.569,0.865,1.38414599369724e-77
"RPL13A",2.19077558716911e-81,-0.780491003143081,0.987,0.995,4.91084255619828e-77
"RPS29",3.71092953832319e-81,-0.57729845429788,0.999,1,8.31841965310527e-77
"AC079793.1",3.95015962621337e-81,-3.94311094694639,0.037,0.421,8.85467781811989e-77
"PNRC1",1.4372947368014e-77,0.881146838279942,0.999,0.982,3.22183988201402e-73
"FP671120.4",3.61822487922617e-76,-0.698238909251065,0.382,0.869,8.11061288927339e-72
"RPS3A",4.91148141004846e-76,0.418428791448513,1,1,1.10095767287646e-71
"FHIT",3.5765526926064e-74,-1.61764838751737,0.52,0.838,8.01720051574651e-70
"ZBTB20",5.28616812213146e-73,-1.87281830975898,0.364,0.712,1.18494744625699e-68
"PCBP1",5.49301490309758e-73,0.920691191982298,0.994,0.95,1.23131422067835e-68
