"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS10",7.6297507102347e-238,-0.986174658288238,0.698,0.893,1.71028491920621e-233
"H3-3B",3.491735562854e-233,-0.544887614667686,0.403,0.681,7.82707443769352e-229
"H3F3B",1.38606127446248e-232,1.52897075978963,0.587,0.297,3.1069949528351e-228
"LINC01578",8.79713232115342e-215,1.87495363146949,0.51,0.204,1.97196518110975e-210
"H3-3A",2.82649553016563e-213,-0.745021852810498,0.395,0.67,6.33587238041928e-209
"RBFOX2",2.78532997717831e-189,-2.16270275029871,0.302,0.627,6.2435956768429e-185
"TALAM1",7.68564965208329e-185,-0.547698767892798,0.38,0.635,1.72281522601099e-180
"ENO1",8.84163266791346e-165,1.15256092979986,0.889,0.829,1.98194037883948e-160
"TPI1",2.98251950548138e-164,1.18394395661947,0.799,0.664,6.68561572348707e-160
"MIF",2.43768335317849e-162,0.885552053733059,0.952,0.908,5.46431100448491e-158
"H3F3A",5.94163365561811e-162,0.695514225634253,0.558,0.298,1.33187660024336e-157
"ENSG00000289901",9.92982442176165e-154,-0.657056382049987,0.371,0.604,2.22586944238209e-149
"MTRNR2L12",2.41388504523364e-152,8.47890966057916,0.203,0.01,5.41096471739574e-148
"H1FX",4.35032428082621e-147,1.52223404167362,0.442,0.177,9.75168690790002e-143
"GPI",2.9207926641175e-140,1.81970174767172,0.667,0.424,6.5472488358858e-136
"LINC-PINT",4.27069272789274e-134,-0.65943557697249,0.385,0.597,9.57318481884436e-130
"CHASERR",4.31151379105817e-134,-0.799313821587167,0.354,0.588,9.66468931403599e-130
"TGFB1",2.96418501497847e-132,-0.654877899958109,0.813,0.899,6.64451712957574e-128
"ATP5MD",3.18052567055053e-131,1.03671892137511,0.479,0.23,7.12946634310607e-127
"DARS",2.80421845432113e-130,1.44727121878114,0.371,0.153,6.28593608720625e-126
"H2AZ2",8.24242647373565e-127,-0.918982159487619,0.329,0.562,1.84762231835258e-122
