"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTRNR2L12",2.46209110478208e-95,7.75072355607935,0.184,0.018,5.51902342047951e-91
"H3F3B",1.10437285519027e-46,0.822355494847127,0.719,0.51,2.47556219219451e-42
"KLRB1",1.43982626866858e-44,0.671712796138636,0.668,0.451,3.22751456384749e-40
"VEGFB",2.429928324136e-32,1.21072902483514,0.226,0.127,5.44692733138325e-28
"ENO1",6.12099883091454e-30,0.995776273990136,0.702,0.637,1.3720830979378e-25
"HIST1H1E",2.26675083492074e-29,1.18143440924839,0.487,0.264,5.08114867155834e-25
"RPS10",1.2952378739342e-28,-1.02503352497519,0.417,0.598,2.9034052182109e-24
"H3-3B",3.82651130362765e-28,-1.09238709179298,0.251,0.463,8.57750773821173e-24
"H1FX",4.32896851414836e-28,1.10260161057417,0.438,0.23,9.70381582131497e-24
"GPI",7.08971316849907e-27,1.60626044936144,0.436,0.261,1.58923010385075e-22
"EZR",1.50631237796038e-24,-0.888976727798319,0.445,0.63,3.37654982643599e-20
"CEBPD",4.07839539903045e-24,0.30168182631726,0.492,0.387,9.14213112646666e-20
"KLRC1",1.50621426401284e-23,0.262121177032232,0.331,0.262,3.37632989421118e-19
"MIF",3.30136002096587e-23,0.861389262975163,0.821,0.737,7.40032862299709e-19
"LINC01578",2.9531540552216e-22,0.924819649910593,0.475,0.278,6.61979013018474e-18
"S100A6",2.48842557533489e-21,-0.381550803279415,0.627,0.703,5.57805476967068e-17
"BNIP3L",4.64098195423853e-21,0.817638367532636,0.512,0.359,1.04032251486211e-16
"TPI1",1.41683527886358e-20,0.586374106988078,0.788,0.725,3.1759779611006e-16
"DARS",3.00698849781291e-20,0.747817366352911,0.214,0.133,6.74046541669742e-16
"P4HA1",1.22614809972883e-19,1.5850699637363,0.269,0.126,2.74853358035216e-15
"ALOX5AP",7.31768566528364e-19,0.87723851469963,0.371,0.234,1.64033241872998e-14
"BNIP3",1.13451981134964e-17,1.03475352753013,0.162,0.096,2.54313960912136e-13
"PGK1",1.99348041877544e-17,0.536589592775284,0.711,0.66,4.46858570672702e-13
"AL138963.4",2.33253648140587e-17,2.90626394199805,0.099,0.019,5.22861377671939e-13
"DHRS3",2.91983506297453e-17,0.309083089138154,0.107,0.097,6.5451022771637e-13
"HIST1H1D",3.36604058618738e-17,0.871914979599079,0.285,0.165,7.54531657799764e-13
"H3-3A",6.55270733440374e-17,-0.941285412831197,0.241,0.437,1.46885487607994e-12
"PKM",1.07408855109443e-16,0.821908419959925,0.554,0.444,2.40767689613327e-12
"CRIP1",2.06578543342498e-16,-0.698179103840047,0.865,0.822,4.63066462756542e-12
"MIR210HG",2.12882800670723e-16,1.03163302712255,0.123,0.052,4.77198085983492e-12
"CALHM6",2.13010103009138e-16,0.31121945311726,0.068,0.057,4.77483446905284e-12
"AC097534.2",5.23251122319073e-16,1.785039788181,0.058,0.014,1.17291971579043e-11
"FP236383.3",6.89654553066985e-16,-0.247196064457919,0.567,0.534,1.54592964615495e-11
"FHL3",1.57785403290709e-15,0.470655758000641,0.224,0.16,3.53691760016453e-11
"GYPC",2.46662460849924e-15,0.401095001560542,0.529,0.43,5.52918572241189e-11
"AC078883.1",6.87529976195109e-15,1.18666111237664,0.1,0.043,1.54116719463896e-10
"FCER1G",1.79654196760617e-14,0.242386283293742,0.454,0.376,4.02712847458599e-10
"CMC1",2.94686327828273e-14,0.80553771890499,0.68,0.467,6.60568872459857e-10
"S100A4",6.63609908275986e-14,-0.675223256441736,0.448,0.559,1.48754797039145e-09
"HLA-DPA1",7.28147976070356e-14,0.412464750396952,0.436,0.38,1.63221650315931e-09
"CLIC3",1.76596949670588e-13,0.42437984890842,0.763,0.622,3.9585972238159e-09
"HSPA8",2.15631433981207e-13,-0.532190898850655,0.698,0.8,4.83359422412274e-09
"SLC9A3R1",2.49880466631541e-13,0.843314585645146,0.544,0.319,5.60132054001263e-09
"HLA-DPB1",2.6988385912159e-13,0.224660327556917,0.511,0.481,6.04971658606956e-09
"TRG-AS1",7.46223034634215e-13,-0.119777618748252,0.435,0.471,1.67273355443606e-08
"VEGFA",1.43961087844192e-12,2.2884938863758,0.056,0.012,3.22703174511542e-08
"RBFOX2",2.184324362942e-12,-0.613664813468624,0.4,0.498,4.8963814919708e-08
"H3F3A",2.59891410120959e-12,0.491950370654423,0.69,0.493,5.82572584927142e-08
"YWHAQ",2.98893767434786e-12,-0.488883011391869,0.459,0.541,6.70000269081816e-08
"GAPDH",3.03553202646991e-12,0.83172295941633,0.987,0.962,6.80444859053495e-08
"RPS27",4.04826927522245e-12,-0.35212858580985,1,0.999,9.07460040733864e-08
"MT-ATP8",4.20244368916819e-12,-0.295331369484471,0.887,0.831,9.42019777363941e-08
"MYADM",4.37278435032335e-12,-1.20520427846708,0.231,0.388,9.80203339968483e-08
"FAM162A",5.15787325652019e-12,1.20947620682775,0.243,0.147,1.15618886918157e-07
"LRMP",5.62888293545097e-12,1.03022702831376,0.14,0.066,1.26177039881069e-07
"FAM49B",7.441745435547e-12,0.674555905275088,0.452,0.28,1.66814165683222e-07
"HIST1H3D",7.84959833707573e-12,1.24978129730607,0.105,0.041,1.7595659632389e-07
"GNAS",2.67757477651735e-11,0.311955711706337,0.588,0.573,6.0020516190413e-07
"STK17A",2.71639164734944e-11,0.177612697666815,0.771,0.719,6.0890635166985e-07
"JAK1",3.69860788163708e-11,0.149104230870894,0.844,0.838,8.29079942747768e-07
"AC044849.1",3.89324726779708e-11,2.90084266267533,0.052,0.008,8.72710307549394e-07
"PFKFB4",3.93851231969185e-11,1.37443606133757,0.041,0.015,8.82856921582125e-07
"APOO",4.47815574155912e-11,-0.713757120570851,0.273,0.372,1.00382339102789e-06
"ZBTB16",5.40203606135879e-11,0.161623339604108,0.113,0.099,1.21092040351419e-06
"LMNA",5.70224412665737e-11,-1.14447405903366,0.192,0.351,1.27821504343152e-06
"KIF21A",9.77484553970026e-11,-0.898240124788618,0.09,0.157,2.19112937617921e-06
"AC092821.3",1.09165648024837e-10,1.24709279020751,0.451,0.252,2.44705716612475e-06
"ANXA1",1.20312118906409e-10,-0.719610955521589,0.723,0.789,2.69691645740607e-06
"CIRBP",1.5719497883059e-10,0.427252138037654,0.718,0.648,3.52368264546651e-06
"UCP2",1.78814278616841e-10,-0.504610294850222,0.463,0.562,4.00830086947511e-06
"HIST1H1C",2.53079284291745e-10,0.738667091875701,0.273,0.157,5.67302523668376e-06
"ALDOC",2.96372449516155e-10,1.3651223340031,0.124,0.051,6.64348482835414e-06
"TMIGD2",3.85568544937483e-10,0.582889646809002,0.109,0.075,8.64290450331863e-06
"WSB1",5.29507528410885e-10,0.492106081064354,0.454,0.35,1.18694407568584e-05
"APOBEC3G",6.14970029305195e-10,-0.764300812713722,0.628,0.777,1.37851681769053e-05
"MCTP2",6.17337077494563e-10,0.13982361938303,0.455,0.428,1.38382279291181e-05
"LDHA",6.95090873980561e-10,0.283165254232657,0.801,0.771,1.55811570311482e-05
"ACTB",7.06803799295765e-10,-0.252482446416612,0.987,0.991,1.58437139650139e-05
"YPEL3",1.00642278107781e-09,0.550260380491844,0.908,0.792,2.25599730606402e-05
"HIST1H4C",1.09917708303104e-09,0.695661645293896,0.478,0.32,2.46391534932237e-05
"MYO1D",1.13174895334735e-09,-1.89950405515835,0.013,0.046,2.53692845382342e-05
"KLF2",1.16719901732112e-09,-0.216278508715794,0.537,0.564,2.61639331722702e-05
"MYO6",1.27171870820955e-09,-1.03429100832935,0.054,0.105,2.85068465632254e-05
"ANXA2",1.285904538e-09,-0.70757128420176,0.224,0.312,2.88248361238079e-05
"NFIL3",1.48566137714172e-09,1.43780584769856,0.094,0.038,3.33025854300087e-05
"SLC2A3",1.51604200774495e-09,0.660109739696385,0.489,0.388,3.39835976456107e-05
"RHOBTB3",1.77769998275637e-09,0.617001560585394,0.177,0.119,3.98489228134669e-05
"IGFBP2",1.83967628969318e-09,1.44405526908587,0.017,0.007,4.12381837097624e-05
"MPI",2.12011570983432e-09,1.16133352843939,0.085,0.038,4.7524513751646e-05
"RPS29",2.20363861998469e-09,-0.537203336021287,0.888,0.948,4.93967633055768e-05
"EPB41L4A",3.64739351665432e-09,-1.3693342442476,0.018,0.046,8.17599730693233e-05
"CCNJL",4.08600046249425e-09,0.362582625504971,0.066,0.049,9.15917863672712e-05
"ZNF395",4.71949271991152e-09,0.879142349248381,0.08,0.048,0.000105792148809537
"LINC-PINT",4.94419533420616e-09,-0.901542073814914,0.236,0.388,0.000110829082611565
"GPX4",5.14966206365968e-09,0.182800105325835,0.534,0.497,0.000115434824818995
"PCBP1",5.35524893047653e-09,0.205055256482483,0.899,0.876,0.000120043260025562
"TRBC2",5.56430902367733e-09,-0.283952534600394,0.734,0.764,0.000124729551074751
"S100A10",5.61485625672027e-09,-0.595385359730665,0.792,0.81,0.000125862617850642
"ITGB2",6.32425320622301e-09,0.540721677254349,0.74,0.624,0.000141764459870695
"IER5L",8.98201916587293e-09,-1.19699045375565,0.094,0.161,0.000201340941622208
"EGLN1",9.15654485519978e-09,0.83779738989704,0.228,0.141,0.000205253109474158
"KDM5B",1.11900892743726e-08,0.143086437413678,0.215,0.192,0.000250837041174336
"VIM",1.2492439825688e-08,-1.02923814015956,0.537,0.596,0.000280030531132623
"PDE4D",1.34926214737753e-08,0.464535241036554,0.579,0.452,0.000302450602956146
"MTRNR2L8",1.37036301763628e-08,3.99907645791191,0.039,0.003,0.000307180574033349
