"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS10",4.76877348869291e-34,-1.96602095279296,0.831,0.956,1.0689682652254e-29
"MTRNR2L12",1.30276206954875e-31,9.18195340305867,0.121,0.006,2.92027145510047e-27
"RBFOX2",4.01980940038473e-29,-1.89115570218276,0.613,0.931,9.01080475190242e-25
"TALAM1",2.06237515432848e-20,-1.01548466631778,0.21,0.667,4.62302014594271e-16
"U2AF1",1.01372014656968e-19,-1.78904436782466,0.393,0.779,2.2723550805506e-15
"H3-3B",2.0756560646611e-19,-1.2686185490056,0.222,0.791,4.65279063454431e-15
"H3F3B",2.23041247849223e-19,2.18158848741123,0.776,0.207,4.99969261178818e-15
"MIF",2.25894940998058e-18,1.14748589121683,0.981,0.901,5.06366099741246e-14
"H3-3A",2.63853230057968e-18,-1.02958685357852,0.218,0.78,5.9145340049794e-14
"APOO",1.83770853343558e-17,-0.97557239853266,0.595,0.908,4.11940744854921e-13
"HLA-DRA",2.61778007317157e-17,-0.806971876564917,0.936,0.987,5.86801581202139e-13
"GPI",6.07872544218015e-17,1.68817430863752,0.78,0.365,1.3626070951191e-12
"PKM",7.70115902769743e-17,0.762422229915321,0.973,0.887,1.72629180764866e-12
"TPI1",1.79842986736952e-16,1.27959579910036,0.926,0.626,4.03136039069551e-12
"HLA-DPB1",3.40740400370988e-16,-0.832626966926155,0.879,0.964,7.63803681471606e-12
"GNAS",5.04726449354438e-16,0.787729727571443,0.895,0.685,1.13139480887291e-11
"HLA-DRB1",2.87191875992846e-15,-0.822274420643424,0.961,0.987,6.43769309225563e-11
"ATP5MK",4.8850064107993e-15,-1.97048088039776,0.187,0.642,1.09502303704477e-10
"AL138963.4",7.72834477951609e-15,3.95574851605337,0.224,0.023,1.73238576577633e-10
"RPS29",7.94884973042012e-15,-0.575409741701954,0.998,0.999,1.78181415557097e-10
"RUNX3",1.08887427686064e-14,-1.03928375888449,0.521,0.627,2.44082057901082e-10
"H3F3A",1.74082211667535e-14,2.0916086799242,0.77,0.205,3.90222685673946e-10
"H2AZ1",2.12185777515417e-14,-1.3185593524799,0.195,0.521,4.75635638878559e-10
"ATP5MD",1.54241551781922e-13,2.06266548197342,0.737,0.189,3.45747862474356e-09
"ENO1",2.07355614525108e-13,0.351088096932145,0.969,0.954,4.64808345519482e-09
"TAGLN2",2.27481048450742e-13,-1.6488861626552,0.981,0.992,5.09921518207183e-09
"SIPA1L1",2.87650265683343e-13,-0.27348441302214,0.665,0.731,6.44796835555781e-09
"CHASERR",3.78324781619556e-13,-1.46908472384036,0.156,0.481,8.48052830478397e-09
"ENSG00000289901",4.83762760110005e-13,-1.72044646879226,0.21,0.7,1.08440260306259e-08
"LDHA",7.20130621287514e-13,0.557697295114331,0.961,0.894,1.61424480067809e-08
"BNIP3L",7.92215206692847e-13,1.18491682348327,0.512,0.209,1.77582960732269e-08
"SIT1",8.52596157890835e-13,2.07395033808412,0.399,0.099,1.9111795475281e-08
"CRIP1",1.3265171905306e-12,-1.39587842782671,0.8,0.867,2.97352093429339e-08
"LMNA",2.95977063490323e-12,-2.24762656772516,0.309,0.785,6.63462185519909e-08
"HLA-DQA1",3.6359147361185e-12,-1.18957070314812,0.922,0.983,8.15026647248323e-08
"LINC01578",1.01451587945535e-11,2.08462767668695,0.644,0.148,2.27413879538712e-07
"CD74",1.1175706163576e-11,-0.650859903708877,0.994,0.999,2.50514629362719e-07
"NAPSB",1.11980321584847e-11,-1.4973042874866,0.13,0.337,2.51015088864594e-07
"TGFB1",1.33264489383071e-11,-0.76361760035855,0.844,0.874,2.98725679401093e-07
"ENSG00000234961",1.53297157030392e-11,-1.90161163039806,0.115,0.383,3.43630907199328e-07
"AK4",3.66714774763282e-11,1.85210861283005,0.216,0.047,8.22027839109372e-07
"HIST1H4C",7.92416449393381e-11,2.19183366123337,0.708,0.162,1.7762807129602e-06
"FAM162A",9.11812330798711e-11,1.18432123564949,0.642,0.252,2.04391852071839e-06
"TARS1",3.40462605137779e-10,-2.06364728676799,0.16,0.574,7.63180975676846e-06
"SARS1",3.64418507840559e-10,-2.17905110321323,0.134,0.508,8.16880527175397e-06
"RPS27",4.10875191139037e-10,-0.66238046762182,1,1,9.21017828457264e-06
"PGK1",4.77478185013449e-10,0.553920605426995,0.947,0.822,1.07031509952615e-05
"RNF19A",1.20390163681821e-09,0.254463625260203,0.438,0.336,2.6986659090917e-05
"H1FX",1.54592360593913e-09,2.2578678170027,0.302,0.07,3.46534235507315e-05
"LINC-PINT",1.74306524213952e-09,-1.16889996237862,0.315,0.61,3.90725504677994e-05
"ATP5MPL",1.82367530667847e-09,2.03492641492732,0.708,0.171,4.08795056745046e-05
"ALDOA",2.39971881231171e-09,0.912247835888866,0.953,0.779,5.37920968967794e-05
"MARS1",2.4678196912309e-09,-1.95871605864386,0.15,0.553,5.5318646198632e-05
"CAMK1D",2.72208954910295e-09,-0.969074809347668,0.521,0.603,6.10183593326917e-05
"ZBTB32",2.88530445855961e-09,-1.20528502583498,0.06,0.137,6.46769847430721e-05
"SKIL",2.98755939408172e-09,-0.710534252162407,0.42,0.451,6.69691313777359e-05
"H2AFV",3.19547759649277e-09,1.98109383985464,0.621,0.143,7.16298258029819e-05
"PHB",3.7586888263807e-09,2.02307560923615,0.681,0.163,8.42547687321498e-05
"BNIP3",4.54421716266913e-09,1.49717964203566,0.239,0.087,0.000101863171918391
"SAMSN1",5.41761202337423e-09,-0.214445806580954,0.362,0.371,0.000121441191115957
"WARS1",5.56081896870738e-09,-1.99136079404298,0.185,0.671,0.000124651318002545
"ADM",6.07116850845721e-09,1.61415780773231,0.226,0.056,0.000136091313285577
"RACK1",7.33092675197448e-09,0.146962097832439,1,0.999,0.00016433005407226
"CYRIB",7.94524099471785e-09,-1.5087067239832,0.144,0.396,0.000178100522137595
"H2AFZ",9.29689923431955e-09,2.09949845214848,0.702,0.17,0.000208399293236507
"GARS1",9.56051889375879e-09,-2.1764309850571,0.183,0.657,0.000214308591522497
"HLA-DQB1",9.71572736318322e-09,-0.740030726225886,0.903,0.973,0.000217787744573115
"GAPDH",1.06021765210844e-08,1.42633993295112,0.988,0.849,0.000237658388896629
"IDS",1.18209554502157e-08,-1.07302584999272,0.605,0.669,0.000264978537372036
"AC008105.3",1.28823889474282e-08,2.51643460067837,0.377,0.076,0.000288771630645551
"HIST1H1E",1.37137555105391e-08,2.36628388857517,0.593,0.124,0.000307407543524244
"MATR3",1.38042056624126e-08,-1.43304575812044,0.307,0.624,0.000309435074128642
"ANKRD44",2.08114965293178e-08,0.55418943475404,0.638,0.368,0.000466510506201189
"RASGEF1B",2.1317764674273e-08,0.482381881772838,0.438,0.335,0.000477859012938504
"LRMP",2.48226074191185e-08,2.24851796314872,0.492,0.098,0.000556423567906961
"UCP2",2.71477447814836e-08,-0.304673319587887,0.623,0.488,0.000608543847021736
"RPL22L1",2.7664517820791e-08,0.745391772492527,0.934,0.817,0.00062012783147085
"S100A11",3.55373768990011e-08,-1.24907595512727,0.708,0.793,0.000796605840568009
"BBLN",3.60311651888115e-08,-1.19253434090444,0.093,0.18,0.000807674598872399
"GARS",3.64156008580459e-08,2.37066779785638,0.525,0.108,0.000816292108833957
"CSTB",3.6592694449501e-08,0.932421310008663,0.85,0.594,0.000820261838780015
"ADGRE5",4.0321340560353e-08,-1.1641648449334,0.426,0.598,0.000903843170000874
"VEGFA",4.08429962803155e-08,0.999976440974452,0.183,0.079,0.000915536604619552
"ENSG00000273149",4.20954001881746e-08,0.874687579680467,0.142,0.109,0.000943610490618122
"MIR142HG",4.46461043308841e-08,-1.52609033934921,0.064,0.151,0.0010007870746811
"EPRS",4.74558355898376e-08,2.27878646629665,0.556,0.108,0.0010637700105818
"EZR",4.76300371621605e-08,-1.17270164231794,0.922,0.965,0.00106767491302699
"TRBJ2-2P",6.10478671494857e-08,7.54345743402561,0.103,0,0.00136844899002287
"IFITM2",6.53891323442699e-08,0.971526035564309,0.833,0.4,0.00146576279062916
"H2AZ2",7.13130975385134e-08,-1.29677590940571,0.144,0.343,0.00159855439442332
"PHB1",8.08002931440756e-08,-1.70434264168892,0.13,0.367,0.0018112193711176
"NHERF1",1.08044036745406e-07,-1.49701869507135,0.043,0.088,0.00242191512768502
"AARS",1.21620820307778e-07,2.41806484545186,0.412,0.078,0.00272625230801915
"VEGFB",1.50242655750223e-07,1.59821139919153,0.632,0.237,0.00336783937129701
"C9orf16",1.58981695822741e-07,2.41845708147194,0.642,0.137,0.00356373369356256
"HLA-DPA1",1.60916554718793e-07,-0.293234158632127,0.942,0.984,0.00360710549057645
