"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS10",2.03221691922726e-45,-1.14203339386816,0.677,0.941,4.55541744613982e-41
"H3-3A",3.30519170587348e-42,-1.00089194014388,0.446,0.845,7.40891772788599e-38
"H3-3B",2.82208914030148e-40,-0.830570872684422,0.458,0.853,6.3259950168998e-36
"H1FX",1.95071996004925e-35,3.03854680316454,0.416,0.085,4.37273386244639e-31
"RBFOX2",9.07573377935857e-35,-1.51509293119044,0.293,0.345,2.03441648398102e-30
"H3F3B",1.264148570732e-34,2.46406158169833,0.522,0.126,2.83371543615286e-30
"H3F3A",6.25226347526557e-32,1.84473022256782,0.511,0.124,1.40150738061553e-27
"LINC01578",1.54675255832309e-29,2.46226238338028,0.418,0.095,3.46720053473703e-25
"HIST1H1E",6.87960868380965e-29,3.76027042389373,0.416,0.059,1.54213308256277e-24
"MTRNR2L12",9.59476435530849e-28,8.83310935805968,0.132,0.005,2.15076237788595e-23
"CRIP1",2.67589587503564e-26,-1.18415152803678,0.958,0.948,5.99828819347989e-22
"TALAM1",5.39251788283543e-25,-0.838229566749947,0.424,0.778,1.20878680861639e-20
"C9orf16",2.87950342848458e-24,2.86155987221097,0.404,0.059,6.45469488529103e-20
"SLC9A3R1",1.03699687071148e-23,2.34387190424065,0.427,0.088,2.32453218538686e-19
"HIST1H1C",4.81674920581541e-21,3.55928683270183,0.309,0.026,1.07972250197558e-16
"HIST1H4C",2.37834618637281e-20,3.20284986855074,0.439,0.07,5.33130081137329e-16
"H2AFZ",5.40864416569829e-20,3.0387424231002,0.399,0.062,1.21240167618293e-15
"H2AFV",6.79834023926471e-20,2.39941222132602,0.362,0.077,1.52391594803358e-15
"ENSG00000289901",1.54985192470448e-19,-0.781939787100091,0.424,0.755,3.47414807441757e-15
"LINC-PINT",8.71550987705767e-19,-0.717912551556711,0.463,0.765,1.95366869404125e-14
"LMNA",1.16851847686912e-18,-1.68663228104183,0.304,0.686,2.61935101774982e-14
"TGFB1",3.81201703707794e-18,-0.929412280616307,0.842,0.933,8.54501739031391e-14
"HIST1H1D",2.3830089682973e-17,3.39064145092797,0.356,0.044,5.34175290333523e-13
"ENSG00000234961",2.48433300103143e-17,-1.52351289348409,0.244,0.521,5.56888085511205e-13
"ATP5MD",3.03195017642656e-17,2.10224500928926,0.415,0.085,6.79641951547779e-13
"HLA-B",5.16462671600262e-17,-0.217919137004129,1,1,1.15770272465915e-12
"TAGLN2",1.16567910941804e-16,-0.994199114640663,0.911,0.966,2.61298629167147e-12
"VIM",2.88462573730134e-16,-1.03611378804083,0.891,0.938,6.46617705273468e-12
"FAM49B",3.22461405767806e-16,3.01467134720066,0.38,0.052,7.22829487169113e-12
"ENSG00000257322",8.91323133416303e-16,-8.9188377573049,0,0.157,1.99798993586598e-11
"SRGN",1.02275588896634e-15,-0.554730615125345,0.91,0.951,2.29260960070695e-11
"CD52",1.4065188730623e-15,0.877365007736503,0.89,0.866,3.15285270585646e-11
"AL138963.4",1.42509093476768e-15,4.11053884409226,0.161,0.01,3.19448383937522e-11
"H2AZ2",2.4837442467224e-15,-1.17210020723399,0.323,0.637,5.56756110345293e-11
"MATR3",3.43522158894668e-15,-0.896177125363315,0.359,0.637,7.70039271378287e-11
"PYURF",3.698048137558e-15,2.43248615875646,0.325,0.059,8.28954470515002e-11
"YARS",1.70248469634503e-14,1.52818193184246,0.267,0.062,3.81628969532703e-10
"H2AFY",2.41120217305673e-14,2.21328263281921,0.272,0.052,5.40495079112397e-10
"CXCR4",3.74803672899536e-14,-0.6116452783268,0.856,0.899,8.40159913171599e-10
