"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"APOO",2.31681403027101e-09,-1.78516394600798,0.478,0.654,5.1933703302555e-05
"PARP11",2.32133801541665e-07,-1.56140087464065,0.336,0.385,0.00520351129535796
"RPS10",1.37051022089432e-06,-1.23243857478735,0.858,0.885,0.0307213571115671
"PNRC1",1.43879331698464e-06,0.786468922499477,0.991,0.962,0.0322519909935276
"PDE4B",1.93746519270685e-06,-0.758251421488522,0.257,0.115,0.0434302197597168
"MTURN",2.13094770425204e-06,-0.452656581923907,0.743,0.5,0.0477673237385138
"BNIP3",6.26158276955214e-06,3.53862437148302,0.504,0.077,0.140359639362281
"TPI1",1.08639149898084e-05,1.58093181293108,0.973,0.923,0.243525518411545
"ABHD6",1.25943982290629e-05,-0.592948553395058,0.177,0.038,0.282316030702673
"CCDC50",1.35968281338588e-05,-1.93396372447364,0.195,0.154,0.304786499448578
"ARIH2",2.10407956695822e-05,-0.584349007221419,0.558,0.423,0.471650475729355
"MIB1",2.77819551660399e-05,-1.3691850779455,0.319,0.5,0.622760307001951
"RYBP",3.06696212465238e-05,-1.11959518049273,0.283,0.269,0.687490229862078
"MAP3K8",4.32529361332836e-05,-1.52057266688819,0.504,0.308,0.969557816363684
"P4HA1",5.1289054146003e-05,2.94871516264109,0.584,0.154,1
"MIF",5.22832532542714e-05,1.16987357278005,0.991,1,1
"GIMAP7",5.28686472912726e-05,-0.716403199151445,0.301,0.115,1
"LMNA",6.01068155938506e-05,-2.18237121676313,0.31,0.577,1
"PNISR",6.77426152916491e-05,0.82478098250685,0.965,0.846,1
"LRIF1",6.91130274718099e-05,-0.445168842668198,0.372,0.308,1
"CD63",7.83973243064045e-05,-0.655231382478676,0.832,0.731,1
"MTRNR2L12",8.2294804538637e-05,7.03812847730928,0.186,0.038,1
"DARS",8.58632150629934e-05,1.8437698071654,0.69,0.269,1
"MTFP1",9.12612530256709e-05,3.93037196222403,0.319,0,1
"VEGFB",9.74414388109362e-05,2.34319439397774,0.593,0.115,1
"ANTXR2",9.94829480537507e-05,-1.48918407471018,0.478,0.577,1
"YWHAZ",0.000108734798603718,-0.751221385452181,0.973,1,1
"RNF7",0.000111673095829734,0.898710202021929,0.885,0.692,1
"NDUFAB1",0.000128350376054768,-0.608268720940049,0.743,0.769,1
"MARCHF7",0.000136411623688001,-1.18164555066605,0.124,0.385,1
"HIST1H1C",0.000142131453482657,2.23751266857854,0.655,0.154,1
"PTPN4",0.000144264323450375,-1.39843694904666,0.274,0.269,1
"BRAT1",0.00014696613474212,-0.427391053919051,0.354,0.231,1
"MIR4435-2HG",0.000168615370597229,-2.4044084877802,0.319,0.423,1
"TOX",0.000171589452564374,-1.77775293190766,0.425,0.5,1
"RASGEF1B",0.000183060130078823,-0.993447254136316,0.239,0.538,1
"KIFAP3",0.000185081968912732,-0.54377017527957,0.451,0.308,1
"RIOK1",0.000206950190520682,0.581541258153242,0.292,0.077,1
"P2RY14",0.000220644244876711,-1.06034798660794,0.133,0.269,1
"PSMD2",0.000221000118701133,-0.534225055571196,0.619,0.5,1
"AL138963.4",0.000226751234961139,5.00594725556632,0.407,0,1
"PTPRCAP",0.000226975314129762,-1.06073435082216,0.469,0.385,1
"CYBA",0.000228237581585035,-0.741006681489619,0.938,0.923,1
"EDF1",0.000254227051565092,-0.461500271735345,0.982,1,1
"AHNAK",0.000258575386035169,-1.71428234745756,0.584,0.654,1
"RUSC2",0.000260410372448232,-1.5641774362722,0.106,0.115,1
"RBFOX2",0.000280424280483068,-1.88158739000015,0.478,0.692,1
"DSE",0.000289226561931571,-1.49009920712699,0.301,0.385,1
"KIAA1191",0.000289497607210303,1.14050755917397,0.381,0.038,1
"CHCHD3",0.00029190491694303,-0.885168082648829,0.558,0.538,1
"PSMA7",0.000293487242243246,-0.967946873954026,0.876,0.885,1
"RPL10",0.000294464761282393,0.213007390841164,1,1,1
"CYRIB",0.000333762168785624,-1.61920075622877,0.159,0.462,1
"PARP12",0.000355179360819563,-0.207210596511789,0.31,0.154,1
"NUP160",0.000355455893420113,-1.71124481090865,0.265,0.538,1
"UBE2K",0.000389183852338053,-0.918891182839467,0.637,0.538,1
"GPX1",0.00040127501397765,-2.02176884875544,0.186,0.423,1
"NGLY1",0.000401852263628232,1.23077492320973,0.681,0.192,1
"IL16",0.000410800249764503,0.568030929145111,0.593,0.269,1
"PRPF19",0.000415253312292819,-0.36073700432044,0.478,0.385,1
"DBP",0.000422197462944609,0.589841024015431,0.354,0.038,1
"SRPRA",0.000426570067608643,-0.404405161679058,0.628,0.5,1
"ICE1",0.000447126362453475,-1.44314507715223,0.31,0.462,1
"ZFAND3",0.000450673638885392,-1.36883042280092,0.584,0.769,1
"TRPS1",0.000470485248723491,-1.57062111932925,0.354,0.385,1
"NDUFS2",0.000476239719684997,1.01406143133324,0.858,0.5,1
"IGFBP2",0.000495529291506863,4.3794287576535,0.124,0,1
"SPRY1",0.000495885535925242,2.26205114368417,0.363,0.077,1
"PRKCI",0.000508998903198865,-1.70624763616627,0.292,0.5,1
"HERC1",0.000542215861002114,-1.31851343652837,0.646,0.731,1
"RNF168",0.000554373204367346,-0.883100041185067,0.46,0.423,1
"RMND5B",0.000555031577708715,-1.0433009843672,0.168,0.115,1
"IDS",0.000629703707289704,-1.3235046223751,0.637,0.808,1
"ATG7",0.000635993529397745,-0.241157116608866,0.265,0.154,1
"H1FX",0.00069485150715598,1.54542898313165,0.761,0.423,1
"ARL6IP4",0.000701429945562633,0.381915773882713,0.965,0.769,1
"CTSH",0.00073573770655844,-2.27028828011714,0.186,0.269,1
"AC097534.2",0.000744919327667122,1.67159986800789,0.248,0.038,1
"U2AF1",0.000751045071425367,-1.10834231229333,0.434,0.538,1
"ATP5MK",0.000772573066103341,-1.29242099819484,0.195,0.462,1
"ALDOC",0.000789347018552309,4.25282110461471,0.354,0,1
"UBE2V1",0.000793650828684651,1.1166457478679,0.876,0.577,1
"CCDC40",0.00084304672530126,-4.07631607400219,0,0.115,1
"ANP32B",0.000852684804084804,0.6437889391645,0.991,0.769,1
"ENO1",0.000854888048525899,1.61980354554796,0.991,0.923,1
"DNAJB11",0.000856000933395739,-0.916451025109669,0.442,0.423,1
"PLAC8",0.0008707750260434,0.782689226334068,0.805,0.346,1
"PGK1",0.000879606421420171,1.10242354701772,0.982,0.885,1
"H2AJ",0.000882025020098922,-2.03962709459178,0.08,0.346,1
"HIST1H1D",0.000885074189691032,2.67371384342188,0.637,0.269,1
"MAP4",0.000898281031991913,-1.21830908551413,0.522,0.731,1
"FAM102A",0.000920437548102651,-0.930206594912212,0.124,0.038,1
"S100A11",0.000963119458267364,-1.27697733372884,0.814,0.808,1
"DEDD2",0.000977799339507002,1.07478295440331,0.292,0.038,1
"BMAL2",0.000979242951966991,-3.21883394744505,0.009,0.154,1
"NCBP3",0.00100010287305759,-1.45356435830726,0.283,0.462,1
"SMIM24",0.00104270561517826,2.26699417554257,0.566,0.077,1
"CFL1",0.0010471764591257,-0.563059486705274,0.991,1,1
"BBLN",0.00105675500887808,-1.50213701146687,0.168,0.385,1
"CDCA7L",0.00108117329869242,3.61776176084209,0.389,0,1
"FGFR1OP",0.00109021679877773,-0.386608389147453,0.142,0.038,1
"UBR1",0.00113419089513403,-1.35071201623401,0.239,0.462,1
"CYTL1",0.00114395877686357,5.08550493070446,0.434,0,1
"IMPDH1",0.00116843898151691,2.40826322249923,0.354,0.038,1
"RABL3",0.00123130829840076,-0.675639688084647,0.186,0.115,1
"NGRN",0.00125291427684508,-1.02193171776188,0.416,0.615,1
