"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"H3F3B",1.09524547826255e-272,1.11970933227734,0.494,0.341,2.45510226407333e-268
"H3-3A",9.92256948410522e-247,-0.325228830183216,0.481,0.625,2.22424317555703e-242
"H3F3A",1.59331765535753e-222,0.289013483514158,0.5,0.365,3.57158085624945e-218
"RBFOX2",3.07127561321277e-206,-1.80889773520865,0.355,0.666,6.88457141457774e-202
"MTRNR2L12",7.46038099280403e-198,6.70905500241341,0.081,0.018,1.67231900334695e-193
"LINC01578",1.99533960617802e-181,0.923705627520034,0.402,0.245,4.47275326120865e-177
"H1FX",1.05192932313041e-176,1.60365491020119,0.291,0.141,2.35800477072912e-172
"RPS10",2.45673847240959e-171,-0.52192917032607,0.742,0.844,5.50702495975333e-167
"TALAM1",8.78099147232768e-155,-0.166158039356925,0.458,0.578,1.96834704843697e-150
"HIST1H1E",1.0191627776437e-136,1.25200880151069,0.353,0.201,2.28455528236611e-132
"DARS",3.5380145235768e-131,0.664181240279676,0.325,0.206,7.93081335604976e-127
"ENSG00000289901",3.24170000610813e-126,-0.191857637056478,0.457,0.568,7.26659473369197e-122
"AL138963.4",3.05405665639367e-113,3.33503407502657,0.141,0.024,6.84597340097205e-109
"GAPDH",2.33994395713041e-110,0.661584545501612,0.952,0.915,5.24521837430353e-106
"HIST1H4C",2.38031691729253e-108,0.730306411297802,0.385,0.257,5.33571840180294e-104
"AC078883.1",1.24809489378806e-98,0.735309905611164,0.181,0.101,2.79772951391531e-94
"TPI1",7.68808086241755e-97,0.484363645157019,0.741,0.679,1.72336020611952e-92
"MIF",2.08391964830638e-96,0.427840468713669,0.933,0.873,4.67131428364358e-92
"CRIP1",1.68739206005944e-94,-0.63993338354242,0.835,0.832,3.78245804182925e-90
"FOS",5.08363162403214e-94,1.85636631699243,0.434,0.273,1.13954686484304e-89
"CHASERR",2.67204113497297e-92,-0.227699012252509,0.42,0.523,5.98964740815541e-88
"MARCH9",8.80873302735623e-88,0.634522634832237,0.192,0.118,1.97456559541217e-83
"MIR210HG",4.33219244692278e-87,0.815188335998319,0.177,0.094,9.71104258902209e-83
"ATP5MD",2.47474991861773e-86,0.525602050982521,0.299,0.202,5.54739941757351e-82
"H2AFZ",2.19356528563602e-84,0.536803554415005,0.308,0.209,4.91709594428171e-80
"GPI",2.60924338548893e-84,1.07833079778399,0.52,0.377,5.84887997291199e-80
"CD74",4.24465234924608e-81,-0.120252656781294,0.999,0.999,9.51481270607002e-77
"TAGLN2",6.55000696264077e-80,-0.484411855670219,0.979,0.974,1.46824956074556e-75
"LINC-PINT",4.10481807948907e-79,-0.245225727271005,0.432,0.529,9.20136020698269e-75
"BNIP3L",1.16082842437926e-77,0.711793245298967,0.612,0.463,2.60211299608855e-73
"AC007384.1",3.2674047480404e-75,0.938726197454638,0.273,0.151,7.32421448320735e-71
"PFKFB4",4.57768751292608e-75,1.2682304276169,0.104,0.047,1.02613443289751e-70
"NAPSB",4.04672254327738e-74,-0.502235827999888,0.346,0.452,9.07113325301058e-70
"GNAS",4.12241382871959e-73,0.488325075908317,0.792,0.751,9.24080283845784e-69
"ENO1",9.26310652804956e-73,0.499474267777008,0.819,0.769,2.07641795932759e-68
"TRBC2",1.9256322915363e-72,-0.422771565076693,0.767,0.839,4.31649734470777e-68
"BNIP3",3.70795322109913e-72,0.92712196932386,0.256,0.147,8.31174794041582e-68
"LMNA",7.74942823499369e-72,-0.57639824936328,0.453,0.554,1.73711183315618e-67
"LDHA",4.66525177849829e-69,0.684066094268715,0.793,0.715,1.04576283866818e-64
"H2AFV",2.61382371431056e-68,0.50285725234408,0.254,0.175,5.85914723799856e-64
"CD82",8.70830024740601e-68,-0.545181843590318,0.615,0.642,1.95205258345853e-63
"HIST1H1C",8.94432003110512e-68,1.18552139651623,0.233,0.114,2.00495877817252e-63
"IDS",1.87911370689569e-67,-0.409969650888166,0.607,0.649,4.21222128537737e-63
"FAM49B",7.17355450109088e-67,0.542147569440192,0.221,0.142,1.60802397696453e-62
"H4C3",4.50476439496079e-66,0.127156540165482,0.428,0.488,1.00978798677441e-61
"PKM",2.51371565947275e-64,0.544636415936463,0.787,0.706,5.63474502227413e-60
"HNRNPA1",7.3024766690423e-64,-0.34987997236767,0.832,0.9,1.63692317013252e-59
"MATR3",7.60666725660378e-63,-0.207171742593976,0.4,0.471,1.7051105322403e-58
"U2AF1",1.3201099594054e-62,-0.414945551384468,0.453,0.567,2.95915848500315e-58
"H2AZ1",8.94951870853344e-62,-0.448389873964674,0.371,0.474,2.00612411370486e-57
"WARS1",1.7638164104719e-61,-0.328472874146362,0.359,0.432,3.95377086571382e-57
"NCF1",1.43475550868326e-60,0.253889632774179,0.675,0.557,3.21614794826439e-56
"SIT1",3.10124184363605e-60,0.682030244300958,0.285,0.185,6.95174371669458e-56
"AL133415.1",4.64695268877673e-60,2.61884395012273,0.089,0.019,1.04166091471619e-55
"ENSG00000257322",1.23445371315251e-58,-8.74880228410706,0.002,0.248,2.76715144340268e-54
"S100A11",4.23297360375273e-58,-0.967433653099233,0.503,0.687,9.48863363017212e-54
"C9orf16",6.82209573293823e-58,0.741914527178362,0.233,0.137,1.52924097949543e-53
"ALDOC",2.62881095491512e-56,0.855926938949466,0.133,0.069,5.89274263653774e-52
"ATP5MK",1.42620168049826e-55,-0.471818227464046,0.365,0.458,3.1969736870049e-51
"ALDOA",1.96948761923795e-55,0.475557898117134,0.784,0.724,4.41480344728378e-51
"AC016168.2",3.3422805512548e-55,1.33797998262556,0.158,0.065,7.49205608369277e-51
"APOO",4.00880291030168e-55,-1.43217163684274,0.314,0.654,8.98613260373226e-51
"EMP3",9.86431135160752e-55,-0.355783707633698,0.941,0.926,2.21118403257634e-50
"MARCH1",1.09633962600033e-54,0.174186840182778,0.283,0.223,2.45755490564235e-50
"HIST1H2AC",2.05134688714948e-54,0.543019669645617,0.247,0.16,4.59829918223428e-50
