"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RBFOX2",0,-1.89359694188274,0.502,0.956,0
"RPS10",2.4529832216267e-303,-2.04870390769772,0.614,0.85,5.4986071895984e-299
"H3-3A",1.2514615344012e-222,-2.13184837520782,0.063,0.269,2.80527617551374e-218
"H3-3B",1.326822246541e-216,-1.78981847377537,0.064,0.263,2.97420474784631e-212
"H3F3B",2.18145127843088e-212,1.16211810518452,0.922,0.675,4.88994118573066e-208
"APOO",8.10032941238498e-208,-2.00110566290575,0.404,0.953,1.81576984108022e-203
"MIF",3.70558358469603e-207,0.289173309074179,0.993,0.936,8.30643616345463e-203
"TALAM1",4.4231869559238e-203,-1.83603719064736,0.059,0.254,9.9150158803988e-199
"CHASERR",8.1588459251933e-188,-2.32242653221495,0.058,0.246,1.82888690259133e-183
"ENSG00000280441",1.13392115862852e-179,-11.2872187556888,0.009,0.239,2.54179766918169e-175
"FP236383.3",4.23263159604358e-174,0.427239318848631,0.652,0.723,9.48786698569129e-170
"ENSG00000289901",1.00494240592441e-173,-1.45861554846263,0.059,0.23,2.25267889712015e-169
"H4C3",1.73964609584047e-166,-2.32649994644567,0.05,0.23,3.899590688436e-162
"TPI1",5.4482059055008e-164,0.349987874396642,0.939,0.778,1.22126983577706e-159
"LINC01578",1.66118902013634e-156,1.0229893258611,0.828,0.584,3.72372130753761e-152
"RPS29",6.28018567551319e-154,-0.76573854444958,0.999,1,1.40776642102304e-149
"ENSG00000278996",3.15379690760631e-153,-5.25333950441713,0.016,0.211,7.06955114809031e-149
"ENSG00000257322",1.90537553337307e-141,-10.9568715271852,0,0.204,4.27108979560907e-137
"GAPDH",1.01017122730005e-135,0.596736034398116,0.988,0.924,2.26439982311579e-131
"LDHB",8.02215773725925e-134,0.359103669750966,0.986,0.956,1.79824687838403e-129
"H2AZ2",1.80989776693684e-132,-2.10104360147889,0.048,0.195,4.05706683436562e-128
"H2AZ1",1.57275618837142e-129,-2.1909223196294,0.048,0.194,3.52549027185336e-125
"FTH1",3.23589729049986e-124,-0.477318245521419,0.994,0.995,7.25358736638448e-120
"ATP5MK",2.14684483684761e-122,-1.89330543527864,0.047,0.192,4.81236738627761e-118
"AC138123.1",2.22070765836371e-121,0.167046345503807,0.584,0.622,4.97793828698809e-117
"CXCR4",2.00730344716372e-116,-0.662297989376211,0.533,0.637,4.49957140716219e-112
"MATR3",3.23426258722721e-116,-2.06427261038783,0.069,0.202,7.24992301552852e-112
"FP671120.4",6.19991172523591e-115,0.389207059640062,0.584,0.608,1.38977221232888e-110
