"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS4Y1",0,-3.32106276765471,0.086,0.757,0
"APOO",0,-2.12020599258255,0.395,0.988,0
"RBFOX2",0,-1.73892104000014,0.498,0.995,0
"PTPRCAP",0,-1.32641241648317,0.578,0.949,0
"GBP1",0,-2.62446100252184,0.19,0.522,0
"GBP5",0,-3.58900148058068,0.183,0.507,0
"GBP4",0,-2.21702097030358,0.289,0.607,0
"STAT1",0,-2.88128463186402,0.449,0.766,0
"FP236383.3",0,-0.13899098841329,0.697,0.998,0
"VIM",0,1.28853305238063,0.961,0.814,0
"RPL27A",0,-0.786555005175984,0.947,0.989,0
"RPL13A",0,-0.798635663337143,0.97,0.998,0
"MT-CO3",0,-0.934035595840132,0.972,0.998,0
"RPL4",0,-0.825865196501277,0.972,0.997,0
"RPL6",0,-0.723895773285962,0.978,1,0
"RPL37A",0,-0.686506026201562,0.992,1,0
"RPL10A",0,-0.608239878495294,0.991,0.997,0
"RPS16",0,-0.730346022712138,0.994,1,0
"RPSA",0,-0.541768666215325,0.995,1,0
"SARAF",0,0.760268249711401,1,0.997,0
"MT-CO1",0,-0.620941111342184,0.998,1,0
"RPS2",0,-0.730926131748577,0.998,1,0
"RPS29",0,-0.707134150238963,0.997,0.999,0
"RPS6",0,-0.530039078738655,0.998,1,0
"RPLP2",0,-0.550208130583138,0.999,1,0
"RPL37",0,-0.475934678733761,1,1,0
"RPS3A",0,-0.532469912042139,1,1,0
"RPS8",0,-0.453945571080381,1,1,0
"TPT1",0,-0.491393534033236,1,1,0
"RPL15",2.36460707417783e-317,-0.507799814654059,0.997,1,5.30050321747703e-313
"RPL38",2.55085442913158e-303,-0.569348653706282,0.991,0.997,5.71799528834135e-299
"RPL27",8.01798193542868e-303,-0.529734632662056,0.997,0.999,1.79731083064569e-298
"LINC00861",6.37152865890973e-302,-1.19643612910758,0.613,0.874,1.42824186418121e-297
"GBP2",1.00208886603651e-288,-1.38666435334667,0.652,0.807,2.24628240210745e-284
"IL32",2.94427864342039e-285,-0.807696710355055,0.92,0.996,6.59989500709114e-281
"RPL22",5.80899971255159e-269,-0.440270600546426,0.998,1,1.30214537556556e-264
"MTRNR2L12",2.15940525152715e-268,7.16863352829952,0.27,0.04,4.84052281182326e-264
