"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"STAT1",1.13869824200908e-104,-4.08440673196193,0.351,0.975,2.55250597928755e-100
"RBFOX2",2.61328286837768e-93,-5.09206681931773,0.088,0.975,5.8579348777554e-89
"APOO",4.07960843455406e-90,-5.69007541907267,0.084,0.967,9.14485026689639e-86
"GBP5",3.93154761761492e-87,-5.15847960779323,0.139,0.967,8.8129571396456e-83
"RPS4Y1",3.18068997041241e-82,-5.34256033236173,0.034,0.958,7.12983463767645e-78
"IL32",5.07220819809756e-80,-2.9425257747763,0.564,1,1.13698618968555e-75
"GBP1",5.86663635944917e-74,-4.64327602779322,0.115,0.958,1.31506520633413e-69
"IFITM1",2.05133102254265e-70,-2.19431546051043,0.868,0.983,4.59826362013161e-66
"ENO1",3.65176704109659e-69,-2.68104102185261,0.645,0.992,8.18580099932211e-65
"FP236383.3",4.37602836796426e-65,-1.25279997711664,0.28,1,9.80930518962868e-61
"MT-ATP8",6.00951074696876e-62,-1.84240871744935,0.791,0.992,1.34709192904052e-57
"PTPRCAP",2.05784967754005e-55,-3.41267397387023,0.186,0.917,4.61287583717378e-51
"HAPLN3",3.693370196585e-55,-3.8561791722609,0.105,0.875,8.27905863266493e-51
"VIM",3.71350474374043e-54,3.86870881701785,0.787,0.458,8.32419223356855e-50
"CRIP1",6.91959143832242e-54,6.77727756531672,0.709,0.167,1.55109561681435e-49
"GBP4",7.22410285875985e-53,-2.9620180996183,0.348,0.942,1.61935489681961e-48
"RPS10",1.48726660318221e-52,3.07900908922808,0.666,0.792,3.33385681769324e-48
"MIF",1.52509379330402e-47,-1.69119029166497,0.811,0.992,3.41865024707029e-43
"TPI1",7.98473717958549e-47,-2.22940365185924,0.483,0.975,1.78985868617588e-42
"PSME1",2.28385254783557e-45,-1.87734073620194,0.622,0.967,5.11948387122822e-41
"GNG2",2.6470474900713e-45,4.26845728361689,0.716,0.108,5.93362165374383e-41
"IFIT3",2.06995769680536e-44,-4.6436404971948,0.057,0.733,4.64001717315889e-40
"H3-3B",2.18024836092296e-44,9.59373965969228,0.507,0,4.8872447258449e-40
"TALAM1",1.04919029689933e-43,10.0857462298723,0.503,0,2.35186496952954e-39
"CHASERR",4.6258418356551e-43,8.47106142921541,0.493,0,1.03692870588045e-38
"H3-3A",4.8991886621851e-43,9.24153731156499,0.497,0,1.09820213051541e-38
"CD44",8.1650662340837e-43,2.72830072507886,0.838,0.483,1.8302812470322e-38
"MT-ATP6",3.87464822929057e-41,2.21844759493738,0.818,0.85,8.68541147077773e-37
"PGK1",1.28338633635715e-40,-1.81688059539249,0.723,0.967,2.87683881157819e-36
"FP671120.4",1.64448442332848e-40,-1.10490092665309,0.213,0.85,3.68627628333313e-36
"TSC22D3",4.47048372339401e-40,4.0959059910809,0.716,0.125,1.002103631436e-35
"C4orf3",2.28103669707438e-39,-2.15535052096651,0.456,0.917,5.11317186016192e-35
"GBP2",2.54502138929782e-39,-2.01109254418126,0.557,0.942,5.70491994624999e-35
"H3F3A",4.11838934746966e-39,-1.18037387448867,0.351,0.95,9.231781561288e-35
"ANXA1",4.20231222169908e-39,5.20059558211872,0.618,0.117,9.41990307616066e-35
"AC138123.1",4.21569953566049e-39,-1.93106588234629,0.149,0.808,9.44991207913655e-35
"IRF1",1.25897561313413e-38,-1.83087419915013,0.554,0.942,2.82211973440146e-34
"ENSG00000289901",1.75755152690101e-38,9.19742108583019,0.473,0,3.93972750270131e-34
"UBE2L6",1.16398778203914e-37,-2.53830489275536,0.284,0.808,2.60919501221893e-33
"PSMB9",2.20163375630424e-37,-2.09790449913778,0.439,0.908,4.93518222813158e-33
"H3F3B",2.38515544301567e-37,0.809126614158561,0.432,0.9,5.34656444106393e-33
"PARP9",2.43965942572662e-37,-3.20925401578957,0.105,0.742,5.46874056870878e-33
"TRIM22",1.43625777480058e-36,-2.41744485450162,0.284,0.883,3.21951542799299e-32
"PSME2",1.44563596052191e-36,-1.86942694917574,0.544,0.933,3.24053756910592e-32
"GAPDH",7.73688483718015e-36,-1.63874945300386,0.831,0.992,1.7343001051023e-31
"RGCC",8.85565603109145e-36,2.99420415861765,0.696,0.333,1.98508385592946e-31
"ATP5MK",4.25982573507972e-35,7.47247785743705,0.429,0,9.54882536775469e-31
"EZR",2.53573659012192e-34,2.69141747891823,0.679,0.308,5.6841071404173e-30
"TCAF2",2.72882494269489e-34,-2.96367791551026,0.118,0.742,6.11693399154487e-30
"PLAC8",7.7468682083452e-34,-2.3079642493446,0.385,0.908,1.73653797758266e-29
"TAGLN2",9.09117603137455e-34,1.56662141148887,0.814,0.85,2.03787801919292e-29
"CALM1",2.7040706282552e-33,2.05341009275821,0.878,0.625,6.06144472029686e-29
"TNFAIP3",2.99073412438867e-33,2.89614223406981,0.767,0.333,6.70402961322965e-29
"LRRFIP1",1.04685066487009e-32,2.67893194575695,0.639,0.35,2.34662045037279e-28
"ENSG00000273149",2.08335208097541e-32,9.07745677300336,0.412,0,4.67004202471448e-28
"PPP1R15A",6.48225729125089e-32,4.28891345557878,0.598,0.075,1.4530627944068e-27
"LINC01578",6.71355633482801e-32,1.25477846850497,0.395,0.733,1.50491078801505e-27
"CD74",8.23938332501752e-32,-1.54762071530736,0.645,0.975,1.84694016613593e-27
"MATR3",2.94907689275338e-31,7.40365801376419,0.416,0,6.61065076279598e-27
"EMP3",3.41519265713408e-31,1.85977750281411,0.831,0.625,7.65549586023175e-27
"SRGN",3.86999397446749e-31,2.74729622327802,0.726,0.358,8.67497849316632e-27
"LINC00861",1.65716472592865e-30,-2.30761055269762,0.236,0.817,3.71470044964165e-26
"AC099063.1",9.70239741462194e-30,-5.87313508463968,0.007,0.45,2.17488940446165e-25
"RASGEF1B",1.52255760703309e-29,4.79897817002494,0.51,0.067,3.41296513192537e-25
"PSMB10",2.27204158109342e-29,-2.1983954175169,0.314,0.85,5.09300840817902e-25
"TNFSF13B",2.49346644172388e-29,-4.24854961490528,0.051,0.558,5.58935437576826e-25
"DARS",2.88731144683948e-29,-2.4291280764908,0.118,0.7,6.47219733923537e-25
"H2AZ2",5.95878062787557e-29,7.35806791422993,0.389,0,1.33572026554459e-24
"EPSTI1",9.30465605140349e-29,-1.64810212916353,0.399,0.958,2.08573170048261e-24
"KLF6",4.06581025723283e-28,2.587657493831,0.682,0.383,9.11392027261311e-24
"AHNAK",5.43197454555322e-28,5.77494047518912,0.459,0.033,1.21763141413121e-23
"MYADM",1.83128368958181e-27,3.53409993501632,0.534,0.142,4.10500551856658e-23
"LMNA",4.03393921590523e-27,6.68955700737264,0.402,0.008,9.04247814637316e-23
"ERAP2",5.34082695959612e-27,-2.50076137664404,0.169,0.725,1.19719977126307e-22
"CD55",9.83872321015182e-27,2.77291408003486,0.696,0.242,2.20544819478763e-22
"RPL27",1.01127768683612e-26,-0.872572280954837,0.943,0.992,2.26688006281185e-22
"SAMD9L",1.36692465130744e-26,-3.02921240562395,0.054,0.542,3.06409829837077e-22
"EEIG1",9.24228698641446e-26,7.0520142754822,0.355,0,2.07175105087466e-21
"MT-CO1",9.52558049271148e-26,-0.946331214896838,0.973,1,2.13525412324621e-21
"MIR210HG",9.53415719053307e-26,-3.0462343874048,0.041,0.5,2.13717667582989e-21
