"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"APOO",3.49537903885928e-290,-1.63928937675364,0.437,0.985,7.83524165350696e-286
"RBFOX2",2.75935612215458e-261,-1.34956867870914,0.494,0.995,6.18537268342171e-257
"RPS4Y1",3.58818618637914e-247,-3.01589798898196,0.109,0.708,8.04327815538748e-243
"RPS3A",1.04129059973009e-190,-0.571316530238335,0.999,1,2.33415700835498e-186
"STAT1",5.07014471491443e-179,-2.48362121908396,0.436,0.695,1.13652363929522e-174
"RPS2",6.34074574313005e-170,-0.672821840252759,0.997,1,1.42134156578003e-165
"RPS16",3.91879407263772e-158,-0.66633138866831,0.988,0.999,8.78436879322472e-154
"RPL4",3.72759980834251e-154,-0.72773651266963,0.96,0.998,8.35578773038057e-150
"RPS6",4.79954210589876e-151,-0.507489425886295,0.999,1,1.07586535845827e-146
"RPL6",1.56843372444405e-139,-0.721465516076627,0.98,1,3.51580103671379e-135
"RPS8",3.98608557791956e-138,-0.435632173104884,0.999,1,8.93520943146448e-134
"SARAF",4.65667244931742e-138,0.771840330029335,0.999,0.995,1.04383969623899e-133
"MT-CO3",3.04922578925107e-134,-0.828638525183568,0.961,0.992,6.8351445291852e-130
"RPL10A",1.27970331818394e-129,-0.586051005037531,0.984,0.999,2.86858295804111e-125
"FP236383.3",1.66598250209726e-129,-0.356008672424278,0.661,0.999,3.73446637670122e-125
"RPLP2",1.2698577451106e-128,-0.483896868940089,0.997,1,2.84651312143992e-124
"MT-CO1",4.65863897287242e-128,-0.586551423792121,0.997,1,1.04428051215908e-123
"RPS29",2.76069007883588e-126,-0.557689653172054,0.993,1,6.18836288071851e-122
"PTPRCAP",3.88311099843621e-121,-1.00202111167293,0.615,0.934,8.70438161409461e-117
"VIM",4.2203550766435e-117,1.36664545686906,0.944,0.737,9.46034793980407e-113
"RPL37",1.41440816699851e-115,-0.398212026946499,0.999,1,3.17053734714386e-111
"RPSA",4.77970930310887e-115,-0.504395921432142,0.992,1,1.07141963738489e-110
"TPT1",7.41325695545728e-113,-0.434990650054555,0.999,1,1.6617556791353e-108
"RPL13A",1.0169052563478e-112,-0.660117608023763,0.969,0.994,2.27949482262922e-108
"RPL5",3.9300321329035e-105,-0.509722953994804,0.998,1,8.80956002911648e-101
"RPL37A",7.44696425403843e-105,-0.522264245148271,0.993,0.999,1.66931150718525e-100
"LINC00861",4.90622115817045e-102,-1.06729707085058,0.643,0.886,1.09977853481549e-97
"RPL27",5.97196044855322e-101,-0.498400270319976,0.993,1,1.33867465414769e-96
"GBP4",1.50952878616228e-100,-2.12080407960031,0.273,0.52,3.38375972706137e-96
"RPL15",2.36214154761074e-91,-0.441615855045606,0.995,0.998,5.29497649312424e-87
"GBP5",5.68912842312416e-91,-3.04469971138384,0.172,0.401,1.27527502732751e-86
"MTRNR2L12",1.53189694724957e-90,7.87934538872115,0.256,0.023,3.43390019695463e-86
"GBP1",4.33399729671735e-89,-2.40626051185673,0.178,0.436,9.71508834032161e-85
"GBP2",8.40571628286162e-84,-1.29796530587704,0.606,0.778,1.88422536196626e-79
