"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"H3-3A",0,4.60380115411533,0.898,0.035,0
"H3-3B",0,4.76990801095262,0.88,0.034,0
"H3F3B",0,-3.82649748426412,0.083,0.928,0
"H3F3A",0,-3.11627079575777,0.082,0.89,0
"LINC01578",0,-4.4088513747211,0.062,0.859,0
"TALAM1",0,4.2713994044457,0.83,0.034,0
"CHASERR",0,4.8984703871857,0.82,0.032,0
"ENSG00000289901",0,4.99770001327443,0.793,0.031,0
"H1FX",0,-5.23277343558845,0.035,0.723,0
"FP236383.3",0,-2.80894178603636,0.085,0.771,0
"ENSG00000280441",0,14.6698021396666,0.689,0.003,0
"HIST1H4C",0,-3.79907516830973,0.06,0.738,0
"H4C3",0,4.97323107159403,0.703,0.028,0
"ATP5MD",0,-3.76976485313062,0.058,0.717,0
"H2AFZ",0,-3.79842868816482,0.054,0.702,0
"H2AZ1",0,5.02245045610167,0.667,0.026,0
"MATR3",0,4.36302789431149,0.66,0.043,0
"ENSG00000278996",0,8.35925337681915,0.62,0.006,0
"DARS",0,-4.39069027193901,0.04,0.651,0
"IGFBP2",0,-10.6464585159476,0.003,0.606,0
"AC138123.1",0,-2.90714223885598,0.081,0.683,0
"FP671120.4",0,-2.7414490219325,0.078,0.674,0
"H2AZ2",0,4.79956541719907,0.612,0.025,0
"ATP5MK",0,4.33918709129149,0.613,0.028,0
"GPI",0,-3.80559130665963,0.274,0.838,0
"ENSG00000257322",0,14.5528773500479,0.56,0,0
"TPI1",0,-3.71791472153246,0.396,0.935,0
"ATP5MPL",0,-3.41771602555655,0.053,0.59,0
"U2AF1",0,3.11713450565203,0.641,0.111,0
"VEGFB",0,-3.06790136852385,0.157,0.659,0
"CALHM6",0,-4.09710416546667,0.052,0.552,0
"SLC9A3R1",0,-3.6520174157669,0.042,0.537,0
"HIST1H1E",0,-5.01134822894051,0.023,0.515,0
"MATR3.1",0,-3.54684729984162,0.044,0.531,0
"ATP5MJ",0,4.68064047609687,0.504,0.022,0
"P4HA1",0,-3.96696243665918,0.07,0.549,0
"BNIP3",0,-3.22614039630393,0.259,0.73,0
"LINC-PINT",0,4.01732120902992,0.523,0.053,0
"IL16",0,-1.78044574632186,0.368,0.82,0
"SEPTIN9",0,-2.18555738266737,0.458,0.909,0
"MIR210HG",0,-7.25140753774214,0.004,0.443,0
"IFITM2",0,-2.01244889709284,0.499,0.938,0
"C4orf3",0,-2.29461344753782,0.433,0.868,0
"SIT1",0,-3.06087001769246,0.093,0.526,0
"BNIP3L",0,-2.36933435087106,0.428,0.842,0
"CCDC107",0,-2.6912754846729,0.137,0.55,0
"AL138963.4",0,-7.16629089329371,0.007,0.417,0
"BBLN",0,4.44662647117503,0.43,0.02,0
"EEIG1",0,3.99876788513333,0.434,0.025,0
"PKM",0,-2.46075410631748,0.527,0.923,0
"FAM162A",0,-2.59955170647323,0.296,0.691,0
"ANXA1",0,2.81257234518212,0.727,0.333,0
"TCAF2",0,-3.17178179057162,0.083,0.471,0
"LCK",0,-1.47971763026301,0.552,0.931,0
"LINC00869",0,3.66844159856696,0.395,0.026,0
