"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CRIP1",6.29476100294028e-249,3.22577256170743,0.985,0.792,1.41103362641909e-244
"RPS10",1.97273874735748e-211,4.04778341296701,0.971,0.233,4.42209117607652e-207
"H3-3B",2.43163756975724e-175,4.69364195201884,0.954,0.03,5.45075877636784e-171
"H3F3B",5.06996872365697e-174,-5.12460694411718,0.04,0.948,1.13648418909495e-169
"H3-3A",1.68629107126376e-160,5.1259614422279,0.938,0.029,3.77999006534484e-156
"H3F3A",2.04209182602897e-143,-4.74850828770983,0.033,0.877,4.57755303722654e-139
"MIF",1.53109730306211e-124,-1.96758308795809,0.786,0.887,3.43210771454402e-120
"TALAM1",6.89324043044081e-123,4.60306458156746,0.852,0.029,1.54518877488761e-118
"TPI1",1.11275125088136e-120,-1.87759899674541,0.765,0.868,2.49434320397566e-116
"MTRNR2L12",9.14596480186802e-113,-8.90048365326462,0.008,0.312,2.05015946998674e-108
"ENSG00000289901",1.94990929131587e-110,5.00350193733886,0.834,0.029,4.37091666741365e-106
"H1FX",7.48586603985233e-109,-6.08922104861819,0.012,0.598,1.6780317314933e-104
"HIST1H1E",1.12490074729436e-107,-5.41308273014629,0.021,0.643,2.52157751513504e-103
"KLRB1",4.66212108191953e-107,-2.53549989635346,0.333,0.721,1.04506106172308e-102
"C5orf56",3.08376017420842e-106,-4.79237005385965,0.019,0.662,6.9125568065056e-102
"ENO1",8.85446774432759e-106,-2.1474763149991,0.686,0.786,1.98481748956847e-101
"VIM",3.40951536190073e-103,3.9813642204145,0.927,0.415,7.64276963523667e-99
"LINC01578",4.08284109826295e-100,-4.88017549584339,0.019,0.61,9.15209660586623e-96
"TGFB1",9.22284665066691e-100,1.69303005128874,0.985,0.798,2.0673933052135e-95
"FAM49B",2.81857513866631e-99,-5.49262229187395,0.019,0.62,6.3181180308344e-95
"SLC9A3R1",3.80593336520428e-99,-4.56123987279218,0.033,0.7,8.53138023144192e-95
"LMNA",1.83431131503751e-94,5.41719219759569,0.784,0.032,4.11179224378808e-90
"TAGLN2",7.19644247467458e-94,1.86341357550466,0.983,0.836,1.61315454512305e-89
"ENSG00000280441",1.26834487504072e-90,15.1959608250538,0.52,0.001,2.84312187189129e-86
"NHERF1",1.55636247170441e-82,5.18804269031309,0.703,0.022,3.4887421165726e-78
"LINC-PINT",1.98361111397804e-82,4.17378130598964,0.775,0.07,4.44646267309317e-78
"DARS",2.74172175130665e-82,-5.97785842881525,0.006,0.349,6.145843477729e-78
"AC092821.3",1.42201595827223e-81,-5.46972414040403,0.01,0.605,3.18759097206303e-77
"HIST1H4C",1.3820099334254e-79,-4.88820223785954,0.025,0.599,3.09791346676638e-75
"GAPDH",1.64714628144658e-79,-1.08545342922948,0.992,0.988,3.69224310449065e-75
"S100A6",6.87344636532334e-79,1.32989589360373,0.904,0.58,1.54075173725088e-74
"ATP5MK",7.28323828135241e-79,5.5145290896852,0.674,0.018,1.63261069314796e-74
"H2AFZ",8.70398540427533e-76,-4.91036937569804,0.019,0.535,1.95108536822236e-71
"APOBEC3G",2.11181586229368e-75,1.83447209318453,0.944,0.554,4.73384643691752e-71
"ATP5MD",5.47258634514e-75,-5.28087810685301,0.015,0.547,1.22673495512658e-70
"EZR",4.86591513809351e-73,2.29814243814209,0.873,0.333,1.09074353735504e-68
"MYADM",2.39580953685025e-72,3.84887409056398,0.736,0.119,5.37044665780352e-68
"YPEL3",1.82836021844205e-70,-1.53071756540307,0.686,0.957,4.0984522656597e-66
"GPI",2.07242244469259e-70,-2.7265986490248,0.277,0.553,4.64554215202291e-66
"CMC1",2.23459723004885e-69,-2.5240455913327,0.304,0.765,5.00907315087749e-65
"ATP5MPL",3.96286916167477e-67,-5.21600082159201,0.015,0.4,8.88316751281015e-63
"HIST1H1D",4.10360487821363e-67,-5.77820685616305,0.008,0.409,9.19864069500366e-63
"S100A10",1.13640227116188e-66,2.14703303253959,0.944,0.806,2.54735933103647e-62
"H4C3",5.59806486614924e-66,3.95170322725388,0.644,0.025,1.25486222039601e-61
"ANXA1",3.70331041044975e-65,1.98478398101805,0.956,0.773,8.30134061606415e-61
"AC004687.1",2.84078892373462e-64,-4.92973542030074,0.017,0.553,6.36791245144353e-60
"IRF1-AS1",8.55620631056994e-64,4.73303582836404,0.57,0.02,1.91795920657736e-59
"RBFOX2",1.05822528464031e-63,1.29914571284109,0.518,0.472,2.37211779804971e-59
"OASL",1.28319549679642e-63,1.94372639429891,0.854,0.4,2.87641102561886e-59
"CYRIB",3.02022190175552e-62,4.63885928963749,0.578,0.022,6.77012941497516e-58
"VEGFB",2.73679331325007e-60,-3.21539901693221,0.073,0.338,6.13479589098136e-56
"HIST1H1C",1.81766336055714e-59,-6.42721271479682,0.006,0.396,4.07447418902488e-55
"S100A11",2.34527349775392e-59,1.71053696287702,0.867,0.555,5.25716507256519e-55
"MATR3",4.0644181380471e-59,4.79942229045382,0.607,0.025,9.11079969824637e-55
"PGK1",4.08858178610261e-58,-1.07344582594102,0.78,0.766,9.16496493172761e-54
"BNIP3L",6.52228530434064e-58,-1.86666495090316,0.299,0.562,1.462035473821e-53
"H2AZ2",2.79152274101135e-57,4.64027157911438,0.568,0.022,6.25747737625104e-53
"H2AFV",3.48919218759078e-56,-4.5812363386962,0.017,0.403,7.8213732077035e-52
"RAC2",2.0866343816092e-55,-0.979000527219411,0.794,0.923,4.67739962981518e-51
"S100A4",2.44159042727574e-55,1.11959412857239,0.761,0.445,5.4730691017813e-51
"CHASERR",3.32917579149089e-55,4.70633619292013,0.582,0.023,7.46268045420598e-51
"TCAF2",5.33886049073375e-55,-3.62505952331841,0.04,0.273,1.19675896760288e-50
"PKM",5.73107176054128e-54,-1.43048571414538,0.541,0.657,1.28467704584293e-49
"P4HA1",1.08292607247126e-53,-2.88100684069642,0.102,0.367,2.42748708405159e-49
"U2AF1",2.88695064068418e-53,3.46436930831667,0.599,0.064,6.47138855615765e-49
"TMSB4X",4.93849795702198e-53,-0.646843233462138,1,0.998,1.10701370204605e-48
"AC245297.3",2.627971500871e-52,-5.51695474231799,0.006,0.317,5.89086091635243e-48
"YWHAQ",6.19518007448118e-51,1.92092659112899,0.807,0.366,1.3887115654957e-46
"GYPC",2.05856580193721e-50,-1.62158226702058,0.343,0.641,4.61448110162245e-46
"IFITM1",6.46041714097049e-50,-0.696133497301636,0.979,0.973,1.44816710631995e-45
"FTH1",1.29772126351825e-49,1.42641052366596,0.998,0.967,2.9089719843025e-45
"YARS",2.03352583041186e-49,-5.47559518471896,0.008,0.329,4.55835150145123e-45
"PNRC1",2.51624474002825e-49,-0.915174887716553,0.894,0.938,5.64041420924733e-45
"SLC2A3",6.58764889625081e-49,-1.41193120755356,0.358,0.523,1.47668737658358e-44
"IL32",3.76497809253829e-47,-1.16620414203026,0.8,0.714,8.43957489223384e-43
"ADSS2",4.97325624062372e-47,4.78267146083353,0.495,0.019,1.11480511889821e-42
"H2AZ1",8.26788225549605e-47,4.90757465139979,0.516,0.02,1.85332848639199e-42
"H1-4",2.87475343836776e-46,3.82099990319242,0.516,0.027,6.44404730744517e-42
"YARS1",1.65329807550298e-45,4.56213190483249,0.489,0.02,3.70603296604748e-41
"C4orf3",2.90561109854379e-45,-1.09561082589658,0.499,0.645,6.51321783849576e-41
"ENSG00000278996",3.62283871604897e-45,7.31413029110359,0.43,0.005,8.12095526589538e-41
"MIR210HG",5.25319950817176e-45,-6.79123101759363,0.002,0.2,1.17755720175178e-40
"HSPB11",1.31422083880155e-43,-6.00798759417759,0.004,0.3,2.94595743225755e-39
"FP236383.3",1.48106689689892e-43,-3.70939279433638,0.04,0.669,3.31995955608861e-39
"TYROBP",7.36730191055983e-43,-1.32419900344673,0.721,0.918,1.65145439627109e-38
"IFITM2",3.28641486745216e-41,-0.916127675986951,0.911,0.948,7.36682756688077e-37
"BBLN",9.15535140587809e-41,4.96842081156272,0.403,0.014,2.05226357114163e-36
"MATR3.1",1.00098339833057e-40,-4.55182344724074,0.015,0.327,2.24380438569781e-36
"SEPTIN9",2.68095659311542e-40,-1.66614187790799,0.353,0.686,6.00963229912753e-36
"CALHM6",1.23085862471887e-39,-3.81797759198949,0.021,0.158,2.75909269316982e-35
"FYB1",1.69171722972293e-39,-2.04531443447997,0.31,0.725,3.79215334214691e-35
"SARS",3.33869647481101e-39,-4.99841769153721,0.008,0.27,7.48402201793637e-35
"C9orf16",3.99917180575757e-39,-5.2754567349795,0.015,0.425,8.96454351978617e-35
"PYURF",5.06847576586539e-39,-5.35551273446301,0.008,0.336,1.13614952767639e-34
"FCER1G",3.20707992582092e-38,-1.20360983367776,0.356,0.589,7.18899036172017e-34
"ZNRD1",1.13176952675263e-37,-5.00762196460564,0.008,0.281,2.53697457116869e-33
"ANXA2",1.40402244087806e-37,2.05917791626823,0.532,0.18,3.14725670347225e-33
"ALOX5AP",1.42437858059924e-37,-2.44416600414844,0.152,0.397,3.19288702627126e-33
"BNIP3",1.73579423353292e-37,-2.82029244055232,0.081,0.281,3.8909563538874e-33
"AC078883.1",1.84382086667467e-37,-6.15046835821439,0.004,0.179,4.13310885473795e-33
"ZEB2",3.49380825671846e-37,0.881678106616545,0.898,0.728,7.8317205882601e-33
"EEIG2",4.99125758823327e-37,5.04313167285583,0.457,0.016,1.11884030097837e-32
"IDS",8.87953083077704e-37,1.51808735133796,0.815,0.44,1.99043563102698e-32
"FP671120.4",9.92869921351682e-37,-3.46709240962319,0.035,0.527,2.22561721570193e-32
"UBC",1.95370668007392e-36,0.794972680782344,0.99,0.967,4.3794288940537e-32
"ENSG00000257322",4.59719371492916e-36,10.8281187291078,0.301,0,1.03050694313852e-31
"ALDOA",7.04100201604471e-35,-1.13765001103013,0.667,0.723,1.57831101191658e-30
"FGFBP2",9.17151080102554e-35,0.512052281034859,0.944,0.816,2.05588586115788e-30
"FAM162A",4.9455813723605e-34,-2.18768708528955,0.116,0.296,1.10860152042833e-29
"STK17A",1.22753413512438e-33,-0.805879325840246,0.711,0.811,2.75164051729481e-29
"VAMP2",2.5237905403987e-33,-1.38314397651871,0.505,0.778,5.65732887535772e-29
"CSGALNACT1",2.83115634285334e-33,1.55785168188131,0.318,0.102,6.34632005814004e-29
"FTL",4.00085731250056e-33,-0.673734220329639,0.973,0.982,8.96832175170125e-29
"H1-10",4.69763281172457e-33,4.48131195946435,0.416,0.02,1.05302137107618e-28
"GNG2",4.72631568795373e-33,1.36605399461094,0.938,0.683,1.05945092461171e-28
"IL16",4.94865744631203e-33,-1.77486172435019,0.272,0.598,1.1092910531653e-28
"ADSS",6.95976180988138e-33,-4.23872944959393,0.01,0.244,1.56010020730301e-28
"ENSG00000234961",7.90169514499172e-33,4.44362920356846,0.476,0.023,1.77124398370134e-28
"SARS1",8.80005835481595e-33,5.12244142266116,0.362,0.011,1.97262108081554e-28
"EPRS",9.70538034528422e-33,-4.45030895999006,0.006,0.209,2.17555805819891e-28
"GZMA",1.30351010436921e-32,-1.20508567619186,0.661,0.892,2.92194824995402e-28
"ATP5MJ",2.56441786925867e-32,4.64208864817709,0.416,0.021,5.74839909573023e-28
"EVL",4.08542381727424e-32,-1.03100659308605,0.769,0.918,9.15788602880193e-28
"LRRFIP1",6.16773348664448e-32,1.56864981209585,0.865,0.454,1.38255913836623e-27
"CEBPD",1.21694374246621e-31,-1.43641008541035,0.285,0.546,2.72790109311226e-27
"ALDOC",1.63467547494604e-31,-3.97722897494153,0.019,0.186,3.66428854463905e-27
"CST7",1.02957479114843e-30,-0.712466655938284,0.977,0.993,2.30789485183831e-26
"IFITM3",1.29320322347251e-30,-0.811018800255448,0.464,0.56,2.89884434573598e-26
"MIR142HG",1.68261165933105e-30,4.42472967558367,0.416,0.02,3.77174229555647e-26
"ATP1B3",2.12321078629436e-30,2.10583262102447,0.538,0.151,4.75938929855743e-26
"RASGEF1B",2.34709932916251e-30,2.82390833389197,0.399,0.059,5.26125785625068e-26
"KLRC1",3.83139246470659e-30,-2.60055723305005,0.067,0.264,8.58844934888628e-26
"HIST3H2A",6.07722821684449e-30,-5.67247757675464,0.004,0.189,1.36227147708786e-25
"ENO2",1.04476394393779e-29,-2.38012825157975,0.083,0.242,2.34194285673094e-25
"DDX58",1.34834921095695e-29,-6.18573111126082,0.002,0.181,3.02245959128111e-25
"ZNF292",1.36006083140988e-29,-1.26233354464205,0.376,0.539,3.0487123596884e-25
"HLA-B",1.37026926386047e-29,0.121542986743893,1,1,3.07159558186963e-25
"HLA-DPB1",1.45993709838077e-29,-0.596083216448852,0.478,0.422,3.27259499973033e-25
"MARCH7",1.48526364527639e-29,-4.88725975456863,0.008,0.244,3.32936698725155e-25
"DSTN",1.99922938470932e-29,1.45393320419938,0.753,0.364,4.48147258876441e-25
"GNAS",2.20250705699983e-29,-1.11571020279885,0.534,0.662,4.93713981897081e-25
"GMFG",3.22736125870991e-29,-1.48999697377722,0.462,0.779,7.23445299752414e-25
"LINC00869",4.56642538969751e-29,5.95430513205171,0.306,0.008,1.02360991535459e-24
"LRMP",2.6903901988541e-28,-5.4948974477958,0.004,0.208,6.03077866975134e-24
"SRSF5",3.15633064030602e-28,-0.841546412459232,0.701,0.783,7.07523076330998e-24
"YWHAZ",7.45824630664153e-28,0.740974181632468,0.971,0.836,1.67184049209677e-23
"IRAG2",1.4314453994567e-27,5.19016502274587,0.289,0.011,3.20872800742214e-23
"FLNA",2.11672323801707e-27,0.628523934919325,0.813,0.547,4.74484681033906e-23
"GPSM3",2.72404108079485e-27,-1.45145805500874,0.437,0.714,6.10621048670973e-23
"PYCARD",4.17943474572702e-27,-2.20469663387086,0.141,0.474,9.3686209260217e-23
"LINC02446",6.41002695744108e-27,0.748099541376677,0.279,0.134,1.43687164277999e-22
"HIST1H2AC",1.23867659712736e-26,-4.37967873164401,0.015,0.256,2.77661746012069e-22
"ARNTL",1.35135557459652e-26,-6.46878744983427,0.002,0.192,3.02919865601556e-22
"RPS2",1.46860007901834e-26,1.12888396167073,0.992,0.811,3.29201393712751e-22
"UCP2",1.51179044321477e-26,0.949961110485417,0.726,0.442,3.38882945751023e-22
"POLR1H",1.55217287159865e-26,5.49130150121349,0.293,0.009,3.47935070897554e-22
"GBP5",2.87404309859856e-26,-1.73026657898686,0.306,0.503,6.44245500981853e-22
"ENSG00000290823",5.18841455339924e-26,6.58037326318868,0.314,0.005,1.16303500628997e-21
"SLC16A3",6.48857342041762e-26,-0.881154771796451,0.281,0.357,1.45447861792081e-21
"DARS1",7.17274922142935e-26,6.00914332339846,0.218,0.004,1.6078434654756e-21
"KIF21A",8.02985128017096e-26,2.15493350906627,0.218,0.046,1.79997146296312e-21
"ATP2B4",2.39492963162404e-25,1.19765229114692,0.742,0.426,5.36847426224844e-21
