"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS10",1.82778099429523e-153,3.13541125130472,0.872,0.594,4.09715387681219e-149
"MIF",3.4751381991465e-97,-1.72883153256698,0.815,0.98,7.7898697872068e-93
"H3F3B",1.14825879627048e-96,-1.67116838609311,0.381,0.913,2.57393691771991e-92
"H3-3B",7.9191922965792e-95,4.36458785418517,0.562,0.02,1.77516614520119e-90
"ENO1",8.58857356272774e-90,-2.29307127805564,0.69,0.926,1.92521464982105e-85
"H3F3A",3.00226154532023e-86,-1.04122409488994,0.381,0.894,6.72986947998982e-82
"TPI1",4.40602548587668e-86,-2.50643064667075,0.53,0.889,9.87654672914118e-82
"H3-3A",2.00474518493482e-85,4.89014958253592,0.545,0.019,4.49383680654989e-81
"CHASERR",9.6153802688685e-79,4.56067203011082,0.527,0.02,2.15538364106956e-74
"LINC01578",5.36315851870247e-74,-2.16280319675563,0.247,0.78,1.20220561355235e-69
"ENSG00000280441",5.0805848105991e-70,14.0709754233526,0.315,0.001,1.13886389114389e-65
"GAPDH",1.39767856233559e-68,-2.13836416093696,0.756,0.964,3.13303626533147e-64
"TALAM1",3.69271809683007e-66,4.33215353244754,0.482,0.017,8.27759688585428e-62
"FP236383.3",1.44969902184974e-65,-0.247399685528387,0.414,0.869,3.24964532737837e-61
"ENSG00000289901",1.45153227294363e-65,6.02870168413102,0.47,0.017,3.25375474303044e-61
"IGFBP2",3.07322631818049e-62,-7.24584743928872,0.018,0.494,6.88894411483339e-58
"GPI",7.82975617523307e-58,-3.07482909259948,0.271,0.736,1.75511814424025e-53
"PGK1",1.29463392808806e-57,-2.13002200265462,0.702,0.888,2.90205141320219e-53
"H1FX",1.39844666394039e-57,-3.29072167599935,0.149,0.683,3.13475804188878e-53
"B2M",2.97847761417959e-52,-0.505106045094658,1,1,6.67655541994496e-48
"PKM",5.20225620588971e-52,-2.04026567176776,0.473,0.859,1.16613775111224e-47
"BNIP3L",2.18213797570227e-48,-2.20315939948321,0.342,0.72,4.8914804863342e-44
"BNIP3",9.85731670481193e-47,-3.27333284924149,0.173,0.59,2.20961611255064e-42
"LDHA",3.88038684217493e-46,-1.46807128866719,0.685,0.893,8.69827514541933e-42
"DARS",1.10296484768541e-45,-2.19235242568509,0.155,0.535,2.47240600257163e-41
"ENSG00000278996",8.06410075861402e-45,8.91781570479003,0.259,0.001,1.80764882605092e-40
"MIR210HG",1.36995683156245e-41,-5.04492420299987,0.018,0.349,3.07089523363038e-37
"ALDOA",2.67246261418172e-41,-1.68928665185391,0.61,0.845,5.99059219594975e-37
"H4C3",5.478941237675e-41,4.71659508720789,0.369,0.013,1.22815946783723e-36
"ENSG00000257322",6.46926729463978e-41,9.70010027782372,0.19,0,1.45015095676645e-36
"IL32",2.01233692799635e-38,-1.29308435498506,0.696,0.929,4.51085445779661e-34
"AC138123.1",1.25673174553634e-37,-0.898784989899579,0.318,0.676,2.81708988079427e-33
"FTL",1.43953868937756e-37,-0.494869743062863,0.985,0.989,3.22686992610874e-33
"H2AZ1",1.67906447528257e-37,4.95723219337792,0.339,0.013,3.76379092779341e-33
"TMSB4X",2.22015976459091e-37,-0.467654620378209,1,1,4.97671012830699e-33
"H2AFZ",6.17175278288404e-37,-1.74896933321563,0.229,0.602,1.38346010381129e-32
"MATR3",1.09198815376296e-36,4.48892198372537,0.372,0.021,2.44780064547504e-32
"SEPTIN9",1.0596506587362e-35,-1.38471327671559,0.473,0.802,2.37531291662306e-31
"RBFOX2",4.32633898091652e-34,0.28133402517187,0.679,0.735,9.69792145962247e-30
"C4orf3",1.85027938157243e-33,-1.63196132683787,0.435,0.728,4.14758626173275e-29
"HIST1H4C",2.21087333543307e-32,-1.33363086385035,0.295,0.652,4.95589366870676e-28
"RAC2",1.16248238996148e-31,-1.1417790892629,0.708,0.916,2.60582052533766e-27
"ATP5MK",1.90080228377258e-31,4.76504035722078,0.307,0.015,4.26083839930461e-27
"HIST1H1E",5.84897109018988e-30,-2.95906521325285,0.077,0.4,1.31110535957696e-25
