"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS10",1.38624432836309e-70,2.43999962225366,0.98,0.514,3.10740528645869e-66
"H3-3A",3.10454764489536e-56,2.71573574388923,0.945,0.146,6.95915400079744e-52
"H3-3B",5.72644687751683e-54,2.64200057312846,0.954,0.148,1.28364033206417e-49
"H3F3B",2.97861188801354e-48,-5.49236690988811,0.026,0.83,6.67685640817115e-44
"H3F3A",1.55090629609754e-45,-4.65715395678304,0.029,0.81,3.47651155333224e-41
"H1FX",3.07958830896177e-45,-6.40878448320381,0.012,0.656,6.90320515336871e-41
"CRIP1",6.4327876639559e-45,1.99402544433301,0.986,0.914,1.44197368275235e-40
"RBFOX2",2.45308074370196e-40,0.551473324744808,0.271,0.492,5.49882579508231e-36
"LINC01578",1.18857158777707e-39,-6.48261584607771,0.009,0.669,2.66430207116107e-35
"TGFB1",5.30590130168269e-37,2.03109075667635,0.98,0.742,1.18937083578519e-32
"TALAM1",8.2148296432567e-37,3.29164324921451,0.87,0.135,1.84143621283242e-32
"HIST1H1E",5.99714864101392e-35,-6.86611307574916,0.009,0.636,1.34432083936968e-30
"IL32",6.48758044402459e-33,-1.81529726276726,0.818,0.967,1.45425603233255e-28
"ENSG00000280441",5.65493526016666e-32,11.7594469665097,0.294,0.011,1.26761028791896e-27
"SLC9A3R1",6.04590595267593e-31,-4.85682954992137,0.017,0.669,1.35525027835184e-26
"ENSG00000289901",6.38205198037725e-31,2.68336458756071,0.844,0.139,1.43060077192136e-26
"HLA-B",8.85861515164171e-29,0.343559727618128,1,1,1.98574717239201e-24
"LINC-PINT",9.11842628576467e-29,2.27221155879122,0.847,0.212,2.04398643621701e-24
"C9orf16",1.24423173879572e-28,-5.30806555250582,0.014,0.614,2.78906986568448e-24
"H2AFV",2.29753133909391e-28,-5.89558358686236,0.009,0.574,5.1501462497129e-24
"FP236383.3",7.16560894584564e-28,-3.99201949176825,0.032,0.684,1.60624290130076e-23
"MTRNR2L12",5.76725498130663e-27,-10.0014996930305,0.003,0.19,1.29278787660969e-22
"TAGLN2",8.63725359803952e-27,1.48065744686935,0.968,0.898,1.93612676653654e-22
"HIST1H4C",1.4934635292813e-25,-6.06463781883389,0.012,0.675,3.34774784723695e-21
"VIM",4.64737699686493e-25,1.59653992139444,0.971,0.85,1.04175602761724e-20
"LMNA",3.6507658743237e-24,3.19013931179187,0.767,0.139,8.18355678388401e-20
"ENSG00000257322",8.29802524736406e-24,8.57240910884538,0.176,0,1.86008533944913e-19
"H2AZ2",1.04294104844212e-23,3.04254504178631,0.712,0.117,2.33785665418786e-19
"SRGN",1.92141093321453e-23,1.09820077980366,0.988,0.861,4.30703474789368e-19
"HIST1H1C",7.16620413958371e-23,-9.20240990453434,0,0.461,1.60637631992908e-18
"H2AFZ",1.36661017915289e-22,-4.63448863508788,0.026,0.6,3.06339337758913e-18
"MATR3",8.89487498128033e-22,2.74995448490051,0.712,0.141,1.9938751758038e-17
"ATP5MD",9.76444832378477e-22,-4.76584898588773,0.02,0.647,2.18879873625959e-17
"ATP5MPL",2.07964387017354e-21,-4.13403947261746,0.023,0.552,4.661729699381e-17
"PYURF",2.67682955861482e-21,-6.03266744018865,0.006,0.508,6.00038113859099e-17
"EZR",8.46067716692981e-21,1.27856252045171,0.916,0.799,1.89654539373899e-16
"C5orf56",1.5214452386052e-20,-4.48434579748609,0.014,0.53,3.41047164685743e-16
"HIST1H1D",2.5488213048546e-20,-5.79350372021067,0.012,0.534,5.71343783696208e-16
"IDS",7.69607984419127e-20,1.53097016004274,0.859,0.552,1.72515325787391e-15
"FAM49B",1.05489904443874e-19,-5.17140314326611,0.012,0.576,2.36466169801388e-15
"YARS",3.94382587293103e-19,-4.40078020470732,0.012,0.424,8.8404800767622e-15
"FTH1",4.91303616654861e-19,1.67062418060627,0.994,0.976,1.10130618709354e-14
"DARS",7.82356890161444e-19,-5.32549046884459,0.009,0.404,1.75373120498589e-14
"FAM177A1",9.17124426655723e-19,2.35107554744322,0.795,0.404,2.05582611479147e-14
"CD52",1.01134641963095e-18,-1.51194494736525,0.867,0.956,2.26703413424475e-14
"H2AFY",1.96390026542368e-18,-4.76245217663797,0.012,0.422,4.40227883497372e-14
"CCL5",3.34730591887955e-18,-1.53936200877085,0.948,0.921,7.5033209477604e-14
"SELL",3.58755373951899e-18,-2.54295138810849,0.135,0.402,8.04186046250577e-14
"ZNRD1",5.54154158239897e-18,-4.48383365524691,0.009,0.437,1.24219196111055e-13
"FP671120.4",6.5090923485548e-18,-4.77765097855666,0.029,0.587,1.45907814085204e-13
"AC008105.3",2.37264757915716e-17,-3.61562263031485,0.012,0.267,5.3185268134387e-13
"MATR3.1",5.60591820233878e-17,-3.80326492890701,0.02,0.426,1.25662262423626e-12
"FAM102A",6.1148896189886e-17,-3.4723452837376,0.014,0.358,1.37071365699248e-12
"CD58",1.49383478782799e-16,1.25649561493464,0.634,0.408,3.34858006039521e-12
"AC138123.1",1.79639289781325e-16,-3.74666037803722,0.023,0.49,4.02679431973817e-12
"CHASERR",1.84298809308652e-16,2.79995584061127,0.663,0.117,4.13124210946274e-12
"IGFBP2",2.05246895606409e-16,-8.43428987368069,0,0.119,4.60081441191326e-12
"CXCR4",2.53863540402036e-16,1.12051169083172,0.942,0.801,5.69060512165205e-12
"SARS",2.98564668713329e-16,-4.73933946793301,0.009,0.333,6.69262561387798e-12
"AC004687.1",3.38535305023223e-16,-4.08281080744642,0.02,0.486,7.58860739740057e-12
"AL138963.4",3.91523854362861e-16,-6.15989629124674,0.003,0.236,8.77639871939788e-12
"SRSF2",8.59372275888215e-16,1.34821118982286,0.914,0.698,1.92636889363102e-11
"UBC",9.95010705326619e-16,0.659103470539479,0.988,0.976,2.23041599706015e-11
"ENSG00000234961",1.91932641054085e-15,3.07343785751058,0.582,0.099,4.30236208186837e-11
