"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HIST1H1E",5.87785426438985e-16,-4.40157349751184,0.073,0.592,1.31757981190563e-11
"H3F3B",1.52815987390563e-15,-2.90618654364148,0.177,0.854,3.42552317334687e-11
"H3-3B",4.71879698750321e-15,2.71997621900227,0.815,0.126,1.05776553271872e-10
"MIF",1.88056397034668e-13,-1.81845138172068,0.79,0.854,4.21547219592912e-09
"TPI1",6.00513038881868e-13,-1.81350952204427,0.702,0.845,1.3461100279576e-08
"H3-3A",6.59852808767753e-13,2.66808299423374,0.782,0.126,1.47912605613379e-08
"H3F3A",4.57125098662693e-12,-2.35583194575379,0.185,0.825,1.02469162116229e-07
"ENSG00000289901",8.88612997645288e-12,3.12862526267087,0.75,0.117,1.99191489552168e-07
"RPS10",4.80737871862298e-11,2.26531322338729,0.863,0.437,1.07762201356653e-06
"LINC01578",1.50005300508318e-09,-2.68362566125149,0.097,0.524,3.36251881619445e-05
"LMNA",3.93133277310462e-09,2.70757874140071,0.605,0.136,8.81247554419132e-05
"KLRB1",4.28137221854573e-09,-3.06501926533184,0.202,0.631,9.59712396509212e-05
"ATP5MD",4.67572254092608e-09,-2.04268163442134,0.129,0.544,0.000104810996477399
"BNIP3",7.43228282410579e-09,-4.36040384643669,0.04,0.32,0.000166602051785155
"MTRNR2L12",1.65369635148299e-08,-10.1662296581116,0,0.146,0.000370692574148426
"YPEL3",2.00213531499178e-08,-1.86929103382779,0.508,0.942,0.000448798652208557
"H1FX",2.07399864715842e-08,-2.43023703147939,0.073,0.505,0.000464907536747032
"SLC9A3R1",2.41361007767025e-08,-2.30260377423706,0.097,0.534,0.000541034835010564
"FAM49B",2.46506545590862e-08,-3.36781402475644,0.056,0.563,0.000552569072596476
"C5orf56",3.12306076399686e-08,-3.48223684977653,0.081,0.553,0.000700065300857537
"AC004687.1",6.89223127319977e-08,-2.97004881420025,0.081,0.485,0.00154496256220046
"GLRX",8.39884833668546e-08,-1.80514927069491,0.137,0.485,0.00188268584315141
"AC092821.3",1.17575474115323e-07,-5.01125460467194,0.04,0.544,0.00263557182776907
"IL18RAP",1.34977902899042e-07,-3.91352306788184,0.008,0.204,0.00302566467138493
"HIST1H1C",1.90534979047321e-07,-3.40942867126067,0.04,0.291,0.00427103209032475
"PGK1",2.2783623173341e-07,-1.24540184416666,0.734,0.67,0.00510717697053611
"LINC-PINT",2.47042131903928e-07,2.81449854133919,0.702,0.126,0.00553769642875844
"RASSF7",2.56189374893547e-07,-3.58457410284021,0.024,0.301,0.00574274102761376
"IFITM1",2.85400652940576e-07,-0.765329256827417,0.806,0.961,0.00639754103631594
"AL138963.4",2.89397227140469e-07,-6.37079636811073,0,0.136,0.00648712824358074
"ENO1",3.2934503224451e-07,-1.49409396815299,0.815,0.728,0.00738259824279293
"VAMP2",3.36291035489264e-07,-1.50064796034448,0.435,0.806,0.00753829985152733
"MIR210HG",3.37831344669294e-07,-6.20444009183716,0,0.165,0.00757282742210689
"GAPDH",6.18668091617772e-07,-1.03350036200709,0.984,0.961,0.013868063941704
"H2AFV",6.62901253201601e-07,-2.06330787670984,0.065,0.359,0.0148595944917671
"ATP5MJ",1.04237933082943e-06,3.8668340292183,0.524,0.029,0.0233659750798724
"HIST1H1D",1.35193288839405e-06,-3.54664108627217,0.032,0.301,0.0303049276262409
"CRIP1",1.35676287079482e-06,1.71654471617882,0.927,0.816,0.0304131965117367
"C5AR1",1.4345292509562e-06,4.79424711338914,0.323,0.019,0.0321564076894341
"SH3BGRL3",1.4671943040045e-06,0.650236371600063,1,0.932,0.0328886275185648
"RUNX1",1.83514846072553e-06,1.14789297142664,0.556,0.311,0.0411366878956234
"HIST1H4C",2.14691940329767e-06,-2.51221806002797,0.097,0.524,0.0481253453443205
"AC078883.1",2.26269540325438e-06,-4.46049501247077,0.008,0.184,0.0507205801593502
"GPI",2.71401107949436e-06,-2.53858452543192,0.29,0.495,0.0608372723579456
"RASGEF1B",3.54860092053447e-06,2.57332298016975,0.661,0.155,0.0795454382347007
"KLRC1",3.66126198713774e-06,-2.38803409313085,0.081,0.388,0.0820708487036796
