"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CRIP1",5.79886000786055e-102,2.69733281822604,0.981,0.913,1.29987245936202e-97
"H3F3B",3.34081645340423e-101,-3.86437721885811,0.081,0.897,7.48877416195092e-97
"H3-3B",5.59906935648536e-94,3.70433926582213,0.893,0.064,1.25508738694976e-89
"RPS10",1.86502678682647e-92,3.18170891575295,0.928,0.363,4.18064404535021e-88
"H3F3A",4.30646171839322e-87,-3.24733001615071,0.085,0.842,9.65336458795025e-83
"VIM",1.37552074822412e-69,3.02503775399728,0.901,0.553,3.08336730921918e-65
"H3-3A",1.57032171205828e-66,3.71753663581381,0.857,0.062,3.52003314974983e-62
"IL32",5.56651626850427e-61,-1.61774915512209,0.812,0.986,1.24779028674792e-56
"TAGLN2",7.0622143721244e-61,1.93414562212008,0.956,0.795,1.58306597365541e-56
"SLC9A3R1",2.76933705669477e-60,-3.54719291008864,0.055,0.664,6.20774594628699e-56
"LINC01578",7.02478587208574e-60,-3.6714872826467,0.045,0.604,1.57467600108674e-55
"TALAM1",8.14873852500977e-57,3.73941040847629,0.828,0.061,1.82662122776619e-52
"FP236383.3",2.32807457320839e-55,-2.75824263016278,0.092,0.753,5.21861196330392e-51
"H1FX",5.74297183140738e-51,-5.29574277140436,0.02,0.518,1.28734456572828e-46
"LMNA",6.65196522133967e-51,4.89458487303517,0.693,0.045,1.4911045240155e-46
"MTRNR2L12",1.77905061171857e-50,-9.47905319569276,0.005,0.197,3.98791985122834e-46
"HIST1H4C",1.25890557492864e-45,-3.78838929620976,0.051,0.582,2.82196273676003e-41
"ATP5MD",4.16019624919742e-44,-3.5003637129054,0.052,0.562,9.32549591220094e-40
"ATP5MPL",1.38419703402775e-43,-3.54801588731402,0.036,0.433,3.1028160714766e-39
"HLA-B",3.12839878718927e-43,-0.101281987922735,1,1,7.01261872136346e-39
"TGFB1",2.23971866142412e-42,1.81833916091135,0.958,0.743,5.02055335144832e-38
"GYPC",7.88551883773454e-42,-1.40309005935965,0.328,0.626,1.76761790266657e-37
"H2AFZ",1.21679390816538e-41,-3.60415633386762,0.042,0.552,2.72756522454351e-37
"ENO1",1.33588851527181e-40,-1.24865780278411,0.692,0.687,2.99452769583328e-36
"HIST1H1E",2.358595851732e-40,-4.25922148728327,0.036,0.521,5.28702846124246e-36
"H2AFV",1.73940950804346e-39,-3.24291053338374,0.037,0.394,3.89906035323022e-35
"HSPB11",5.65529569252976e-39,-3.63198107901624,0.021,0.299,1.26769108243747e-34
"CD27",1.23620894289038e-38,-2.20026483630018,0.1,0.358,2.77108596638309e-34
"S100A10",6.044431158153e-38,1.95622794305654,0.949,0.823,1.35491968841158e-33
"ZEB2",3.07649078171381e-37,1.02449922543221,0.873,0.695,6.89626173628968e-33
"FAM49B",6.71782698415261e-37,-3.32014186052305,0.04,0.458,1.50586809676765e-32
"UBC",1.01759450544488e-36,0.818536464800065,0.99,0.964,2.28103984340525e-32
"MIF",1.1015729135547e-36,-1.46848700685608,0.686,0.834,2.46928584302421e-32
"ENSG00000234961",8.39855922896836e-34,4.27135048177082,0.419,0.031,1.88262103676555e-29
"ENSG00000289901",1.20269906835929e-33,3.86980454008356,0.759,0.06,2.69597023163417e-29
"DARS",2.61513060541019e-32,-4.09307640667735,0.013,0.249,5.86207676508749e-28
"MYADM",3.50777351346562e-32,2.84548508957543,0.652,0.198,7.86302510778452e-28
"YWHAQ",4.06641708702233e-32,1.29546229996389,0.76,0.497,9.11528054226926e-28
"HIST1H1D",7.09668938255477e-32,-4.08330238293348,0.021,0.355,1.59079389199348e-27
"C9orf16",1.0334190795377e-31,-3.6131919469233,0.033,0.432,2.31651220869171e-27
"MIR210HG",2.90831523887659e-31,-5.87154252940446,0.002,0.112,6.51927943946577e-27
"EZR",2.98093545498591e-31,1.78427549024634,0.866,0.508,6.68206491589641e-27
"ANXA2",3.39144082176671e-31,1.73433776921593,0.547,0.224,7.60225374607226e-27
"C5orf56",1.04457798467694e-30,-3.07892769272452,0.05,0.523,2.34152601045183e-26
"RGS10",1.20018648969071e-30,-1.36016641573136,0.218,0.44,2.69033803529069e-26
"ANXA1",3.73780794662654e-30,1.74502540791813,0.939,0.811,8.37867029315806e-26
"CCL5",3.82091435158273e-30,-1.37881489590572,0.989,0.988,8.56496161050784e-26
"TPI1",2.45130381417014e-29,-1.35560621056094,0.642,0.714,5.49484262984378e-25
"ALOX5AP",4.99727502855281e-29,-2.98177777278778,0.044,0.218,1.1201891704004e-24
"AC138123.1",1.69223257942422e-28,-2.83417193913431,0.048,0.427,3.79330855003733e-24
"CEBPD",4.10872278816202e-28,-1.8301082976538,0.061,0.173,9.21011300194399e-24
"FP671120.4",5.47411788273153e-28,-3.27561568490786,0.074,0.626,1.2270782645931e-23
"ENSG00000280441",6.59648600962483e-28,11.6770280771693,0.375,0.007,1.4786683039175e-23
"GZMK",2.22221268289023e-27,-1.98623411641451,0.068,0.146,4.98131194996674e-23
"GPI",3.6140084041294e-27,-2.45590447972226,0.262,0.468,8.10116123869646e-23
"KLRB1",7.86762178630574e-27,-2.32159851205938,0.115,0.29,1.76360609961829e-22
"MATR3.1",1.02655806725301e-26,-3.47590221702017,0.026,0.337,2.30113256355436e-22
"NHERF1",1.16799418539919e-26,4.42662418513407,0.552,0.036,2.61817576599083e-22
"LCK",1.3299638536354e-26,-1.4667566298163,0.462,0.817,2.98124697430911e-22
"AC008105.3",1.35570177426665e-25,-3.48596271261568,0.018,0.209,3.03894109719612e-21
"AC078883.1",9.31484284709937e-25,-5.34179793408059,0.002,0.092,2.08801517260579e-20
"APOBEC3G",2.85263980159892e-24,1.34582804371284,0.877,0.607,6.39447737926414e-20
"GMFG",3.62855667813984e-24,-1.52878275784024,0.42,0.778,8.13377264971827e-20
"LINC-PINT",4.09616654755391e-24,2.77793691301434,0.691,0.097,9.18196693299685e-20
"PHB",6.82423920294755e-24,-3.04792743945548,0.019,0.186,1.52972145973272e-19
"GZMA",7.65489211104553e-24,-1.82486729960859,0.411,0.806,1.71592061561197e-19
"ZNRD1",2.48517619566097e-23,-3.3008581839498,0.023,0.278,5.57077096019362e-19
"LRRFIP1",6.81080275016801e-23,1.3920092540744,0.789,0.48,1.52670954447766e-18
"YARS",2.72374951300903e-22,-3.37697630334229,0.029,0.322,6.10555690836104e-18
"ADPRHL2",2.97751088175603e-22,-3.57767940200498,0.01,0.135,6.67438839254431e-18
"RAC2",5.80760506020186e-22,-1.22676478286236,0.651,0.902,1.30183275029485e-17
"LTB",7.25087221915389e-22,-1.80426395188836,0.036,0.093,1.62535551664554e-17
"H2AFJ",7.42432678099215e-22,-3.61207434955257,0.01,0.138,1.6642370912272e-17
"PKM",1.52563340567997e-21,-1.2743559615923,0.447,0.546,3.41985984217223e-17
"TLE5",1.85682622403516e-21,-0.865300711207384,0.766,0.922,4.16226166379722e-17
"OASL",1.85826645474811e-21,1.77798568266799,0.804,0.441,4.16549008496337e-17
"MARCH6",3.11899218440755e-21,-3.46100781617406,0.013,0.162,6.99153288056796e-17
"TAZ",3.21302713665078e-21,-3.7632203793017,0.01,0.158,7.20232162951639e-17
"GNAS",8.52801120670803e-21,-0.601300118737171,0.65,0.742,1.91163899209567e-16
"IL7R",1.14143662384769e-20,-0.613448176750781,0.071,0.106,2.55864433601697e-16
"IDS",1.87643550886326e-20,1.40069778572113,0.777,0.461,4.20621783666789e-16
"PYURF",2.80053682328021e-20,-3.31949323545911,0.031,0.353,6.27768334306492e-16
"FAM207A",2.40089841438534e-19,-4.08433614559277,0.004,0.091,5.38185388568619e-15
"IGFBP2",2.6004517460736e-19,-5.56834494308948,0.001,0.015,5.82917263399858e-15
"H2AFY",2.66387256082319e-19,-3.50197338795634,0.015,0.213,5.97133673234126e-15
"C4orf3",6.28231124138099e-19,-1.08399637967989,0.372,0.569,1.40824288786796e-14
"AC004687.1",6.51544801362646e-19,-3.2007095639154,0.048,0.465,1.46050282673451e-14
"ATP5MC2",1.01861770949343e-18,-0.551768410440952,0.768,0.868,2.28333345760048e-14
"ADSS",1.25996188127576e-18,-3.26062900469335,0.02,0.21,2.82433055306775e-14
"VEGFB",1.50627997839092e-18,-2.5235815985158,0.051,0.204,3.37647719956109e-14
"GPSM3",1.70254876607199e-18,-1.28772330879446,0.399,0.723,3.81643331402697e-14
"EPB41",2.40309094313835e-18,-0.832911691415672,0.48,0.671,5.38676865813892e-14
"BNIP3L",3.13074841597982e-18,-1.26365065356985,0.283,0.44,7.01788564926037e-14
"WARS",3.34482170987022e-18,-3.91970358084874,0.004,0.065,7.49775234484508e-14
"EPRS",4.0737627661141e-18,-3.29402459749483,0.016,0.19,9.13174661652136e-14
"H2AZ1",4.34385819224462e-18,4.2897069077004,0.478,0.036,9.73719252373555e-14
"ADGRE5",5.08398332631716e-18,1.63908183567783,0.758,0.416,1.13962570242725e-13
"PRSS23",7.63941536839049e-18,-0.238092196162286,0.324,0.347,1.71245134897841e-13
"IFNG-AS1",9.54163099180092e-18,-1.73715205475887,0.015,0.028,2.1388520031221e-13
"DTHD1",9.75128341617178e-18,1.72096382510541,0.302,0.102,2.18584769056907e-13
"CD3E",1.15792828757519e-17,-1.1354401366591,0.778,0.93,2.59561204942855e-13
"ENSG00000257322",1.9608080058531e-17,10.7216149227215,0.234,0,4.3953472259203e-13
