"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"H3-3B",0,5.11173321611889,0.969,0.034,0
"H3-3A",0,4.64291470376852,0.967,0.035,0
"H3F3B",0,-13.4032797340618,0,0.928,0
"TALAM1",0,4.7521964070339,0.941,0.034,0
"H3F3A",0,-12.8068550986494,0,0.89,0
"LINC01578",0,-12.5993515440222,0,0.859,0
"HIST1H4C",0,-11.9096107201703,0,0.738,0
"H1FX",0,-12.5213259031062,0,0.723,0
"IGFBP2",0,-9.23037265045247,0.006,0.606,0
"TPI1",0,-3.71455440850903,0.448,0.935,0
"AL138963.4",0,-11.4791706401082,0,0.417,0
"ALDOA",0,-2.62477994039854,0.508,0.912,0
"RPS10",0,3.49994307761683,0.998,0.62,0
"ENO1",0,-2.99977179292243,0.744,0.972,0
"MTRNR2L12",0,-13.2809264668077,0,0.213,0
"GAPDH",0,-3.14600875347199,0.818,0.988,0
"MIF",0,-2.3478308720623,0.852,0.994,0
"ATP5MD",2.15906687232625e-321,-11.5658251508865,0,0.717,4.83976430100652e-317
"H2AFZ",1.38486600529301e-320,-11.6380594065291,0,0.702,3.10431563746482e-316
"FTL",1.04819979290387e-318,-1.37384759471144,0.969,0.997,2.34964465577332e-314
"PGK1",1.4730419011063e-318,-2.68786721697353,0.76,0.956,3.30197072551989e-314
"ENSG00000289901",3.00969699860894e-311,5.38717077988256,0.891,0.031,6.74653679208181e-307
"GPI",6.56202775162798e-307,-3.74802643261391,0.291,0.838,1.47094414080493e-302
"PKM",8.99671614057245e-295,-2.18118608541263,0.611,0.923,2.01670389007072e-290
"CHASERR",2.06030056097568e-265,4.67781466599372,0.839,0.032,4.61836973748308e-261
"DARS",3.48499286247421e-253,-11.4448410789695,0,0.651,7.81196000052219e-249
"FTH1",2.95654206802293e-250,1.66721769810483,0.998,0.994,6.62738469968021e-246
"ENSG00000273149",1.41812511541348e-249,4.85752862990281,0.784,0.027,3.17886925871086e-245
"SEPTIN9",5.62965375918637e-231,-2.22905933925797,0.45,0.909,1.26194318665922e-226
"LDHA",4.50034932768648e-229,-1.78602206476263,0.849,0.962,1.0087983052942e-224
"HIST1H1E",8.95847964419453e-221,-11.3066507229192,0,0.515,2.00813279704265e-216
"VEGFB",2.76633982316656e-220,-2.59716334461084,0.221,0.659,6.20102734761015e-216
"PCBP1",4.77050217288339e-219,-1.30737153991784,0.855,0.983,1.06935576707354e-214
"BNIP3L",2.27760187328741e-217,-2.45622452151959,0.406,0.842,5.10547235916105e-213
"BNIP3",3.81954659789e-214,-3.2802762497657,0.251,0.73,8.56189565383021e-210
