"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS10",9.65248390985994e-53,3.4111659995755,1,0.594,2.1637007932342e-48
"H3-3A",2.50126400557313e-25,5.84026353198277,1,0.019,5.60683339489274e-21
"MTRNR2L12",3.61322511021041e-25,-8.27543135068308,0,0.115,8.09940540704765e-21
"H3-3B",2.51801151095369e-23,5.14387750420471,0.971,0.02,5.6443746029538e-19
"TALAM1",4.59430176769151e-21,5.6019559126361,0.943,0.017,1.02985868424573e-16
"H3F3B",3.55847981755669e-20,-8.3184450927651,0,0.913,7.97668835903507e-16
"LINC01578",4.62170901379468e-20,-7.37265614911184,0,0.78,1.03600229253222e-15
"ENSG00000289901",7.87501769202265e-20,7.21018476280787,0.914,0.017,1.7652639658438e-15
"AL138963.4",3.39227368705556e-19,-6.24194788921295,0,0.265,7.60412069690375e-15
"H3F3A",1.52939730994427e-17,-7.90883136288815,0,0.894,3.42829700997107e-13
"CHASERR",2.21364173209916e-16,4.90334508210148,0.8,0.02,4.96209930667349e-12
"MIF",3.81882881814481e-16,-1.99667207018862,0.8,0.98,8.5602866787534e-12
"TPI1",4.91754782582531e-16,-3.14375352776978,0.486,0.889,1.102317520637e-11
"IGFBP2",6.91028591708506e-16,-7.74852999798467,0,0.494,1.54900969117379e-11
"ENSG00000273149",9.52746470173956e-16,5.5249084840074,0.8,0.015,2.13567648754194e-11
"ENO1",5.82516009686754e-15,-3.09180750705501,0.486,0.926,1.30576788731383e-10
"PKM",1.52298186109348e-14,-2.35347617011696,0.371,0.859,3.41391613982713e-10
"HIST1H4C",2.58661322365406e-14,-6.75203107340931,0,0.652,5.79815220214294e-10
"H1FX",5.27122838852741e-14,-7.38359051111781,0,0.683,1.1815985555723e-09
"H2AZ1",1.58347991856662e-13,5.61055223125603,0.657,0.013,3.54952858545893e-09
"BBLN",9.16362579632516e-13,6.94195294422515,0.571,0.007,2.05411835850425e-08
"ALDOA",9.59115767929767e-13,-2.14446375599784,0.4,0.845,2.14995390539136e-08
"FAM177A1",1.85691591478163e-12,3.47943570775199,0.657,0.138,4.16246271457451e-08
"ZNF331",2.10477600928189e-12,3.23248779374236,0.143,0.071,4.71806590240629e-08
"GAPDH",3.84405490009705e-12,-1.75613693028923,0.771,0.964,8.61683346405754e-08
"ATP1B3",4.23330056314e-12,3.30933620362486,0.343,0.107,9.48936654233461e-08
"H2AFZ",4.31328902860672e-12,-6.4393405713066,0,0.602,9.66866868652482e-08
"H2AZ2",7.29817675348778e-12,5.44606282230538,0.629,0.015,1.63595930106182e-07
"VEGFB",1.12594401413097e-11,-3.59791806798044,0.057,0.447,2.52391610207599e-07
"GPI",1.72558398054359e-11,-3.43102621320709,0.229,0.736,3.8680690507865e-07
"FTH1",1.95561353594648e-11,1.97913621033534,0.943,0.964,4.38370330217763e-07
"LINC00486",5.9631125295399e-11,6.60853603433736,0.6,0.012,1.33669130462166e-06
"SIPA1L1",1.45015357405193e-10,2.57984985778852,0.514,0.131,3.25066425159481e-06
"VAT1",1.8517653038759e-10,-0.603096358316955,0.029,0.127,4.15091710516822e-06
"CRIP1",1.85514765353414e-10,2.80895052372224,0.829,0.557,4.15849898016212e-06
"ADSS2",3.12900622433195e-10,5.93085626148713,0.514,0.008,7.01398035246249e-06
"ATP5MD",4.0486368018157e-10,-6.29215524812763,0,0.597,9.07542425495008e-06
"LINC-PINT",4.69749104384078e-10,4.01420414952503,0.657,0.056,1.05298959238735e-05
"BNIP3",5.77274797303363e-10,-2.84784286123614,0.171,0.59,1.29401918563522e-05
"U2AF1",5.98338343790895e-10,3.43161308061468,0.571,0.072,1.34123523144167e-05
"DUSP2",9.36381923743093e-10,3.98287576706915,0.657,0.106,2.09899372026252e-05
"BNIP3L",1.98548022673076e-09,-2.31213068824523,0.314,0.72,4.45065247623967e-05
"SRGN",3.30836930608124e-09,2.19418455644682,0.771,0.341,7.41604063651171e-05
