"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FOSB",9.17108337617686e-09,-2.27320133307456,0.815,1,0.00020557900496038
"SQSTM1",1.06652315335359e-07,-2.44830531488248,0.926,1,0.00239071830055742
"LAPTM5",1.13565931720825e-06,1.29836926733318,1,1,0.0254569392545401
"ARL6IP1",1.24089330703168e-06,-1.82860698281082,0.722,1,0.0278158643704221
"DNAJA1",2.00328099854651e-06,-1.61270532257722,0.926,1,0.0449055468634186
"IFI30",2.37789044613661e-06,-3.26672605937624,0.37,0.818,0.0533027922405983
"HLA-DRA",4.87952878383958e-06,-0.909906062094219,1,1,0.109379517218548
"NEAT1",5.98261196691691e-06,-2.79674102026196,0.389,0.909,0.13410622985041
"CISD2",1.81707906154256e-05,3.90401300301952,0.519,0,0.40731644243538
"DNAJB1",2.26903551301157e-05,-1.09373049065887,0.63,0.909,0.508627000596673
"SIK3",2.92496581518574e-05,-1.15602560412772,0.759,0.727,0.655660337132035
"LRRFIP1",3.92579053783203e-05,1.19312528093541,0.87,1,0.880005206960427
"CCNL1",3.94411948593835e-05,-1.428305831023,0.815,1,0.884113823967941
"H2AX",4.13203787210328e-05,-2.6564345750018,0.241,0.909,0.926237609410672
"CRIM1",4.53655861826077e-05,4.11588827617465,0.444,0,1
"PSMA6",5.40960276474482e-05,3.10924402449584,0.444,0,1
"PNPLA8",5.41642577075306e-05,2.09400293616706,0.611,0.091,1
"DENND4A",6.2798756742538e-05,-1.41412438625338,0.759,0.727,1
"MXI1",6.48648838213767e-05,2.87719836227116,0.611,0.091,1
"GABARAPL1",6.76386398932288e-05,2.40523789681048,0.63,0.273,1
"DDIT3",7.01213119325024e-05,-1.92539169599585,0.63,1,1
"SERTAD1",7.33861126691432e-05,-2.26723288243203,0.481,0.909,1
"EDF1",9.28013795531323e-05,2.98119970282305,0.685,0.182,1
"NUMB",9.29000220961066e-05,3.81544501238945,0.463,0,1
"SERTAD2",9.86052810957731e-05,-2.47621554071253,0.056,0.455,1
"NEU1",0.000102985841828425,-2.37814423797005,0.296,0.909,1
"FOS",0.000161286398994101,-2.66825574432507,0.815,0.909,1
"GAPDH",0.000167108077698799,-1.41836913572221,0.741,1,1
"EZR",0.000212030941419265,1.02612948954743,1,1,1
"CCR7",0.000222456385951378,-1.83279492698735,0.759,0.727,1
"GADD45B",0.000236649056726639,-2.23671562894924,0.963,1,1
"PPP1R15A",0.000239377759646971,-1.19639602065216,0.741,1,1
"CXCL16",0.000269983472239279,3.18778983725891,0.5,0.091,1
"MAFF",0.000320636013250396,-4.18274681320695,0.019,0.545,1
"FOSL1",0.000347355111850273,-4.06932485936568,0.037,0.545,1
"HLA-DPB1",0.000390731861850869,-0.201596705257149,0.963,1,1
"NFATC1",0.000394530620482383,-1.94796989243121,0.463,0.727,1
"CMSS1",0.000400497322901205,1.36774490503125,0.87,0.636,1
"DYNLL1",0.000432718524200037,-1.55406725891039,0.63,1,1
"POLR2I",0.000440758207336133,3.31532788971271,0.407,0,1
"ATP5MJ",0.000452142724259569,3.32941213494271,0.444,0,1
"JUND",0.000476711308900182,-0.582435502159021,1,1,1
"GPR137",0.000478387638647553,3.76526287976332,0.444,0,1
"TSPAN33",0.000502761747610731,3.60513712477824,0.426,0,1
"ATP5IF1",0.000503003350672907,2.49375470494095,0.556,0.182,1
"EPAS1",0.000510847405987414,-5.58044287972132,0,0.364,1
"KLHL2",0.000513479793531086,3.67110921039432,0.463,0,1
"SLBP",0.000531946956810505,0.730886450715589,0.685,0.909,1
"BLCAP",0.000564596153187289,3.20483642255526,0.37,0,1
"RUBCNL",0.000588827238974071,2.25569739084809,0.889,0.545,1
"ZFP36",0.000603982677338877,-1.57859916631122,0.944,1,1
"FTL",0.000622586262215534,-0.810586314644028,0.944,1,1
"BRD2",0.000632817107847685,-1.41135301192999,0.741,0.909,1
"YIPF4",0.000732033031871914,3.08386680976984,0.37,0,1
"GLA",0.000747504514062636,-2.74580850409539,0.389,0.636,1
"EIF4A1",0.000782959018679979,-0.998533295066908,0.944,1,1
"PCNP",0.0007838897360622,3.56323951709579,0.426,0,1
"LIMD2",0.000800359898008264,0.947114693612987,0.963,0.909,1
"DDX21",0.000852646166859217,0.823558271498694,0.907,0.636,1
"CD79A",0.000860789319758838,1.25257790947787,0.963,1,1
"EXOSC3",0.000885265142033505,2.78177441368028,0.352,0,1
"GLRX5",0.000941045344430549,2.75063935497004,0.333,0,1
"NDUFA4",0.000961893631834397,2.19848738448908,0.593,0.091,1
"KLHL21",0.00106788437223039,-4.41180083392611,0,0.273,1
"NR3C1",0.00107632182919541,1.63218900019075,0.741,0.364,1
"MCCC2",0.00109741494527842,2.81816674864916,0.352,0,1
"CIAO2B",0.00111229803009275,2.51608429361823,0.611,0.182,1
"KLF2",0.00115699764153966,-1.74656236454305,0.648,0.818,1
"SRSF3",0.0011598484468527,-1.46844978439947,0.852,0.909,1
"PSMB9",0.0011634941880387,2.0969645676008,0.63,0.182,1
"EIF4A3",0.00119802624775152,-1.98930142095078,0.519,0.818,1
"C11orf58",0.00121058702960494,1.49291350435495,0.833,0.727,1
"CD83",0.0012111107969019,-0.404656254986065,1,1,1
"MITD1",0.00127141969265848,3.02432030189558,0.333,0,1
"LINC01970",0.00128359208031603,-4.47547261992991,0,0.273,1
"PPIA",0.00131826592056611,-0.638464902479923,0.944,0.909,1
"ATP6V0C",0.00136432127257572,-1.2826235411316,0.963,1,1
"FILIP1L",0.00136963658594464,2.06311033556789,0.685,0.455,1
"DLEU2",0.00137613259374172,-0.830472351694016,0.778,0.727,1
"SSNA1",0.00142150704895662,3.45139003565026,0.407,0,1
"CKS2",0.0014627027861713,-2.29236882353794,0.407,0.818,1
"NUP214",0.00147882354320174,3.29930263861182,0.389,0,1
"NFU1",0.00148435468675369,3.23375497103262,0.333,0,1
"C7orf50",0.00162369095232146,0.912470893243563,0.611,0.364,1
"FEM1B",0.0016738946705086,-4.96621790423295,0,0.273,1
"LEPROTL1",0.00172155235408468,1.25170808030808,0.593,0.273,1
"MAPK1IP1L",0.001831232414936,1.48720577154449,0.833,0.545,1
"MOB1A",0.00190889837526596,1.25993781887499,0.722,0.364,1
"SLC39A4",0.00191187779500019,-2.96109977106016,0.019,0.273,1
"WDR74",0.00197110571598453,1.03840796071736,0.741,0.545,1
"CHMP4A",0.0020097785584012,2.52414321461324,0.5,0.091,1
"C1orf43",0.00201256446414205,0.727518089678922,0.648,0.182,1
"CDKN1A",0.0020733238334457,-1.36328257382543,0.833,1,1
"STMN1",0.00223851360695591,-1.59270188844959,0.407,0.909,1
"SARAF",0.00237034511218332,0.777245248081873,0.889,0.909,1
"MRPL9",0.00241217144843538,2.51864222487399,0.315,0,1
"SPN",0.00242053740044474,-4.89790710024775,0,0.273,1
"BORCS5",0.00243222291374798,0.858050719944234,0.704,0.364,1
"ZNF615",0.00245938973234314,-5.37233691519803,0,0.273,1
"NEIL1",0.0024598439401349,1.74805527451721,0.63,0.455,1
"CD22",0.00249052800846709,-1.69512206874458,0.315,0.545,1
"CHPT1",0.00270377818672859,1.16407481131801,0.685,0.545,1
"BORCS7",0.00283087694568193,2.98531236281651,0.333,0,1
"TMEM243",0.00287747575770007,2.24468961926151,0.685,0.364,1
"ARHGDIB",0.00297198114824463,1.45760729899367,0.815,0.545,1
"CD69",0.00310696194931687,-0.303305833617661,0.981,0.909,1
"ARIH2",0.00310961411462107,0.330366801916843,0.519,0.182,1
"WNT11",0.00313228051195012,-5.08065611848119,0,0.273,1
"CIB1",0.00315212117062309,0.956756444267296,0.833,0.455,1
"AFDN",0.0031781419172582,-2.58841269685731,0.019,0.273,1
"CCM2",0.00318642169460554,2.82252320025406,0.315,0,1
"C5orf24",0.00319131572307291,2.4658560202663,0.296,0,1
"GNAS",0.00326137141793961,-1.04674775601755,0.741,0.727,1
"PPP1R7",0.00328119977093859,2.68042816445553,0.296,0,1
"SYAP1",0.00336153738190095,0.564177143988823,0.574,0.273,1
"IGF2R",0.00336784507152344,-2.77313302457609,0.222,0.545,1
"SPAG4",0.00338059300783574,2.7293820405348,0.278,0,1
"PICALM",0.0034010408322975,1.28511877563962,0.63,0.182,1
"TRA2A",0.00340314174720131,-1.07252976632501,0.778,0.909,1
"TXNDC15",0.0034065952184588,2.65339362832196,0.296,0,1
"TACC3",0.00341571665721632,1.49211579840298,0.444,0.091,1
"POLR2K",0.00342556908679532,2.65835513936464,0.593,0.091,1
"UVRAG",0.0034754313791165,-1.79837981547997,0.426,0.818,1
"SACM1L",0.00348198957024613,2.50034841804401,0.278,0,1
"WSB1",0.00351748562901551,-0.77203833146383,0.685,0.909,1
"NUFIP2",0.00355258861131683,-1.17380364799032,0.389,0.636,1
"PRR13",0.00355976252044838,2.14879245355143,0.611,0.182,1
"H2BC6",0.0035765354713182,-4.76024626636053,0,0.273,1
"GUK1",0.00357802253552316,1.53194532628032,0.778,0.455,1
"CYGB",0.00362438231535862,-4.77149970728629,0,0.273,1
"PPP1R15B",0.0036520092788066,-1.29670591285704,0.315,0.727,1
"ATP5PB",0.00366377511969973,3.37895870403871,0.389,0,1
"ZEB1",0.00370561829340913,2.0079307199601,0.741,0.273,1
"RANGAP1",0.00371608160551873,2.72420812168271,0.296,0,1
"MALSU1",0.00372860963479786,2.69541035822803,0.296,0,1
"TLE4",0.00378893759802938,-1.10629133304087,0.407,0.909,1
"AP1S2",0.00380035498232081,2.8869238601445,0.333,0,1
"UBXN2A",0.00383639546927104,2.67158481408328,0.315,0,1
"MRPL44",0.00391149897983164,2.40870615879535,0.296,0,1
"EIF2AK3",0.00393462447631611,-1.67253413022725,0.611,0.818,1
"ACTR3",0.00397200974538983,1.59755806581781,0.704,0.273,1
"STK38",0.00405701441192431,-0.653655740561396,0.278,0.091,1
"HES6",0.00407987755385413,-4.51761729064068,0.019,0.273,1
"GM2A",0.00408678913498034,-4.69241759918813,0.019,0.273,1
"SLC8B1",0.00412885041844392,-4.94231136649863,0,0.273,1
"BCL2",0.00416343727234801,-1.39767104346984,0.37,0.636,1
"TOB1",0.00424922004842936,-3.25982572014374,0.074,0.545,1
"KLHL5",0.00428759796071679,2.21213824616243,0.722,0.273,1
"MIR23AHG",0.00432155458597127,-1.4209399853329,0.185,0.545,1
"ZFP36L2",0.00440165202324673,0.632432384722399,0.815,1,1
"TRBC2",0.0044608494651653,2.34217804260688,0.574,0.273,1
"BRPF3-AS1",0.0046146562125331,-2.61078342527455,0.019,0.273,1
"SMAP2",0.00480917262658875,1.20360320063875,0.87,0.727,1
"RELCH",0.00482720028862945,2.16323296728176,0.259,0,1
"ENSG00000291060",0.00490534749712856,-1.56580340080701,0.111,0.455,1
"RNF167",0.00493542692350404,2.83782190190521,0.315,0,1
"CORO1A",0.00496289274111947,0.909831081195102,0.741,0.818,1
"DNAJB2",0.00499076184026187,1.37672721199056,0.5,0.182,1
"CSTB",0.00499919518962447,-1.8993935464843,0.407,0.636,1
"RCAN3",0.00499992104859028,-2.42210459114076,0.037,0.273,1
"AGPAT5",0.00510857809631766,2.5590739616508,0.556,0.182,1
"DERL2",0.00512084404341573,2.81684746019504,0.315,0,1
"PDK1",0.00517887331472122,-2.3140901544416,0.111,0.545,1
"NDUFA13",0.00524500758553875,1.33866324630518,0.667,0.273,1
"NMT1",0.00536654656414591,3.15273671255783,0.389,0,1
"HEXA",0.00537215204829951,-2.08195879462259,0.167,0.636,1
"ARL5B",0.00538011338386182,-2.28848566006191,0.259,0.727,1
"RTRAF",0.0054291639406563,1.30752137566103,0.63,0.364,1
"GRSF1",0.00548696333751394,2.5564143277315,0.278,0,1
"ACSF3",0.00552493158280632,2.2691427793194,0.222,0,1
"CDYL",0.00555774529418857,2.85549104005909,0.259,0,1
"MT-ND3",0.00559433147005781,-1.14806319555977,0.963,1,1
"HLA-DRB1",0.00574193440212943,-0.272604308478728,1,1,1
"BAZ2B",0.00583378599960699,0.849063475461989,0.481,0.091,1
"OAZ1",0.0058387330333055,0.242526688477789,0.852,1,1
"SKI",0.00584129270517187,-2.45816608932624,0.222,0.636,1
"CREBZF",0.00585188793716051,2.60855415533084,0.296,0,1
"HSPBAP1",0.00586267211799221,2.30274017132568,0.259,0,1
"UBLCP1",0.00592700302281995,2.40803192773125,0.296,0,1
"HNRNPA3",0.00599568575837653,0.668964821548143,0.722,0.818,1
"TXNDC9",0.00600779865759745,2.47183678392345,0.259,0,1
"GRK5",0.00603830089260432,-0.767331290188829,0.519,0.273,1
"INTS6",0.00606633479590697,-1.43269228440534,0.593,0.909,1
"SYTL3",0.00607122453252234,2.55200017070583,0.259,0,1
