"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"FASLG",0,13.0885750561425,1,0,0,"15: NK cell_1"
"APOBEC3G",2.09213861630387e-12,0.496568167602974,0.786,0.678,4.68973792230675e-08,"15: NK cell_1"
"CEBPD",4.08898664263237e-11,0.401975266606316,0.555,0.43,9.16587245812472e-07,"15: NK cell_1"
"NKG7",1.95470619625377e-10,0.00138038651119032,0.999,0.974,4.38166940952245e-06,"15: NK cell_1"
"GNLY",3.48955235902362e-10,0.0139209676802388,0.976,0.932,7.82218056798734e-06,"15: NK cell_1"
"RPL11",9.48560319967566e-10,-0.185783143635822,0.997,0.997,2.1262928132393e-05,"15: NK cell_1"
"KLRB1",6.01462871624685e-09,0.156753574918003,0.666,0.592,0.000134823917303389,"15: NK cell_1"
"CD96",8.80671421347989e-09,0.318258429987059,0.781,0.67,0.000197411305809365,"15: NK cell_1"
"RPS18",9.87484894321583e-09,-0.161693301841905,0.988,0.995,0.000221354613911126,"15: NK cell_1"
"AUTS2",1.08403587190667e-08,0.409392911194304,0.584,0.451,0.000242997481046598,"15: NK cell_1"
"GZMB",1.1951363354447e-08,0.295642989908554,0.955,0.908,0.000267901760953283,"15: NK cell_1"
"PRF1",2.42874266447307e-08,0.0622888123404302,0.949,0.892,0.000544426955668284,"15: NK cell_1"
"CCL4",3.2129781163835e-08,0.52368151765923,0.733,0.653,0.000720221174568525,"15: NK cell_1"
"RPS21",1.65527225614309e-07,-0.162481182192019,0.983,0.983,0.00371045828937036,"15: NK cell_1"
"RPL34",3.72629872807207e-07,-0.174685666253521,0.998,0.995,0.00835287122884635,"15: NK cell_1"
"TGFBR3",3.82480108155584e-07,0.386629342724215,0.582,0.471,0.00857367410441557,"15: NK cell_1"
"CD38",5.78916708735715e-07,0.494978453442455,0.509,0.391,0.0129769969430198,"15: NK cell_1"
"SH2D2A",1.33499766814075e-06,0.196110275060486,0.771,0.69,0.029925307729043,"15: NK cell_1"
"H1-4",1.67232157671591e-06,0.962066699025582,0.249,0.139,0.0374867604636638,"15: NK cell_1"
"RPS15A",1.77817766991135e-06,-0.134660796900095,0.998,0.998,0.0398596306487328,"15: NK cell_1"
"RPL8",1.7911878962169e-06,-0.15546032821547,0.974,0.97,0.040151267881598,"15: NK cell_1"
"SH2D1B",1.79827430693865e-06,0.265134213534965,0.624,0.533,0.0403101168643367,"15: NK cell_1"
"RPL30",1.99333711808492e-06,-0.15270285120994,0.999,0.999,0.0446826448389916,"15: NK cell_1"
"RPL36A",3.65006405415137e-06,-0.200430486066637,0.815,0.839,0.0818198358378572,"15: NK cell_1"
"CLEC2B",4.74406881398244e-06,0.219906542714193,0.849,0.798,0.10634304653423,"15: NK cell_1"
"LTB",4.78870214158889e-06,-1.40617094650623,0.062,0.086,0.107343547205857,"15: NK cell_1"
"KLHL6",5.27679441880965e-06,0.843797398018894,0.155,0.088,0.118284623692037,"15: NK cell_1"
"TGFB1",5.45308345079858e-06,0.337902899877533,0.855,0.808,0.122236318633101,"15: NK cell_1"
"KLRD1",5.8133615222518e-06,0.135396166513174,0.913,0.851,0.130312311882796,"15: NK cell_1"
"CLIC3",6.0440017516492e-06,0.152794943434664,0.744,0.683,0.135482343264969,"15: NK cell_1"
"RPS14",7.20122456093449e-06,-0.123840304261821,0.988,0.982,0.161422649757908,"15: NK cell_1"
"RPL13",7.36553720114424e-06,-0.158073673770823,0.997,0.997,0.165105881900849,"15: NK cell_1"
"HLA-A",1.00065967373742e-05,0.075285779348496,0.999,0.999,0.22430787246498,"15: NK cell_1"
"ANP32B",1.08646726930841e-05,-0.344936271054796,0.413,0.478,0.243542503088172,"15: NK cell_1"
"S100A4",1.15129933388775e-05,-0.296886655121804,0.517,0.498,0.258075258684277,"15: NK cell_1"
"SRGN",1.15215644691192e-05,0.236864637100916,0.948,0.905,0.258267389139777,"15: NK cell_1"
"RPL39",1.1722755223377e-05,-0.127079274000672,0.995,0.986,0.262777281087218,"15: NK cell_1"
"RPL32",1.26080690143124e-05,-0.154299093339568,0.997,0.997,0.282622475024827,"15: NK cell_1"
"RPS12",1.51168534580716e-05,-0.146239927550553,0.997,0.999,0.338859387116134,"15: NK cell_1"
"LBH",1.53494818030852e-05,0.0987797302694555,0.558,0.473,0.344073984097959,"15: NK cell_1"
"HLA-C",1.8978835582623e-05,0.0819827118645495,1,0.999,0.425429578420076,"15: NK cell_1"
"CCSER2",2.06333354677881e-05,0.307994708928418,0.61,0.509,0.462516847845938,"15: NK cell_1"
"ENSG00000291075",2.26545603755314e-05,0.793723945917977,0.104,0.05,0.507824625377911,"15: NK cell_1"
"ENO1",2.77369593111754e-05,-0.386387612001658,0.653,0.66,0.621751679919307,"15: NK cell_1"
"VIM",2.79245123760225e-05,0.568227502182832,0.584,0.537,0.625955869420919,"15: NK cell_1"
"DDX19B",2.85068888619144e-05,0.165739922476378,0.143,0.102,0.639010420728674,"15: NK cell_1"
"ALOX5AP",3.04353934145918e-05,0.256759749941474,0.391,0.331,0.68223977878149,"15: NK cell_1"
"FAM43A",3.08484576922455e-05,0.261839141213874,0.136,0.09,0.691499027629375,"15: NK cell_1"
"RPL7",3.66856705572946e-05,-0.252905956851477,0.638,0.67,0.822345991212316,"15: NK cell_1"
"RPL13A",3.67957103772682e-05,-0.20555021917862,0.768,0.769,0.824812643816845,"15: NK cell_1"
"OASL",3.83124386424689e-05,0.399634044724712,0.565,0.458,0.858811624609583,"15: NK cell_1"
"RPL18A",4.01900136549419e-05,-0.163864064703299,0.989,0.993,0.900899346089178,"15: NK cell_1"
"LST1",0.000391424445312942,-3.46773997155476,0.002,0.014,1,"15: NK cell_1"
"PCMTD1-DT",0.00034087887284898,3.40137392875797,0.012,0.001,1,"15: NK cell_1"
"TNFRSF11A",0.00450195323180156,3.23372959017346,0.01,0.001,1,"15: NK cell_1"
"AIF1",0.000699353865650581,-3.18670593347728,0.002,0.013,1,"15: NK cell_1"
"MAL",0.00233104462278862,-3.0229372791121,0.002,0.011,1,"15: NK cell_1"
"B4GALT1-AS1",0.0070409189821968,2.99052828016883,0.011,0.002,1,"15: NK cell_1"
"BCL2L1-AS1",0.00279194660872673,2.90915520621036,0.011,0.001,1,"15: NK cell_1"
"ASTL",0.0111596753320056,-2.68224766017313,0.002,0.01,1,"15: NK cell_1"
"ENSG00000283907",0.00970695117882299,2.54015710854549,0.012,0.002,1,"15: NK cell_1"
"FAM156A",0.0197782298612051,-2.48405466661177,0.002,0.01,1,"15: NK cell_1"
"SIT1",0.000771136107437602,-2.47208817748288,0.004,0.018,1,"15: NK cell_1"
"AFF3",0.00576302670188228,-2.32980439171754,0.005,0.015,1,"15: NK cell_1"
"CCR7",4.62297308056455e-05,-2.30887499278739,0.015,0.031,1,"15: NK cell_1"
"CD79A",0.0136293392683676,-2.30485396096661,0.008,0.013,1,"15: NK cell_1"
"CCL24",0.364118210539445,-2.24162245106433,0.012,0.008,1,"15: NK cell_1"
"RAVER2",0.0150789701000799,2.22708547529544,0.01,0.002,1,"15: NK cell_1"
"ENSG00000284624",0.00242830810748423,2.17464847875416,0.015,0.003,1,"15: NK cell_1"
"RGS12",0.0149840203603893,-2.10465722059671,0.003,0.011,1,"15: NK cell_1"
"LYG1",0.0237466618134618,2.10386663963053,0.01,0.002,1,"15: NK cell_1"
"INPP4B",0.0398401552588528,-2.09875494813335,0.003,0.01,1,"15: NK cell_1"
"AL162258.2",0.083809430398856,-2.04659527415712,0.004,0.011,1,"15: NK cell_1"
"SLC10A1",0.00537541082206544,2.02837620713274,0.014,0.003,1,"15: NK cell_1"
"AL365356.1",0.101927691982641,-1.97459931227853,0.004,0.013,1,"15: NK cell_1"
"ENSG00000291259",0.0175065876526191,1.96836395148687,0.012,0.003,1,"15: NK cell_1"
"AL161725.1",0.0362738582952799,-1.958519509089,0.003,0.012,1,"15: NK cell_1"
"FAAH2",0.00725087083429262,-1.94816242916627,0.003,0.012,1,"15: NK cell_1"
"AC084018.2",0.119003220057968,-1.88996982068953,0.003,0.01,1,"15: NK cell_1"
"PLEKHG1",0.0790833581265581,-1.88689517489319,0.005,0.011,1,"15: NK cell_1"
"LGALS3BP",0.0111775437209594,-1.87653840860616,0.004,0.014,1,"15: NK cell_1"
"SPI1",0.0303293383512542,-1.84879314451109,0.005,0.012,1,"15: NK cell_1"
"CD27",0.000215939096734491,-1.84865358248249,0.012,0.033,1,"15: NK cell_1"
"DELEC1",0.0642091688046149,1.83147751755781,0.011,0.004,1,"15: NK cell_1"
"AC005332.1",0.0953621748277667,-1.81555530151553,0.004,0.011,1,"15: NK cell_1"
"TJP2",0.0114417456032403,-1.80485581850159,0.005,0.014,1,"15: NK cell_1"
"IFNG-AS1",0.148957911855993,-1.7963123098654,0.006,0.012,1,"15: NK cell_1"
"AL136419.3",0.0522077628256129,-1.75901630601058,0.003,0.011,1,"15: NK cell_1"
"DDN-AS1",0.000219558832036987,1.75792517570093,0.028,0.007,1,"15: NK cell_1"
"ENSG00000261799",0.0598460353208601,1.73529617555968,0.01,0.003,1,"15: NK cell_1"
"ENSG00000257027",0.0674940637862787,1.73166143196933,0.01,0.003,1,"15: NK cell_1"
"NET1",0.00812462675105692,1.72349770268152,0.018,0.005,1,"15: NK cell_1"
"AC006059.1",0.0195245385680888,-1.71615951901914,0.005,0.017,1,"15: NK cell_1"
"FAM229A",0.185837646263037,-1.70555573017926,0.004,0.01,1,"15: NK cell_1"
"ENSG00000259201",0.0334668073185099,1.69120115001699,0.015,0.005,1,"15: NK cell_1"
"ENSG00000289526",0.0198428879946246,-1.68973349552131,0.006,0.015,1,"15: NK cell_1"
"EGR2",0.00158890070058975,1.68877219562918,0.032,0.01,1,"15: NK cell_1"
"TNF",0.0955405207837425,1.68604883941459,0.03,0.017,1,"15: NK cell_1"
"ZNF610",0.113015921063607,1.66142690003717,0.01,0.003,1,"15: NK cell_1"
"TMEM44",0.096773598819577,1.66081362722498,0.011,0.004,1,"15: NK cell_1"
"ENSG00000289904",0.0571031230923991,1.65858946923198,0.011,0.004,1,"15: NK cell_1"
"PTGDS",0.352476273039685,1.64339196742436,0.023,0.016,1,"15: NK cell_1"
"SOCS3",0.00217115604589714,-1.64267200281752,0.011,0.023,1,"15: NK cell_1"
"CEP131",0.0520441424160022,-1.6369809755473,0.007,0.016,1,"15: NK cell_1"
"ENSG00000291220",0.0701472570305544,1.63645520482788,0.011,0.003,1,"15: NK cell_1"
"GUSBP2",0.00607171888074092,1.63277829961327,0.019,0.005,1,"15: NK cell_1"
"LINC02863",0.103946672874299,1.63045534688909,0.011,0.004,1,"15: NK cell_1"
"AL139089.1",0.0976071358885875,-1.59260496945318,0.005,0.014,1,"15: NK cell_1"
"MDC1-AS1",0.0621166948127617,1.59230236261645,0.011,0.003,1,"15: NK cell_1"
"AL645941.3",0.0980634649375182,1.56668227661981,0.01,0.003,1,"15: NK cell_1"
"ABTB2",0.00401832325718509,1.54569169505363,0.023,0.007,1,"15: NK cell_1"
"ENSG00000290057",0.0500713433836947,-1.54559920697267,0.004,0.011,1,"15: NK cell_1"
"GTF2I-AS1",0.0400238968797401,1.54482767097897,0.019,0.007,1,"15: NK cell_1"
"STOML1",0.0523024559574183,-1.53507580372636,0.004,0.012,1,"15: NK cell_1"
"ENSG00000289600",0.219749895254071,1.53394094164103,0.01,0.004,1,"15: NK cell_1"
