"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"FASLG",1.04391046988159e-259,10.9763451434554,1,0,2.34002970928657e-255,"27: GZMK+ CD8 T cell"
"NKG7",4.35725863209133e-27,0.613469518984466,0.996,0.849,9.76723094969592e-23,"27: GZMK+ CD8 T cell"
"TCF7",6.22724428577924e-25,-1.76629814152395,0.375,0.591,1.39589907910027e-20,"27: GZMK+ CD8 T cell"
"CCL4",2.25908431215386e-24,1.47662634426283,0.724,0.409,5.06396339412409e-20,"27: GZMK+ CD8 T cell"
"GZMH",1.81841034016454e-21,0.529657645864333,0.82,0.494,4.07614861851283e-17,"27: GZMK+ CD8 T cell"
"CCR7",6.63379624489893e-18,-1.94987695195612,0.195,0.414,1.48703176625654e-13,"27: GZMK+ CD8 T cell"
"OASL",1.1424989460173e-17,0.544162035010028,0.893,0.585,2.56102563739238e-13,"27: GZMK+ CD8 T cell"
"LEF1",1.53619316804177e-15,-3.7051602239529,0.044,0.213,3.44353060548242e-11,"27: GZMK+ CD8 T cell"
"SELL",3.58578682008139e-15,-1.82121018021358,0.217,0.312,8.03789973589444e-11,"27: GZMK+ CD8 T cell"
"IL7R",1.00499687200166e-14,-2.46655264238318,0.088,0.291,2.25280098827893e-10,"27: GZMK+ CD8 T cell"
"APOBEC3G",2.81182018549388e-14,0.624776478709651,0.912,0.727,6.30297612780307e-10,"27: GZMK+ CD8 T cell"
"NUCB2",2.84771817503668e-14,-1.51721593319272,0.243,0.368,6.38344506116222e-10,"27: GZMK+ CD8 T cell"
"MIR4435-2HG",3.32978259297613e-14,1.09857043079486,0.71,0.361,7.46404066041529e-10,"27: GZMK+ CD8 T cell"
"CCL5",3.91146062715282e-14,0.424185199522049,0.989,0.865,8.76793014182575e-10,"27: GZMK+ CD8 T cell"
"GZMB",1.13485936152834e-13,0.769114905878483,0.706,0.448,2.54390074480192e-09,"27: GZMK+ CD8 T cell"
"LTB",1.59708860661207e-13,-3.4500349962301,0.096,0.272,3.58003382058161e-09,"27: GZMK+ CD8 T cell"
"GZMA",4.2430533392613e-13,0.891346273578919,0.783,0.487,9.51122836528812e-09,"27: GZMK+ CD8 T cell"
"PTPRJ",1.61803998225370e-12,0.676775271217649,0.801,0.565,3.6269984242199e-08,"27: GZMK+ CD8 T cell"
"PPP1R16B",9.41550587626640e-12,0.566600189557867,0.835,0.603,2.11057979722388e-07,"27: GZMK+ CD8 T cell"
"RPL32",1.08777842920379e-11,-0.374925629876246,1,1,2.43836412690321e-07,"27: GZMK+ CD8 T cell"
"KLF2",1.10186146367284e-11,-0.969472125388751,0.43,0.669,2.46993265696904e-07,"27: GZMK+ CD8 T cell"
"ACTN1",1.59999739363604e-11,-5.52665755002455,0.007,0.115,3.58655415757456e-07,"27: GZMK+ CD8 T cell"
"RPS13",1.9414078546175e-11,-0.41299757765099,1,0.989,4.35185984691058e-07,"27: GZMK+ CD8 T cell"
"RPL8",2.29581272475312e-11,-0.321268617602172,1,0.99,5.1462938038066e-07,"27: GZMK+ CD8 T cell"
"PRF1",6.73077900532801e-11,0.404981208958141,0.838,0.592,1.50877142183433e-06,"27: GZMK+ CD8 T cell"
"AL138963.4",7.74598240915198e-11,-2.47899948926145,0.044,0.167,1.73633941683551e-06,"27: GZMK+ CD8 T cell"
"GNG2",1.18807161186935e-10,0.501191603241512,0.926,0.754,2.66318132516633e-06,"27: GZMK+ CD8 T cell"
"CST7",2.56160146262133e-10,0.26385184736422,0.971,0.827,5.74208583861197e-06,"27: GZMK+ CD8 T cell"
"C1orf21",2.60099746837754e-10,0.544380329600428,0.757,0.513,5.83039592511509e-06,"27: GZMK+ CD8 T cell"
"IGFBP2",3.91157011463926e-10,-5.12462926962048,0.015,0.116,8.76817556897535e-06,"27: GZMK+ CD8 T cell"
"CHST12",4.24465298488528e-10,0.676623838264148,0.732,0.514,9.51481413091885e-06,"27: GZMK+ CD8 T cell"
"CYTOR",4.53966569226092e-10,0.603564273225361,0.801,0.536,1.01761146157721e-05,"27: GZMK+ CD8 T cell"
"SRGN",5.2461501491493e-10,0.33901322628581,0.982,0.88,1.17597701743331e-05,"27: GZMK+ CD8 T cell"
"SAMSN1",6.4589275595525e-10,0.584355787440023,0.849,0.665,1.44783320174929e-05,"27: GZMK+ CD8 T cell"
"HLA-DRB1",9.58922502096791e-10,0.421272100507962,0.875,0.647,2.14952068070017e-05,"27: GZMK+ CD8 T cell"
"CCL3",1.2575662795715e-09,1.61160868146714,0.176,0.048,2.81896057228746e-05,"27: GZMK+ CD8 T cell"
"PLSCR1",1.76163748795974e-09,0.930027128638113,0.673,0.385,3.94888659301055e-05,"27: GZMK+ CD8 T cell"
"TMEM123",1.81879401878535e-09,-1.15448177905372,0.316,0.428,4.07700867250923e-05,"27: GZMK+ CD8 T cell"
"CD38",1.87504424294974e-09,0.87042449530268,0.71,0.45,4.20309917499614e-05,"27: GZMK+ CD8 T cell"
"CEMIP2",2.28094672619385e-09,0.668541592691406,0.728,0.484,5.11297018143613e-05,"27: GZMK+ CD8 T cell"
"EEF1B2",2.52372043748052e-09,-0.452078731727221,0.912,0.886,5.65717173265633e-05,"27: GZMK+ CD8 T cell"
"MTRNR2L12",4.11211058481322e-09,-2.24657806073746,0.051,0.151,9.21770708691731e-05,"27: GZMK+ CD8 T cell"
"ANXA5",4.1448884185983e-09,0.442824469241452,0.89,0.651,9.29118187912994e-05,"27: GZMK+ CD8 T cell"
"RPS27A",4.67772952961719e-09,-0.317832454130121,0.996,1,0.000104855985135899,"27: GZMK+ CD8 T cell"
"TENT5C",5.38040287398492e-09,0.708956368467315,0.651,0.414,0.000120607110823246,"27: GZMK+ CD8 T cell"
