"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"FASLG",0,14.4766798486494,1,0,0,"3: IL2RB+ NK cell"
"NKG7",2.88007152079436e-74,0.0489698568155221,0.999,0.953,6.45596832101264e-70,"3: IL2RB+ NK cell"
"APOBEC3G",4.32494532159525e-51,0.552663393794845,0.797,0.644,9.6947974328879e-47,"3: IL2RB+ NK cell"
"SRGN",7.74013297701773e-48,0.346517320805976,0.972,0.924,1.73502820812829e-43,"3: IL2RB+ NK cell"
"CD38",1.22071042823306e-47,0.675955030544992,0.646,0.49,2.73634449592723e-43,"3: IL2RB+ NK cell"
"GZMB",1.4081270129916e-47,0.449069525430486,0.941,0.873,3.15645751232196e-43,"3: IL2RB+ NK cell"
"CST7",1.1483350755303e-43,-0.151618673550414,0.985,0.939,2.57410790530873e-39,"3: IL2RB+ NK cell"
"RPL18A",1.88922732507158e-43,-0.272805833731915,0.994,0.995,4.23489197188045e-39,"3: IL2RB+ NK cell"
"GNLY",1.01260332805125e-40,-0.060024704185925,0.977,0.928,2.26985162015969e-36,"3: IL2RB+ NK cell"
"LEF1",2.28041814168917e-40,-2.16813761572497,0.033,0.066,5.11178530641044e-36,"3: IL2RB+ NK cell"
"RPL11",2.57043439182496e-40,-0.227926294387696,0.999,0.996,5.76188573271482e-36,"3: IL2RB+ NK cell"
"RPL32",5.40288880003638e-40,-0.241137891011313,0.999,0.998,1.21111155341616e-35,"3: IL2RB+ NK cell"
"RPS23",1.11166436771335e-37,-0.240234009074712,0.999,0.997,2.49190684666625e-33,"3: IL2RB+ NK cell"
"MAL",2.26054678014257e-37,-4.2086500211985,0.003,0.028,5.06724166236758e-33,"3: IL2RB+ NK cell"
"RPL30",1.42010902995662e-36,-0.218070122207614,1,0.999,3.18331640155076e-32,"3: IL2RB+ NK cell"
"RPL29",1.1257647321226e-35,-0.242132941793052,0.997,0.997,2.52351422352601e-31,"3: IL2RB+ NK cell"
"RPL19",4.35303068398187e-35,-0.213220268494933,0.999,0.996,9.75775358121377e-31,"3: IL2RB+ NK cell"
"RPL34",3.30222798230849e-34,-0.215781008302151,0.999,0.997,7.40227424514271e-30,"3: IL2RB+ NK cell"
"RPS15A",4.70753671304139e-34,-0.210334683484535,0.999,0.999,1.05524142959536e-29,"3: IL2RB+ NK cell"
"RPS13",1.12251169034503e-33,-0.252942011576407,0.993,0.99,2.51622220507742e-29,"3: IL2RB+ NK cell"
"KLRD1",2.09201466343451e-33,0.179468390750003,0.937,0.864,4.68946006955479e-29,"3: IL2RB+ NK cell"
"UBB",4.49909892611221e-33,0.272055121217996,0.935,0.888,1.00851801527731e-28,"3: IL2RB+ NK cell"
"GPI",6.10693278235946e-33,-0.587936494720084,0.464,0.552,1.3689300524937e-28,"3: IL2RB+ NK cell"
"PRF1",7.38423815250226e-33,0.0896026619829851,0.94,0.87,1.65525082426491e-28,"3: IL2RB+ NK cell"
"MIF",8.24901570049856e-33,-0.397115342882625,0.86,0.89,1.84909935942376e-28,"3: IL2RB+ NK cell"
"RPS18",4.29407812736777e-32,-0.207718955008615,0.997,0.997,9.62560553030759e-28,"3: IL2RB+ NK cell"
"CCL4",6.06598642987955e-32,0.896504251195858,0.676,0.598,1.3597515181218e-27,"3: IL2RB+ NK cell"
"OASL",9.08357411110272e-32,0.525335086922894,0.558,0.388,2.03617397274479e-27,"3: IL2RB+ NK cell"
"LTB",2.5304117062154e-30,-1.24442619612581,0.074,0.117,5.67217088065244e-26,"3: IL2RB+ NK cell"
"HLA-A",4.02327502007748e-30,0.119676771712414,1,1,9.01857328500568e-26,"3: IL2RB+ NK cell"
"SH2D1B",5.75938585275989e-30,0.330151962425583,0.738,0.621,1.29102393275466e-25,"3: IL2RB+ NK cell"
"CEBPD",9.85392200183922e-30,0.304110559331265,0.715,0.611,2.20885515593228e-25,"3: IL2RB+ NK cell"
"H1-4",1.36771323082835e-29,1.16583988738732,0.276,0.134,3.06586597822483e-25,"3: IL2RB+ NK cell"
"NACA",1.60057093821258e-29,-0.198528922817147,0.985,0.982,3.58783981509732e-25,"3: IL2RB+ NK cell"
"CCR7",2.24138710530716e-29,-1.26903390498731,0.057,0.074,5.02429333525653e-25,"3: IL2RB+ NK cell"
"RPS25",4.80892127950406e-29,-0.215754420409795,0.989,0.985,1.07796779401363e-24,"3: IL2RB+ NK cell"
"RPL14",6.08932595291587e-29,-0.204222152866073,0.993,0.989,1.36498330560562e-24,"3: IL2RB+ NK cell"
"HLA-C",6.52062291151041e-29,0.139441261892673,0.999,0.998,1.46166283184417e-24,"3: IL2RB+ NK cell"
"CLIC3",1.31095832315126e-28,0.18960291868126,0.811,0.731,2.93864417717587e-24,"3: IL2RB+ NK cell"
"CD27",1.83266740608817e-28,-1.71331995491927,0.021,0.057,4.10810725748724e-24,"3: IL2RB+ NK cell"
"CD5",2.05873819870682e-28,-2.56682852706342,0.006,0.031,4.6148675462212e-24,"3: IL2RB+ NK cell"
"EFHD2",2.50189225328274e-28,0.212071669556963,0.939,0.878,5.60824167495859e-24,"3: IL2RB+ NK cell"
"H1-2",4.04696831749234e-28,1.28952607853159,0.19,0.077,9.07168418049083e-24,"3: IL2RB+ NK cell"
"TGFB1",5.683795382085e-28,0.478287899625168,0.877,0.813,1.27407957284817e-23,"3: IL2RB+ NK cell"
"STAT4",6.13423441114461e-28,0.358477164338195,0.749,0.635,1.37504998560218e-23,"3: IL2RB+ NK cell"
"RPS12",6.34686072442814e-28,-0.21923487714455,0.998,0.999,1.42271229998781e-23,"3: IL2RB+ NK cell"
"H3-3B",1.20151038424283e-27,0.809379654179641,0.403,0.239,2.69330567731872e-23,"3: IL2RB+ NK cell"
"KLRB1",1.31239660953576e-27,-0.161542910889841,0.823,0.766,2.94186823993537e-23,"3: IL2RB+ NK cell"
"RPL36",7.77342283597853e-27,-0.213368528493613,0.986,0.986,1.74249046291295e-22,"3: IL2RB+ NK cell"
"IL7R",9.89292962077167e-27,-1.46851570110011,0.052,0.087,2.21759910379218e-22,"3: IL2RB+ NK cell"
"RPL13",1.0953344723666e-26,-0.226208820443743,0.999,0.998,2.45530175325697e-22,"3: IL2RB+ NK cell"
"RPS3",1.28418100787851e-26,-0.183921204862985,0.999,0.999,2.87862014726047e-22,"3: IL2RB+ NK cell"
"MARCHF3",2.97976090846973e-26,1.23791071476653,0.183,0.076,6.67943205242575e-22,"3: IL2RB+ NK cell"
"RPS15",3.20935827098508e-26,-0.173252951717386,0.996,0.996,7.19409750024015e-22,"3: IL2RB+ NK cell"
"RPS27A",3.85520971276383e-26,-0.185037161002779,1,0.999,8.64183809213141e-22,"3: IL2RB+ NK cell"
"RPL8",5.03915596035093e-26,-0.1985538449898,0.983,0.979,1.12957720007226e-21,"3: IL2RB+ NK cell"
"ENO1",5.12831505235489e-26,-0.385493483894754,0.771,0.802,1.14956310213587e-21,"3: IL2RB+ NK cell"
"CRIP1",8.73019293149893e-26,0.619171776513372,0.843,0.792,1.9569600475248e-21,"3: IL2RB+ NK cell"
"NOG",1.18414939634689e-25,-4.58803230650825,0.001,0.017,2.65438928685118e-21,"3: IL2RB+ NK cell"
"RPL7A",1.68203331618528e-25,-0.183552197319034,0.994,0.992,3.77044588156093e-21,"3: IL2RB+ NK cell"
"RPL18",1.94242234590696e-25,-0.179605405905495,0.992,0.987,4.35413393058505e-21,"3: IL2RB+ NK cell"
"H3-3A",2.24489030797861e-25,0.842886953643524,0.394,0.234,5.03214611436485e-21,"3: IL2RB+ NK cell"
"SIT1",2.2704950893911e-25,-3.75542128145271,0.002,0.02,5.08954179237908e-21,"3: IL2RB+ NK cell"
"GNG2",3.21482274943407e-25,0.435014223841326,0.794,0.725,7.20634667513141e-21,"3: IL2RB+ NK cell"
"NFKB1",8.21335157221562e-25,0.666536872816136,0.551,0.416,1.84110488842785e-20,"3: IL2RB+ NK cell"
"FTL",1.59829812957653e-24,-0.280949325377753,0.984,0.98,3.58274508725874e-20,"3: IL2RB+ NK cell"
"VEGFB",1.91153831222298e-24,-0.613722471776478,0.3,0.395,4.28490428067903e-20,"3: IL2RB+ NK cell"
"VIM",2.29434187864262e-24,0.838803062201878,0.689,0.598,5.1429967551653e-20,"3: IL2RB+ NK cell"
"CD3E",2.47679009767773e-24,-0.713973046705767,0.167,0.232,5.55197268295439e-20,"3: IL2RB+ NK cell"
"RPL12",3.33537681286402e-24,-0.197722833461336,0.985,0.985,7.47658066371599e-20,"3: IL2RB+ NK cell"
"TALAM1",4.01795991023329e-24,0.655131692030369,0.371,0.215,9.00665893477895e-20,"3: IL2RB+ NK cell"
"CHST12",6.04982648373066e-24,0.29942980192857,0.705,0.588,1.35612910459307e-19,"3: IL2RB+ NK cell"
"HAVCR2",7.48564602054675e-24,0.46350148540727,0.47,0.329,1.67798241196576e-19,"3: IL2RB+ NK cell"
"YARS1",1.45840899067405e-23,0.959872458611566,0.256,0.129,3.26916959349495e-19,"3: IL2RB+ NK cell"
"RPS28",2.84049280810111e-23,-0.179571170105612,0.997,0.996,6.36724867863945e-19,"3: IL2RB+ NK cell"
"LDHB",3.3042856056185e-23,-0.326667049993847,0.453,0.444,7.40688661355443e-19,"3: IL2RB+ NK cell"
"RPL39",3.93468849135993e-23,-0.188496760953607,0.995,0.988,8.81999772223243e-19,"3: IL2RB+ NK cell"
"H3F3B",5.66813205110301e-23,-0.308696142808489,0.588,0.743,1.27056848057525e-18,"3: IL2RB+ NK cell"
"RPS19",7.56325924965722e-23,-0.188435193234207,1,0.999,1.69538019340316e-18,"3: IL2RB+ NK cell"
"FTH1",7.62682149711644e-23,0.515328116822937,0.981,0.968,1.70962830679362e-18,"3: IL2RB+ NK cell"
"ATP5MJ",8.6906299288596e-23,1.03174324532354,0.239,0.118,1.94809160485317e-18,"3: IL2RB+ NK cell"
"RPL35A",9.73556950990747e-23,-0.17890280683174,0.996,0.993,2.18232526134086e-18,"3: IL2RB+ NK cell"
"ACTN1",1.07196260772587e-22,-1.99966258186459,0.011,0.033,2.40291138147831e-18,"3: IL2RB+ NK cell"
"FAU",1.12761894666507e-22,-0.171343008707647,0.998,0.997,2.52767063084442e-18,"3: IL2RB+ NK cell"
"BNIP3",1.44798136885469e-22,-0.709435474323496,0.203,0.282,3.24579503642468e-18,"3: IL2RB+ NK cell"
"IRAG2",1.5274094554135e-22,1.1022925750239,0.175,0.076,3.42384103525489e-18,"3: IL2RB+ NK cell"
"ALDOA",1.63042241607638e-22,-0.35999909055076,0.712,0.745,3.6547548878768e-18,"3: IL2RB+ NK cell"
"SELL",2.66891644224019e-22,-0.691145465534325,0.137,0.148,5.98264309692561e-18,"3: IL2RB+ NK cell"
"H4C3",3.3896262063644e-22,1.03851740253077,0.3,0.162,7.59818610418644e-18,"3: IL2RB+ NK cell"
"LRRN3",6.60698945253223e-22,-3.32875707712539,0.002,0.016,1.48102275567963e-17,"3: IL2RB+ NK cell"
"RPS21",7.62318331863691e-22,-0.199456032374593,0.99,0.987,1.70881277270565e-17,"3: IL2RB+ NK cell"
"FAM162A",8.14282437336894e-22,-0.577745940656159,0.256,0.327,1.82529551153438e-17,"3: IL2RB+ NK cell"
"RPS4X",9.82943672837838e-22,-0.178639599924505,0.996,0.995,2.2033665370333e-17,"3: IL2RB+ NK cell"
"ENO2",1.34586824564826e-21,-0.69141683933704,0.182,0.259,3.01689825944514e-17,"3: IL2RB+ NK cell"
