"","CP002-entry","CP003-entry","CP006-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP020-V1","CP022-entry","CP042-entry"
"CD86",0.0247921455182265,0,0.234030424252771,0.112384811555947,0.00614702212514213,0.0133515404332326,0.0704738569477559,0.0322672256037326,0.00849888922373554,0.0236720385153833
"CD274",0,0,0,0,0.00871733551251935,0,0,0,0,0
"TNFRSF14",0,0.00441423098357063,0,0,0,0,0,0,0,0
"PVR",0.00229821446126059,0.00314921413637997,0.00934952943803926,0.00112580809566783,0,0.0122893143396239,0,0.0025225964017751,0,0
"NECTIN2",0,0.00210370461739386,0.0152297739651314,0,0,0,0,0,0,0
"CD47",0.451224733685197,0.0344357365846513,0.0506989259913459,0.0666872693912953,0.0142421677717493,0.00462256854535014,0.0292310211738945,0.00517837938714708,0.0131411493219209,0
"CD48",0.733445863513131,2.29085555756941,0.652993317623656,0.636743701226554,0.650593608900261,0.720474147728956,0.425142529223317,0.479278376969701,0.655926492874735,0.591372026918494
"CD40",0.0188913536126153,0.0542856424697363,0.0425045489931499,0.0173255091471728,0.0168698922739503,0.00305695379023652,0.0745754507703872,0.00884284638746032,0.010448773472947,0
"CD40LG",0,0,0.00237797673437067,0,0,0,0,0.000320117186645176,0,0
"CD52",0.00550756556785641,2.03339819383609,27.9709544154735,0,0,0.0302274582037813,0.00602891837472905,0,0,0.00540669298786996
"CD3D",0.453617563570366,0.00180601400124015,13.3205009628625,0.639485066464248,0,0.146289709147678,0.264772498152881,0.00462132112555565,0.0379637913571498,0.417825148971439
"CD8A",28109.7833432319,120.395597491261,203764.269288544,2406.06797530429,1887.71494246269,9207.51645460282,1.53767936543546,6.4229597554444,96.1999739484681,3445079.58806427
"NCAM1",2.30099726977662,36.6156904980567,1407.79709953785,23.5162551009601,21509.2557287998,5.82706307938071,0.340908190524727,5.43994793471705,3.50622568407253,1.76033600090415
"CD19",0.0692818641005637,0.0999927480287127,0.0103341339513578,0,1.07000329552664,0.0115872715246418,0.0431120431869468,0.0642927446486328,0.0145421369051598,0.257391320391607
"CD33",0.745830308855139,0.0275587458539965,189.58134398094,0.070542910044236,0.184499830258241,0.0825198658313401,0.0298295179008964,0.0441980244822974,0.458539506697579,0.233295467943342
"ITGAX",1687.43677595089,7.01730871686325,308.032844253378,81.195664733578,1526.99789989102,38.6788374444092,10.6831253119229,17.8042838966655,297.674279112625,7.16441064544959
"HLA-A",4.23441953487633,0.586827981983424,10.7005289752072,0.0733453754276172,0.449370353524615,0.0565525470591689,0.0495606780854346,0.109811718371279,0.331302972291255,0.00207509957669802
"CD45RA",327.126004733277,855.202221849786,2355.96330050801,24.47055194731,53.7299716135099,24.3662713763691,29.1355046604286,33.9500938155807,16.0354962607372,26.8761152203594
"IL3RA",0,0.0447368826771653,0.260632564080079,0.0205945934248104,0.10440285993443,0.0872558962618623,0.0675399265663256,0.00556519043118963,0.00529017514589649,0.0115703140996091
