"","CP002-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP018-entry","CP020-V1","CP022-entry","CP042-entry"
"CD86",4212.74110944023,7449.17964900459,1903165.69490047,2946.80331712181,97153.2451637188,1069837.8053588,9.94009454883036,136796.016117498,49.0452821609629
"CD274",0.413581876534005,0.0271142713909015,3.94730741224571,0.119562186294993,0.191785777628866,0.106734795304355,0,0.193382271164833,0.0577037138315682
"TNFRSF14",0,0,0,0,0,0.548808981378312,0.00178268263088948,0.00734234969816597,0.00332595651976853
"PVR",0,0,0.00223446424283057,0,0,0,0,0,0
"NECTIN2",0,0,0,0,0,0,0,0,0
"CD47",23.5829737520625,5.60661615469601,2.5481415001502,0.269504041812176,2.36468650088923,7.15913500249154,1.79151801051453,2.00631664725058,0.291205673261342
"CD48",235.672709751284,111.575231302781,196.889042701038,91.8411450320909,214.303157994124,95.5128964917299,43.3333076184354,74.8538929485448,88.2506254934482
"CD40",310664.501497477,7129.05891729199,22003.0111956533,947.075419394511,810.251758059842,65596764.5973739,19.9840913916776,5206.71277147652,662.890275283858
"CD40LG",0.00698131395937528,0,0,0,0,0,0.0472904991121482,0,0
"CD52",0.0858500871095332,0.0100738368835568,0.0385065535072015,0.00955788364785979,0.0189519029275894,1.08782446768021,2.4960663921593,0.00883926592264534,0.00468847196684703
"CD3D",0.398772497968511,0.1698598420626,68.5363811536919,0.114747980472578,0.332203390210838,0.118779484789476,1.35005925032617,1.1092226259468,1.4296988213156
"CD8A",8.92786429891017,72931.2403316126,80862.4534094364,1.69663951763709,78.5148981764279,0.0164613770584209,160.291101389475,0.469577790486751,0.527241456282149
"NCAM1",0.00285653119713276,0.0209975116168508,2.1749397674982,0.00341021403645597,0.0233384051378173,0.29719558950263,0.00241524604449111,0.00159965749079689,0.0644256867291095
"CD19",43332.4004212091,2121.98107045476,17711749.8896946,5170.28989463775,2788.31432408179,9390406.08676588,273135.242083703,7682.2996039612,2311.12667613297
"CD33",0.0884460807504159,0.00194802739569942,2.35877334177397,0.175814731855025,0.456954668870427,444.586825596591,0.414379623082159,0.086815812820922,0.173389582906887
"ITGAX",0.95095555017067,75126.9115338243,4378.70232023812,1324.4802539804,1313772.40459247,44185.0070515231,7.20244512206577,5824656.58027986,1527.85659220952
"HLA-A",222.021125272669,44.6353789068851,238.592267339781,41.6789642235476,28.6401790529211,262.039787592615,16.86138953879,83.682711378255,3.05697329270405
"CD45RA",660.863824875935,49.0188193116496,143.993503289807,59.7677648485117,66.7668136982626,1925.96893564302,339.918617674016,31.5692285855237,115.102675322449
"IL3RA",0.150518707161215,0.959617841764597,1515.01895143648,1.57321000246136,0.628683596940092,16.7200414517554,2.49156173814193,0.0245144402640928,6.67092854453362
"CD7",8963.08779563402,31.9065996608259,839745.774182195,0.0693941179877218,0.159529068622318,0.0125628475283275,189.925085348677,440.854225151384,2.02048779134469
"ENG",0,0,0.000990027446919599,0,0,0,0.0429931587820556,0,0
"ITGA6",0,0,0.00801622725261233,0,0,0,0,0.124641842353019,0
"CCR4",0.00747489899875723,0.0185791860771472,0.0256638943073487,0.00546908321890548,0.016600668866358,0.110212447479323,0.0425732209358007,0.00914619874495477,0.0628595682036081
"CD4",0.0883302375481366,0,89.1378316168389,0.00752599324987684,0,0,1.20702708587241,4.28809992913732,0.545550846466388
"CD44",27000.9261948517,63543.3936272517,3633.40423096173,54365.5930826806,56088.5898902593,201.494453127168,878.171155462684,3883.77513280905,31405.7807596113
"CD14",0.048880760732648,0,0.00534350066705508,0,0.0106028454215765,0.00216670934722261,0.000242973633007233,0,0.0194276336793165
"FCGR3A",0.00365802259632757,0.0862546854858007,203014484.041579,0.00647333383145329,0.0170616464689658,0,0.0838583732886616,0.0240037220608169,0.0290499922101169
"IL2RA",0.255578978576107,0.0487488293338652,95.8473552911507,0.483156190416511,0.0696920997072243,2.60823033183368,0.0172258825986823,0.0530985320735515,0
"CD45RO",0.0111270544009447,0.00211284494871409,0.0323299709452913,0.00106193449545485,0.00133041417394066,0.0454773989040071,0,0,0
"PDCD1",0,0,0.173169596329993,0,0.00429814417541553,0.0369521204297392,0,0.0389349452202122,0
"TIGIT",0.0190743782976615,0,0.00697364664763549,0.00432456156455018,0,0.025119172764928,0,0,0
"Mouse-IgG1",0,0.00312687592846346,0.000935051082630475,0,0.000248790656263818,0,0,0,0
"Mouse-IgG2a",0,0,0.0228145083525183,0.0158863692223698,0,0,0.0848991987481855,0.017136947792802,0
