"","CP002-entry","CP003-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP022-entry","CP042-entry"
"CD86",0.0848558956970206,0.161657281028134,0.262119515677975,0.410015790113135,0.368837511414946,0.100994263379153,0.00855518327436938,0.0642200800479265
"CD274",0,0,0,1.22248586724659,0,0.00180784759743669,0,0
"TNFRSF14",0,0,0,0,0,0,0,0
"PVR",0,0.0116592979406445,0.0031158475618756,0,0,0,0.00312085341934947,0
"NECTIN2",0,0.0338794236606746,0.000584846283107589,0,0,0,0,0
"CD47",0.150810661158998,0.0134324706532623,0.0304934435754636,0.0316217178811309,0.0277575251892047,0.0378511584739526,0.0634449545577913,0
"CD48",1.02408079740512,0.169301844436648,1.03001947015379,1.95148502996938,1.55053828452606,0.438947890946018,0.109686754039664,0.513705342951897
"CD40",0.0682360941857103,0.113952599285436,0.817923341933886,0.369318954065852,0.301733147919058,0.0162016452745648,0.368196318626165,0.0160356096534331
"CD40LG",0,0,0,0,0,0,0,0
"CD52",0.0378831214688859,0.201113652324941,0.00814724692551163,0,0.0903514288255952,0.0197412372180318,0,0.000449346685590305
"CD3D",0.174290723305989,0.161098243375798,0.115488336295526,1.43610296797179,0.157354486844548,0.0602434612832881,0.0392325847356552,0.154759944454065
"CD8A",6.99557624353299,1033.26888948322,116.029365751932,28.3367162165056,5.37157140609314,0.0372186500337908,148.008840336813,3.36690720351319
"NCAM1",0.039339743438289,0.0582918470767677,0.141160401002292,330.155656519956,0.19589256940849,0.0232612782465911,0.0277321604460793,0.214627885240929
"CD19",2.78426545082335,0,8.20749332065535,27.2436553981595,2.90061443379142,1.25591273107183,0.210758816983459,0.192668509715324
"CD33",0.16570561903075,0.0954678492858152,0.234532778369646,0,0.0662605251473308,0.122356727228408,1.51054778775123,0.164814135251596
"ITGAX",0.109484447635184,4.25452194239278,5.4636264935676,2.65168166524879,2.53562258166578,0.483046216159992,0,2.83060003194803
"HLA-A",1.36296817140412,0.0593048194672917,0.0499474961898842,0.41518479178478,0.0513664738763942,0.00199886379654399,0.0210646380440201,0.00862817397920919
"CD45RA",14.0282347875919,2.49523726660283,0.762469669202102,7.89504884758305,3.39072591496658,1.69075618120152,0.867784280433873,0.969880048012992
"IL3RA",0.0116108001309461,0.0224633367457371,0.239379367408963,0.227439452717833,1.79796613844489,0.000290822721554087,0.0264652416045991,0.21072819330934
"CD7",97.8647705636992,3.73868794730509,0.877340568232797,11.9510353487637,2.82892086239668,30.0823838819467,2.94257743480219,3.8620323296186
"ENG",0,0.0235894500073855,0,0,0.0021240739532036,0,0.00305581994484975,0
"ITGA6",0,0,7.2585167683365e-05,0.0137133019886253,0,0,0,0.00162052285733371
"CCR4",0,0,0.0382850480911552,0,0.00932721876776719,0.0126667596815247,0.0124105519454579,0.0219367264788139
"CD4",0.261989450982596,1.13568729504001,0.0356910129192037,1.16660214057349,0.612439905869352,0.0193561681974914,0.105823898110196,0.0642733016702088
"CD44",3.00509039675206,0.504696648977758,4.07302599258104,8.96633020511387,8.76688068035284,4.70972585051102,1.7951432181626,28.8662048615959
"CD14",0.0445369066384276,0,0.00119152745963472,0,0.00667019745521681,0.0276678625872634,0.314422547862724,0
"FCGR3A",2.65495856695651,2.09222422796236,11.7642327219438,56959.5915583404,2.60798148675508,10.4689992236865,147.339686428314,1.30060256475755
"IL2RA",0,0.11671405733756,0.0425994751699047,0.287079047572234,0.0182032778194227,0,0,0.006011670577795
"CD45RO",0.00719836131816201,0.0146988109190552,0,0,0,0,0,0
"PDCD1",0,0,0,0,0.00132449325835987,0,0.00490655648547378,0
"TIGIT",0.00729519350333256,0.00244962527873324,0,0,0.00803111001526401,0,0.00164707477693794,0
"Mouse-IgG1",0.0203355475662338,0,0,0,0,0,0.0141514065464872,0
"Mouse-IgG2a",0,0.0315950201938465,0.00531154139832712,0.0160547032098717,0.00388617662058762,0,0,0.00444046587107365
"Mouse-IgG2b",0.0424133950429892,0.0210376905525985,0,0.0430032147770063,0.00438298364114947,0.000190619774498159,0,0
"Rat-IgG2b",0.00303238519508605,0,0.00552454223387494,0,0.00831303895634409,0.0184843589369645,0.00502460845821507,0
"MS4A1",0.0907233398704373,0,0.0309775789209358,0,0.0166746706723952,0.174604034171511,0.0110908327977593,0.000635797976759159
"NCR1",0.0413289501497407,0.190590363346074,0.0671769514524282,0.10548422713038,0.0613861892982841,0.109673427849944,0.0109449101466629,0.0156024382939048
"PECAM1",0.351647315095829,0.00101036876865966,0.154513400734349,0.0399885979017741,0.01799497280103,0.0969091708423619,0,0.00211114417002143
"MCAM",0.521557463196321,0.0876518834445871,0.00105256552871549,0.0149686237955084,0.00513042400163467,0.037638481761226,0.0632730530026687,0.0189977604049406
"IGHM",0.117571859651748,0.000256209444678995,0.219261917114748,0.126606489250522,0.276460814203198,0.23658457314856,0.0674130350367909,0.0430103607453447
"CD5",0.852324041888913,4.11853551298536,0.10258628402329,1.65714020206328,0.395961588744419,0.52319458735756,0.400968306335873,1.28826839807487
"CXCR3",0,0.0417403279883383,0,0.00249196533431324,0.00543542613990224,0.0171915188345291,0,0.0116334861552066
"CCR5",0,0,0.000333466436847781,0,0.00959642077127217,0.00313665884458057,0,0
"FCGR2A",0.111268485147359,0,0.0236876744673164,0.290522135340379,0.071829410783782,0.0535101012066299,0.0112980557051421,0.0167938744496826
