"","CP002-entry","CP003-entry","CP006-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP018-entry","CP020-V1","CP022-entry","CP042-entry"
"CD86",0.0423104194162947,0.073009573784858,104.172121899336,0.16967503494473,30535.992722578,0.332060690454219,0.0468090680237944,3136.13961248353,0.174772276810225,0.0157618430182689,0.158480278027362
"CD274",0.000633368013711288,0,0,0,25.7522387374051,0,0,0.00320713075208039,0,0.000263568767525708,0
"TNFRSF14",0.000300266072226363,0.011732265392999,0.0242620695771718,0,0.000346944252808808,0,0,0.0708606382613031,8.35596623749771e-05,0,0
"PVR",0.000274277672184143,0.440843127941288,0.0166100746445393,0,0,0,0,0.006759787915012,0.00938428799910064,0.00157230267594984,0
"NECTIN2",0.00168415259411736,0.00402376884742834,0.00697586385930242,0,0,0,0,0,0,0,0
"CD47",2.39765127830904,0.149032297880555,0.404112169676392,0.90470916534863,0.164831589432548,0.0456345726589153,0.21241202410233,1.13521497720575,0.13724883977016,0.163128577078797,0.0612703419982766
"CD48",7.10784962977842,16.8038597105146,3.52721837018817,4.81937937383816,6.39821841615257,3.76686978033411,2.16993540108188,7.5452607702451,3.44039047258676,3.08440573909111,5.43489299563725
"CD40",0.290356513721658,0.150332586022977,0.654349580964109,1.37111944810618,3.78848730721729,0.0290605491145752,0.0283894404290876,0.0318831821302139,0.0218314627321893,0.0712650970108788,0.0771858615828016
"CD40LG",0.0012926485576288,0.00810353373355038,0.000994589499343418,0,0.000332175212248404,0,0,0.00164761615280589,0.00227582609452642,0,0
"CD52",0.0879690374038339,4.34683897871765,2.80953773254879,0.00017074806708907,0.689224277916595,0.044020660700678,0.000522323713972781,0.531411638394206,0.115065345206657,0.000459913382054526,0.0142907453943385
"CD3D",4.09319430622275,8.91650032393782,45.3268666644669,3.1399123012517,103.436670930984,3.02532468294303,0.602615470481127,44.0813554277949,3.57572156716155,1.55192608641359,1.92667693716771
"CD8A",286907.650207862,12668.362636134,269754098370.479,5414396.4787747,17156793.5748722,12066.007509679,1019.43502895591,21200850.6882295,2187.25309022597,8969.58068381655,21153.9032374858
"NCAM1",28306.8570527975,16.1836633794775,232263.674658871,5956.78999314028,538526997.641827,39649.6872999605,12.5619662368772,97848.2223317535,2501.96278231088,3586.15844469442,7065.2934671412
"CD19",0.37012521424651,9.4421440414697,28.6719206602594,5.68579856057843,1603.18375016578,0.206691176210356,0.0761728145012349,0.297695807027681,0.575819850300164,0.512286278892796,0.185288271441752
"CD33",38.6228400519333,0.202904401826636,144625.959472756,0.0651273653476272,5.29611466743173,0.941343307076634,0.134939065341831,6594735.71295836,4918.76540555793,0.542821057019311,1.02886802979659
"ITGAX",245.716491594947,5560.12658491424,41314.1598652485,87706.7128861349,5935518.53732144,880.339352793831,709.547445306605,7389.72726934807,207.848619387852,23.4614338151405,408.610259850692
"HLA-A",6.45977326652169,1.58799433404972,37.2437936520159,0.289068508330439,3.07725831328859,0.127933689773402,0.197839552178194,1.83039224184113,0.844237373066986,1.31731071988006,0.10186405351781
"CD45RA",1917.45021434262,3312.86910496193,6413.91335999376,57.8258469728729,159.148604908271,51.2539620436934,48.6059180625004,1628.26820737548,101.020467471702,30.8360134973384,54.0922702255851
"IL3RA",0.316774784028391,0.0170924618443868,233.266861612248,0.191057682025977,67.0253339852996,0.143237461781249,0.0194903070855419,0.106203489104598,7.30101275742769,0.00978873128526628,0.0572302111531524
"CD7",412387.156957542,25484830.7714019,19448622.7051491,8001.68027669602,37968795.2511688,122374.809315802,1432.90008132453,110159.658219513,7358.09065492883,23301.4677995482,606.481530485763
"ENG",0,0.0107039935937493,0.0100281674228215,0,0.000684231386583801,0.000396051820876995,0,0.0101262004708662,0.040473673234639,0.000348549264233817,0.00138441782028982
"ITGA6",0.0163800478809805,0,0.00279285359101824,0.0194026826555388,0.000372807818893279,0.00458015132565433,0,0,0.0321264908060585,9.92031367971283e-05,0.00230695082995832
"CCR4",0.0667745481313079,0.81132545385764,0.0960063969668898,0.00866555710360292,0.0229136543191094,0.139813027317933,0.0117268280080213,79.9708503622431,0.0123859556400752,0.0134098520704144,0.0415482996639664
"CD4",5.85834217446424,1.22400322288971,28.0173913224534,3.13555787707338,65.8788148805775,2.5231707010299,0.945857567112672,12.8684909131258,10.0790855270844,2.755164075515,1.07633162661023
"CD44",564.651649830764,29.5109427472333,7.94357226745942,504.9892644736,1231.07479922874,453.193850903684,41.4250864238671,19.2688690265767,43.4833292024442,73.0472588646796,730.803782397499
"CD14",0.0705999570118567,0.0460478392796651,2.47480117949056,0.00246223734736533,0.0186840534024647,0.019080254190195,0.00483507451331234,0.0433954301828643,0.0526698174144366,0.0153559625188054,0.00747410224798741
"FCGR3A",9444.06874195565,324628666034653,120896593.096718,565546.699562241,13811587592043.2,6288996.78602156,39082.4339074914,6069694091.40883,374989.815718882,12679986.8344088,137815.558961727
"IL2RA",0.00885093211896382,0.00537088351046121,0.0884169605796623,0,0.66562953052555,0.0181574145172181,0.00264891210613313,0.0104212031264696,0.037715310087712,0.00320278635456899,0.00041049565344
"CD45RO",0.0537457095676898,0.018177849247197,0.0697473836643279,0.000467096901355466,0.00908091190667532,0.0409566050563432,0.0255216442472895,0.116946657912031,0.0112218987282424,0.00702077440310523,0.00339779502954289
"PDCD1",0.00272000276104248,0.00980994215063129,0.0300577749361355,0.000121157610384038,0,0,0,0.0109091038100101,0,0,2.14710266484259e-05
"TIGIT",1.34088835134529,0.791575950714379,59.0416474123011,0.0134354761621106,0.284640287111707,0.0345062064909163,0.017122743951876,2.66415759081426,0.0750883073287991,0.0304562390414652,0.00839357931362809
"Mouse-IgG1",0.00178410966679503,0.00472810099763803,0.00106419149592347,0.0127465791607798,0.0033538268775857,0,0,0,0.00189091523854462,0.00143678486075877,0.00542759513018296
"Mouse-IgG2a",0.00211215886544283,0.011647979618734,0.00656476154923668,0.00116243883422554,0,0.00195262553872715,0.00366294233452543,0.00564579586048393,0.00163926122635703,0,0.00147979877023597
"Mouse-IgG2b",0.000899997351672484,1.28596590335471e-06,0.036876309392884,0,0.0109155250111251,0.0166626389502816,0,1.97686658617767,0.00537291255201676,0.00464934351076495,0.000170645525428281
"Rat-IgG2b",0.0232116078219529,0,0.0146680837997945,0.00246909855849332,0.00346284556013295,0.0119776226202348,0.00222146210010162,0.00289933719809994,0.00805826228379431,0.00815586754775727,0.00750525776280446
"MS4A1",0.125775682340164,0,122.451192793755,0.0755800037883525,0.582256349418723,0.118013150698769,0.114743727944305,1.04169866330577,3.57906989480686,0.36718236466332,0.00669923294049079
"NCR1",78.1197786936932,28.1593161298476,4792.83278553288,32.7771127723674,12120.0593228249,40.8109346153985,3.87227176030949,298.833273381117,10.1489184959137,7.81313253415007,10.0467412004672
"PECAM1",1.57700707503108,0.0137735333626931,1.6607753384222,0.552984795323604,0.02744067021879,0.0091159210014614,0.0130349423247591,0.0423187670547317,0.0362304744376818,0.00416472490614864,0.0337794498907304
"MCAM",0.0356847447986604,0.124306043539702,0.139020028158334,0.00427485408849591,21.7691152045453,0.00991594291534533,0.0406602654928435,0.0642952562213343,0.986919010342236,0.0533765815287028,0.0125537723907084
"IGHM",0.614745095498671,261.034574183706,2.65328751277296,0.0282009726779603,0.0564637318261487,0.155424783155279,0.465916939989424,0.245717076618142,0.0603526208572282,1.73251473101749,0.00245414459196306
"CD5",20.1122780126638,21.344369560866,98.0308218196245,2.90146541407103,28.5134192496057,4.60648473116566,38.8417169885054,70.6996675266505,34.7549374395595,3.36400479962376,6.72504533133664
"CXCR3",0.000535564707219372,0,0.00451652616609724,0,0.000155928138172302,0,0.000656352807511439,0.00354313225424749,0.000155943392645364,0,0
"CCR5",0.00551386146293401,0,0.00606486594352812,0.00790684065779032,0,0,0,0.000306910366833837,0.0620933320743926,0.000295583641235223,0.00607814904693197
"FCGR2A",0.161724456892946,0.0462029394712237,7370.86333414863,0.00644489155945342,137.743701550273,0.0116994432900736,0.00167599190865243,3.2315656780099,1.65988228022507,0.909478566681976,0.00461094393071369
"CCR6",0.0406861307515443,0.00244867139238089,0.132481820648964,0.00524668199377311,0.0332262242114717,0.00732190857828188,0.0301455745046049,0.00374477286999833,0.007245674709249,0.00185376732322096,0.0275259725289775
"CXCR5",0.00188595296682274,0.00116622305861466,0.00154407508500899,0.00110246158036501,0,0.00244067805844665,0.010964232877253,0,0.0144852716156714,0.0005880106712923,0.00362199659614821
"ITGAE",3.76077542842988,0.309991269983779,323175.066297466,1.7269070350776,3.28792265544007,0.587909867208358,0.193343428697495,0.126707514610077,0.0990514392432967,0.350733121745743,1.63804033745195
"CD69",620.730963762356,6.36163484268953,22579.358919523,0.171006298902891,0.962588095868199,0.406310075028635,0.0474462548110662,8.40137809161511,0.0966360430124605,0.475970742296702,0.102982315123516
"SELL",118311.886030281,1287079.45358087,52.24484230888,685343.816923506,37.5708351174976,1045.97852017949,51611.3979466949,3455.97844546862,1871767.45038051,1596.64797971945,50529.159531582
"KLRB1",4.80878988617149,16.9052692599055,2396.70823301352,0.0543202243806408,1.69362345945787,0.115533787704612,0.0133808476324076,1788.98306800578,0.263421288135862,0.106517685883351,0.107410268336384
"CTLA4",0.00791912583171665,0.0121027587270986,0.0011929399121319,0,0,0,0,0.021942071576904,0,0,0
"LAG3",0,0.00782501681071895,0.0432382470526794,0,0,0,0,0.0212694056877458,0.0116025731605459,0,0
"KLRG1",0.0634222264357341,0.122267157149211,4.36619640474618,0.00138082613280309,0.148252212700308,0.016952440676716,0.0179032552391453,0.576982863010263,2.50090426387083,0.00673604253994975,0.0196982486279632
"CD27",8.91089907205386,209.597668880849,0.162110383832488,4.16554523479319,3.29784054742368,22.3184593320451,0.567551119080118,84.5090832421564,37.5395121468629,123.583510641822,0.369616157222674
