"","CP002-entry","CP003-entry","CP006-entry","CP011-entry","CP013-entry","CP020-V1","CP022-entry"
"CD86",0.182562795607886,0.0142362118333739,0.328974076084299,0.142073758900901,0,0.0085941888099758,0.236868581234452
"CD274",0,0,0,0,0,0,0
"TNFRSF14",0,0.00305061029996115,0.0423650241929198,0,0,0,0
"PVR",0.000194189992184956,0.100368974331683,0.1097681304243,0,0,0.00246688580976091,0.00484777460815836
"NECTIN2",0,0,0,0,0,0,0
"CD47",1.11201194209023,0.116813413363984,0.766032276905448,0.419159895510354,0.0543594044971571,0.398376392723278,0.373073724685247
"CD48",4.79068988726893,14.4982360701155,8.70725390512894,4.37622058386002,8.37771076125456,11.2844314344243,4.95073872901766
"CD40",0.203574462873054,0.00824072850340068,0,0.00833650334188809,0.00577090467504783,0,0.152635509946056
"CD40LG",0.00656374677442479,1.38711956189662,0,0,0,0,0
"CD52",0.0656491328800152,5.21596055381333,0.92113023406147,0.11770327357556,0.049854054956185,0.143485196721366,0.010463193789662
"CD3D",84.7063047933682,96.1924983898463,2404.42350657308,31.3032111476295,1633.12483481994,42235.7523299783,38.092734326632
"CD8A",94956382466.4865,635243.621399976,160522883978.663,107689811856.616,44002262588.309,3965803.94583966,1132445348.16301
"NCAM1",0.221531517082885,0.0313344188372022,8623706.48356836,4.03772683954022,13.7172652315669,16.243915839142,40.2111570240416
"CD19",1.69934097540453,0.1518863998074,0.0159726047948222,0,0.197923987232564,0.096708966573179,0.153948482968951
"CD33",0.214290861163032,0.903214879237148,0.387067380411861,0.0161672970364255,0.0664936685094563,0.111083589306003,0.107424960195575
"ITGAX",231.074495361265,750382.49395415,997.18578455014,18097.8004358551,2305773.61720171,37.1787550698198,111637.789012352
"HLA-A",5.78975505103431,1.66826112807795,143.727373369935,0.2204293801491,3.29190093477009,3.64946315970472,2.14951890087785
"CD45RA",647.253250044346,4290.4624176302,4757.02715918303,45.8264170518767,70.3424953765453,94.4159355961132,26.98419798937
"IL3RA",0.00265856700906872,0.00189879148030279,0.353225617998665,0.141190978422683,0,0.00625503312482214,0.0391643926410006
"CD7",34234.6726546516,8159904.98963494,94007060.4887781,2116111155.02349,27485575.728632,1247.90041124162,6888984.08621703
"ENG",0.000160593967085696,0,0,0,0,0.0769230669118602,0.000679453482585302
"ITGA6",0.000389351275795651,0,0.111594863826671,0,0.0115710741326239,0,0
"CCR4",0.037615116493126,0,0.007274178501457,0.0446423123150731,0.246885868850707,0,0.0658357463841239
"CD4",1.26242654262946,2.56827240639673,321.179280460345,0.59501757871731,48.8109563569418,0.305628566986387,5.11323423144941
"CD44",29.7521995411801,186.090051136596,54.5540360180232,367.618818911904,874.295622757203,133.827298222764,85.4153313569139
"CD14",0.0922307722104436,0,0.277205832613907,0,0,0.0485954096113509,0.00354058044880537
"FCGR3A",12.5462661510059,289.166931757286,8398675.208253,0.249304161411757,3998690395.59195,72779.6652915761,6038368.66944199
"IL2RA",0.00354150646317765,0,0.076684967428759,0,0,0.226955011026823,0.011045372779649
"CD45RO",0.626672208884199,0,0.826522866268987,0.0258715357169781,0.0152666431944803,0.0151733449476307,0.105417422128345
"PDCD1",0.0152038211896586,0.194477885098226,0.677536404148682,0.0353669815111301,0.171644951623401,0.0843931044001803,0.00533578632572543
"TIGIT",2.6693946983076,1.20690777487815,268.740208079415,0.114134933571165,0.189354515486073,0.0157332491197782,0.141602749868314
"Mouse-IgG1",0.0058567105427327,0,0,0.0011628903281999,0,0,0
"Mouse-IgG2a",0.0016901042493632,0.0036620498292958,0,0.0155915520696245,0.00490184186825409,0.0167227045931846,0
"Mouse-IgG2b",0.0456595390375783,0.0538375411296845,0.00106694128060931,0,0.0123999702436435,0.00713203609166248,0.0449925128901112
"Rat-IgG2b",0.00336453960651143,0.0720525905159899,0.0869875343870647,0.00685942594899387,0.058845843623519,0.0380927082957247,0
"MS4A1",0.0149767315278985,0.0626885663421778,0,0,0,0.00861522800600914,0.00539496295304832
"NCR1",0.111322597490578,1.24714271035218,268.351597606626,0.546515362173279,38.959647503037,0.206172483341965,1.92985402563729
"PECAM1",0.106537191173271,0,0.205416706508727,0.28494304059887,0.0174975347524348,0.092005869734046,0.516256818441662
"MCAM",0.0138481446830774,0.561328742654801,1.66857414334804,0.0186027709365859,0.0152954599360319,0.0493362532690257,0.039800959350502
"IGHM",0.00477173253534615,0,0,0,0,0,0
"CD5",1.53432993861362,16.8538128378455,10786.8861411224,1.92677411650233,19.0165114864953,37.7354528024732,5.81630997781142
"CXCR3",0,0.0651552299599495,0,0.00072115379834526,0,0,0
"CCR5",0.00166836570068016,0,0.538985901824129,0.0242438825007341,0,0.248740611253621,0
"FCGR2A",0.00449195117245257,0,0.438736499950068,0.00254168875833919,0,0,0.205426495813115
"CCR6",0.0154068972485321,0.015376137694563,0,0,0.029670582679237,0.19279170306724,0.0289250375798433
"CXCR5",0,0,0.000561422668752446,0,0,0.0648053527049706,0
"ITGAE",0.100612722085005,0.529338169616068,82.0921715656974,0.0388860137496825,0.800347102126927,0,6.14762436632394
"CD69",11.1740355423513,63.9885885222824,28921.9709847589,0,0.543564679948195,0.725493035648142,0.574833954173484
"SELL",3123.73387858784,77914.8389251393,1234.28852795715,40073.3360590021,159.845385757217,10459.7545176619,32817.1606560658
"KLRB1",0.157818949829429,22.4426636427443,4177.96150459436,0,5.24669603836141,0.966651498465352,0.0862172535504607
"CTLA4",0.00361205253769991,0,0,0,0,0,0
"LAG3",0,0.0655502088895765,0.0184422481978746,0,0,0.0376371070502632,0
"KLRG1",1.70825918913567,2.70997784652916,237.160675977248,0.369104217496118,1.62187131930502,51.2969751961605,0.382349005578331
"CD27",0.474810821366171,248.368756916045,1.22983935055331,3.43054361575441,6.37956100062067,6381.23321897065,805.943028885765
"LAMP1",0.00178001319622723,0.0177828264893301,0.0303177158438784,0,0,0.114924462390832,0
"FAS",0.0733575338642869,2.72268394686689,8.99488404408172,0.0217826793127187,0.062623010258671,0.190729625374558,0.256564402067972
"TNFRSF4",0,0.0253944299513255,0.000489450152967903,0,0,0,0
"HLA-DRA",0.148532691204221,0.0471737241833954,0.0313216982323042,0.0113833342671285,0.0134045013396473,0.0426088767555087,0.152142343865753
"CD1C",0.0265599239767559,0.321337340538382,0.00159619822395715,0.0146417140501757,0.176281910407567,0.0553082736303583,0.000182002136056368
"ITGAM",0.0597089419933536,0.375772210535206,8.2961601723723,0.0164973811067238,1.24436350153384,0.005677969573783,0.0154041479973039
"FCGR1A",0.0185075204621142,0,0.181596815741868,0.0650683235496849,0.0213104216722839,0,0.00046190627183584
"THBD",0,0,0.00252889613834651,0,0,0.00617889720096323,0
"CD1D",0.000113368868069921,0,0,0,0,0,0
"KLRK1",0.00487760887101709,0.0780350125828959,4.37634124752555,0,0.162504644438771,0.0125775797793359,0.00138095082237033
"CR1",0.0204066654578469,0.000404967269998168,0.117072457862678,0.00425279963226485,0.464815156488948,0.0694095106829197,0.219519353997305
"B3GAT1",22990.0516909661,186463.174488544,421005.900432475,3684.54957264172,28.4764574632563,227.839885345745,1531.87516032738
"BTLA",0.0365124983241343,0.0135252071344451,0.0354841800006694,0,0,0,8.31817592773434e-05
"ICOS",0.0441716429199184,0.155623910748185,10.323140250256,0.0189988284876189,3.16729049176786,0.121306395718526,0.229008815190786
"CD58",0.00374451546361106,0.0289995009618442,0.041821908407396,0,0,0.0399907570278569,0
"ENTPD1",0.0317658601452505,0.0707955804340227,1.39339950085652,0.00518908421952765,0,0.0603964266492993,0.0882750737717129
"CX3CR1",0.00822751709082023,0.0981167660482977,0.463979832579446,0,0,0,0.00271804732239177
"CD24",0.00406790784299568,0,0,0,0,0,0
"CR2",0.189839026024228,0.38515726324461,1.04786306082097,0.179583968876104,0.554935279945993,0.823810002549074,0.156617309726245
"ITGAL",1067.34071538019,834.526819114806,594.609398553178,305.767767320658,13478.8690276665,224.017921719687,411.936872291571
"CD79B",0,0.0188599643270749,0,0,0,0.00495066857342493,0
"CD244",0.506331684483256,2.44581145339048,292.767521162652,0.614263541272484,18.3048249999924,21.6997848983382,6.27964991463506
"SIGLEC1",0.00117496977016081,0.0074463024677979,0.0344883197312198,0.00228453676717019,0,0,0.014058523170071
"ITGB7",0.0213130257172254,0.137461559369709,0.0693776372066854,0.122872954320688,0,0.942070933080433,0.0768052006481415
"TNFRSF13C",0.00106724986675738,0.29697999242445,0,0,0,0.0012513096863472,0.0157346245462818
"GP1BB",0.00908973449670398,0.0533137765644202,0.00138037066002519,0.0030070056052654,0,0.000455021675325002,0.00380235393494476
"ICAM1",0.239808404329003,3.84963911865504,27585.7794072943,1.50521099755646,48.9693912536665,96.4016321623695,1.67286865412877
"SELP",0.00748053608431836,0.0689303932587194,0,0,0.0559776766750501,0.0175792429775183,0.0217895352639535
"IFNGR1",0.00719592812510286,0.0271605749305549,0.0864191262188162,0,0,0.0812206153982989,0
"TCR-AB",49.8729007034366,2.21740789924347,4.41768693955264,1.42504205800404,0.316295053378228,1.11035923470798,13.6982861484964
"Rat-IgG1",0.0184546634307486,0,0,0.0130475938057985,0,0,0
"Rat-IgG2a",0.000379236602584422,0,0,0,0.00172740048106373,0,0.00537509878301114
"Hamster-IgG",0.000266848924914966,0,0,0.00632628855427887,0.0230082734838254,0,0
"IL2RB",0.0601666911081829,0.464470463275082,24.0332613328848,0.000518311995017298,0.0800362300548525,0.22272945678606,0.0748399654263387
"TNFRSF13B",0,0,0,0.00215828328319782,0,0,0.00278920652542534
"FCER1A",0.000325799846542377,0,0.00792087720555626,0.00164879263847431,0,0,0
"ITGA2B",0.00209333357909773,0,0.0449638237811189,0.0344329782650349,0,0,0.0502965821674042
"TNFRSF9",0,0.0477915951432607,0.036310624706001,0.00456753234925703,0,0,0.00298875510156073
"CD163",0.00223468752099929,0.149034413819314,0.0120769612863483,0.00825199835223065,0,0.139576772376693,0
"CD83",0,0,0,0,0.102808013298405,0,0
"IL4R",0.0244287156550606,0.022163831669411,0.00210091083708111,0.000404280918455898,0,0,0.00362746035456853
"ANPEP",0.00267022627412455,0.116230845785977,0.149134033208668,0.0225301541301104,0.00408398591763632,0.0428352060827783,0
"CD2",24.4610396420933,48.8868953939475,8595.52242249997,42.9346767546167,384.71113140393,187.475903383909,16.8867546036628
"CD226",0,0,0.107726113613515,0,0,0,0
"ITGB1",7.33908913556052,0.107375540203939,41.2459801196034,3.70539785748463,0.780904590163979,0.429813897281381,2.21127670215739
"CLEC4C",0.122610129721585,0.00726342005633496,0.0145763125641384,0.07270459314699,0.0528807513645719,0.00118071313607199,0.014912959800429
"ITGA2",0.00713428905701802,0,0,0.00113409625239721,0,0,0
"CD81",0.0468269390311819,0.213339478219556,4.56629652334469,0.00202842101336468,0.181080001044172,0.623831112546393,0.0437560325343781
"IGHD",0.118926248256467,0,0.34154852967131,0.0188121556037601,0.069497811312705,0.0263646532934606,0
"ITGB2",8846.55102398818,3088.23727518194,12106.4904289955,5478.43221223219,68952.6656896439,2584.50048378642,929.107196622594
"CD28",0.00460999641200282,0.0845876585781005,19.2080760150843,0.00423521330658278,0.0552790167414719,0.106162475679857,0.00629205063809596
"CD38",7.31987079141243,4.07545378362431,247.846828692356,1.43951750878744,67.2099025648482,18.1101294562301,17.608294066433
"IL7R",0.00273971598500178,0.00390887711518832,0.168144642353855,0,0.184047018511494,0.0904415032547285,0.0776937529931667
"CD45",35.0830590222933,243.698475861113,968.002656822915,8.3104868172149,193.145787004217,18.545718139102,32.1918379488628
"CD22",0.0616038636178031,0.00930649481295671,0.197836742426532,0.183119969824821,0.226197412973652,0.225585117535068,0.00468792989408132
"TFRC",0.0341120016047191,0,135.702325898908,0,0.275328560576133,0.0220838699067654,0.0170463471902075
"DPP4",0.0280293888949095,0.0377797036665011,2.35370707767747,0,0,8.8614879937539,0.0180506582567137
"CD36",0.0817099920515486,0.00767698933561082,0,0,0,0,0
"KIR2DL1",8.9377259845889,1.00590147968843,1332.48397235925,15.8804821771766,712.771506395455,7.44074343215851,12621.3248200543
"ITGA1",38.1196834898442,1.24734266225604,237.451308714643,1196.29253431648,1687.19785175433,0.175214503302281,318.921734659841
"ITGA4",0.401482857287823,1.82054452552683,618.976622622114,0.141194510994035,4.40186200790303,22.6324130586045,0.239711099372202
"NT5E",0.0140770955340063,0.0220571988900923,11.91391123661,0.000429813665768239,0.0777376033149898,0.0948792213295513,0.0673040490604363
"TCR-vA7.2",0.0650916950394193,0.0234059765803432,375.616602717755,0.131658626310368,0,2.87100661978435,0.0814896340789719
"TCR-vD2",516.453057603341,248.06252953821,47257008499602.8,1.17899602498304,1370.0728369189,452.125460987682,289566.738434504
"OLR1",0.0195516123686854,0,0.0792468969911584,0,0,0.0128780135998713,0.00216361983138488
"KIR2DL3",87.6979872685656,1.74696040366835,764.769496100938,22.1560653138026,597775.727740159,0.000388838093545834,213.695676029449
"KIR3DL1",0.404987334469591,2.85880996577161,53634485685.5809,4.41973890583103,6318076.80261926,28.3525086522944,20174.4529087103
"SLAMF7",0,0.0769621944173626,0.353804984482589,0,0.00293363184546775,0,0
"CD99",28835.0805615113,1453.85722636637,47964.1471626048,8163.6304315023,2276.70958528136,2285.71349154717,7156.59476444471
"CLEC12A",0.501414061610018,2543.85966248746,0.224606329629304,0.216864286216001,1.12283707652074,0.24539361158972,0.0990619349065245
"SLAMF6",0.514631676359346,0.574569628132289,26.0879663053078,0.166657757766775,1.23255594358136,1.79552778933321,0.263671961766009
"KLRD1",28.305805748791,3.45816545508482,32827.4165157842,0.7182969771062,592.036735531463,87.26132112949,22.6044844153589
"IGKC",0.00349465637166718,0.00343358483443901,0.00461135497166656,0.000162882879683482,0,0,1.35214644959843e-06
"LILRB1",0,0,0,0,0,0,0.00150048594528145
"FCER2",0,0,0,0,0,0,0
"Human-Ig",0.0213835233876072,0,0.0221080670803614,0,0,0,0.00527297044793485
"SIGLEC7",40.9282256493011,0.3194910361248,156669.799740145,0.641560888423363,1014611.3340025,18.4961385336298,4046.73306836593
"ADGRG1",309.292812513502,47.2448110938488,15198.7574309074,10.6233167648931,2.89093698030536,5.72742123078826,15.3849554991784
"HLA-E",0.0619743281776263,0.0200401200377659,0.215644347270947,0.0066334037531492,0.032549600879286,0,0.0340266879235738
"CD82",0,0,0.0671053036163821,0,0.118344721955285,0,0
"CD101",0.00385201333826104,0.766132059615915,0.114585483181792,0.0784566139183068,0,0.190509762195336,0.149498776474507
"C5AR1",0.0551217487334777,0.0959234221192724,0.0251492827309495,0,0.0038699416610408,0,0.0955940515632328
"GGT1",0.00094681477032632,0,0.00679430146352966,0.000888648363494718,0,0,0
