rho,p,n,feature,FDR,neglog10p
-0.9211793682944862,5.6564736684833926e-5,11,SELP,0.00763623945245258,4.247454230223306
-0.6636363636363636,0.025984133918765542,11,ITGB7,1,1.5852917541372322
-0.6187719999149831,0.04239135336328919,11,Mouse-IgG1,1,1.3727227181610504
-0.6181818181818182,0.042645569805326744,11,KLRD1,1,1.3701260784245666
-0.5607779642012423,0.07271238197466726,11,CD274,1,1.1383916281314108
0.5454545454545454,0.08265095734417509,11,ITGB1,1,1.0827521116402097
0.5363636363636364,0.08895341813596276,11,CD14,1,1.0508373590014695
-0.5363636363636364,0.08895341813596276,11,B3GAT1,1,1.0508373590014695
-0.5148697981926199,0.10509407974819746,11,CXCR3,1,0.9784217483400509
0.509090909090909,0.10973723224165649,11,CD69,1,0.9596459976421648
-0.5,0.11730680301423815,11,GP1BB,1,0.930676800963147
0.5,0.11730680301423815,11,Human-Ig,1,0.930676800963147
-0.49090909090909096,0.12520440713849532,11,CLEC12A,1,0.9023803838872249
-0.4727272727272727,0.14199852020632006,11,TCR-vD2,1,0.8477161814590436
-0.45454545454545453,0.16014543725525882,11,FCGR3A,1,0.7954854304194036
-0.45454545454545453,0.16014543725525882,11,ITGB2,1,0.7954854304194036
-0.4454545454545455,0.16973260492681155,11,SIGLEC7,1,0.770234723506378
-0.432675157835289,0.1837934892082141,11,SIGLEC1,1,0.735669877340702
0.41818181818181815,0.20057021703405067,11,CD45RO,1,0.697733555553169
-0.3910359202286804,0.23437483828798394,11,CD226,1,0.6300890145790239
-0.3909090909090909,0.2345400670951944,11,CD1D,1,0.6297829549448813
-0.3909090909090909,0.2345400670951944,11,ENTPD1,1,0.6297829549448813
-0.3761626197515065,0.2542121139560848,11,LAMP1,1,0.5948037578774945
-0.37357727901412824,0.25775495481016875,11,ITGA2,1,0.5887929775438343
-0.3727272727272727,0.2589258736842223,11,ITGAX,1,0.5868245496545994
-0.3668043818514912,0.2671686529791918,11,LILRB1,1,0.573214499178486
0.3623157839133251,0.2735127104896551,11,IL4R,1,0.5630224866349214
0.35689074990955905,0.28129196510209936,11,FCER2,1,0.5508426729597834
-0.35454545454545455,0.2846927409558868,11,TCR-vA7.2,1,0.5456236062741676
0.35454545454545455,0.28469274095588704,11,NCR1,1,0.5456236062741673
-0.3535839999514189,0.2860934575698674,11,GGT1,1,0.5434920735956206
0.34545454545454546,0.2980892209030389,11,CD101,1,0.5256537280497863
-0.3394638275806279,0.30710249351977414,11,FCER1A,1,0.512716657287045
-0.3394638275806279,0.30710249351977414,11,C5AR1,1,0.512716657287045
-0.32727272727272727,0.3258949410128424,11,CD48,1,0.4869223811956708
-0.32727272727272727,0.3258949410128424,11,CD163,1,0.4869223811956708
-0.3181818181818182,0.34029761418190363,11,ITGAL,1,0.4681410957213116
-0.3121856707924442,0.3499771338278077,11,PDCD1,1,0.4559603298691923
