rho,p,n,feature,FDR,neglog10p
-0.8,0.00962792472537981,9,DPP4,0.9951180708073479,2.0164673138560825
0.7572378034072856,0.018132763214887555,9,SIGLEC1,0.9951180708073479,1.741536009609024
-0.7302967433402214,0.025463561683239266,9,ITGA6,0.9951180708073479,1.5940808500463712
0.6833333333333333,0.04244227208707236,9,FAS,0.9951180708073479,1.372201374806861
-0.6666666666666666,0.04986723056888511,9,GP1BB,0.9951180708073479,1.302184750130315
0.6666666666666666,0.04986723056888514,9,ENTPD1,0.9951180708073479,1.3021847501303148
0.6102571532587294,0.08093967013794641,9,Mouse-IgG2a,0.9951180708073479,1.0918385698673774
-0.6,0.08762282904140234,9,CD48,0.9951180708073479,1.0573827290483289
0.5842373946721772,0.09853604260848557,9,IL4R,0.9951180708073479,1.006404883788424
0.5744562646538028,0.10570457166607175,9,Mouse-IgG1,0.9951180708073479,0.9759062292828042
-0.5643840994967043,0.11340723942875093,9,TNFRSF13B,0.9951180708073479,0.945359221072694
-0.5594023904871686,0.11733810288497042,9,SELP,0.9951180708073479,0.9305609377086532
-0.5477225575051662,0.1268703669236705,9,CD274,0.9951180708073479,0.8966398041021063
0.5477225575051662,0.12687036692367085,9,THBD,0.9951180708073479,0.8966398041021051
0.5477225575051662,0.12687036692367085,9,FCER2,0.9951180708073479,0.8966398041021051
-0.5333333333333333,0.13922686754397803,9,ITGAX,0.9951180708073479,0.8562769479140182
0.49612131947373883,0.17434471486959455,9,BTLA,0.9951180708073479,0.7585912134027799
0.48333333333333334,0.18746985521554207,9,CD99,0.9951180708073479,0.7270685560218769
-0.4666666666666667,0.205386351105812,9,IGHD,0.9951180708073479,0.6874284207016685
0.46536934519903694,0.20681933881842568,9,IFNGR1,0.9951180708073479,0.6844088546039617
0.45769286494404704,0.2154117029600905,9,OLR1,0.9951180708073479,0.6667307058991143
0.4526019054848144,0.22121659513781888,9,C5AR1,0.9951180708073479,0.6551822964159747
0.45,0.2242161074923369,9,CD4,0.9951180708073479,0.6493331912782374
0.43333333333333335,0.2439524358800516,9,KLRB1,0.9951180708073479,0.6126948410729962
0.43333333333333335,0.2439524358800516,9,CLEC4C,0.9951180708073479,0.6126948410729962
-0.4264902570914597,0.25231632136598314,9,Mouse-IgG2b,0.9951180708073479,0.5980546557451206
0.4237896897630065,0.2556585327869483,9,KLRK1,0.9951180708073479,0.5923397078056418
0.4166666666666667,0.26458604674749603,9,CD69,0.9951180708073479,0.5774330625685863
0.4166666666666667,0.26458604674749603,9,CD81,0.9951180708073479,0.5774330625685863
0.4107919181288746,0.27207082745361133,9,CXCR3,0.9951180708073479,0.5653180225536929
-0.4107919181288746,0.27207082745361133,9,GGT1,0.9951180708073479,0.5653180225536929
0.4068381021724862,0.27716987777067476,9,CD52,0.9951180708073479,0.5572539696908595
0.4059604926204365,0.27830839347782177,9,CD24,0.9951180708073479,0.5554736956202037
0.4,0.28610510190831273,9,HLA-E,0.9951180708073479,0.5434743976618066
-0.4,0.2861051019083131,9,CD36,0.9951180708073479,0.5434743976618059
0.39167472590032015,0.2971814618048205,9,CXCR5,0.9951180708073479,0.5269782853790858
0.3849406080276326,0.30629853528662454,9,CD14,0.9951180708073479,0.5138550799758546
0.3849406080276326,0.30629853528662454,9,NT5E,0.9951180708073479,0.5138550799758546
0.38333333333333336,0.3084952723803716,9,FCGR1A,0.9951180708073479,0.5107514870435412
-0.36666666666666664,0.3317398014330152,9,SELL,0.9951180708073479,0.47920241962990684
0.36666666666666664,0.3317398014330152,9,ITGB1,0.9951180708073479,0.47920241962990684
0.36666666666666664,0.3317398014330152,9,ITGA1,0.9951180708073479,0.47920241962990684
0.3651483716701107,0.3338991406915331,9,TNFRSF4,0.9951180708073479,0.4763846986257899
0.3651483716701107,0.3338991406915331,9,TNFRSF9,0.9951180708073479,0.4763846986257899
0.3651483716701107,0.3338991406915331,9,SLAMF7,0.9951180708073479,0.4763846986257899
0.35598333940092547,0.34708012239834996,9,Rat-IgG1,0.9951180708073479,0.45957025806557356
-0.35,0.35581957250178814,9,TCR-AB,0.9951180708073479,0.44877016643833867
0.3481553119113957,0.35853518727617684,9,CD45RO,0.9951180708073479,0.44546821547743987
0.3481553119113957,0.35853518727617684,9,TFRC,0.9951180708073479,0.44546821547743987
-0.33903175181040524,0.3721117934172026,9,ITGA2,1,0.4293265655741402
-0.3333333333333333,0.3807131816768637,9,CR1,1,0.4194020860686969
0.31666666666666665,0.4063970144863861,9,CD86,1,0.3910494911691439
0.3,0.43284532670948195,9,HLA-A,1,0.3636672670579557
0.3,0.43284532670948195,9,CD5,1,0.3636672670579557
0.2959320151246863,0.43941376188289827,9,MS4A1,1,0.35712634564898404
-0.2881769890388444,0.45205561454796317,9,TNFRSF13C,1,0.3448081324330755
0.2833333333333333,0.46003032896571994,9,B3GAT1,1,0.3372135351265754
-0.2833333333333333,0.4600303289657205,9,CD44,1,0.3372135351265749
0.2761530448893886,0.47196179260238635,9,TIGIT,1,0.32609315800485794
-0.2738612787525831,0.475797238518024,9,CCR5,1,0.3225780828953569
0.27386127875258304,0.47579723851802413,9,CD226,1,0.3225780828953568
0.26666666666666666,0.48792227483870076,9,PECAM1,1,0.31164935483564826
0.26666666666666666,0.48792227483870076,9,ITGAM,1,0.31164935483564826
-0.26666666666666666,0.487922274838701,9,CCR4,1,0.31164935483564804
0.25,0.5164895523012263,9,CD163,1,0.286938459088828
0.25,0.5164895523012263,9,CLEC12A,1,0.286938459088828
0.24753688574416857,0.5207666929905368,9,CD82,1,0.2833568000024297
