rho,p,n,feature,FDR,neglog10p
-0.790277206784084,0.006514223587240812,10,KIR3DL1,0.6054798559678116,2.186137339256183
-0.7575757575757575,0.011143446799694262,10,CD86,0.6054798559678116,1.952980455970628
0.7441134253820596,0.01358918596127024,10,MS4A1,0.6054798559678116,1.866806558213575
-0.7232967491827756,0.018074025551277958,10,PVR,0.6054798559678116,1.742945108092125
0.612121212121212,0.05997214247725528,10,CD45RO,0.9805383192493332,1.2220504359141109
-0.5878787878787879,0.07387770688865797,10,CD44,0.9805383192493332,1.1314865932136298
0.5462309935991352,0.10234457577774579,10,SIGLEC1,0.9805383192493332,0.9899351698282304
-0.5366017925832457,0.10978440889894951,10,CD1D,0.9805383192493332,0.9594593321075419
0.5252565355638068,0.11897522508907236,10,KLRG1,0.9805383192493332,0.9245434648872668
0.5222329678670935,0.1215029188171132,10,THBD,0.9805383192493332,0.9154132890538174
-0.5222329678670935,0.12150291881711334,10,CD274,0.9805383192493332,0.9154132890538168
0.5103493078392206,0.13175961965447688,10,TNFRSF13B,0.9805383192493332,0.8802176674979887
-0.5030303030303029,0.13833369839449197,10,CD22,0.9805383192493332,0.8590720119075392
0.49781130155313164,0.14314197094587167,10,CD58,0.9805383192493332,0.844233007207146
-0.47878787878787876,0.16152292801745585,10,CR2,0.9805383192493332,0.7917658212913969
0.4680872686336497,0.1724550360939893,10,CD14,0.9805383192493332,0.7633241186877494
0.45647294162092733,0.184806082786805,10,OLR1,0.9805383192493332,0.7332837383255
0.44242424242424233,0.20042268671194216,10,ITGA6,0.9805383192493332,0.6980531203489422
0.4399433835235439,0.2032574392857644,10,GP1BB,0.9805383192493332,0.6919535501293128
-0.4376919914496465,0.20584999674311089,10,NCAM1,0.9805383192493332,0.6864491355377557
0.4376919914496465,0.20584999674311089,10,FCGR1A,0.9805383192493332,0.6864491355377557
-0.406060606060606,0.24428229408662663,10,CCR6,0.9805383192493332,0.6121080101413566
0.39789946034922286,0.25480360263592366,10,CTLA4,0.9805383192493332,0.5937944358585041
-0.38924947208076155,0.26622407306922685,10,CD40LG,0.9805383192493332,0.574752676402927
-0.38143629368324067,0.2767762976520354,10,SELP,0.9805383192493332,0.5578711043875437
0.37426130267530777,0.2866631890735267,10,BTLA,0.9805383192493332,0.5426280719947175
-0.36969696969696964,0.2930500752928225,10,GGT1,0.9805383192493332,0.5330581626998572
-0.35642407770401174,0.3120496942184637,10,ITGA1,0.9805383192493332,0.5057762386536766
-0.35557950110937975,0.3132800248482536,10,CXCR5,0.9805383192493332,0.5040672954302663
0.3504633733153655,0.32078711710953983,10,IL4R,0.9805383192493332,0.49378308141213834
0.3504633733153655,0.32078711710953983,10,SLAMF7,0.9805383192493332,0.49378308141213834
0.3454545454545454,0.32822651147136733,10,HLA-A,0.9805383192493332,0.4838263430857458
0.3374487155269168,0.34030016731737595,10,Rat-IgG1,0.9805383192493332,0.4681378373720271
0.32063670324597265,0.3663767995194702,10,CXCR3,0.9805383192493332,0.43607203544001316
-0.3161108827136336,0.3735613327078874,10,IGHD,0.9805383192493332,0.4276380838891739
0.3140828213195027,0.37680315783445495,10,Hamster-IgG,0.9805383192493332,0.42388546621798234
-0.3140828213195027,0.37680315783445517,10,ENG,0.9805383192493332,0.42388546621798207
0.3129069907613229,0.37868901667234744,10,CD81,0.9805383192493332,0.421717290780323
0.31139957766460924,0.3811134425448903,10,LILRB1,0.9805383192493332,0.41894573262350665
-0.3100318272768329,0.38331979780098846,10,CD1C,0.9805383192493332,0.41643874961159766
0.3090909090909091,0.38484123026128325,10,CD7,0.9805383192493332,0.41471840566816975
-0.3090909090909091,0.38484123026128325,10,CD27,0.9805383192493332,0.41471840566816975
0.3001465917507467,0.3994498565859739,10,CD8A,0.9805383192493332,0.3985377304296017
0.29696969696969694,0.4047016712701569,10,CD33,0.9805383192493332,0.3928650021270688
0.29696969696969694,0.4047016712701569,10,CD4,0.9805383192493332,0.3928650021270688
0.29696969696969694,0.4047016712701569,10,CD28,0.9805383192493332,0.3928650021270688
-0.2938935377559395,0.40981812563919817,10,IL2RB,0.9805383192493332,0.3874088373184212
-0.2938935377559395,0.40981812563919817,10,CD163,0.9805383192493332,0.3874088373184212
0.28764048376113227,0.42031228542220656,10,KLRB1,0.9805383192493332,0.37642791569740586
0.2857156055296304,0.42356778382654603,10,KIR2DL3,0.9805383192493332,0.37307707934460105
0.2848484848484848,0.42503815489214547,10,ITGB1,0.9805383192493332,0.3715720823841724
-0.2751343757715179,0.44167143440754,10,Rat-IgG2b,0.9805383192493332,0.354900688313153
0.2526318345396,0.4813083005379246,10,CD24,0.9805383192493332,0.31757664851019013
0.252138191695742,0.482194657109146,10,C5AR1,0.9805383192493332,0.3167776060715279
0.251552678847338,0.48324688687389394,10,PDCD1,0.9805383192493332,0.3158309350600803
0.25012215979228897,0.48582185798537014,10,NCR1,0.9805383192493332,0.3135229494138039
0.24316221747202585,0.4984337109977798,10,TNFRSF9,0.9805383192493332,0.30239259234164917
0.239281816464541,0.5055248490013544,10,FCGR2A,0.9805383192493332,0.2962574918654027
0.2363636363636363,0.5108853175152004,10,CD52,0.9805383192493332,0.2916765784564263
0.2363636363636363,0.5108853175152004,10,CR1,0.9805383192493332,0.2916765784564263
-0.2242424242424242,0.5334005612725949,10,MCAM,0.9805383192493332,0.27294653165802385
-0.2242424242424242,0.5334005612725949,10,ITGAL,0.9805383192493332,0.27294653165802385
-0.21884599572482324,0.5435509174040242,10,CD101,0.9805383192493332,0.2647597669192909
-0.21474009169894706,0.551324748075931,10,TNFRSF13C,0.9805383192493332,0.25859251230654295
-0.21474009169894706,0.551324748075931,10,ITGA2B,0.9805383192493332,0.25859251230654295
0.20759971844307282,0.564946403518352,10,TNFRSF14,0.9805383192493332,0.247992751756354
0.20635078182863836,0.5673421653030601,10,KLRK1,0.9805383192493332,0.24615493813820083
0.20246922931615008,0.5748125526418608,10,HLA-DRA,0.9805383192493332,0.2404737563979926
0.20133002296840144,0.5770120704320143,10,FCER2,0.9805383192493332,0.23881510180581444
-0.19999999999999996,0.5795840000000001,10,CD48,0.9805383192493332,0.23688361217191653
0.19999999999999996,0.5795840000000001,10,TFRC,0.9805383192493332,0.23688361217191653
-0.19452977397762067,0.5902067758594246,10,ITGAX,0.9805383192493332,0.22899580889660442
-0.19118084775969732,0.5967451543602389,10,IGKC,0.9805383192493332,0.22421109882837775
-0.19019836693335312,0.5986683040717657,10,FCGR3A,0.9805383192493332,0.2228137345570405
0.18787878787878787,0.603217610029209,10,TIGIT,0.9805383192493332,0.21952598838019957
-0.18748737331221843,0.6039864983022587,10,ANPEP,0.9805383192493332,0.21897276962119347
-0.17575757575757575,0.6271883447764844,10,ICAM1,0.9805383192493332,0.20260202086936144
0.17575757575757575,0.6271883447764844,10,IL7R,0.9805383192493332,0.20260202086936144
-0.17508551185460228,0.6285268974874607,10,Mouse-IgG2b,0.9805383192493332,0.2016761321698655
-0.17407765595569785,0.6305360755569764,10,CD79B,0.9805383192493332,0.20029006061013932
0.16883245785979503,0.6410274493173327,10,CD244,0.9805383192493332,0.19312337323966833
0.1636363636363636,0.6514773427962426,10,CD5,0.9805383192493332,0.18610068366539825
0.1636363636363636,0.6514773427962426,10,CD38,0.9805383192493332,0.18610068366539825
-0.1636363636363636,0.6514773427962428,10,ITGB7,0.9805383192493332,0.18610068366539811
-0.1636363636363636,0.6514773427962428,10,TCR-vD2,0.9805383192493332,0.18610068366539811
-0.16257940386498781,0.6536097730590956,10,B3GAT1,0.9805383192493332,0.1846814626661176
-0.15659001786431226,0.6657357311128085,10,TNFRSF4,0.9805383192493332,0.17669813313593002
0.13939393939393938,0.7009318849100583,10,CD19,0.9805383192493332,0.15432418380938726
-0.13939393939393938,0.7009318849100583,10,ENTPD1,0.9805383192493332,0.15432418380938726
0.13939393939393938,0.7009318849100583,10,CD99,0.9805383192493332,0.15432418380938726
-0.1337392196096142,0.7126222235089885,10,ADGRG1,0.9805383192493332,0.14714063806579705
-0.1313141338909517,0.7176524583232439,10,ITGA2,0.9805383192493332,0.14408582313058635
0.12506107989614448,0.7306676120453803,10,CD69,0.9805383192493332,0.13628014299242253
-0.12158110873601292,0.7379379712336095,10,PECAM1,0.9805383192493332,0.13198014208363143
0.11515151515151514,0.7514196523258485,10,NT5E,0.9805383192493332,0.12411745076177115
0.10942299786241162,0.7634826463741493,10,TCR-vA7.2,0.9805383192493332,0.11720082981856059
-0.1063019179117228,0.7700744599867219,10,Mouse-IgG2a,0.9805383192493332,0.11346728002503127
0.10303030303030301,0.7769984634438898,10,CD47,0.9805383192493332,0.10957984003885358
0.10303030303030301,0.7769984634438898,10,FAS,0.9805383192493332,0.10957984003885358
0.10303030303030301,0.7769984634438898,10,TCR-AB,0.9805383192493332,0.10957984003885358
-0.10303030303030301,0.7769984634438898,10,CD2,0.9805383192493332,0.10957984003885358
-0.10303030303030301,0.7769984634438898,10,SLAMF6,0.9805383192493332,0.10957984003885358
-0.09693667772552662,0.7899323732727861,10,NECTIN2,0.9805383192493332,0.10241008740780282
0.0909090909090909,0.8027717312071618,10,SIGLEC7,0.9805383192493332,0.09540792915527685
-0.0909090909090909,0.802771731207162,10,CD40,0.9805383192493332,0.09540792915527672
-0.0909090909090909,0.802771731207162,10,CCR4,0.9805383192493332,0.09540792915527672
-0.0909090909090909,0.802771731207162,10,ITGAM,0.9805383192493332,0.09540792915527672
-0.0909090909090909,0.802771731207162,10,ITGB2,0.9805383192493332,0.09540792915527672
0.08754275592730114,0.8099610887157982,10,LAMP1,0.9805383192493332,0.09153584453113654
-0.07976060548818034,0.8266294205655289,10,CLEC4C,0.9805383192493332,0.08268914180547862
-0.07784989441615231,0.830731709159245,10,CD83,0.9805383192493332,0.08053921213009257
-0.06748974310538337,0.8530368033430833,10,KLRD1,0.9805383192493332,0.06903223126622068
-0.0668696098048071,0.8543750609172776,10,HLA-E,0.9805383192493332,0.0683514371227342
0.06666666666666667,0.8548130882487426,10,CD45RA,0.9805383192493332,0.06812883686981806
-0.06666666666666667,0.8548130882487426,10,CD45,0.9805383192493332,0.06812883686981806
0.05818573654517123,0.8731487476737791,10,LAG3,0.9805383192493332,0.05891176455213392
-0.05818573654517123,0.8731487476737791,10,KIR2DL1,0.9805383192493332,0.05891176455213392
0.054545454545454536,0.8810361811618526,10,SELL,0.9805383192493332,0.05500625622326251
0.054545454545454536,0.8810361811618526,10,DPP4,0.9805383192493332,0.05500625622326251
0.054545454545454536,0.8810361811618526,10,ITGA4,0.9805383192493332,0.05500625622326251
0.04863244349440517,0.8938677821006586,10,CLEC12A,0.9805383192493332,0.0487267158245306
-0.04779521193992433,0.8956864834989989,10,Rat-IgG2a,0.9805383192493332,0.04784397952684739
-0.04242424242424242,0.9073638178128158,10,IL2RA,0.9805383192493332,0.042218542722123165
-0.04242424242424242,0.9073638178128158,10,ICOS,0.9805383192493332,0.042218542722123165
0.03751832396884334,0.9180440944118103,10,Human-Ig,0.9822306567117224,0.037136458777155726
0.0303030303030303,0.9337729580941467,10,CD3D,0.9822306567117224,0.02975870731734074
-0.027311549679956755,0.9403005294339524,10,Mouse-IgG1,0.9822306567117224,0.026733319362938636
0.022370002552044604,0.9510900996624946,10,IFNGR1,0.9822306567117224,0.021778339074423832
0.019395245515057075,0.9575888568713233,10,IGHM,0.9822306567117224,0.01882091630617009
