"","CP002-entry","CP003-entry","CP006-entry","CP011-entry","CP013-entry","CP016-entry","CP018-entry","CP020-V1","CP022-entry","CP042-entry"
"LINC01409",0.112404878285501,0.135001549615467,0.193789718356381,0.0614673485444532,0.0549946473602164,0.110872037497116,0,0.0573782685257389,0.238801627445947,0.126446788645487
"LINC01128",0.106317602285295,0.169457509554074,0.279762110050465,0.148210324846214,0.126538354304993,0.0307669587476617,0.0853707757438603,0.206965344402877,0.0444397042093288,0.0645344484886032
"LINC00115",0.113221241659849,0.038306837770542,0.06827180007773,0.118105592800469,0.0354230451209763,0,0,0.0161636276352774,0,0.0645344484886032
"FAM41C",0,0,0.0293347179320197,0,0,0,0,0,0,0
"NOC2L",0.497936760189502,0.473356498413847,0.243858856147941,0.346177779304261,0.43114329448412,0.31599508748252,0.599369857481958,0.321635061403068,0.433467766234701,0.361943516976494
"KLHL17",0.129160905661098,0.154070508123864,0.123093046889529,0.210869530182351,0.0540695066167982,0.143949477857983,0.146475828180506,0.0800345543634848,0.0862287214120429,0.0655200655200655
"PLEKHN1",0,0,0.0386518243661101,0,0,0.0283132120772837,0,0,0,0.0619743797913942
"HES4",0,0,0,0,0,0,0,0.669994199864562,0,0
"ISG15",2.01328104150522,0.751843909456416,1.47738287142704,0.66631984802243,1.90111919639463,0.575466328239252,0.610969299416419,2.00486388226735,0.920372268056383,1.43746615893572
"AGRN",0,0,0,0,0.0141241740889202,0,0.0330039538736741,0.0667732080815494,0,0
"C1orf159",0.0616817899771214,0.144998758881499,0,0.132712061224116,0.108969439559869,0,0,0.14301580557242,0.084355569914733,0.0591659961187106
"TNFRSF18",0.0914395643811848,0,0.0366525920713113,0,0.18849015778421,0.252234723702359,0,0.145086076705564,0,0.108404592859642
"TNFRSF4",0.0303283958704856,0.0437349661054013,0,0,0.124518087515646,0.115281748593563,0.0431667098333765,0.0579760085337365,0.0587074957730603,0.0619743797913942
"SDF4",0.870456594208961,0.832455153182165,0.510241626512186,0.584496263567952,0.86796518238677,0.673001295821328,0.904739577557296,0.748677330229654,0.790492713691027,0.394662979813984
"B3GALT6",0.529758081150815,0.0867549704074017,0.127199535981268,0.215208539217292,0.412184063176908,0.2426389434136,0.611637168040583,0.17678676616785,0.265319067421253,0.155506484620409
"C1QTNF12",0,0,0.0234684490171414,0,0,0,0,0,0,0
"UBE2J2",0.66040446421276,0.535601846512315,0.829402341650797,0.253090918438785,0.499547448868018,0.64960848067925,0.709948711662052,0.449850677181622,0.628547405025788,0.496366498992592
"ACAP3",0.24449454157837,0.0886199726953704,0.143171495268424,0.146257384833052,0.0259386576955904,0.145750913988368,0.150138307452224,0.138494088416607,0.203430920085984,0.164250213145785
"PUSL1",0.203142990747614,0,0.0980897230945476,0.201426723907258,0.141009100398763,0.0472786414009607,0.409579745572428,0.0612336787258249,0.153164864804904,0.219063132050246
"INTS11",1.1155574792259,0.416225186650599,0.631046753063318,0.48682616179604,0.557190680814215,0.593202622196734,0.532817726656674,0.65938513990311,0.807749749283792,0.999029644738078
"CPTP",0.216805925094249,0.368474097442215,0.267206496794582,0.183094185299526,0.229995434245904,0.427914517670173,0.264837826776227,0.121120746361994,0.184337862462426,0.116331990764793
"DVL1",0.158813093369076,0.0907387527880582,0.0795411216913837,0.118118488902165,0.0918540550451548,0.0741818280566144,0.125390846879681,0.143138288842491,0.105974059311062,0.0495181880304636
"MXRA8",0,0,0.076078893812884,0,0,0,0,0,0,0
"AURKAIP1",1.44538913826214,1.07421458729907,1.39003820096693,1.64953008323784,1.09718365877124,1.5799876768563,2.01290292780001,1.11110804327552,1.21544125580127,0.81199598475181
"CCNL2",0.613420921093259,0.851943933073578,0.861807870415231,0.805230351327252,0.950173081863034,0.534154386015484,0.844965427691328,0.726239301536977,1.07042961140219,0.763590302444223
"MRPL20-AS1",0.230040193417442,0.462614365757158,0.2515899856146,0.226461267851543,0.176476376563649,0.24788230475229,0.228779599234133,0.129368563566196,0.120186486567685,0.2558890025602
"MRPL20",0.955373751586729,0.432455280223217,0.466346142640105,1.17893576666732,0.990448881718843,0.733465503074643,0.722601992959494,1.17524711441151,0.903572089242004,0.669134895052768
"ATAD3C",0,0,0,0,0,0,0,0,0,0
"ATAD3B",0.172558929366672,0.0903167182383489,0.136447292900882,0.0746536072623029,0.128581689591163,0.128789888130445,0,0.178952575819267,0.0703878754546364,0.139394512569349
"ATAD3A",0.0825701396567,0,0.110121985480678,0.113668689817084,0.126498130873605,0.0319333742080523,0.219169671774653,0.123805041937768,0.154560435705609,0.0988654761054684
"TMEM240",0.0609751474600118,0.157136028593999,0.027766208524226,0,0.0704620200999218,0.0999280518027021,0.0450024751361325,0,0,0
"SSU72",1.96792416491682,1.72206111464781,1.79500937587339,1.5133804227782,1.58684453290034,1.86450810281071,1.59437897954045,1.02547828927123,1.74543729477524,1.24084125779802
"AL645728.1",0.0211688597605379,0,0.0503159843819184,0,0.020702905031634,0,0.0349208344682604,0,0,0
"FNDC10",0.073981633039558,0.0582750582750583,0.0898812306912768,0,0.0171709782993176,0,0,0.0121554093394872,0,0
"AL691432.2",0.0172940964872231,0.231377572411953,0.126931241411205,0.0595578425767105,0.114422735183704,0.171586589023493,0.123314622592218,0,0.0290157845868152,0.0683018120470736
"MIB2",0.560794477856293,0.494650673185527,0.564648437033133,0.218138863970235,0.547660641421431,0.505065269426939,0.25582893974444,0.27414271451046,0.738619824165361,0.393900955530078
"MMP23B",0.0485991692876764,0.0353419332037462,0.0731593286226804,0,0.011047917025724,0.0551657178163202,0,0.0295918687686574,0,0.131896993126566
"CDK11B",0.546121896070559,0.476662075342838,0.395253700929094,0.540007417337242,0.567719746746498,0.442817414684523,0.430249516290845,0.52997224418631,0.647876898485862,0.552928969564983
"SLC35E2B",0.317408620613237,0.449359188258772,0.35150399819583,0.418419036206342,0.555259070672952,0.360197947975292,0.496568790083161,0.2285954492246,0.241716293037652,0.672338503055994
"CDK11A",0.759378293865264,0.508743222301147,0.418078118619936,0.690891775641659,0.427098450811905,0.558709224417233,0.775934371132093,0.664815631497949,0.360652843988926,0.893381436027468
"SLC35E2A",0.107448934430919,0.257264867520991,0.136180524511657,0.18893459835649,0.163426304862616,0.184158810931731,0.265841532906405,0,0.207329582887599,0.177072112187352
"NADK",0.315863674043499,0.210576522724242,0.152859038864201,0.227166443067334,0.111433487146666,0.276282741010222,0.107507608455642,0.167247882821253,0.189509319807989,0.12648789714373
"GNB1",1.45628701540946,1.39242027412291,1.38628842618245,1.3061319084702,1.11227934648136,1.58231432467055,1.40540332711531,2.5981643820585,1.0696660216136,1.79722621694896
"PRKCZ",0.101855695655004,0.178148550588655,0.0701782866943256,0.250247583034998,0.00852436433815131,0.0198921052212798,0.130021455296862,0.0898975201355626,0.157710901096906,0.276929376288873
"FAAP20",1.21614726238951,0.962774443708432,1.38920792628164,1.10328189657164,1.36718527640713,1.01036437142974,1.03140718203887,0.467049077738991,1.63323224885677,1.43732950283233
"SKI",0.113025480283745,0.427032647087939,0.038039446906442,0.154667271864918,0.168380732315379,0.133464160271485,0.297399146822061,0.456232984014009,0.0293537478865302,0.0743113198433518
"MORN1",0.0217098693065868,0,0,0,0,0,0,0.0319283290522369,0,0.135785025597703
"RER1",1.22767342407353,0.609370666575201,0.991122766436019,0.985571734954555,0.639281108890336,0.875924975901575,0.81946408471065,0.820116763154122,0.851769121461484,0.86087729464466
"PEX10",0.164887386340295,0.0610172471263613,0.0277737660115761,0.0747428844773978,0.063706659958041,0.118064303309491,0.0505280177858623,0.0412961321657547,0.222731566483143,0.0958065474194506
"PLCH2",0.108953318962282,0.0243546030199708,0.216898731590481,0.140847301023186,0.184770433738493,0.150210192255134,0.0492513790386131,0.0423675068398659,0.0393775201612903,0.178692405142072
"PANK4",0.223682946593933,0.380632891970062,0.235134286311372,0.696696596692586,0.302454259347876,0.28578984018062,0.413403065983353,0.210528128335801,0.266896863474741,0.105605897645102
"AL139246.5",0.409176309994555,0.283748820633331,0.21987462257599,0.278598757413108,0.662648596368318,0.696008640762226,0.281348704153173,0,0.47650637748322,0.792546416867037
"TNFRSF14-AS1",0.058994610424669,0.11432424594292,0.0721407696652668,0.146277413119587,0.0966550718618594,0.0966998896458254,0,0,0.0390820410205102,0.171849670747786
"TNFRSF14",1.33807186596602,1.23400668758333,1.30979300169967,0.747083532321363,2.51976748487615,1.61125326737985,1.00880679740115,0.99930709302366,1.28271654565849,0.832434490064245
"AL139246.3",0.116114876230547,0.136309551109478,0.0277737660115761,0,0.192143092017956,0.0472786414009607,0,0,0.0246373383790602,0
"PRXL2B",0.126752552572445,0.15641278252412,0.44899765925073,0.117282792268718,0.213801801349855,0.305011222955833,0.338506707247648,0.0868428710618185,0.217869570134528,0.192304432442402
"MMEL1",0,0,0,0,0,0,0,0,0,0
"TTC34",0.0244178777934052,0,0,0,0,0,0,0,0,0
"MEGF6",0.0891639551919078,0.167584578208304,0.126018941837295,0.180767320879163,0,0.134249729348185,0,0,0.123681575386247,0.0971087685863005
"AL513320.1",0.0128173577785981,0,0,0,0.0136123316835187,0,0,0,0,0.105596209186958
"TPRG1L",0.423909543686997,0.435610873172818,0.209807692787449,0.296476643118944,0.229713630026157,0.261508172899528,0.452012964875667,0.461423935470315,0.145709115610934,0.384311312886962
"WRAP73",0.524253231519982,0.360478653337288,0.238185656262654,0.278476955892022,0.283606370202109,0.355471549685447,0.251255367471692,0.208856121728652,0.260242397558357,0.560099277654263
"SMIM1",0.0311969651592293,0,0,0.0389845309381237,0.0209596150137914,0,0,0.0142001079208202,0,0.0645344484886032
"LRRC47",0.441664762069372,0.143443714953265,0.14525535935784,0.0881816342126829,0.200116494702735,0.155363347919357,0.605527024331054,0.278184196629217,0.140743854468305,0.228349757070644
"CEP104",0.219942564752237,0.266980596031345,0.162219780603367,0.418730476451021,0.168409192159833,0.126907990805905,0.19715830275775,0.271374671533053,0.111025089103007,0.216975777726652
"DFFB",0.0785815047339793,0.105279533272324,0.0338443835245541,0.05327309921582,0.0344489303279603,0.199659793202086,0.189594567923044,0.101462247206991,0.0972257293203773,0.14813548544572
