"","CP002-entry","CP003-entry","CP006-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP018-entry","CP020-V1","CP022-entry","CP042-entry"
"LINC01409",0.104179477993148,0.172146775719343,0.122058732683934,0.0220904802303207,0.0664558553070141,0.0517702470383909,0.0654910595442856,0.0490060987553619,0.0874658863745199,0.152245884736868,0.0668951933769234
"LINC01128",0.172170499615571,0.170839816164047,0.135042928432162,0.11576196942646,0.1328395144353,0.14438264732862,0.142187442292217,0.158434532107864,0.151559391965213,0.1965592363722,0.237919703683163
"LINC00115",0.0279953789673288,0.0203570945138182,0.0329721490995312,0.0469703372917002,0.0331675386817721,0.0341210751741547,0.0733492549252218,0.0257172776444813,0.0440343557933545,0.103483675232108,0.0404053960931533
"FAM41C",0,0.00733234591075069,0.00715081088687985,0,0,0,0,0,0,0,0
"NOC2L",0.439561579811548,0.320877571409099,0.294666270792656,0.438528895052033,0.240990999769938,0.372718846990954,0.425107232783646,0.423495785226292,0.368839888387472,0.32481693463592,0.610676993015367
"KLHL17",0.0712392836886826,0.0752644949720927,0.0459178083824007,0.102554731639309,0.0570740102841059,0.0555054529504962,0.0889200615796985,0.0761261822302574,0.091772273018958,0.0448199102875594,0.070950587876951
"PLEKHN1",0.00223558355996562,0.034217163755563,0.0236380434999774,0,0.00207080153272446,0.00797436083504317,0,0.0101676105869156,0.00551595406975365,0.0153431179817029,0
"HES4",0,0,0.00473692100524119,0,0.00192537552524244,0,0,0.00504000235288362,0.0924233951578857,0,0
"ISG15",0.914142691958252,0.281749408353422,0.996762310913069,0.696275983382399,1.09932289157527,0.264648887792061,0.187856094533889,0.611147702079164,0.817489598149203,0.699640714896565,1.02935300945247
"AGRN",0.0271957964640083,0.012880150288437,0.0147085742003194,0.00481000481000481,0.0164373658251507,0,0.00991050811175089,0.0119140021032993,0.0058562650030189,0.00845172145178649,0
"C1orf159",0.0863691119078223,0.068478512402339,0.127337757325708,0.145894211328342,0.0903045793322875,0.0822065198513142,0.119061296653647,0.0967287936294085,0.149723275691642,0.0916387608317712,0.130691878917316
"TNFRSF18",0,0,0.00324866395221389,0,0.0018132866037287,0,0,0.00231855240716748,0.00498538285746192,0,0
"TNFRSF4",0.00290471630071598,0,0.00605160132748475,0,0.00362970011428925,0,0,0,0.0206797354493798,0.0077827426168467,0
"SDF4",0.607447624709203,0.515029773713667,0.510037578601728,0.473069712740662,0.371919573795975,0.433469709611442,0.465138096313296,0.500363048107877,0.566455306785029,0.531660485203526,0.518763049613121
"B3GALT6",0.296547865569713,0.226604904643891,0.161421028520231,0.33980189956072,0.139805156529272,0.272793452978326,0.272373328137951,0.203456175356857,0.150750687883313,0.234829787110472,0.247932603126247
"C1QTNF12",0,0,0.0102397180537007,0,0,0,0,0,0,0,0
"UBE2J2",0.573145080456251,0.461528102397248,0.538779063147742,0.289504897296148,0.400681214300238,0.3626674698455,0.368630883793285,0.51568304044074,0.372673059689734,0.449017609903418,0.413420688132493
"ACAP3",0.116378310290535,0.127024602650409,0.115018761064889,0.101646496103905,0.0535043497390088,0.0417795441686964,0.025203669744303,0.142868700909914,0.0722274268148922,0.124240552924197,0.0878304750329978
"PUSL1",0.0936981650667085,0.0697343793746984,0.0922767206194852,0.0860095518446382,0.0447945440345554,0.0975902528901624,0.113305274352151,0.142617712469562,0.102279401106001,0.0871900187933711,0.0715032403508092
"INTS11",0.745058352488313,0.571473587989397,0.464700194215325,0.51212398558077,0.404946912435644,0.498453308755175,0.613509231996822,0.567357614037886,0.585697549871573,0.540146050553261,0.664066455808917
"CPTP",0.264630885438295,0.221870586795721,0.188483126658963,0.180172094570933,0.120027298532443,0.176840002297022,0.238011389917811,0.210914762888624,0.198851458185186,0.160340808113862,0.119047349140302
"DVL1",0.106738621418618,0.0835686666365893,0.100855536613904,0.078963722650992,0.0344347374147659,0.00537161071507419,0.0149743190428415,0.0974706062294161,0.0990576904679392,0.0303918562595935,0.0770823839163942
"MXRA8",0.0407165855111413,0.0512541963639271,0.0387342658558684,0,0.0450896705132224,0.0106625801741426,0,0.0287895604040396,0,0.0443738886489982,0
"AURKAIP1",1.20956070445408,1.09048484420974,1.10175016409875,1.23265911051736,1.04761193898884,1.05490514882342,1.10230271417642,1.26868906147192,0.782068563260803,1.04355056042346,1.16565556200922
"CCNL2",0.580853101650575,0.615549063985093,0.493649950939484,0.61286077292552,0.586259007930379,0.551315472864492,0.80325325723193,0.495341936827187,0.674949491907228,0.633913862649213,0.85622934527935
"MRPL20-AS1",0.18616570000002,0.167005538187257,0.169636783179171,0.273990245498048,0.134620073136402,0.219761781571296,0.273548305831617,0.175007846475201,0.117699812115798,0.171624047801396,0.207852496754412
"MRPL20",0.897895481192391,0.567623340316676,0.710521009790205,0.945505061062464,0.594521098629379,0.891155884382093,1.09536375669483,0.816931968521666,1.0106378376255,0.769190783572027,1.3436994333371
"ATAD3C",0,0,0.006075959095771,0,0,0,0,0,0,0,0
"ATAD3B",0.0705795329992185,0.0560043607948857,0.0352050231722822,0.0410149655973288,0.0648814314826739,0.0274625130498194,0.103551526718826,0.0724003353980842,0.176055883990566,0.0511748644725347,0.0799386963788784
"ATAD3A",0.109022111709593,0.0260432245322912,0.0363363244603671,0.0576166310634972,0.026624882503641,0.0728001090247533,0.0374749877617191,0.0627358444988141,0.0789918280645796,0.0394471575369061,0.130069966238797
"TMEM240",0.0256052569070657,0.0411414967924473,0.0300869684505886,0,0.0269605190223354,0.0237491214482771,0,0.0382744335992422,0,0,0
"SSU72",1.71960537316055,1.41219922443577,1.58965215293532,1.46356827249989,1.27600695530491,1.20695766250038,1.56316755670985,1.515292189597,0.893271808074725,1.41756931012401,1.54231338007917
"AL645728.1",0.0234108837430975,0.0388536323164328,0.0205371278774503,0,0.00342211667091374,0.0249765309836008,0.0138623194432893,0.0163371481952063,0,0.0130356397075682,0
"FNDC10",0.0404936707526103,0.0436028400822395,0.0533172048581341,0.0271567873650693,0.0168269744198685,0.00689825012089183,0.0523204407801788,0.0357412065962439,0.0230849815735172,0.00251799865438152,0
"AL691432.2",0.0457043102276973,0.0707264785628431,0.0678952875551448,0.0546828588920562,0.0428928814725178,0.0403858557147461,0.109761858351568,0.0794872365399207,0,0.0849662805980463,0.0756410403873652
"MIB2",0.455234199993417,0.527944851373657,0.472379753365428,0.359489209549473,0.358384786432115,0.455149781698896,0.406522697711,0.542027809184363,0.344965236911143,0.44242724654092,0.556961864441343
"MMP23B",0.0707831418767807,0.0467350004148228,0.0291176311063915,0.00954564199522722,0.0199974258894619,0.0455662905665295,0,0.0113517539838284,0.0057409005291388,0.0316475052555398,0
"CDK11B",0.492077024429463,0.321263480357879,0.30374532347065,0.477310621389303,0.404625504295979,0.375506622839689,0.436851964178,0.462135413805441,0.600343930624214,0.40959355915442,0.437302752364704
"SLC35E2B",0.280925153902127,0.458491040805653,0.370136775561856,0.363093898785076,0.352696031549523,0.378503038372986,0.355327670272964,0.403952779868334,0.421414270540573,0.341410110277313,0.607152981865783
"CDK11A",0.514795020997715,0.323050211502318,0.36944541961657,0.434037494132804,0.336704008086538,0.364235568681859,0.497770072867247,0.334180870694451,0.42936308086262,0.433326680117753,0.43806433566046
"SLC35E2A",0.092689969951404,0.0909793930436998,0.0903956562032198,0.152901399791492,0.134564101677484,0.0966370984397635,0.14883522402625,0.0934141816922441,0,0.193521976647023,0.215279663853037
"NADK",0.221621572310526,0.171337527516795,0.155433618504659,0.188798226697567,0.0863671032515201,0.1759860759341,0.296275118894916,0.165492833390063,0.204901038734003,0.12439133388574,0.226233052356459
"GNB1",1.00664664123086,1.08315682154179,1.0962227421242,1.02471730667712,0.805532811206206,0.818823206679566,1.00972855290289,0.835624857643733,1.96798418851035,0.945635103344426,1.0717226533426
"PRKCZ",0.0895334104039524,0.0581469650541749,0.040877210416977,0.0730562029002899,0.0320804524370703,0.0759791044200437,0.0693064342560675,0.0577089471493693,0.0627499860017697,0.0817168051049688,0.0771142927721609
"FAAP20",1.01148863727479,0.611957135581788,1.16496869700038,1.08261701646643,0.988873962583537,0.769006202094383,0.652686460534816,1.04551647902938,0.644193900480822,1.22375035710049,0.935939760663496
"SKI",0.0757111313500821,0.0851272840280426,0.0868657432791235,0.133453920677802,0.0538491935983727,0.106258333095539,0.175046688675865,0.089572414533906,0.975446549365348,0.0787288366559598,0.250710043315857
