"","CP002-entry","CP006-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP020-V1","CP022-entry","CP042-entry"
"LINC01409",0.0688404811890973,0.0665654810880142,0.0373022978215458,0.0353091927631252,0.13082416953895,0.0919533421443633,0.0955057527292595,0.0789002686259065,0.137369799061185
"LINC01128",0.0848740735276397,0.117450938218898,0.132388923016009,0.118003147649832,0.148107220569892,0.0643749566963567,0.218559460418252,0,0.188624666823734
"LINC00115",0,0.0514514452710977,0.040650406504065,0.0215381699447761,0.0777593791198026,0.0310651622844078,0.0321000494340761,0.0506418859038311,0
"FAM41C",0,0,0,0,0,0,0,0,0
"NOC2L",0.339188960237836,0.307042358901323,0.407813549921875,0.46451962434267,0.571184289367482,0.507169243111716,0.319861275591489,0.248748791950243,0.379599375999204
"KLHL17",0.0295346012842601,0.186570924996939,0.0897106692103722,0.022156638572049,0.220248726867107,0.167982081436045,0.0827954222861957,0.0579848089140618,0
"PLEKHN1",0.0253454586007279,0.0271646121165036,0,0.114427729253854,0,0,0,0.0348920788002708,0.0249650489314959
"HES4",0.0423619483356044,0.227523359116645,0,0,0,0,0.836260309358519,0.0128252318481287,0
"ISG15",2.40672674300911,1.60860671479225,1.54275344537897,1.72805571443622,0.757022151891323,0.891565308434654,2.7744498222892,1.57322210195505,1.35439357141621
"AGRN",0,0.124191953017813,0,0.037952526790902,0.0401374305622451,0,0,0,0.0964231444191413
"C1orf159",0.0102636105739822,0.0263436132924576,0.0267522739432852,0.0723785250029264,0.114597393986654,0.13142875981831,0.101261189330444,0.0562067234684864,0.0682025133076186
"TNFRSF18",1.65981900736714,1.73719820098047,0.986905034153794,6.08249519556152,2.80140543893504,0.950392206754518,3.93010006650329,1.64292809472961,1.12197037025474
"TNFRSF4",0.838699646615304,0.398408083893702,0.289475419666221,1.56392594982262,0.420741793561483,0.550859228226142,0.713940105779287,0.787420308171149,0.17456214497304
"SDF4",1.27561522167272,1.56583966231035,0.779300090602229,1.50786380863756,1.55526229524041,1.26784825725597,1.59658179583017,1.30903245561462,1.14383333575055
"B3GALT6",0.275791923827901,0.143236921434276,0.308754604155796,0.508216013093157,0.165239116672228,0.295023695807443,0.278914218969951,0.21647035613508,0.389653001603335
"C1QTNF12",0,0.0586840684490974,0,0,0,0,0,0,0
"UBE2J2",0.683731215074332,0.59977094027995,0.553341319928804,0.711447816372295,0.5885743991348,0.56952572622652,0.561475657131898,0.614507285236262,0.579531162288243
"ACAP3",0.203249777125249,0.095806855476716,0.0873673824315388,0.059076152469063,0.0225468975468975,0.033921302578019,0,0.0620987483122195,0.127382723889742
