"","CP003-entry","CP006-entry","CP013-entry","CP020-V1","CP022-entry"
"LINC01409",0.13169119773872,0.108314025439553,0,0.0683004125344917,0.286355434508756
"LINC01128",0.226037022978288,0.152849246332145,0.220586255091456,0.169398613390744,0.18366459265628
"LINC00115",0,0,0.0344285040470706,0,0.133255709847552
"FAM41C",0,0,0,0,0
"NOC2L",0.385356638566991,0.368811100556665,0.531638631011034,0.20660729878027,0.305942595225124
"KLHL17",0.165056227060571,0.0952199877194815,0.100093730566039,0.0603209072264447,0.100404387434075
"PLEKHN1",0,0,0.0413898718983465,0,0.0531781948129989
"HES4",0,0,0,0.988330151347759,0
"ISG15",0.431994798913788,1.6648304678791,2.39441228980757,2.64501411590825,1.33601497079013
"AGRN",0,0.0367740345896569,0,0.0522728223142224,0
"C1orf159",0.254550419367826,0.0847795219365726,0.326468005483228,0,0.344014463175554
"TNFRSF18",0.0546950205653277,1.00049210164014,1.82668296760472,1.2685440952336,0.90673928989189
"TNFRSF4",0.152247880496196,0.417573749578957,0.609244353894992,0.189903198184168,0.730069261180271
"SDF4",1.14960343691792,1.55768683340327,1.31083320196322,2.37468932653891,1.54975895151463
"B3GALT6",0.385345505111175,0.134130773089047,0.174349380945903,0.114656046740694,0.24876173933425
"C1QTNF12",0.095085957705766,0,0,0,0
"UBE2J2",0.485239250388851,0.844698813939027,0.287952782170709,0.611098988852707,0.910407561647724
"ACAP3",0.046347793845013,0.224841000761163,0.0561974553792204,0.0659404957290508,0
"PUSL1",0,0.200108991632618,0.188454825260679,0.0566431031357622,0.146037047973263
"INTS11",0.791177325280237,0.696641989121413,0.392239630697837,0.587297291588516,0.825043280147154
"CPTP",0.397632697384905,0.265731160371934,0,0.147349844617311,0.11009782778491
"DVL1",0,0.163909380064755,0.0651890482398957,0.0435251923813503,0.0718803910293272
"MXRA8",0,0,0,0,0
"AURKAIP1",1.60473538115877,1.56665366771278,1.24996629260352,1.47738675433772,0.887050228850985
"CCNL2",0.814838037801823,0.7112653199595,0.622204521125344,0.804726092096551,0.680089358446425
"MRPL20-AS1",0.167404537159582,0.226747509155412,0.381595860026104,0.122514048779058,0.127159754685195
"MRPL20",0.980565930309056,0.81890980973169,0.865180840215818,1.36891935159104,0.978540220687884
"ATAD3C",0,0.0888786184707545,0,0,0
"ATAD3B",0.0595408211870058,0.0569719413189004,0.0608805766608221,0.320268666133357,0
"ATAD3A",0,0.125635643718662,0.0642013353877761,0.144296837137254,0.215543216701475
"TMEM240",0,0,0,0,0
"SSU72",1.54218545060779,1.46238271220227,1.10561862619632,0.78604187943563,1.80895404115049
"AL645728.1",0,0,0,0,0
"FNDC10",0.0417334401709402,0.0302988068329869,0.102766059698875,0,0
"AL691432.2",0,0.0433593055573622,0,0,0
"MIB2",0.333137044199386,1.37911380155686,0.690406746714359,0.715078559949955,0.553569880381951
"MMP23B",0.85240431057663,0.504284561697932,0.158521821955026,0.330249660109216,0.485550888146128
"CDK11B",0.660858320432682,0.512663640434628,0.357430722600901,0.486067850251661,0.470929112499623
"SLC35E2B",0.664320560068294,0.412326570399094,0.408663224254671,0.531565850789221,0.0751292222622911
"CDK11A",0.556955307458048,0.447308608241239,0.375583621344905,0.516262523071794,0.769610382953588
"SLC35E2A",0.241778587017861,0.0377066797383157,0.210809119514069,0,0.457187980511194
"NADK",0.400186110751825,0.297969181547378,0.180776141029479,0.594037370419733,0.455851914091534
"GNB1",1.79662465441756,1.78012483239353,1.66223449740836,2.60819084182215,1.76626059721322
"PRKCZ",0.125828379814139,0.129075325921214,0.101577499267558,0.114733792197606,0.119385905403288
"FAAP20",0.664848375688775,1.51391240294296,0.959670761515442,0.541420303383958,1.70114626483743
"SKI",0.13005382244206,0.496006471980377,0.12932270235985,0.942650432838478,0.462919531974027
"MORN1",0,0,0,0.0545625177328183,0.0729149956980153
"RER1",1.53809832049686,0.674380338812614,0.735704161228676,0.99730228665544,1.00757368381607
"PEX10",0.0952338616736417,0.108977795957545,0.112002687683406,0,0.140459744093827
"PLCH2",0,0,0,0.0678002874732189,0
"PANK4",0.0607917517751191,0.292336650776495,0.168758749526097,0.201042317362612,0.127896512309535
"AL139246.5",0.339220628530324,0.528271060560626,0.83139825449651,0,0.28607271951743
"TNFRSF14-AS1",0,0.099294665563874,0.2057206501107,0.155355384104959,0.125476015074017
"TNFRSF14",2.91079013941878,2.52194665585359,2.23647188719511,1.20902890596718,2.33593382174398
"AL139246.3",0,0,0,0,0
"PRXL2B",0,0.0661896715336299,0.104852866603531,0.0407657437302286,0.0779660418561964
"MMEL1",0,0,0,0,0
"TTC34",0,0,0,0,0
"MEGF6",0,0,0,0.0545625177328183,0
"AL513320.1",0,0.0928590026048384,0,0,0.134587297824167
"TPRG1L",0.417078540502093,0.353025961239503,0.279321662063125,0.425579560433404,0.22261462910375
"WRAP73",0.209547277900121,0.328369208944758,0.208126149531802,0.260412942129675,0.578796845921868
"SMIM1",0.0633809958422067,0,0.0435486961520372,0,0.128709986566386
"LRRC47",0.404238946600554,0.646589957545032,0.0985703367351526,0.32181188523459,0.357123943607806
"CEP104",0.494944944678274,0.0935260325108112,0.346662107372993,0.379430970121703,0.159752170173839
"DFFB",0.13044931914721,0.112948393425502,0.116960028118275,0.143966323101409,0.089359914929361
"C1orf174",0.625580745160646,0.434683790396318,0.655891074161041,0.560162951930283,0.849380480809102
"NPHP4",0,0,0.033522849173997,0,0.0769636308362483
"KCNAB2",1.55767164443337,2.32453919175686,1.10607654844654,0.695263875943597,1.67200452689047
"RPL22",6.38697461042851,7.31287800909725,7.59629185127445,7.3207494207801,9.04494987450175
"ICMT",0.0747518239445042,0.114935821550166,0.0504589239129886,0.180694916264893,0
"GPR153",0.242571910367885,0.216672208690177,0.246101049901611,0.121096100554143,0.120042212912233
"ACOT7",0.459472542965663,0.534028387025837,0.68853938398651,0.52216443129336,0.318034364782168
"AL031848.2",0.05974572220629,0,0,0,0
"ESPN",0,0,0.0599545544477286,0,0
"TNFRSF25",0.0651245180785662,0.0978034954401447,0.171989544068317,0.199241116794193,0.200823880798612
"PLEKHG5",0,0,0,0,0
"NOL9",0.167048849454952,0.251865179304796,0.114891392404942,0.265507275540785,0.22606877672617
"ZBTB48",0.204851516197811,0.219096967805089,0.203991128765498,0.0532958130809243,0.10323433160932
"KLHL21",0.423791740082897,0.0294460607059988,0.237604127168783,0.57309180397652,0.116899655563765
"PHF13",0.0492513790386131,0.178678032505244,0,0.114852746668525,0.0738001933565066
"THAP3",0.227161945976268,0.331201260582931,0.165376625788761,0.333539519413644,0.258832878835325
"DNAJC11",0.110309849140912,0.066609226850819,0.0501454217229967,0.414938989871445,0.146280892340112
"CAMTA1-DT",0,0,0,0,0
"CAMTA1",0.76470779920818,0.971343034525982,0.405711114032651,0.483186784414832,0.459171744009051
"VAMP3",0.259820414896924,0.137879568447983,0.27080260681895,0.282478295417055,0.0548365869708269
"PER3",0.0619855201824854,0,0.0577483902636214,0,0.0751292222622911
"TNFRSF9",0.0542958908869777,0.18759438342416,0,0,0
"PARK7",1.90547048238769,2.11744882636295,2.46938915243785,2.13683665573249,2.42171046917625
"ERRFI1",0,0,0,0,0
"RERE",0.364700762418948,0.354356614517225,0.516100947818844,0.918542132086297,0.274138177923572
"RERE-AS1",0,0,0,0,0
"ENO1",23.2759224971012,25.5110454689755,22.7432906031453,3.63794269694244,7.80777380871056
"ENO1-AS1",0,0,0,0,0
"CA6",0,0,0,0,0
"SLC2A5",0,0,0,0,0
"GPR157",0,0,0,0,0
"MIR34AHG",0,0,0,0,0
"H6PD",0.137844985690722,0.130953934831279,0.0615437637704171,0.119808858485722,0
"SPSB1",0,0,0,0.0532958130809243,0
"SLC25A33",0,0.113058305418603,0.171767968378138,0.356144959840868,0.0430003956036395
"TMEM201",0.0607562943520949,0.0362859185235986,0,0,0.10323433160932
"PIK3CD",1.75097493785119,1.03297555383863,2.48146031468597,2.02882857313468,0.948309822857009
"PIK3CD-AS1",0,0,0.0531821541963379,0,0.0509863305647756
"CLSTN1",0.320716564268852,0.366864857939698,0.445184750519651,0.132760225270447,0.716351586733365
"CTNNBIP1",0.187536080458544,0.218820237285372,0.0413898718983465,0.0681114303695396,0.192451451472648
"LZIC",0.291733136717013,0.471455250144397,0.605521703467282,0.300193117122848,0.378240571909249
"AL357140.2",0,0,0,0,0
"NMNAT1",0.0461016449066903,0.0455377553529631,0.132201581482566,0.0532958130809243,0.100512856972319
"RBP7",0,0,0,0,0
"UBE4B",0.059694364851958,0.283337246094398,0.445365558850418,0.744827796775668,0.0503707285622179
"KIF1B",0.142253973031373,0.0653398324686695,0,0.0317896289514509,0.133467235358964
"PGD",0.229991793482562,0.348117641871572,0.217339768071309,0.452373061978394,0.375077190307579
"CENPS",0,0,0,0.0586670143194023,0.0844921726601007
"DFFA",0.150469382362797,0.329838417697547,0.0976139617727945,0.263354565351679,0.135465701666921
"PEX14",0.166211786973001,0.0521351969928418,0.167143134200622,0.673316657199036,0.619457869740968
"CASZ1",0.20839793181105,0.332109979903844,0.168379551128898,0.202560383174679,0.402533200801459
"TARDBP",0.768989272225875,0.746446327459997,0.63530878600085,0.45708015127181,0.250773971894406
"AL109811.2",0,0,0.0428225177927562,0,0
"SRM",0.812106236988486,0.216722700676774,0.30517082936476,1.63003486431162,0.419675453381845
"EXOSC10",0.586435720644371,0.633405573066728,0.27484201491455,0.417887764240087,0.333492842542472
"MTOR",0.193156306600338,0.0498357910684295,0.278769658317349,0.226908449834482,0.370110511674804
"UBIAD1",0,0.0796452240809608,0.151234576253045,0.218138804559423,0.0209642287365069
"FBXO2",0.155321369226635,0.107821135531068,0.0501454217229967,0.0708436056561535,0.262382469774513
"FBXO44",0.61185281615609,0.59279617195635,0.0344285040470706,0.400256336365173,0.224063122576786
"FBXO6",0.040937970786664,0.256440124651617,0.839111749673189,0.29642398243874,0.626670230472077
"MAD2L2",0.779207840259479,0.419633538266421,0.650919131909096,0.429675967128779,0.541232932569994
"AGTRAP",0.46992383856804,0.980927614218711,0.53186728151722,0.108915925449985,0.567855719358392
"MTHFR",0.121160408717041,0.0316451690484931,0.0596591078577011,0,0.176004457075495
"CLCN6",0,0.1848900721666,0,0.0544128849711612,0.0751292222622911
"AL021155.5",0,0,0.104130579085026,0,0
"KIAA2013",0.509009683431585,0.196154057216383,0.654676909695109,0.602573157432671,0.464384906436732
"PLOD1",0.171072289366066,0.15084236256849,0.342950825073995,0.111176867436825,0.145046126052301
"MFN2",0.336048536378644,0.0888786184707545,0.170113405123515,0.282155624186079,0.263948859663308
"MIIP",0.346301903957493,0.254534675487223,0.2201170356108,0.132764969920841,0.200731834088799
"TNFRSF8",0,0,0,0,0
"TNFRSF1B",2.96842229825473,1.58889278824625,1.28078651766553,2.64742982791329,2.4466622422791
"VPS13D",0.4331825390993,0.299550739286385,0.597162891937639,0.493291144069147,0.514284597576653
"DHRS3",0.472733357246606,2.4391066289326,0.863042111810943,0.313964452394539,0.340093492004194
"PRDM2",0.401470320577217,0.658755387385768,0.586572277990602,0.804510955256104,0.844791659454621
"KAZN",0.0492513790386131,0.0509136453660946,0,0.0951786287013898,0.0802890405459655
"TMEM51-AS1",0,0,0,0,0
"TMEM51",0,0,0.0646914219174537,0,0
"FHAD1",0,0,0,0,0
"EFHD2",8.55096894870064,9.18461630185219,5.43256393194196,10.5497648307051,7.71661206629465
"CASP9",0.223138541293037,0.111068657897437,0.208632495234416,0.147947845926104,0.0980488283165016
"DNAJC16",0.109616572570202,0.307439695433008,0.0608805766608221,0.134586083420037,0.264961328370459
"AGMAT",0,0,0,0,0
"DDI2",0.36553152905041,0.312950897719049,0.198432514723014,0.91644330603945,0.208864743539787
"PLEKHM2",0.330185369633291,0.513595105025152,0.0578272007586929,0.280109702173753,0
"SLC25A34",0,0,0.0608805766608221,0,0
"UQCRHL",0,0.223456261533652,0,0.118721583878767,0.0800775150345534
"AL450998.2",0.312696658117706,0.0768869844277844,0.252023103093392,0,0.410405257909911
"SPEN",1.06157787647461,1.11084227069244,0.453113587883658,0.984070587065123,0.952780577008405
"ZBTB17",0.458293500456694,0.163944547813347,0.226629887127794,0.340442684727278,0.363229126896877
"ARHGEF19",0,0,0.193477812430598,0.109052852048242,0.185655479902864
"CPLANE2",0,0,0,0,0
"FBXO42",0.339698597427463,0.358299557294223,0.468398681688738,0.690457641972832,0.573639473031049
"SZRD1",0.717419207533669,0.381051815949809,1.1407759267411,0.850645708162452,0.698851054841221
"SPATA21",0.0542958908869777,0,0.161840488812841,0,0
"NECAP2",0.340527303886551,0.820760840886624,0.758461757536597,0.430222759365197,0.369785566508234
"LINC01772",0,0,0,0.0753148213328012,0
"AL137802.2",0,0.0640799718048124,0,0,0
"NBPF1",0.107139545620132,0.170602362163588,0,0.0390631103610994,0.130468016512683
"CROCC",0.412919236588052,0.271418168937249,0.183332439425437,0.148426047972116,0.192183375752475
"BX284668.5",0,0.277945351981114,0.209261975133237,0,0.0675447483958122
"BX284668.6",0,0,0,0,0
"ATP13A2",0.289364161397039,0.124157042157271,0.11899573160556,0.338486647962128,0.11510076682895
"SDHB",0.427580471859256,0.664455538208812,0.747774571910215,0.511106682535159,0.628690027591657
"PADI4",0,0,0,0,0
"RCC2",0.379110963090732,0.344449231499634,0.480342286794462,0.474742619284992,0.359786421003191
"ARHGEF10L",0,0,0,0,0
"ALDH4A1",0,0.0418704361224626,0,0.0603209072264447,0
"IFFO2",0.0558534405719393,0.580407384026362,0.23618505510629,0.601180464749463,0.487703842927986
"UBR4",0.885587318290258,0.345213421908299,0.661816349217067,0.721443587121799,0.425509910930977
"EMC1-AS1",0.0651245180785662,0.0327140562485483,0.0567050938185777,0.0422668560221816,0.0703591129123044
"EMC1",0.0627699106156473,0.038433452477036,0.0991382621619679,0.0656529845846792,0.0713740212837331
"MRTO4",0,0.0377066797383157,0,0.102587763248626,0
"AKR7A3",0,0,0,0,0
"AKR7A2",0.963366152039968,0.724302940839038,0.464494825437988,0.136216474925291,0.849063847647974
"SLC66A1",0.170857075704823,0.0427577006618892,0.103655111207443,0,0.164676294079318
"CAPZB",2.80898053051731,3.03679206280076,2.50682846635359,2.9790677157301,3.49903535203263
"MICOS10",1.30235989819682,1.03979469042843,0.8975288443073,0.741394866262566,1.12647161194113
"NBL1",0.196385396028979,0.106040836955261,0.187000874767516,0.822663131041389,0.114020602626643
"TMCO4",0.0633809958422067,0.0747257056421353,0.152903472935672,0.121137034358353,0.262063243910996
"OTUD3",0.125539821231295,0,0.0497626322441952,0.244069956173119,0.0980488283165016
"UBXN10-AS1",0,0.0418704361224626,0,0,0
"CAMK2N1",0.051940496966675,0.0943787786377993,0.0435486961520372,0,0.0802890405459655
"MUL1",0.328439919540642,0.305380063708455,0.210325893776738,0.189274010027833,0.446274856881216
"CDA",0,0,0.125132170855466,0.0422668560221816,0
"PINK1",0.446232878722611,0.465102205281401,0.222620702487547,0.742898912217599,0.415048536486241
"PINK1-AS",0,0,0.0618131019050798,0.0678002874732189,0
"DDOST",1.75967986624392,1.12190825180552,1.59358479621377,1.45376573628243,1.21989244309843
"HP1BP3",3.35196740610193,3.47147869243132,2.38747703869334,2.21266793400711,2.01623907674425
"EIF4G3",0.458579270692934,0.356324527210209,0.667729573591515,1.11180471137001,0.687150032996524
"ECE1",0.14136168701126,0.0974089226573154,0.223007064793596,0.870534447208974,0.0559298749890638
"AL031728.1",0,0,0,0,0
