"","CP002-entry","CP003-entry","CP006-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP018-entry","CP020-V1","CP022-entry","CP042-entry"
"LINC01409",0.041295528821277,0.130454840958328,0.102527974561646,0.0413541511147199,0.0685301629836379,0.0377970340763206,0.0415644933576129,0.0518347748143402,0.0209711340155394,0.111876158103072,0.0604215136790526
"LINC01128",0.177701295750277,0.297978430525413,0.252150458218113,0.137217261117653,0.152993494526886,0.145915576374651,0.158129083303498,0.17495467538713,0.279448926799956,0.236678852918174,0.255879646659259
"LINC00115",0.0291676693076394,0.0212877883995918,0.0413267145002229,0.0479392676189774,0.0201278783705115,0.033564950787469,0.0246870176639074,0.067858831172782,0.0297288383505342,0.0664617682977292,0.0391044936172695
"FAM41C",0,0.0135203153922705,0.00915553977848196,0,0,0,0,0,0,0,0
"NOC2L",0.448482667174435,0.23655113945355,0.314199051317781,0.563896427251061,0.241340622802978,0.35399735049769,0.485129104335348,0.372630335726644,0.415215443656786,0.354244086398457,0.448471688607804
"KLHL17",0.105020623290693,0.073734392999564,0.0315686966227209,0.084273525346201,0.044691087697004,0.0679963874091719,0.10209166491151,0.0813730243302076,0.0662646179933715,0.0646375024944006,0.0329141098834424
"PLEKHN1",0.0115345612289251,0.0118438278354003,0.0111753686593897,0,0,0.00754027438077281,0,0.00693141915262015,0,0.0105998585439821,0.0161097640953633
"HES4",0,0,0.00369630288392944,0,0.0114508259847464,0.00452982664353435,0,0.00379877436343938,0.106628334698961,0.0057995523905465,0
"ISG15",0.885621826852201,0.294253762088188,0.444365224887637,0.650489720062977,0.901737181146823,0.263975740407203,0.402419328470816,0.511838462254132,0.801362343526562,0.503172509810952,0.815361062818412
"AGRN",0.00291599598758952,0.0269578355945268,0.00729320127776886,0.00369954924691976,0.00742574625036943,0,0,0.00927418175354039,0,0.00554305596435593,0
"C1orf159",0.0831809661259391,0.0891394435219509,0.0574683858062379,0.0713720918934416,0.0874157592846225,0.108303196677948,0.103058868212465,0.0665595140517331,0.0825951546383447,0.0874853685797373,0.0969692562156259
"TNFRSF18",0,0,0,0,0,0,0,0,0,0,0
"TNFRSF4",0.0400249254384509,0.00671912963082414,0.0180156708629064,0.0071065730115098,0,0.0105224221654817,0,0.0195796787912228,0.0297699936477381,0.011599104781093,0.0162972620599739
"SDF4",0.588994861856919,0.427247039949068,0.632294114908918,0.383678237835425,0.384654219700069,0.339921112889465,0.397905681301405,0.376063556054812,0.627454064073924,0.480969824248008,0.418604852879632
"B3GALT6",0.305203375116541,0.220564950749706,0.181394463244102,0.37360172407735,0.202202596921259,0.259364413628126,0.344900175881924,0.19919022013198,0.174431392089548,0.244396259518904,0.243556234542756
"C1QTNF12",0,0.0266640268607469,0.0111380610253411,0,0,0,0,0,0,0,0
"UBE2J2",0.664458620506619,0.562569792455781,0.636876700195289,0.453695096716999,0.336822003275417,0.327175051189219,0.312981660665082,0.660517704873023,0.423055976793477,0.405019303658337,0.479888605600932
"ACAP3",0.135769188890557,0.136491276966489,0.0798786205931549,0.0713084492960561,0.0642116021212567,0.0704063665605338,0.0910996127184319,0.0675436495238775,0.124968373122229,0.0578960417014207,0.105459885222554
