rho,p,n,feature,FDR,neglog10p
1,0,6,ATP13A2,0,Inf
1,0,6,ARHGEF2,0,Inf
1,0,6,SUCLG1,0,Inf
1,0,6,CCNB1,0,Inf
1,0,6,TXNDC5,0,Inf
1,0,6,URGCP,0,Inf
1,0,6,VDAC3,0,Inf
1,0,6,NAA40,0,Inf
-1,0,6,ZNF140,0,Inf
-1,0,6,USPL1,0,Inf
1,0,6,GPHN,0,Inf
-1,0,6,EXOSC6,0,Inf
1,0,6,NAGLU,0,Inf
1,0,6,ZNF30,0,Inf
1,0,6,DHX34,0,Inf
1,0,6,UBE2C,0,Inf
1,0,6,MRPL40,0,Inf
-1,0,6,SAMM50,0,Inf
1,0,6,THOC2,0,Inf
0.9856107606091623,3.090856678496707e-4,6,AC007038.1,0.20962447564954542,3.509921132491241
0.9856107606091623,3.090856678496707e-4,6,AL009179.1,0.20962447564954542,3.509921132491241
0.9856107606091623,3.090856678496707e-4,6,NDN,0.20962447564954542,3.509921132491241
0.9856107606091623,3.090856678496707e-4,6,NOG,0.20962447564954542,3.509921132491241
0.9856107606091623,3.090856678496707e-4,6,LINC00653,0.20962447564954542,3.509921132491241
0.9428571428571428,0.0048046647230320675,6,OTUD3,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,MIGA1,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,LRRC8B,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,DDX20,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,POGZ,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,INTS3,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,SLC50A1,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,SNRPE,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,ABCB10,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,EXOC8,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,B3GALNT2,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,TAF1B,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,NOL10,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,IFT172,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,THADA,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,FBXO11,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,HK2,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,KCMF1,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,CNNM4,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,MRPL30,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,ACVR1,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,TTC21B,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,SF3B1,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,KCTD18,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,SETMAR,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,RAF1,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,METTL6,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,POGLUT1,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,TRIM59,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,GPR160,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,ECT2,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,PI4K2B,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,SMIM14,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,CCNI,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,C4orf3,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,MAD2L1,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,TMEM161B-AS1,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,ISOC1,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,SRA1,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,PRELID1,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,PPP2R5D,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,IBTK,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,ZNF292,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,GTF3C6,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,PEX3,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,SCAF8,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,TRA2A,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,GGCT,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,DPY19L1,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,RABGEF1,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,ANKIB1,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,ZKSCAN5,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,ALKBH4,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,AGAP3,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,HMBOX1,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,PDE7A,0.5251434669256325,2.3183369126816737
-0.9428571428571428,0.0048046647230320675,6,FAM91A1,0.5251434669256325,2.3183369126816737
0.9428571428571428,0.0048046647230320675,6,PPP1R16A,0.5251434669256325,2.3183369126816737
