rho,p,n,feature,FDR,neglog10p
-0.9999999999999998,1.4110889914610675e-39,7,CCT3,7.449138785922975e-36,38.8504455962515
-0.9999999999999998,1.4110889914610675e-39,7,ARMC7,7.449138785922975e-36,38.8504455962515
0.9999999999999998,1.4110889914610675e-39,7,ZNF699,7.449138785922975e-36,38.8504455962515
0.9642857142857141,4.541491691941827e-4,7,GLMP,0.3269254723876511,3.342801475959166
0.9642857142857141,4.541491691941827e-4,7,ING5,0.3269254723876511,3.342801475959166
0.9642857142857141,4.541491691941827e-4,7,ZNF197,0.3269254723876511,3.342801475959166
0.9642857142857141,4.541491691941827e-4,7,PARP12,0.3269254723876511,3.342801475959166
0.9642857142857141,4.541491691941827e-4,7,PCM1,0.3269254723876511,3.342801475959166
0.9642857142857141,4.541491691941827e-4,7,RRM2B,0.3269254723876511,3.342801475959166
0.9642857142857141,4.541491691941827e-4,7,NELFB,0.3269254723876511,3.342801475959166
0.9642857142857141,4.541491691941827e-4,7,MAP3K12,0.3269254723876511,3.342801475959166
0.9642857142857141,4.541491691941827e-4,7,CARHSP1,0.3269254723876511,3.342801475959166
0.9642857142857141,4.541491691941827e-4,7,DERL2,0.3269254723876511,3.342801475959166
0.9642857142857141,4.541491691941827e-4,7,RAB33A,0.3269254723876511,3.342801475959166
-0.9642857142857141,4.54149169194186e-4,7,ACADM,0.3269254723876511,3.342801475959163
-0.9642857142857141,4.54149169194186e-4,7,MSH3,0.3269254723876511,3.342801475959163
-0.9642857142857141,4.54149169194186e-4,7,ASPH,0.3269254723876511,3.342801475959163
-0.9642857142857141,4.54149169194186e-4,7,RPS29,0.3269254723876511,3.342801475959163
-0.9642857142857141,4.54149169194186e-4,7,FUT8,0.3269254723876511,3.342801475959163
-0.9642857142857141,4.54149169194186e-4,7,GALNS,0.3269254723876511,3.342801475959163
-0.9642857142857141,4.54149169194186e-4,7,ZNF121,0.3269254723876511,3.342801475959163
-0.9642857142857141,4.54149169194186e-4,7,PEPD,0.3269254723876511,3.342801475959163
0.9369749612033811,0.0018510301964419175,7,INAFM1,0.7125157939088784,2.732586496405859
-0.9285714285714283,0.0025194724037947234,7,RPS27,0.7125157939088784,2.598690394182715
-0.9285714285714283,0.0025194724037947234,7,TTC24,0.7125157939088784,2.598690394182715
-0.9285714285714283,0.0025194724037947234,7,SHQ1,0.7125157939088784,2.598690394182715
-0.9285714285714283,0.0025194724037947234,7,TSPAN5,0.7125157939088784,2.598690394182715
-0.9285714285714283,0.0025194724037947234,7,RPS3A,0.7125157939088784,2.598690394182715
-0.9285714285714283,0.0025194724037947234,7,NDUFS4,0.7125157939088784,2.598690394182715
-0.9285714285714283,0.0025194724037947234,7,CCDC167,0.7125157939088784,2.598690394182715
-0.9285714285714283,0.0025194724037947234,7,MTURN,0.7125157939088784,2.598690394182715
-0.9285714285714283,0.0025194724037947234,7,METTL2B,0.7125157939088784,2.598690394182715
-0.9285714285714283,0.0025194724037947234,7,ZNF587,0.7125157939088784,2.598690394182715
0.9285714285714283,0.0025194724037947334,7,H6PD,0.7125157939088784,2.598690394182713
0.9285714285714283,0.0025194724037947334,7,SNIP1,0.7125157939088784,2.598690394182713
0.9285714285714283,0.0025194724037947334,7,USP1,0.7125157939088784,2.598690394182713
0.9285714285714283,0.0025194724037947334,7,IQCG,0.7125157939088784,2.598690394182713
0.9285714285714283,0.0025194724037947334,7,YTHDC1,0.7125157939088784,2.598690394182713
0.9285714285714283,0.0025194724037947334,7,HMGB2,0.7125157939088784,2.598690394182713
0.9285714285714283,0.0025194724037947334,7,RALGDS,0.7125157939088784,2.598690394182713
0.9285714285714283,0.0025194724037947334,7,ST8SIA6,0.7125157939088784,2.598690394182713
0.9285714285714283,0.0025194724037947334,7,TAF5,0.7125157939088784,2.598690394182713
0.9285714285714283,0.0025194724037947334,7,PTDSS2,0.7125157939088784,2.598690394182713
0.9285714285714283,0.0025194724037947334,7,RHNO1,0.7125157939088784,2.598690394182713
0.9285714285714283,0.0025194724037947334,7,CENPJ,0.7125157939088784,2.598690394182713
0.9285714285714283,0.0025194724037947334,7,SPRYD7,0.7125157939088784,2.598690394182713
0.9285714285714283,0.0025194724037947334,7,ZSCAN29,0.7125157939088784,2.598690394182713
0.9285714285714283,0.0025194724037947334,7,XPO6,0.7125157939088784,2.598690394182713
0.9285714285714283,0.0025194724037947334,7,NPLOC4,0.7125157939088784,2.598690394182713
0.9285714285714283,0.0025194724037947334,7,TXNL1,0.7125157939088784,2.598690394182713
0.9285714285714283,0.0025194724037947334,7,ZFP82,0.7125157939088784,2.598690394182713
0.9285714285714283,0.0025194724037947334,7,PSMF1,0.7125157939088784,2.598690394182713
0.9285714285714283,0.0025194724037947334,7,PMM1,0.7125157939088784,2.598690394182713
0.9285714285714283,0.0025194724037947334,7,ARFGAP3,0.7125157939088784,2.598690394182713
0.9285714285714283,0.0025194724037947334,7,WWC3,0.7125157939088784,2.598690394182713
0.9285714285714283,0.0025194724037947334,7,YIPF6,0.7125157939088784,2.598690394182713
0.9265616458263765,0.0026974760978696892,7,LMAN2L,0.7240665925756317,2.569042394878338
0.9265616458263765,0.0026974760978696892,7,DNAJB5,0.7240665925756317,2.569042394878338
0.9265616458263765,0.0026974760978696892,7,CEP126,0.7240665925756317,2.569042394878338
0.9063269671749656,0.004901634971014408,7,AC239868.1,0.7811987463428296,2.3096590341645133
0.9063269671749656,0.004901634971014408,7,HIST2H2BE,0.7811987463428296,2.3096590341645133
0.9063269671749656,0.004901634971014408,7,SMYD5,0.7811987463428296,2.3096590341645133
0.9063269671749656,0.004901634971014408,7,AC009404.1,0.7811987463428296,2.3096590341645133
0.9063269671749656,0.004901634971014408,7,AC008966.1,0.7811987463428296,2.3096590341645133
0.9063269671749656,0.004901634971014408,7,AL139274.2,0.7811987463428296,2.3096590341645133
0.9063269671749656,0.004901634971014408,7,CPA5,0.7811987463428296,2.3096590341645133
0.9063269671749656,0.004901634971014408,7,AL590399.1,0.7811987463428296,2.3096590341645133
0.9063269671749656,0.004901634971014408,7,NALT1,0.7811987463428296,2.3096590341645133
0.9063269671749656,0.004901634971014408,7,BX255925.3,0.7811987463428296,2.3096590341645133
0.9063269671749656,0.004901634971014408,7,B3GNT4,0.7811987463428296,2.3096590341645133
0.9063269671749656,0.004901634971014408,7,ADCK1,0.7811987463428296,2.3096590341645133
0.9063269671749656,0.004901634971014408,7,AC005726.1,0.7811987463428296,2.3096590341645133
0.9063269671749656,0.004901634971014408,7,AFMID,0.7811987463428296,2.3096590341645133
0.9063269671749656,0.004901634971014408,7,LINC01002,0.7811987463428296,2.3096590341645133
0.9063269671749656,0.004901634971014408,7,STAP2,0.7811987463428296,2.3096590341645133
0.9063269671749656,0.004901634971014408,7,ZNF470,0.7811987463428296,2.3096590341645133
0.9063269671749656,0.004901634971014408,7,C2CD2,0.7811987463428296,2.3096590341645133
0.9063269671749656,0.004901634971014408,7,BIRC5,0.7811987463428296,2.3096590341645133
0.9009374626955589,0.005620586715345035,7,FALEC,0.7811987463428296,2.25021834743146
0.9009374626955589,0.005620586715345035,7,AL135925.1,0.7811987463428296,2.25021834743146
0.9009374626955589,0.005620586715345035,7,SLC22A18,0.7811987463428296,2.25021834743146
0.9009374626955589,0.005620586715345035,7,SULT1A1,0.7811987463428296,2.25021834743146
0.9009374626955589,0.005620586715345035,7,NR1D1,0.7811987463428296,2.25021834743146
-0.8928571428571427,0.006807187408935407,7,NDUFAF7,0.7811987463428296,2.167032292652914
-0.8928571428571427,0.006807187408935407,7,CCT7,0.7811987463428296,2.167032292652914
-0.8928571428571427,0.006807187408935407,7,POLE4,0.7811987463428296,2.167032292652914
-0.8928571428571427,0.006807187408935407,7,UXS1,0.7811987463428296,2.167032292652914
-0.8928571428571427,0.006807187408935407,7,WDR36,0.7811987463428296,2.167032292652914
-0.8928571428571427,0.006807187408935407,7,PANK3,0.7811987463428296,2.167032292652914
-0.8928571428571427,0.006807187408935407,7,NDUFA8,0.7811987463428296,2.167032292652914
-0.8928571428571427,0.006807187408935407,7,CD5,0.7811987463428296,2.167032292652914
-0.8928571428571427,0.006807187408935407,7,IFT88,0.7811987463428296,2.167032292652914
-0.8928571428571427,0.006807187408935407,7,SYNJ2BP,0.7811987463428296,2.167032292652914
-0.8928571428571427,0.006807187408935407,7,TRAF7,0.7811987463428296,2.167032292652914
-0.8928571428571427,0.006807187408935407,7,NME1,0.7811987463428296,2.167032292652914
-0.8928571428571427,0.006807187408935407,7,PPP4R1,0.7811987463428296,2.167032292652914
-0.8928571428571427,0.006807187408935407,7,PSMD8,0.7811987463428296,2.167032292652914
-0.8928571428571427,0.006807187408935407,7,PDHA1,0.7811987463428296,2.167032292652914
0.8928571428571427,0.006807187408935435,7,USP48,0.7811987463428296,2.1670322926529124
0.8928571428571427,0.006807187408935435,7,ZBTB7B,0.7811987463428296,2.1670322926529124
0.8928571428571427,0.006807187408935435,7,LYST,0.7811987463428296,2.1670322926529124
0.8928571428571427,0.006807187408935435,7,SEPSECS,0.7811987463428296,2.1670322926529124
0.8928571428571427,0.006807187408935435,7,TMA16,0.7811987463428296,2.1670322926529124
0.8928571428571427,0.006807187408935435,7,SDHA,0.7811987463428296,2.1670322926529124
0.8928571428571427,0.006807187408935435,7,TPMT,0.7811987463428296,2.1670322926529124
0.8928571428571427,0.006807187408935435,7,HIST1H1C,0.7811987463428296,2.1670322926529124
0.8928571428571427,0.006807187408935435,7,OGFRL1,0.7811987463428296,2.1670322926529124
0.8928571428571427,0.006807187408935435,7,FBXO5,0.7811987463428296,2.1670322926529124
0.8928571428571427,0.006807187408935435,7,STYXL1,0.7811987463428296,2.1670322926529124
0.8928571428571427,0.006807187408935435,7,CASTOR3,0.7811987463428296,2.1670322926529124
0.8928571428571427,0.006807187408935435,7,LUC7L2,0.7811987463428296,2.1670322926529124
0.8928571428571427,0.006807187408935435,7,TMUB1,0.7811987463428296,2.1670322926529124
0.8928571428571427,0.006807187408935435,7,MTSS1,0.7811987463428296,2.1670322926529124
0.8928571428571427,0.006807187408935435,7,SLC35D2,0.7811987463428296,2.1670322926529124
0.8928571428571427,0.006807187408935435,7,EPC1,0.7811987463428296,2.1670322926529124
0.8928571428571427,0.006807187408935435,7,PCBD1,0.7811987463428296,2.1670322926529124
0.8928571428571427,0.006807187408935435,7,PAOX,0.7811987463428296,2.1670322926529124
0.8928571428571427,0.006807187408935435,7,LSP1,0.7811987463428296,2.1670322926529124
0.8928571428571427,0.006807187408935435,7,CTSF,0.7811987463428296,2.1670322926529124
