cluster,assay,feature,rho,p,n,neglog10p,abs_rho
19: CD14+ CD16hi Monocyte,RNA,DCUN1D2,-1,0,8,Inf,1
25: CD56bright NK,RNA,RALY,0.9833333333333332,1.936196303745917e-6,9,5.713050613292238,0.9833333333333332
11: Naïve B cell,RNA,RETSAT,0.9761904761904764,3.3143960262001043e-5,8,4.479595600407446,0.9761904761904764
19: CD14+ CD16hi Monocyte,RNA,EMSY,-0.9761904761904764,3.3143960262001043e-5,8,4.479595600407446,0.9761904761904764
19: CD14+ CD16hi Monocyte,RNA,SUGP1,0.9761904761904764,3.3143960262001043e-5,8,4.479595600407446,0.9761904761904764
23: DN T cell_2,RNA,PGAP3,0.9761904761904764,3.3143960262001043e-5,8,4.479595600407446,0.9761904761904764
26: DN T cell_3,RNA,SMIM30,0.9761904761904764,3.3143960262001043e-5,8,4.479595600407446,0.9761904761904764
26: DN T cell_3,RNA,RPRD1A,-0.9761904761904764,3.3143960262001043e-5,8,4.479595600407446,0.9761904761904764
26: DN T cell_3,RNA,ZNF473,0.9761904761904764,3.3143960262001043e-5,8,4.479595600407446,0.9761904761904764
28: DN T cell_4,RNA,RNF8,0.9761904761904764,3.3143960262001043e-5,8,4.479595600407446,0.9761904761904764
28: DN T cell_4,RNA,RNF135,0.9761904761904764,3.3143960262001043e-5,8,4.479595600407446,0.9761904761904764
8: CTL-like,RNA,NUDT18,0.9761904761904764,3.3143960262001043e-5,8,4.479595600407446,0.9761904761904764
7: Memory CD4 T cell,RNA,TARBP1,-0.9757575757575756,1.4675461874042982e-6,10,5.83340822151533,0.9757575757575756
11: Naïve B cell,RNA,DLL1,0.9700772721497398,6.548558831120588e-5,8,4.183854266505633,0.9700772721497398
19: CD14+ CD16hi Monocyte,RNA,GPR141,-0.9700772721497398,6.548558831120505e-5,8,4.183854266505638,0.9700772721497398
19: CD14+ CD16hi Monocyte,RNA,ARHGAP11B,-0.9700772721497398,6.548558831120505e-5,8,4.183854266505638,0.9700772721497398
14: CD14hi CD16+ Monocyte,RNA,CEP128,-0.9636363636363636,7.320974809529816e-6,10,5.135431087491744,0.9636363636363636
7: Memory CD4 T cell,RNA,MGLL,-0.9632626970495624,7.623095978995514e-6,10,5.117868612187764,0.9632626970495624
11: Naïve B cell,RNA,MRPS28,-0.9523809523809526,2.604000243872459e-4,8,3.5843589794308586,0.9523809523809526
11: Naïve B cell,RNA,TRIM66,-0.9523809523809526,2.604000243872459e-4,8,3.5843589794308586,0.9523809523809526
11: Naïve B cell,RNA,ZFYVE28,0.9523809523809526,2.6040002438724964e-4,8,3.5843589794308524,0.9523809523809526
23: DN T cell_2,RNA,AL121603.2,-0.9523809523809526,2.604000243872459e-4,8,3.5843589794308586,0.9523809523809526
23: DN T cell_2,RNA,CEP78,0.9523809523809526,2.6040002438724964e-4,8,3.5843589794308524,0.9523809523809526
26: DN T cell_3,RNA,KANSL1L,-0.9523809523809526,2.604000243872459e-4,8,3.5843589794308586,0.9523809523809526
26: DN T cell_3,RNA,ATP5IF1,0.9523809523809526,2.6040002438724964e-4,8,3.5843589794308524,0.9523809523809526
28: DN T cell_4,RNA,MAP4K4,-0.9523809523809526,2.604000243872459e-4,8,3.5843589794308586,0.9523809523809526
28: DN T cell_4,RNA,MAPK9,-0.9523809523809526,2.604000243872459e-4,8,3.5843589794308586,0.9523809523809526
28: DN T cell_4,RNA,MEF2B,-0.9523809523809526,2.604000243872459e-4,8,3.5843589794308586,0.9523809523809526
8: CTL-like,RNA,NDUFB6,-0.9523809523809526,2.604000243872459e-4,8,3.5843589794308586,0.9523809523809526
14: CD14hi CD16+ Monocyte,RNA,SMG7,-0.9515151515151512,2.27985492064173e-5,10,4.642092788600175,0.9515151515151512
20: T reg,RNA,KRBOX4,0.9515151515151512,2.2798549206417097e-5,10,4.642092788600179,0.9515151515151512
7: Memory CD4 T cell,RNA,SLC25A38,0.9515151515151512,2.2798549206417097e-5,10,4.642092788600179,0.9515151515151512
21: Gamma Delta 2 T cells,RNA,BTD,-0.95,8.76252396508624e-5,9,4.057370781248911,0.95
21: Gamma Delta 2 T cells,RNA,GTF2H4,-0.95,8.76252396508624e-5,9,4.057370781248911,0.95
21: Gamma Delta 2 T cells,RNA,ZNF764,-0.95,8.76252396508624e-5,9,4.057370781248911,0.95
21: Gamma Delta 2 T cells,RNA,ELOF1,0.95,8.76252396508624e-5,9,4.057370781248911,0.95
25: CD56bright NK,RNA,SNAPC3,-0.95,8.76252396508624e-5,9,4.057370781248911,0.95
25: CD56bright NK,RNA,BRCA1,0.95,8.76252396508624e-5,9,4.057370781248911,0.95
25: CD56bright NK,RNA,TXNL1,0.95,8.76252396508624e-5,9,4.057370781248911,0.95
10: Memory CD4 T helper,RNA,POMT1,0.9454545454545454,1.118303770149319e-5,11,4.9514402109574736,0.9454545454545454
