"Comparison","Module","CD8_Annotation","cohens_d","p_value","p_adj","star"
"Suppressed vs Unsuppressed","Exhaustion","TEM CD8",-0.476530598776292,5.1642195960798e-23,1.08448611517676e-21,"***"
"Suppressed vs Unsuppressed","Exhaustion","TEMRA CD8",-0.300764357608279,1.24347955128315e-07,2.90145228632735e-07,"***"
"Suppressed vs Unsuppressed","Exhaustion","Transitional Tem CD8",-0.468187556579731,0.0030775146775808,0.00461627201637121,"**"
"Suppressed vs Unsuppressed","Stemness","TEM CD8",0.181517781223014,0.000138536086628133,0.000242438151599232,"***"
"Suppressed vs Unsuppressed","Stemness","TEMRA CD8",0.329712102907934,4.60735333773287e-07,9.67544200923902e-07,"***"
"Suppressed vs Unsuppressed","Stemness","Transitional Tem CD8",0.217351955010208,0.142764015905656,0.176355549059928,""
"Suppressed vs Unsuppressed","Cytotoxicity","TEM CD8",0.414868347442992,1.64546205864963e-14,8.63867580791056e-14,"***"
"Suppressed vs Unsuppressed","Cytotoxicity","TEMRA CD8",0.0500096791762942,0.492505808182303,0.57459010954602,""
"Suppressed vs Unsuppressed","Cytotoxicity","Transitional Tem CD8",0.620029221897191,7.07585254089166e-05,0.000135084457598841,"***"
"Suppressed vs Unsuppressed","Stress_IFN","TEM CD8",-0.399799396695435,3.23902604991292e-12,1.36039094096343e-11,"***"
"Suppressed vs Unsuppressed","Stress_IFN","TEMRA CD8",-0.487056315963044,1.29542196172103e-10,4.53397686602362e-10,"***"
"Suppressed vs Unsuppressed","Stress_IFN","Transitional Tem CD8",-0.499618226266551,0.000297594760003795,0.000480729996929208,"***"
"Suppressed vs Unsuppressed","TypeI_IFN_Memory","TEM CD8",0.524245422624623,7.65053300797307e-17,8.03305965837173e-16,"***"
"Suppressed vs Unsuppressed","TypeI_IFN_Memory","TEMRA CD8",0.541970468039082,4.88574184963122e-16,3.42001929474185e-15,"***"
"Suppressed vs Unsuppressed","TypeI_IFN_Memory","Transitional Tem CD8",0.222348039997235,0.787063590081097,0.787063590081097,""
"Suppressed vs Unsuppressed","Inflammatory_Chemokines","TEM CD8",-0.181666129064514,0.00475523968732024,0.00665733556224834,"**"
"Suppressed vs Unsuppressed","Inflammatory_Chemokines","TEMRA CD8",-0.343806439806123,5.17907133649246e-10,1.55372140094774e-09,"***"
"Suppressed vs Unsuppressed","Inflammatory_Chemokines","Transitional Tem CD8",-0.132512402956738,0.722449883661411,0.758572377844481,""
"Suppressed vs Unsuppressed","Terminal_Differentiation","TEM CD8",0.027649030194791,0.55654505514122,0.615128745156085,""
"Suppressed vs Unsuppressed","Terminal_Differentiation","TEMRA CD8",-0.307429392990492,8.40465264093355e-08,2.20622131824506e-07,"***"
"Suppressed vs Unsuppressed","Terminal_Differentiation","Transitional Tem CD8",0.270115844216323,0.0497454028975288,0.0652908413030066,""
"Pre-ART vs Unsuppressed","Exhaustion","TEM CD8",-0.00831167641652061,0.728866277775112,0.728866277775112,""
"Pre-ART vs Unsuppressed","Exhaustion","TEMRA CD8",0.155304783595763,0.00689423585449819,0.00904868455902888,"**"
"Pre-ART vs Unsuppressed","Exhaustion","Transitional Tem CD8",-0.117740116351588,0.571578224322642,0.600157135538774,""
"Pre-ART vs Unsuppressed","Stemness","TEM CD8",-0.0789233193920804,0.134619443886247,0.155871167127712,""
