"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RBFOX2",0,8.51508908827219,0.503,0.01,0
"ENSG00000280441",1.01963682507398e-255,8.29108045067239,0.428,0.064,2.28561790708584e-251
"MT-ATP8",6.86870684085629e-228,2.27453233479445,0.784,0.705,1.53968932544634e-223
"APOO",1.75520263691279e-183,4.35748916646753,0.385,0.049,3.9344622309037e-179
"ENSG00000257322",2.70235832603046e-147,7.23885885016845,0.26,0.002,6.05760642362989e-143
"PTPRCAP",1.23709603607828e-123,1.55917500881024,0.603,0.457,2.77307447447306e-119
"RPL41",6.53668140791761e-122,-0.417670372603808,0.999,1,1.46526250439881e-117
"LINC02446",1.59304383308111e-109,2.31633647242066,0.433,0.137,3.57096705623463e-105
"HLA-C",3.76918739050869e-106,-0.362322570534148,1,1,8.44901045456428e-102
"ENSG00000276241",1.24208285659632e-95,-2.06397474086033,0.152,0.441,2.78425293134632e-91
"CCL3L3",4.83565533232725e-93,-3.85870945032481,0.013,0.204,1.08396049929448e-88
"HEBP2",6.15524268098607e-92,-3.25272299086935,0.02,0.218,1.37975919936984e-87
"ENSG00000274767",3.15075910997943e-91,-2.88456318978648,0.038,0.262,7.06274162092988e-87
"HLA-DRB1",2.8293430175478e-86,-1.32993369709935,0.468,0.734,6.34225530813515e-82
"HLA-B",1.10405430693237e-85,0.301069477449762,1,1,2.47484813441961e-81
"FP236383.3",1.34971540189152e-83,15.3593915249128,0.144,0,3.02552204488004e-79
"LINC00486",8.42154888866965e-82,-1.16114034314892,0.182,0.465,1.88777439888419e-77
"MT-ND3",8.71429983480461e-81,0.638570495908998,0.941,0.906,1.9533974509698e-76
"RASGEF1B",5.7991450224597e-80,-0.492593216562112,0.365,0.649,1.29993634823457e-75
"H3F3A",1.00186862464163e-77,11.1690580460719,0.134,0,2.24578870899667e-73
"GNLY",9.40472821164837e-77,0.643401244588716,0.981,0.884,2.1081638759231e-72
"RPS27",1.33335567103072e-76,0.336903306048369,1,1,2.98885007218246e-72
"ENSG00000273149",3.28459935938136e-76,-0.965788513168392,0.234,0.519,7.36275792398925e-72
"H3F3B",1.62000798358791e-74,11.2513470694842,0.129,0,3.63140989601065e-70
"ENSG00000278996",1.37444563914649e-70,2.30372833345632,0.327,0.131,3.08095734471077e-66
"MT2A",1.62933715751775e-67,1.18588405040115,0.671,0.518,3.65232217229178e-63
"IFI27",1.9928725196605e-66,-3.3469370815876,0.019,0.174,4.46722304007097e-62
"CCL4L2",4.25969387219493e-66,-1.59695352910333,0.127,0.367,9.54852978391215e-62
"FP671120.4",7.75324534987495e-66,11.2599177323353,0.114,0,1.73796747762797e-61
"ANK2",1.6958758524802e-65,6.90601565918128,0.124,0.002,3.80147531091962e-61
"TOX",7.31391693867262e-64,-1.25648133943394,0.228,0.493,1.63948762097286e-59
"HLA-G",3.36345134982252e-62,3.30425402760815,0.181,0.025,7.53951254576217e-58
"FYN",1.40400014485174e-61,-0.57947295782919,0.83,0.939,3.14720672469967e-57
"DLEU2",1.52087706141621e-61,-1.04883224481172,0.304,0.574,3.40919802087058e-57
"IRF1-AS1",2.87507124395322e-60,-0.851301810002289,0.379,0.649,6.44475970044554e-56
"RPS27A",6.64728558217309e-57,0.341471536215863,1,1,1.49005553609992e-52
"MT-ND4L",2.72755375562735e-56,0.532364661220661,0.95,0.938,6.11408449861427e-52
"ANKRD20A11P",3.28410078704917e-52,-4.638481701039,0.005,0.109,7.36164032424942e-48
"SLC1A4",1.95852085284239e-51,-1.49737846775714,0.12,0.325,4.3902203437315e-47
"RPS19",2.06976645804589e-51,0.329792541488386,1,1,4.63958849235568e-47
"EPSTI1",6.97216338671257e-51,-0.593426231647481,0.288,0.509,1.56288014476549e-46
"MT-ND1",1.27715149205836e-50,0.604379164465086,0.877,0.822,2.86286278459802e-46
"SLFN12L",2.14939274367301e-47,-0.654868130460456,0.449,0.686,4.81807877421743e-43
"MT-CO2",6.77925880487813e-47,0.336972561686148,0.999,0.999,1.51963865370148e-42
"S100A11",1.97397864037041e-46,0.696473178736247,0.808,0.719,4.42487052025432e-42
"TALAM1",2.39389141407122e-46,-0.529712338697541,0.768,0.93,5.36614699378204e-42
"MX1",7.89497662581999e-46,0.881296650475286,0.366,0.361,1.76973796044381e-41
"COTL1",2.81098969574065e-45,-1.03603699618991,0.421,0.614,6.30111450197225e-41
"RABGAP1L",3.73812964766501e-44,-0.620230257360684,0.648,0.825,8.37939141820588e-40
"CMC1",3.8061559649522e-44,-1.29669268290642,0.145,0.341,8.53187921103685e-40
"CD84",6.38378503734357e-44,-1.36708751567362,0.068,0.214,1.43098925397093e-39
"CYRIB",7.37317305817867e-44,-0.674544937484214,0.392,0.622,1.65277047272133e-39
"LINC-PINT",3.60685161272874e-43,-0.494652112967732,0.616,0.82,8.08511857509275e-39
"ITM2A",5.13954005813973e-43,-0.815432645931522,0.348,0.574,1.1520792994326e-38
"HLA-DRA",2.29071738491732e-42,-1.34728435594758,0.15,0.343,5.13487209003066e-38
"LINC00623",1.76004754338594e-41,2.80885294048913,0.14,0.026,3.94532257325393e-37
"SYTL3",3.61093009709608e-41,-0.797253738429308,0.377,0.597,8.09426090565058e-37
"COG5",1.04006906312244e-40,-0.893159072286709,0.21,0.408,2.33141881189526e-36
"POLR2J3",2.22107264359472e-40,-0.64598205190381,0.132,0.265,4.97875643788192e-36
"ATXN1",4.54505489744629e-40,-0.693324284077565,0.36,0.579,1.01881950581156e-35
"ANXA1",4.89190358467395e-40,0.678660844487346,0.94,0.909,1.09656910754051e-35
"RPS21",6.50259446934726e-40,0.309169965549232,0.998,0.999,1.45762157624888e-35
"BST2",1.48305972438646e-39,0.729177575263094,0.36,0.328,3.3244266781847e-35
"PPP2R2B",8.00989037331182e-39,-0.703888504198894,0.23,0.419,1.79549702608158e-34
"LINC01505",9.57446560494378e-39,-1.39451919293879,0.128,0.302,2.1462122100042e-34
"PPP1R16B",9.69887459770925e-39,-0.628470571875974,0.539,0.734,2.17409972982251e-34
"IFI44L",1.21169061320309e-38,-0.950876287767871,0.129,0.294,2.71612567855604e-34
"RPL30",4.22995417010172e-38,0.253864213287586,1,1,9.48186526770001e-34
"BIRC6",2.1964442891904e-37,-0.44548615762103,0.38,0.575,4.92354951864921e-33
"ELMO1",2.43285388836381e-37,-0.83390643687115,0.237,0.433,5.45348527615632e-33
"MYL12A",2.72175846175164e-37,0.616419833932889,0.754,0.666,6.10109376786248e-33
"HLA-DQB1",3.70789014891745e-37,-1.21647662238495,0.116,0.281,8.31160655781335e-33
"NCOA1",3.77246339140849e-37,-0.729492947708874,0.361,0.572,8.45635393818128e-33
"IFIT1",4.03847391486954e-37,1.56100275484047,0.256,0.131,9.05264312757155e-33
"FAU",1.28033864674535e-36,0.267801532688424,0.998,0.997,2.87000711054438e-32
"KIAA1671",1.28239531936736e-36,-1.13146184785413,0.091,0.233,2.87461734789388e-32
