"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RBFOX2",1.56487484649138e-07,6.41326074058112,0.291,0.017,0.00350782345589507
"HLA-DRB1",4.74801135732404e-07,-1.24950577386758,0.503,0.85,0.0106431422585776
"SAMSN1",2.57904184497314e-06,-0.93785019579369,0.662,0.883,0.0578118019969178
"TNFSF10",2.74951179327409e-06,-1.37757355910929,0.146,0.467,0.0616330563580321
"SLFN12L",2.76997080326561e-06,-0.772480329967255,0.43,0.8,0.0620916655260018
"ENSG00000276241",3.27801131861199e-06,-2.11410502035839,0.06,0.333,0.0734799017180063
"IFI44L",3.73077971819308e-06,-2.0588311747692,0.113,0.433,0.0836291581630162
"HIF1A",4.67957781432178e-06,-0.92398670656043,0.212,0.533,0.104897416285837
"NDUFA6",4.96595218954092e-06,-0.277754831110808,0.417,0.7,0.111316784280749
"ASAP1",6.04902991849208e-06,-1.62623516155104,0.252,0.55,0.135595054652918
"MT-ND3",6.50028633715079e-06,0.717551990061864,0.947,0.933,0.145710418533572
"HSH2D",8.30272889544183e-06,-1.64353642995495,0.106,0.4,0.186113970920224
"ENSG00000280441",8.46428534540477e-06,6.85627065636011,0.305,0.1,0.189735420302593
"ACP1",1.09689065302625e-05,0.305416279827015,0.285,0.4,0.245879008782364
"ENSG00000257322",1.10083250541842e-05,5.74305296855912,0.185,0,0.246762614414594
"PDHA1",1.70007815027117e-05,-1.1633181073892,0.073,0.283,0.381089518164784
"HLA-DQB1",1.70869316850244e-05,-1.70348879688474,0.152,0.467,0.383020660651506
"TAGLN2",1.75870672609059e-05,0.656633760460522,0.987,0.967,0.394231699720466
"CNOT8",2.14365242109348e-05,-0.895809582206135,0.212,0.5,0.480521126712315
"PIK3AP1",2.16114321834836e-05,-1.93974423785509,0.099,0.383,0.484441863824969
"GTF2F1",2.23091206816106e-05,-1.21008846037509,0.139,0.417,0.500081249198984
"CNIH1",2.9608811798346e-05,-0.648628393599123,0.265,0.533,0.663711125271723
"MT-ND4L",2.99116876401874e-05,0.705688806084162,0.96,0.917,0.670500390142441
"MT-ATP8",3.13272786301399e-05,1.10558817717298,0.689,0.883,0.702232277773216
"KIAA2013",3.50026430075434e-05,-0.623669553954397,0.159,0.35,0.784619245657092
"LINC02446",3.74757783874086e-05,1.75156438154983,0.397,0.1,0.840057048332151
"MT-ND1",3.82566677718178e-05,0.848323013780279,0.927,0.833,0.857561464773067
"NDUFA1",4.05484664303223e-05,0.648996161079622,0.629,0.65,0.908934423502105
"HADHB",4.37094217806447e-05,-0.919538763888497,0.152,0.4,0.979790398634931
"RANBP2",4.79632905975385e-05,-0.751893774140938,0.344,0.667,1
"UBE2V1",6.08604665430167e-05,0.621530557824846,0.457,0.517,1
"PPP3R1",8.20792077608111e-05,0.635445198106943,0.351,0.367,1
"ABI2",8.38531032988226e-05,-2.68382615103322,0.04,0.25,1
"WDFY2",8.43606042138339e-05,-0.407613451792616,0.159,0.317,1
"STUB1",8.63141433091195e-05,-0.650178785047469,0.351,0.65,1
"SYTL3",8.81707471359076e-05,-1.19430764435761,0.325,0.633,1
"NUTM2A-AS1",9.35378635271938e-05,-1.54429601056336,0.159,0.45,1
"TMEM230",9.51932902563291e-05,-1.22184172077601,0.139,0.4,1
"ARID1B",9.54499544415561e-05,-0.983899110202109,0.245,0.55,1
"HECTD4",9.96055360231145e-05,-1.46990974204144,0.139,0.417,1
"TASOR",0.000101456766137436,-1.04393601776759,0.152,0.417,1
"ANXA1",0.000106834344005869,0.757350922856549,0.927,0.9,1
"NDUFS3",0.000106995171482431,-0.557858425689097,0.225,0.45,1
"SMG1P5",0.000109278372171639,-0.270494195132801,0.205,0.4,1
"PSMD5",0.000109667316666899,-0.43523269446764,0.152,0.317,1
"FASLG",0.000111260846303148,-0.462896365724823,0.166,0.35,1
"DHFR",0.000113629107889051,-1.64476587080725,0.046,0.233,1
"ICAM3",0.000115194101403754,1.11053536721553,0.371,0.283,1
"IL2RB",0.000121388269559198,-0.407969396112983,0.325,0.583,1
"RBM6",0.000128183538020595,0.423013168736128,0.391,0.45,1
