"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS10",0,3.3698752187468,0.972,0.531,0
"GAPDH",4.53479068545095e-293,-3.33378597044424,0.802,0.988,1.01651868005068e-288
"PGK1",1.66341605075238e-288,-2.86152637343862,0.751,0.942,3.72871341936654e-284
"TPI1",3.89252260790182e-280,-3.66202141443236,0.442,0.93,8.72547867787273e-276
"MIF",1.79729517866415e-272,-2.44451690371462,0.826,0.983,4.02881687249355e-268
"H3F3B",2.76111510631189e-261,-3.38505203560183,0.039,0.88,6.18931562230872e-257
"LINC01578",1.17108134329021e-254,-3.60419121326944,0.038,0.868,2.62509593911935e-250
"ENO1",1.50278624590199e-251,-2.70662781997497,0.782,0.964,3.36864564881391e-247
"H3-3B",2.59685663298757e-244,3.32606213858524,0.938,0.096,5.82111382850494e-240
"H3-3A",9.6498727401378e-244,3.51334537255203,0.934,0.091,2.16311547342929e-239
"DARS",5.90021095753099e-239,-5.85239307869235,0.015,0.788,1.32259128824015e-234
"GPI",4.12960224580227e-234,-4.14995565253013,0.269,0.868,9.25691639419037e-230
"H3F3A",1.53138292079212e-229,-3.88498555604252,0.038,0.827,3.43274795524762e-225
"LDHA",4.55366829204764e-223,-2.56320679237328,0.767,0.964,1.0207502843454e-218
"IGFBP2",1.26339169668256e-218,-5.91464962917073,0.022,0.752,2.83201882728363e-214
"TALAM1",1.6388466610035e-216,3.07553656888888,0.902,0.091,3.67363867530544e-212
"CHASERR",8.088412741522e-210,3.76901037004766,0.886,0.084,1.81309860013957e-205
"H2AFZ",1.31558205199713e-208,-4.06703378586104,0.028,0.75,2.94900872775677e-204
"HIST1H4C",1.81537630287056e-207,-3.60192979858623,0.024,0.728,4.06934752051464e-203
"ALDOA",4.12083613754442e-203,-2.6220737701879,0.531,0.94,9.23726628591956e-199
"ENSG00000289901",6.02944168913141e-202,2.87221206067138,0.881,0.091,1.3515596490357e-197
"PKM",3.7885986357409e-201,-2.49783004906845,0.578,0.909,8.49252270187681e-197
"SEPTIN9",3.80698119387406e-200,-3.10592245713888,0.287,0.911,8.5337290441881e-196
"H1FX",3.7818560881669e-199,-5.35353903382696,0.021,0.719,8.47740860723491e-195
"LCK",1.54296537548407e-190,-2.48516939717291,0.402,0.928,3.45871118568509e-186
"BNIP3L",4.44134554798289e-186,-2.89957124916346,0.328,0.873,9.95572018035845e-182
"GYPC",6.27251125739001e-181,-2.09059479176431,0.595,0.962,1.40604612345655e-176
"RAC2",1.03316727359343e-178,-1.84623670529129,0.727,0.981,2.31594776048704e-174
"ATP5MD",1.50984101502162e-178,-4.21374386489037,0.025,0.678,3.38445961927246e-174
"SIT1",1.60241481862417e-178,-4.77456726583074,0.033,0.702,3.59197305742795e-174
"BNIP3",2.79685763396305e-174,-3.63358890961046,0.215,0.808,6.26943607229157e-170
"MTRNR2L12",4.04587055405257e-168,-5.3524435805899,0.013,0.615,9.06922343396424e-164
"SLC9A3R1",6.01733244830726e-168,-4.916809938929,0.015,0.618,1.34884524161256e-163
"FAM162A",1.79109495326364e-167,-3.23126942346769,0.28,0.822,4.01491844723579e-163
"IL16",1.23598256208447e-164,-3.00909961663946,0.218,0.837,2.77057851116856e-160
"H2AFV",3.67038571612093e-160,-3.55803227902567,0.025,0.608,8.22753662125667e-156
"EVL",8.0248379777171e-160,-1.82064149428709,0.675,0.974,1.79884768108506e-155
"HIST1H1E",1.4797188264962e-157,-5.25933872099008,0.015,0.594,3.31693772147389e-153
"LINC-PINT",2.87857235854586e-155,3.50442149120714,0.795,0.089,6.45260779891641e-151
"AC008105.3",6.23169172960436e-155,-4.76575731187231,0.017,0.594,1.39689601810811e-150
"C9orf16",1.05367461884393e-152,-4.48699863164761,0.016,0.577,2.36191702560055e-148
"C4orf3",1.38923310163997e-152,-2.22292579154085,0.459,0.894,3.11410492063617e-148
"MYADM",5.50727028097974e-151,3.0751975004981,0.861,0.325,1.23450970618442e-146
"HIST1H1D",1.16904674977023e-148,-6.54438808596939,0.006,0.534,2.62053519428494e-144
"CD3E",7.45020686966086e-146,-1.54868026866377,0.761,0.969,1.67003837190318e-141
"ATP5MPL",8.32912097700326e-142,-3.93999976142742,0.018,0.548,1.86705575820505e-137
"VEGFB",5.75420773927318e-139,-3.25467334626111,0.139,0.745,1.28986320683548e-134
"LDHB",1.60889140954148e-137,-1.4559313001849,0.758,0.974,3.60649098362817e-133
"CD27",9.32117144614146e-135,-2.12197507907201,0.419,0.894,2.08943379136707e-130
"RPS29",7.69774388712765e-133,0.942411763559512,0.995,1,1.72552626973853e-128
"YPEL3",8.58130668287957e-133,-2.13836188376329,0.431,0.901,1.92358570603429e-128
"GPSM3",8.54489899528719e-131,-1.99010089201657,0.459,0.906,1.91542455878358e-126
"LRRFIP1",1.15983672391973e-130,2.03265886890737,0.921,0.613,2.59989000033848e-126
"AL138963.4",1.26543744837084e-130,-4.91647129022581,0.015,0.519,2.83660458426809e-126
"LSP1",1.07949976155374e-127,-1.59221429440906,0.634,0.954,2.41980666549886e-123
"MIR210HG",5.1680487907473e-127,-5.73995970774486,0.005,0.464,1.15846981693391e-122
"YARS",1.53391541496633e-125,-4.6507167121661,0.014,0.498,3.43842479418852e-121
"ANP32B",2.88153925398082e-125,-1.63445635910552,0.607,0.923,6.45925839172341e-121
"ZNRD1",6.6719453382908e-123,-4.10004863535527,0.015,0.476,1.49558326703127e-118
"RGCC",3.34442370345671e-122,2.00940676214662,0.923,0.702,7.49686017366855e-118
"LMNA",3.83135619706535e-121,3.48400618930979,0.728,0.108,8.58836805134169e-117
"ENO2",1.5381949709528e-120,-2.90156791138463,0.202,0.745,3.4480178468878e-116
"H4C3",5.35348953208218e-120,3.49015015185992,0.693,0.072,1.20003821351154e-115
"CRIP1",1.77073922258432e-119,2.2017308622096,0.931,0.839,3.969289041345e-115
"ALDOC",5.7839365216067e-119,-4.268335550231,0.033,0.543,1.29652721068336e-114
"ACAP1",2.17717497767905e-117,-2.41300872120801,0.255,0.793,4.88035542996535e-113
"SARS",6.2641668987884e-117,-4.48997483960801,0.015,0.474,1.40417565203241e-112
"ATP5MK",1.24707511736402e-116,3.61084837791706,0.67,0.062,2.7954435830832e-112
"BACH2",3.45648705399787e-116,2.07337318524243,0.917,0.531,7.74806138024162e-112
