"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGFBP2",0,-2.3251755028917,0.218,0.748,0
"TPI1",0,-1.60889072670642,0.655,0.907,0
"LDHA",0,-1.37917540158516,0.838,0.957,0
"PGK1",0,-1.49124758400052,0.842,0.955,0
"ENO1",0,-1.50838956177821,0.877,0.975,0
"MIF",2.48306338941014e-311,-1.15350817312358,0.921,0.976,5.56603489370177e-307
"TCAF2",1.75529332243487e-294,-2.44263715007779,0.215,0.62,3.93466551156999e-290
"BNIP3L",3.2029411936087e-288,-1.5239045842759,0.523,0.827,7.17971297959325e-284
"C4orf3",1.05545711516831e-285,-1.39280118665769,0.649,0.88,2.36591266936128e-281
"GAPDH",4.14578042740694e-281,-1.26966570887183,0.878,0.966,9.2931814060754e-277
"PKM",1.78090769948182e-279,-1.32648674921229,0.679,0.908,3.99208269915844e-275
"STAT1",4.42610518368021e-275,-2.3672295257735,0.435,0.572,9.92155737973756e-271
"GPI",4.98792360268659e-275,-1.62984130248284,0.51,0.827,1.11809295477823e-270
"BNIP3",1.50869088026379e-274,-1.79136569574147,0.411,0.776,3.38188147719931e-270
"ALDOA",1.88490786179397e-253,-1.2638548970727,0.69,0.906,4.22520946299735e-249
"FAM162A",1.51843511127704e-251,-1.60618993898709,0.458,0.781,3.40372414543862e-247
"GBP5",5.89029650277468e-228,-2.5251358721867,0.337,0.501,1.32036886406197e-223
"P4HA1",3.34142702483906e-219,-1.77465136745764,0.264,0.653,7.49014281887923e-215
"PGAM1",1.18762747149949e-192,-1.07391472321772,0.669,0.855,2.66218574011325e-188
"ENO2",9.56207554034181e-181,-1.69184647731258,0.282,0.615,2.14343485312302e-176
"GBP2",1.50753682921302e-176,-1.28459141232384,0.657,0.792,3.3792945563639e-172
"MIR210HG",1.26807016879595e-169,-2.08468274688471,0.132,0.46,2.842506090373e-165
"DDIT4",1.20977557764586e-158,-1.61573753427946,0.259,0.599,2.71183293485097e-154
"CCDC107",2.40089004248449e-154,-1.52313370894088,0.29,0.579,5.38183511923324e-150
"CRIP1",1.21179460458039e-153,1.71907671456737,0.823,0.558,2.71635878562741e-149
"GBP1",3.14922814520386e-152,-2.12275807907031,0.199,0.402,7.05930981028897e-148
