"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12"
"NCAM1",0.1509,0.1108,0.5279,0.0634,7405.1143,0.0312,42.5492,3.6429,175.921,8.0394,1582.3813,12.2431,0.0094
"CD45RA",897.43,1182.1337,294.8395,200.0926,585.3486,782.0947,1185.7752,256.6853,110.3016,138.838,0.5709,428.4566,95.8313
"CD7",4018801.062,22324259.1312,24048.8729,169.8242,810457.679,11370093.5561,5999.6403,24967691.7169,532218378.9482,16683.8567,80150.6415,182259.5533,266.5256
"FCGR3A",0.1193,623.5986,296.5355,11.79,1479137164.0804,28.7547,10.9501,57413.3172,0.6303,2556.5442,0.0449,241030.4767,0.0309
"CD45RO",0.1614,0.8864,3.3717,0.4466,0.083,0.012,0.9889,0.2458,0.5769,3.2542,2.127,0.2403,3.2672
"PDCD1",4e-04,6e-04,0.1952,0.0268,0.0162,1e-04,0.0151,0.0666,0.2447,0.0027,0.0121,2e-04,0.4748
"TIGIT",0.0099,0.0276,19.4856,0.6872,0.3212,0.0178,0.5725,0.2191,0.2124,0.1371,0.0266,0.1846,2.7283
"CD69",6.8908,3.5242,12.1612,0.6217,44.417,1.1945,0.1263,10586.8948,38380.2279,38.4729,4783.3833,5.0894,12.5926
"SELL",3241610751.0737,498817.4671,474156.2058,15086.2875,1615.1381,4022.2535,66603792.6467,219676.3304,7001814.7328,43731991.1173,816.7839,1872447.5282,6.7006
"KLRG1",0.1747,0.8116,364.3601,40.0432,105.8953,0.7602,275.7277,31.1479,61.7216,2327.358,9966.4358,4.2698,283.3271
"CD27",84971.1185,7480.8864,66693.137,11.4547,4.1766,9316.7626,1844.299,1.0542,293193.8789,283.6668,389.2021,996.3245,4067.5529
"FAS",0.1357,0.779,3.9047,0.2467,0.4604,0.0282,0.4718,1.4338,0.9804,1.4127,2.0975,10.7923,1.6598
"B3GAT1",3126.8422,0.2204,55.1887,12550608.3236,452220.8895,0.2695,36.6098,537746.5581,0.3486,11764.4692,0.152,5.8431,8192.9424
"ENTPD1",10.858,0.8977,5.0409,0.2042,4.8643,0.0685,0.7264,0.0798,0.2474,0.031,0.0761,406.1015,0.6595
"ITGB7",86.4916,2.311,7756.1282,8.2723,12.2666,213.6759,183.2684,95.145,2377.0943,2.3287,78.336,2.4691,49.7067
"TCR-AB",5.7524,22.7172,27.1206,18843.2462,6.87,5.0123,6.3987,6.1019,1.8339,0.1931,2.8191,1.6316,42.6906
"CD28",4.7166,14.3473,74.6341,0.0058,0.5942,0.6362,215.2095,0.1293,4.7563,31.2462,689.6641,0.1204,4.8982
"CD38",14.713,11.591,44.139,2.2082,12.3225,4.1836,14.2699,24.956,3.8453,4.0668,2.4204,5.3871,8.9658
"IL7R",2.3162,3.9671,0.0483,0.0038,0.009,0.7201,0.0839,0.0365,1.6989,0.5567,1.1717,0.5574,0.0012
"NT5E",68.7204,3342.1633,0.547,0.0323,0.037,68.9014,0.2996,0.1891,110.9185,0.051,0.0279,14.1512,0.109
"TCR-vA7.2",68.33,26462586.3061,81.8848,3.4411,17.9523,3005.572,313.7081,0.2823,4.4953,0.0347,661.1911,0.317,4.4758
"TCR-vD2",189.2057,1.1581,2.6839,14.8009,6.6122,0.0262,5.6816,110.4406,140.9714,96095641535695744,0.0101,0.5215,0.1003
"KIR3DL1",2.2521,97083271.3203,3.1547,12.7607,2807.1423,0.0703,4.722,29248320119.242,3821.5928,206.2445,0.0455,0.4433,6.8344
"SIGLEC7",1.1279,315679049.6507,4.3159,0.2127,25280.2661,1.2866,29.0706,0.5766,1.0665,1453.3413,7.6337,744236.0378,0.2031
