"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD3D",1.94670833929779e-98,-3.18231014525034,0.88,0.997,2.66699042483797e-96
"ITGAL",2.82101613069508e-96,-4.51068226136105,0.959,1,3.86479209905226e-94
"CD8A",8.09479664775022e-64,-8.97872049779035,0.85,0.96,1.10898714074178e-61
"CD45",1.96009614518852e-60,-1.08680775036646,0.909,0.993,2.68533171890828e-58
"TCR-AB",1.87984408389809e-59,-3.18340980369111,0.512,0.789,2.57538639494038e-57
"ITGB2",4.14828590500938e-57,-2.26283737553328,0.907,0.996,5.68315168986284e-55
"ITGA4",1.18292779191838e-54,-1.6115838478272,0.777,0.971,1.62061107492819e-52
"CD44",2.44244293921042e-43,-0.341574946494191,0.828,0.95,3.34614682671827e-41
"ADGRG1",2.9406795844801e-36,-2.34536269692237,0.663,0.886,4.02873103073774e-34
"CD2",2.04684446203421e-34,-2.94744045671747,0.898,0.984,2.80417691298687e-32
"CD244",4.58765700170595e-33,-0.867643770346669,0.573,0.815,6.28509009233715e-31
"SLAMF6",6.03809071171897e-24,-1.02467383015572,0.555,0.772,8.27218427505499e-22
"CD48",3.92285539116365e-23,-0.346244165015019,0.897,0.984,5.3743118858942e-21
"ITGB1",6.16618459008711e-23,2.63260162721549,0.313,0.27,8.44767288841934e-21
"CD7",1.90040113468148e-22,-1.39212553220338,0.456,0.67,2.60354955451363e-20
"CD52",4.76248917618752e-21,-3.63120701604597,0.16,0.355,6.5246101713769e-19
"CD101",7.72830050102738e-21,2.16798753727802,0.25,0.46,1.05877716864075e-18
"CD99",5.9686811733747e-18,4.5906627847692,0.828,0.955,8.17709320752334e-16
"CD45RA",4.14969890400603e-16,-1.8405305091927,0.558,0.598,5.68508749848826e-14
"CD4",7.10900607099083e-16,-0.506901380240258,0.142,0.04,9.73933831725744e-14
"CD81",5.89783085082238e-14,-1.18405757168272,0.416,0.585,8.08002826562666e-12
"CD5",1.62386277324759e-13,-0.136803746540672,0.691,0.726,2.2246919993492e-11
"FAS",4.85118905841006e-13,-0.996672094821528,0.211,0.372,6.64612901002178e-11
"CD38",1.71214288745913e-12,0.790807359677874,0.424,0.599,2.34563575581901e-10
"HLA-A",8.96866523552188e-12,1.30905921054506,0.48,0.507,1.2287071372665e-09
"KLRD1",4.61970883949325e-10,-0.678035003439957,0.244,0.375,6.32900111010576e-08
"ITGAX",1.47577680691498e-08,-3.26059398681174,0.24,0.336,2.02181422547352e-06
"KLRG1",2.55559124400465e-08,-1.67380268366278,0.423,0.499,3.50116000428637e-06
"CD27",7.07067698613392e-08,-1.82680929641205,0.154,0.26,9.68682747100346e-06
"TIGIT",1.52258484729776e-06,-0.284883653649841,0.108,0.193,0.000208594124079793
"KIR2DL1",2.09957299230692e-06,-3.73922439129787,0.029,0.075,0.000287641499946048
"FCGR1A",1.34585102202384e-05,2.67242353468551,0.047,0.099,0.00184381590017266
"LAG3",1.99000161295075e-05,-1.86157604062054,0.025,0.069,0.00272630220974252
"CD86",2.64965237704177e-05,-6.03334775952926,0.097,0.168,0.00363002375654722
"ITGAM",7.06024860382218e-05,-1.26316907578553,0.04,0.089,0.00967254058723638
"SELP",7.96271056950313e-05,0.291150439331036,0.061,0.119,0.0109089134802193
"SIGLEC1",0.000136086769664123,-1.94403216367918,0.039,0.065,0.0186438874439848
"ICOS",0.000951806372956815,-3.90878093111647,0.067,0.118,0.130397473095084
"CD47",0.00101436787211924,1.25791287768841,0.196,0.135,0.138968398480336
"CD33",0.00239203102469717,-9.8614201371633,0.15,0.2,0.327708250383513
"TFRC",0.00242939021195503,-2.85201623333764,0.024,0.052,0.332826459037839
"IFNGR1",0.00260918619582489,0.267144324957219,0.023,0.05,0.35745850882801
"NT5E",0.00271833135075052,-1.37300047786445,0.042,0.059,0.372411395052821
"PECAM1",0.0042892461241468,3.49368058453965,0.067,0.092,0.587626719008111
"HLA-DRA",0.00658139961765163,-6.84463662791735,0.111,0.142,0.901651747618274
"ITGA2",0.00957938581328184,1.4713283478071,0.06,0.092,1
"CLEC12A",0.0154131573580807,1.00014258275668,0.176,0.213,1
"LAMP1",0.0177417073581716,1.55231167348779,0.058,0.092,1
"ITGA2B",0.0200567346051216,2.49728673721455,0.043,0.057,1
"CCR4",0.037750885838552,-0.242778785233923,0.042,0.066,1
"SELL",0.0493663986779165,2.48158407979784,0.248,0.204,1
"CD45RO",0.0520804064600109,-1.52741609920784,0.119,0.155,1
"CD69",0.0571954995701988,1.18745705058568,0.126,0.124,1
"ANPEP",0.0708057425457075,-0.677239799841237,0.071,0.101,1
"CR1",0.10239212944406,-6.18013607621392,0.134,0.17,1
"FCGR3A",0.110880426244911,-7.86844469486894,0.122,0.098,1
"GP1BB",0.117729368704801,4.44009522350119,0.058,0.082,1
"CD58",0.137531234879883,-0.849188975880994,0.113,0.145,1
"TCR-vA7.2",0.153971442505938,-1.99766043199162,0.073,0.082,1
"CD22",0.156595388622189,-4.91350628672277,0.072,0.055,1
"B3GAT1",0.212403262831915,9.89693609394583,0.457,0.481,1
"SIGLEC7",0.215181391586951,5.81720281333324,0.141,0.17,1
"CD226",0.241854106539951,0.812485649109648,0.073,0.08,1
"ICAM1",0.258051333931249,-1.88893161821137,0.212,0.243,1
"CD19",0.260693153389407,-0.751860314376304,0.061,0.052,1
"IL3RA",0.342297489803872,-0.797113853965232,0.038,0.052,1
"KIR3DL1",0.390457640314987,7.45681610018653,0.059,0.072,1
"CR2",0.466823132475623,2.66730337924188,0.076,0.063,1
"CD1C",0.510980269502354,1.70969681833105,0.051,0.063,1
"ITGA1",0.511884598851338,-8.2670012851333,0.089,0.079,1
"MCAM",0.659787590194894,0.403068497993387,0.047,0.05,1
"ENTPD1",0.666116863551363,-0.294669150120067,0.138,0.125,1
"ITGAE",0.877932423523923,0.340222658535483,0.051,0.046,1
