"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FAS",0,-12.0868714531347,0,1,0
"HLA-A",4.0421908420419e-81,-3.05916801528137,0.44,0.793,5.5378014535974e-79
"CD3D",1.9186247504685e-74,-2.76631002548832,1,1,2.62851590814185e-72
"CD5",8.48633645826903e-74,-2.78837481307377,0.999,0.998,1.16262809478286e-71
"CD52",5.69671196446082e-69,-2.76095207546089,0.366,0.709,7.80449539131132e-67
"CD28",7.68003776793843e-63,-1.51321776058827,0.346,0.738,1.05216517420756e-60
"DPP4",2.51538464426013e-53,-3.5268356116241,0.342,0.649,3.44607696263637e-51
"SLAMF6",3.16032096144017e-50,-2.37568770358654,0.321,0.656,4.32963971717303e-48
"CD45",1.50298227822129e-38,-1.81083219883998,0.991,0.988,2.05908572116317e-36
"CD99",6.17867679769325e-38,-2.58427418998876,0.248,0.524,8.46478721283975e-36
"CD2",4.55054772305965e-36,-2.64709779873687,0.999,1,6.23425038059172e-34
"TCR-AB",9.41733016167251e-36,-2.52988293358619,0.535,0.75,1.29017423214913e-33
"ICOS",3.3579187392959e-35,-2.41139108604672,0.537,0.716,4.60034867283538e-33
"ITGA4",2.91262592997116e-32,-7.20093431353956,0.386,0.668,3.99029752406049e-30
"TFRC",1.33670392552976e-30,-4.8713476406273,0.041,0.221,1.83128437797578e-28
"CD45RA",3.5991349414726e-29,-1.50451001496178,0.979,0.988,4.93081486981746e-27
"SELL",1.22669525782205e-22,-4.97655768910369,0.991,0.969,1.68057250321621e-20
"CD7",1.94882734475923e-22,0.206540676512436,0.995,0.995,2.66989346232015e-20
"ITGA1",2.14302063218271e-21,-6.74406482997349,0.086,0.252,2.93593826609032e-19
"ITGB2",4.41867701068701e-21,-4.89177490448053,0.657,0.851,6.05358750464121e-19
"CD47",1.33881840727492e-18,-0.510014662600314,0.229,0.454,1.83418121796664e-16
"BTLA",1.57332167628662e-17,-2.144237643455,0.069,0.216,2.15545069651267e-15
"KLRK1",1.07686105799893e-14,-2.98318596282766,0.043,0.154,1.47529964945854e-12
"KLRG1",1.28665150971748e-13,-4.84698110925592,0.022,0.111,1.76271256831295e-11
"ITGAL",1.09294273726081e-12,-1.14993618359206,0.778,0.904,1.49733155004732e-10
"PECAM1",3.62963443849573e-12,-1.48064110618382,0.407,0.575,4.97259918073915e-10
"ITGB1",3.71708549817616e-12,-1.37407477231413,0.042,0.147,5.09240713250134e-10
"LAMP1",1.54622633077646e-11,-1.08587757471323,0.032,0.125,2.11833007316374e-09
"TNFRSF14",6.85861607644793e-11,-1.6254496208592,0.057,0.166,9.39630402473366e-09
"CD81",1.54621292803102e-10,-1.40133227864043,0.092,0.214,2.11831171140249e-08
"CD8A",2.57059403553472e-09,-2.75948943615942,1,1,3.52171382868257e-07
"CD48",1.91412412708594e-08,-0.353025094425283,0.996,0.995,2.62235005410774e-06
"CD69",9.59422238662894e-07,-5.51293881374554,0.032,0.072,0.000131440846696816
"GGT1",5.01151451403556e-06,-1.6902962376236,0.036,0.096,0.000686577488422872
"ITGAM",1.19074554751495e-05,-5.39146945499935,0.022,0.067,0.00163132140009548
"NT5E",2.15549396601639e-05,-1.42044793948109,0.699,0.716,0.00295302673344245
"CD44",8.26460335567138e-05,-2.12982432370183,0.963,0.986,0.0113225065972698
"FCGR1A",0.000135086340989419,-2.56850710828532,0.027,0.072,0.0185068287155504
"TNFRSF9",0.000227278612929633,-1.43373043669235,0.081,0.13,0.0311371699713597
"KLRB1",0.000721588258266001,-8.78557543377911,0.039,0.06,0.0988575913824422
"CD226",0.000945254890008743,-2.35678077840522,0.024,0.06,0.129499919931198
"IL7R",0.00126498904610871,-0.527818570608705,0.516,0.546,0.173303499316894
"IL3RA",0.00150942983324161,-0.2463662833369,0.023,0.058,0.206791887154101
"CLEC12A",0.00452990542247613,-13.0267711035131,0.031,0.055,0.62059704287923
"CD33",0.00775354738248075,-11.8818849558433,0.042,0.079,1
"ITGA2B",0.0184594893816535,-1.99152532421893,0.052,0.048,1
"TCR-vA7.2",0.0203675048299118,-3.99831149174425,0.07,0.053,1
"CD101",0.0347835455838693,-1.09238859315229,0.342,0.38,1
"MCAM",0.0410139941162608,3.77086849011049,0.069,0.106,1
"ANPEP",0.0440622289867103,1.37592878197796,0.028,0.05,1
"ICAM1",0.0493661103206799,0.632203586810678,0.055,0.087,1
"HLA-E",0.0676203963432235,-0.2566722326297,0.118,0.161,1
"SIGLEC7",0.101992450095962,-13.6483025056033,0.044,0.058,1
"CR2",0.18623433541743,-0.264151788956595,0.43,0.397,1
"CD38",0.326655461719616,-0.331235118478765,0.654,0.688,1
"ITGAE",0.526168687820649,3.1803819907429,0.098,0.108,1
"CD27",0.7082639302503,-2.89753816991173,0.857,0.846,1
"ITGB7",0.79338509766037,0.672192364691332,0.368,0.363,1
"CR1",0.877225300076926,-0.242219918450403,0.233,0.224,1
