"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"B3GAT1",0,-16.8098160421392,0.259,0.805,0
"CD8A",8.32954326623507e-243,4.34024067383027,1,1,1.1411474274742e-240
"ADGRG1",6.05220760016789e-213,-0.905943417688363,0.61,0.89,8.29152441223001e-211
"CD2",9.53293301826655e-209,4.37669135367705,0.963,0.919,1.30601182350252e-206
"CD27",1.12219089457815e-208,13.5004293254473,0.384,0.109,1.53740152557207e-206
"CD5",1.97284277812954e-194,3.69462274864791,0.747,0.464,2.70279460603747e-192
"CD45RA",2.44741838955094e-188,-0.272165995063352,0.478,0.801,3.35296319368478e-186
"FCGR3A",4.73785361105446e-131,-20.8887106178167,0.086,0.292,6.49085944714461e-129
"CD45RO",2.80125348708711e-129,3.36506131120133,0.297,0.087,3.83771727730935e-127
"ITGAX",1.74189332439105e-107,-3.87805457886596,0.229,0.424,2.38639385441574e-105
"ITGB7",4.88055731254648e-100,9.65907682787742,0.239,0.069,6.68636351818867e-98
"ICOS",2.56581536236461e-95,11.541199068352,0.193,0.05,3.51516704643951e-93
"CD45",1.02203565035252e-85,1.75314404485512,0.982,0.966,1.40018884098295e-83
"CD38",1.88670158472862e-84,2.27669723035889,0.627,0.527,2.58478117107821e-82
"KIR3DL1",2.71337678059532e-78,-30.2978297308536,0.061,0.154,3.71732618941559e-76
"CD28",9.99489971329776e-73,8.20911665645323,0.1,0.011,1.36930126072179e-70
"KLRD1",2.87970416177233e-72,0.600637785549178,0.268,0.458,3.94519470162809e-70
"CD44",5.40789194003184e-69,2.68131194460044,0.93,0.895,7.40881195784362e-67
"FAS",9.95524085888481e-64,2.9804695354548,0.346,0.21,1.36386799766722e-61
"KIR2DL1",2.32462687118833e-50,-11.9762513808506,0.043,0.143,3.18473881352801e-48
"PECAM1",4.40653771645395e-50,7.00478116948183,0.16,0.061,6.03695667154192e-48
"HLA-DRA",4.71334942650537e-47,4.68999396698881,0.151,0.06,6.45728871431236e-45
"CD48",1.95876708467316e-46,1.43449148410419,0.949,0.936,2.68351090600222e-44
"CCR5",1.31505822813411e-43,3.36600134309812,0.077,0.014,1.80162977254374e-41
"SELP",1.25872467521463e-42,4.59575603699324,0.137,0.059,1.72445280504404e-40
"ITGAE",1.12015233056077e-41,17.4056752921269,0.108,0.039,1.53460869286826e-39
"ITGA2",3.13439545611748e-31,3.52275617800794,0.114,0.05,4.29412177488095e-29
"CD101",1.09056014681299e-30,3.96776000699101,0.338,0.23,1.4940674011338e-28
"KIR2DL3",1.31851346419864e-29,-10.7499542674949,0.075,0.161,1.80636344595214e-27
"CD99",1.17334578982744e-28,3.78373024486632,0.94,0.946,1.60748373206359e-26
"CD52",7.13653012555694e-28,0.476226406262815,0.267,0.169,9.77704627201301e-26
"ITGA6",2.98536148751385e-27,3.50958046686304,0.069,0.021,4.08994523789397e-25
"TIGIT",3.87713978822632e-27,5.16596299577817,0.239,0.15,5.31168150987006e-25
"TCR-AB",8.1375507929488e-27,-8.79148362315832,0.666,0.541,1.11484445863399e-24
"CD36",9.12377482065231e-24,6.41377912505274,0.091,0.039,1.24995715042937e-21
"ITGA2B",6.00792283226913e-22,2.74956339631255,0.106,0.052,8.23085428020871e-20
"ENTPD1",8.79878889754799e-21,1.32036116850222,0.133,0.072,1.20543407896408e-18
"TFRC",5.72801459452161e-20,7.25686370897841,0.067,0.027,7.8473799944946e-18
"PDCD1",4.04329085460765e-19,2.61601299756544,0.076,0.033,5.53930847081249e-17
"GP1BB",3.33194190611171e-18,1.45975607755445,0.096,0.051,4.56476041137305e-16
"CD47",6.45687632557002e-18,2.75268900123669,0.23,0.175,8.84592056603093e-16
"ITGA1",4.88047949911021e-16,3.33056552748818,0.172,0.134,6.68625691378099e-14
"TCR-vA7.2",3.68726285710037e-15,3.31561147011628,0.086,0.061,5.05155011422751e-13
"SELL",6.3164434155519e-15,3.99319091274503,0.328,0.309,8.65352747930611e-13
"NCAM1",3.12723218756344e-11,-12.4141157215885,0.029,0.06,4.28430809696191e-09
"CD81",5.81444529953703e-10,0.719761420105362,0.44,0.406,7.96579006036573e-08
"CD86",1.45274206681714e-09,3.15727698527836,0.115,0.078,1.99025663153948e-07
"CD244",2.60602233708289e-09,-0.370359156041405,0.612,0.671,3.57025060180355e-07
"CD226",4.61099785543409e-08,0.976849511264948,0.096,0.067,6.3170670619447e-06
"CD3D",5.15471593797902e-08,-2.37463422402925,1,1,7.06196083503125e-06
"SLAMF6",1.23607692478782e-07,1.1555414628209,0.681,0.664,1.69342538695931e-05
"ITGB1",3.68523718762881e-07,1.93162400929801,0.393,0.418,5.04877494705147e-05
"ICAM1",1.11171799234683e-06,-0.615009583970863,0.219,0.177,0.000152305364951516
"KLRK1",5.07731507752797e-06,1.25935770175789,0.052,0.033,0.000695592165621332
"HLA-E",8.9566693206556e-05,1.51628617761046,0.051,0.037,0.0122706369692982
"CD69",0.000142001554403277,-6.97477137377252,0.141,0.109,0.019454212953249
"CD7",0.000555812457850485,-5.50233191757552,0.669,0.667,0.0761463067255165
"KLRG1",0.00093199967961719,2.46648918932081,0.422,0.445,0.127683956107555
"IL2RB",0.001335310087159,-0.450834420119003,0.047,0.066,0.182937481940783
"ITGAM",0.00354835260770616,-0.702695522591387,0.052,0.071,0.486124307255744
"SIGLEC7",0.00451517505761979,-11.1546533763555,0.113,0.118,0.618578982893912
"ITGB2",0.0163918136941288,0.616602814669667,0.984,0.99,1
"HLA-A",0.33657772600806,-0.558462472932714,0.523,0.528,1
"ANPEP",0.414322431651297,-0.239951536376365,0.054,0.061,1
"MCAM",0.480007210976689,5.65969275093789,0.053,0.047,1
"CD58",0.496517305515,-0.273523041677055,0.098,0.102,1
"CD22",0.644121492719929,0.479610643123008,0.052,0.049,1
"FCGR1A",0.654827356530919,0.267949400098748,0.063,0.059,1
"CLEC12A",0.846861117180077,-7.02269212932114,0.137,0.132,1
"CR1",0.855710133385736,6.01119807499804,0.091,0.088,1
"LAMP1",0.860667500090747,-0.625177259606281,0.059,0.057,1
"CD33",0.9257558550272,8.55047130517068,0.13,0.131,1
