"Module","CD8_Annotation","Comparison","p_value","p_adj","star"
"Exhaustion","Effector CD8","Suppressed vs Unsuppressed",0.000686924029926015,0.00120211705237053,"**"
"Exhaustion","Effector CD8","Pre-ART vs Unsuppressed",0.0221329891903904,0.0273407513528353,"*"
"Exhaustion","Effector CD8","Suppressed vs Pre-ART",6.21131694009078e-10,1.30437655741906e-09,"***"
"Exhaustion","Terminal TEMRA CD8","Suppressed vs Unsuppressed",4.10462689121601e-08,1.2313880673648e-07,"***"
"Exhaustion","Terminal TEMRA CD8","Pre-ART vs Unsuppressed",0.0577913991224081,0.0674232989761428,""
"Exhaustion","Terminal TEMRA CD8","Suppressed vs Pre-ART",1.72826805188498e-18,7.25872581791693e-18,"***"
"Exhaustion","Transitional Tem CD8","Suppressed vs Unsuppressed",0.263336307516257,0.291055918833757,""
"Exhaustion","Transitional Tem CD8","Pre-ART vs Unsuppressed",0.774772669618233,0.774772669618233,""
"Exhaustion","Transitional Tem CD8","Suppressed vs Pre-ART",0.0862543746161357,0.113208866683678,""
"Stemness","Effector CD8","Suppressed vs Unsuppressed",1.75835686341604e-21,1.84627470658684e-20,"***"
"Stemness","Effector CD8","Pre-ART vs Unsuppressed",0.0179002530819469,0.0234940821700553,"*"
"Stemness","Effector CD8","Suppressed vs Pre-ART",5.8647157838646e-11,1.36843368290174e-10,"***"
"Stemness","Terminal TEMRA CD8","Suppressed vs Unsuppressed",9.0587827494359e-12,4.75586094345385e-11,"***"
"Stemness","Terminal TEMRA CD8","Pre-ART vs Unsuppressed",2.8183561560172e-08,7.39818490954515e-08,"***"
"Stemness","Terminal TEMRA CD8","Suppressed vs Pre-ART",0.084401631129547,0.113208866683678,""
"Stemness","Transitional Tem CD8","Suppressed vs Unsuppressed",0.0166975228837992,0.0250462843256988,"*"
"Stemness","Transitional Tem CD8","Pre-ART vs Unsuppressed",0.000734344761717833,0.00110151714257675,"**"
"Stemness","Transitional Tem CD8","Suppressed vs Pre-ART",0.130004330416428,0.151671718819166,""
"Cytotoxicity","Effector CD8","Suppressed vs Unsuppressed",0.772054281833391,0.772054281833391,""
"Cytotoxicity","Effector CD8","Pre-ART vs Unsuppressed",5.35698772852674e-13,1.87494570498436e-12,"***"
"Cytotoxicity","Effector CD8","Suppressed vs Pre-ART",5.51728670533088e-16,1.44828776014936e-15,"***"
"Cytotoxicity","Terminal TEMRA CD8","Suppressed vs Unsuppressed",0.0322918526728249,0.0452085937419549,"*"
"Cytotoxicity","Terminal TEMRA CD8","Pre-ART vs Unsuppressed",1.25695078061132e-48,2.63959663928378e-47,"***"
"Cytotoxicity","Terminal TEMRA CD8","Suppressed vs Pre-ART",1.45576381506302e-57,1.52855200581618e-56,"***"
"Cytotoxicity","Transitional Tem CD8","Suppressed vs Unsuppressed",0.079959392662317,0.104946702869291,""
"Cytotoxicity","Transitional Tem CD8","Pre-ART vs Unsuppressed",1.40759074125052e-08,4.22277222375155e-08,"***"
"Cytotoxicity","Transitional Tem CD8","Suppressed vs Pre-ART",5.10173128630197e-08,9.73966881930376e-08,"***"
"Stress_IFN","Effector CD8","Suppressed vs Unsuppressed",1.80183865226359e-22,3.78386116975354e-21,"***"
"Stress_IFN","Effector CD8","Pre-ART vs Unsuppressed",9.40105948945056e-15,4.93555623196154e-14,"***"
"Stress_IFN","Effector CD8","Suppressed vs Pre-ART",0.0427743281523938,0.0641614922285907,""
"Stress_IFN","Terminal TEMRA CD8","Suppressed vs Unsuppressed",1.66127967557409e-12,1.16289577290187e-11,"***"
"Stress_IFN","Terminal TEMRA CD8","Pre-ART vs Unsuppressed",6.1080167703724e-06,1.16607592888928e-05,"***"
"Stress_IFN","Terminal TEMRA CD8","Suppressed vs Pre-ART",0.00018830004890679,0.000304177002080199,"***"
"Stress_IFN","Transitional Tem CD8","Suppressed vs Unsuppressed",8.83599457742804e-05,0.000168687169205444,"***"
"Stress_IFN","Transitional Tem CD8","Pre-ART vs Unsuppressed",4.23317592663136e-05,6.83820726609682e-05,"***"
"Stress_IFN","Transitional Tem CD8","Suppressed vs Pre-ART",0.65959169745227,0.65959169745227,""
"TypeI_IFN_Memory","Effector CD8","Suppressed vs Unsuppressed",0.00083072566964882,0.00134194146635579,"**"
"TypeI_IFN_Memory","Effector CD8","Pre-ART vs Unsuppressed",1.49029094373346e-06,3.47734553537808e-06,"***"
"TypeI_IFN_Memory","Effector CD8","Suppressed vs Pre-ART",2.58499734934243e-17,9.0474907226985e-17,"***"
"TypeI_IFN_Memory","Terminal TEMRA CD8","Suppressed vs Unsuppressed",5.40199734393992e-09,2.26883888445477e-08,"***"
"TypeI_IFN_Memory","Terminal TEMRA CD8","Pre-ART vs Unsuppressed",1.63187265703579e-05,2.85577714981264e-05,"***"
"TypeI_IFN_Memory","Terminal TEMRA CD8","Suppressed vs Pre-ART",3.68695750243258e-31,1.9356526887771e-30,"***"
"TypeI_IFN_Memory","Transitional Tem CD8","Suppressed vs Unsuppressed",0.614503432797637,0.645228604437519,""
"TypeI_IFN_Memory","Transitional Tem CD8","Pre-ART vs Unsuppressed",0.0743491681292081,0.0821753963533352,""
"TypeI_IFN_Memory","Transitional Tem CD8","Suppressed vs Pre-ART",0.0980875397410058,0.121166960856537,""
"Inflammatory_Chemokines","Effector CD8","Suppressed vs Unsuppressed",2.91981566931052e-05,6.81290322839121e-05,"***"
"Inflammatory_Chemokines","Effector CD8","Pre-ART vs Unsuppressed",4.15342822994276e-14,1.74443985657596e-13,"***"
"Inflammatory_Chemokines","Effector CD8","Suppressed vs Pre-ART",1.33025243848516e-37,9.31176706939614e-37,"***"
"Inflammatory_Chemokines","Terminal TEMRA CD8","Suppressed vs Unsuppressed",4.06330414566031e-06,1.06661733823583e-05,"***"
"Inflammatory_Chemokines","Terminal TEMRA CD8","Pre-ART vs Unsuppressed",5.39432277158154e-22,3.77602594010707e-21,"***"
"Inflammatory_Chemokines","Terminal TEMRA CD8","Suppressed vs Pre-ART",2.32561699226904e-73,4.88379568376498e-72,"***"
"Inflammatory_Chemokines","Transitional Tem CD8","Suppressed vs Unsuppressed",0.152435455353222,0.188302621318685,""
