"","Naïve CD8","Naïve CD8 (innate-like)","Naïve CD8 (post-ART)","Transitional Tem CD8","Effector CD8","Terminal TEMRA CD8","KIR+ innate-like CD8","MAIT-like Trm","TRDV1+ γδ T cell","Naïve-like TRDV1+ γδ","Vγ9Vδ2 γδ T cell"
"ISG15",0.005,0,0.0879,0.3365,0.4279,0.4013,0.4314,1,0.3809,0.2349,0.461
"TNFRSF9",0.001,0,0.0143,0.4191,0.4775,0.2924,1,0.2599,0.9509,0.0813,0.6002
"RUNX3",0,0.0734,0.1433,0.6288,0.8465,0.8366,1,0.3577,0.9559,0.3362,0.489
"ZNF683",0.0027,2e-04,0.0481,0.7578,0.6896,1,0.5935,0,0.3749,0.2247,0.1301
"IFI44L",0,0.5565,0.0993,0.0773,0.4326,0.2958,0.5464,0.4664,1,0.3594,0.3782
"S1PR1",0.7596,0.0748,0.496,0.4837,0.1383,0.3108,0.2493,0,0.1374,1,0.1652
"CD160",0.018,0.0101,0.038,0.5906,0.7005,0.2761,0.7424,0.5618,1,0,0.9666
"S100A9",0.1325,0.7435,0,0.3035,0.4055,0.229,0.3969,1,0.1581,0.4031,0.4274
"S100A8",0.4634,0.3196,0.1189,0.7517,1,0.4724,0.6376,0.7662,0.4374,0.4975,0
"CD244",0.001,0.0087,0,0.1691,0.4353,0.4374,0.9322,0.0189,1,0.0413,0.2765
"FCGR3A",8e-04,0.0016,0.0087,0.3006,0.6027,0.9041,0.9882,0.0092,1,0,0.2937
"XCL2",0.0053,0,0.0299,0.3618,0.3272,0.0671,0.4014,0.0742,1,0.0369,0.1475
"XCL1",0.0211,0.0086,0.0334,1,0.2761,0.0702,0.6395,0,0.8705,0.76,0.2026
"SELL",1,0.8048,0.3784,0.1192,0.0151,0.0055,0.0414,0.0467,0,0.4333,0.0628
"ID2",0.0397,0,0.215,0.4061,0.5161,0.8335,0.9049,0.4402,1,0.2101,0.5114
"GNLY",5e-04,0,0.0059,0.3581,0.4319,0.5708,1,0.1434,0.6615,0.0112,0.2286
"CD8A",0.2449,0.2778,0.1575,0.7573,0.9784,1,0.6069,0.4709,0.2579,0,0.3519
"CD8B",0.9086,1,0.2866,0.518,0.827,0.8096,0.2715,0.0446,0.0345,0,0.0374
"ZEB2",0.0029,0,0.012,0.4788,0.7638,0.7994,0.8496,0.2331,1,0.0543,0.5596
"STAT1",0.1308,1,0.0724,0.071,0.1453,0.1519,0.0459,0,0.1077,0.3189,0.1127
"CD28",1,0.6908,0.8702,0.4971,0.1916,0,0.0123,0.9245,0.0152,0.8951,0.5238
"CTLA4",0.0857,0.0289,0.0976,0.4334,0.6757,0.532,0,1,0.1474,0.2584,0.0964
"ICOS",0.9071,0.9545,1,0.5956,0.5117,0.1988,0,0.4183,0.0731,0.8216,0.1963
"IKZF2",0.1813,0.1599,0.1308,0.4312,0.3021,0.2237,0.9089,0,1,0.7663,0.4568
"PDCD1",0.0066,0,0.0155,0.4785,1,0.6465,0.2988,0.5385,0.6166,0.1783,0.4237
"SATB1",0.906,1,0.6087,0.3392,0.0379,0,0.1009,0.6859,0.1005,0.5088,0.3786
"EOMES",0.0201,0,0.0039,0.5582,1,0.6437,0.6054,0.2636,0.7193,0.0886,0.7361
"CX3CR1",4e-04,6e-04,0.0077,0.3457,0.6551,1,0.5437,0,0.4917,0,0.1978
"CXCR6",2e-04,1e-04,0,0.0534,0.1118,0.0134,0.007,0.969,0.037,0.0045,1
"FOXP1",0.7083,0.6046,1,0.1346,0.1061,0.1105,0.0706,0.1334,0.0754,0.3905,0
"TIGIT",0.0164,0,0.02,0.7243,1,0.5273,0.846,0.0178,0.9616,0.0595,0.4903
"BCL6",0.0815,0.4822,0.0335,0.6888,0,0.1141,0.311,0.7087,0.7229,0.7507,1
"SPON2",0.0257,0.03,0,0.3104,0.6002,0.8438,0.6786,0.1167,1,0.0147,0.4457
"CD38",0.06,0.2459,0.0758,0.555,1,0.7219,0.9042,0.0086,0.9969,0,0.4393
"FGFBP2",0.0316,0.1158,0.0034,0.4189,0.7352,1,0.7337,0,0.6961,0.0065,0.3601
"PF4",0.0423,0,0.1142,0.3121,0.3186,0.1652,0.3207,0.4007,0.1854,0.0077,1
"PPBP",0.0202,0,0.2026,0.4274,0.3193,0.2259,0.3837,0.0593,0.3334,0.0687,1
"LEF1",0.9804,1,0.7912,0.1748,0.0024,0,0.0165,0.0253,0.0018,0.9182,0.0084
"IL7R",1,0.6549,0.6716,0.3269,0.0283,0,0.0173,0.756,0.0158,0.8184,0.4399
"ITGA1",0.3536,0.0213,0.5054,0.6029,1,0.2865,0.1458,0.2259,0.1057,0.9458,0
"GZMK",0.2005,0.1773,0.0347,0.3148,0.2391,0,0.0454,0.8816,0.0314,0.2303,1
"GZMA",0.0556,0.122,0,0.3744,0.8774,0.7882,0.6395,0.8023,0.554,1e-04,1
"VCAN",0.2001,0,0,0,0.1427,0.3285,1,0,0.2112,0,0
"TCF7",0.8644,1,0.512,0.2925,0.0825,0,0.1209,0.2555,0.1047,0.6945,0.1793
"CD14",0.2332,1,0.309,0,0.3492,0.7721,0,0,0.5951,0,0
"HAVCR2",0.0069,0.0084,0,0.2771,0.4824,0.5972,1,0.1015,0.9994,0.0123,0.3386
"TNF",6e-04,0,0.0082,0.065,0.1198,0.0842,0.0911,1,0.1291,0.0106,0.1424
"NCR3",0.0568,0,0.014,0.1923,0.0341,0.0281,0.2109,1,0.1047,0.2016,0.3392
"HSPA1A",0.0363,0,0.8942,0.1161,0.4352,0.2505,0.2138,0.8126,1,0.1537,0.5284
"HSPA1B",0.0525,0,0.8355,0.1157,0.5076,0.262,0.1527,0.8552,1,0.1677,0.501
"HLA-DRA",0,0.0015,0.012,0.5992,1,0.5528,0.5036,0.068,0.614,0.0236,0.3497
"HLA-DRB1",0.0011,0,0.0054,0.5645,1,0.7736,0.5322,0.0647,0.7159,0.008,0.3824
"BACH2",0.4621,0.2597,1,0.3663,0.0253,0,0.1036,0.3722,0.1129,0.6443,0.1133
"PRDM1",0,0.0019,0.0161,0.2754,0.7506,0.9507,0.8361,0.5527,1,0.0071,0.7251
"TRGC2",0,0.0037,0.0129,0.5391,0.7004,0.7144,0.9915,0.2343,1,0.4498,0.5681
"TRGC1",0.0177,0.0297,0,0.1836,0.2561,0.3239,0.1516,0.1188,0.2808,0.2109,1
"TRGV9",0,0,0.0023,0.0899,0.1243,0.1234,0.1609,0.1177,0.2901,0.0313,1
"TRBC1",0,0.024,0.0688,0.3715,0.2741,0.3448,0.4021,0.0768,1,0.7553,0.8506
"TRBC2",0.2312,0.0887,0.169,0.5753,0.7871,0.6111,0.6844,0,0.9962,1,0.8397
"TOX",0.1522,0.1678,0,0.5491,1,0.6721,0.5544,0.0274,0.8736,0.4377,0.5426
"PAX5",0.1069,0.1931,0.7056,0.1049,0.1272,0.253,0,1,0.1399,0.2847,0
"FCN1",0.7148,0.1736,0,1,0.0869,0,0,0,0,0,0
"IL2RA",0.7607,0.1669,0.4553,0.0546,0.1426,0.0421,0,0.6714,0.2994,1,0.439
"GATA3",0.0114,0,0.2144,0.411,0.3503,0.3094,0.3839,1,0.4286,0.2431,0.2747
"PRF1",0.0027,0,0.0059,0.3834,0.7542,1,0.9446,0.3667,0.915,0.0041,0.6677
"FAS",0,0.2945,0.765,0.5745,1,0.8999,0.605,0.8657,0.6887,0.7946,0.503
"IFIT2",0,0.0537,0.0716,0.3073,0.4309,0.6417,0.5523,1,0.4832,0.1174,0.4513
"IFIT3",0,0.0341,0.196,0.2224,0.5436,1,0.7765,0.2039,0.4671,0.1232,0.3415
"IFIT1",0.0907,0,0.2894,0.4116,0.6032,1,0.6606,0.0714,0.5136,0.4341,0.3341
"ENTPD1",0.0537,0.0201,0,0.5203,1,0.1735,0.3338,0.0856,0.6623,0.0244,0.2944
"MKI67",0.0312,0.0425,0.02,0.1592,1,0.1496,0.3435,0,0.1987,0.17,0
"IRF7",0,0.1211,0.13,0.5459,0.7083,0.8463,0.8703,0.4826,1,0.5527,0.3865
"HBB",0.1799,0.2748,0.5556,0.0065,0.2831,0.7015,1,0,0.6896,0.1302,0.3635
"MS4A1",0.274,0.1465,0.8313,0.6961,0.5958,0.0875,0,0,1,0.5734,0.3992
"NCAM1",0.0205,0.0059,0,0,0.0728,0.0878,0.6291,0.5419,1,0,0.1822
"ZBTB16",0.0027,0,0.0044,0.0149,0.0142,0.0145,0.0377,1,0.0747,0.0254,0.6291
"CD3E",0.6617,1,0,0.4152,0.6697,0.6665,0.3593,0.3089,0.213,0.3787,0.6283
"CD3D",0.3186,0.3737,0,0.5647,0.9997,1,0.7649,0.3064,0.4197,0.2337,0.537
"CD3G",0.2129,0.0722,0.0297,0.4963,0.8956,1,0.523,0,0.4512,0.0977,0.444
"CXCR5",0.1643,0.1532,0,0.5106,0.3909,0.2608,0.0935,0.0532,0.1018,1,0.262
"CD27",0.6672,1,0.2631,0.2662,0.2619,0.0847,0.0107,0.1823,0,0.4595,0.3433
"LAG3",0.0043,0.0131,0,0.5047,0.8995,0.8692,0.8566,0.5544,0.8911,0.0129,1
"CD4",0.4564,0.0176,0.0577,0,0.5322,0.0713,0.0454,0.1207,0.1304,1,0
"CLEC4C",0,0,0,1,0.6161,0,0,0,0.5962,0,0
"KLRG1",0.0355,0.0161,0,0.3022,0.5507,0.5578,0.2209,0.6383,0.305,0.124,1
"KLRB1",0.002,0.0117,0,0.0181,0.0529,0.093,0.0411,0.9452,0.1128,0.0131,1
"CD69",0.0032,0,0.53,0.0885,0.0724,0.0602,0.1017,1,0.2896,0.2021,0.3781
"KLRF1",0.0026,0,0.007,0.1387,0.1133,0.145,0.9745,0.2897,1,0.0291,0.156
"KLRD1",0.0012,0,0.0092,0.3984,0.5802,0.8075,1,0.2891,0.8617,0.0519,0.5386
"KLRC2",0.0359,0.0436,0.0307,0.454,0.4457,0.4613,1,0,0.6695,0.0942,0.2735
"KLRC1",0.005,0,0.0083,0.4863,0.4129,0.7706,0.3775,0.5339,1,0.0162,0.5113
"IFNG",0.005,0.005,0,0.2045,0.6809,0.6094,0.5478,0.6746,1,0.0453,0.3629
"LYZ",0.5928,1,0.4204,0.43,0.8413,0.5796,0.6435,0,0.7745,0.822,0
"OAS1",0.057,0,0.09,0.4702,0.8112,1,0.5688,0.2091,0.6967,0.1981,0.5185
"TRAV1-2",0.335,0.3486,0.1384,0.1668,0.263,0.1496,0.0275,1,9e-04,0.0503,0
"TRDV1",0.0253,0.0382,0.0108,0.102,0.1048,0.088,0.3482,0,0.6967,1,0.0049
"TRDV2",0,4e-04,0,0.0117,0.0179,0.0051,0.0182,0.0816,0.0666,0.066,1
"TRDC",0.0051,0,0.0027,0.0537,0.0518,0.0371,0.2051,0.0705,0.5598,1,0.6404
"TRAC",0.6591,0.9437,0.282,0.7338,1,0.9874,0.4079,0.5769,0,0.4454,0.7269
