comparison,cluster,module,test,mode_note,n_total,n_groupA,n_groupB,n_paired,estimate,estimate_type,ci_lower,ci_upper,statistic,p_value,p_adj
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_AdhesionMolecules_Core,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.0037179416889181055,HL_shift,-0.10315737689808609,0.05122252510789017,14,0.7594628653799336,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_Autophagy_AMPK,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.005246195464498515,HL_shift,-0.022270117525561465,0.016403219050422625,11,0.9187074054282888,1
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_Autophagy_CLEAR_TFs,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.012926996700470855,HL_shift,-0.06351334002480771,0.02022564098035047,6,0.26157223601394936,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_Autophagy_Cargo,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.06107196158368021,HL_shift,-0.25426715073146217,0.07027028488633984,6,0.26157223601394936,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_Autophagy_Conjugation,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.017608189676324527,HL_shift,-0.05045372894679756,0.02110979146410786,3,0.08273102231510242,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_Autophagy_Fusion,wilcoxon_unpaired,No paired PIDs,11,8,3,0,1.5459022211138313e-4,HL_shift,-0.03646158045472031,0.027745756940662142,12,1,1
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_Autophagy_Initiation,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.003683402696163709,HL_shift,-0.049268208359399865,0.02652561571868482,14,0.7594628653799336,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_Autophagy_Lysosome,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.0026402705465927547,HL_shift,-0.035136714906388394,0.013736477163349614,10,0.7594628653799336,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_Autophagy_Mitophagy,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.14452694789662612,HL_shift,-0.383892032910819,0.34065435236684677,8,0.4749585398895067,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_Autophagy_Xenophagy,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.02665943555071933,HL_shift,-0.11105787311366529,0.050214507981973536,6,0.26157223601394936,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_Autophagy_cGAS_STING,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.002584016073309667,HL_shift,-0.11460061428508579,0.01339004683203902,9,0.6098340436734594,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_Autophagy_mTORC,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.009101619199970656,HL_shift,-0.025263843488711,0.03309472502743892,15,0.6098340436734594,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_Bcell_Atypical_ABC,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.010929913432222242,HL_shift,-0.018810053068109858,0.04407940539836419,19,0.1845725528398829,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_Bcell_GC_like,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.02214794801635396,HL_shift,-0.09724948559301319,0.11851360188174696,17,0.3583264667488803,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_Bcell_Plasmablast,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.04240077256616412,HL_shift,-0.1485713693263929,0.06994992144987802,7,0.3583264667488803,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_CD8_Effector,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.02341682673689166,HL_shift,-0.004502738654716811,0.056817181889262755,19,0.1845725528398829,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_CD8_Exhaustion,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.009002478297855769,HL_shift,-0.015314386971480165,0.034980810995703576,16,0.4749585398895067,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_CD8_Memory,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.04615507102443296,HL_shift,-0.25964386347489876,0.16438973156322942,13,0.9187074054282888,1
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_Cytokines_Core,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.0032163670785101003,HL_shift,-0.011179410617030185,0.08401737173801964,13,0.9187074054282888,1
