"Analysis","Cluster","Comparison","OK","Reason","n_supp","n_uns","Latent"
"ExpandingOnly__Suppressed_vs_Unsuppressed__SplitBy_Cluster","CD8+ T_resting","PostART_Suppressed_vs_PostART_Unsuppressed",FALSE,"Too few cells: PostART_Suppressed=2, PostART_Unsuppressed=1",2,1,""
"ExpandingOnly__Suppressed_vs_Unsuppressed__SplitBy_Cluster","NK_resting","PostART_Suppressed_vs_PostART_Unsuppressed",FALSE,"Too few cells: PostART_Suppressed=1, PostART_Unsuppressed=0",1,0,""
"ExpandingOnly__Suppressed_vs_Unsuppressed__SplitBy_Cluster","NK-T_CD64+","PostART_Suppressed_vs_PostART_Unsuppressed",TRUE,"",891,335,"nCount_RNA;PID"
"ExpandingOnly__Suppressed_vs_Unsuppressed__SplitBy_Cluster","NK_activated","PostART_Suppressed_vs_PostART_Unsuppressed",FALSE,"No cells found for this Cluster x (Suppressed/Unsuppressed)",0,0,""
"ExpandingOnly__Suppressed_vs_Unsuppressed__SplitBy_Cluster","CD8+ T_memory","PostART_Suppressed_vs_PostART_Unsuppressed",FALSE,"Too few cells: PostART_Suppressed=1, PostART_Unsuppressed=2",1,2,""
"ExpandingOnly__Suppressed_vs_Unsuppressed__SplitBy_Cluster","CD8+ T_naive_IL7R+","PostART_Suppressed_vs_PostART_Unsuppressed",FALSE,"No cells found for this Cluster x (Suppressed/Unsuppressed)",0,0,""
"ExpandingOnly__Suppressed_vs_Unsuppressed__SplitBy_Cluster","CTL","PostART_Suppressed_vs_PostART_Unsuppressed",TRUE,"",34,663,"nCount_RNA;PID"
"ExpandingOnly__Suppressed_vs_Unsuppressed__SplitBy_Cluster","CD8+ T_naive","PostART_Suppressed_vs_PostART_Unsuppressed",FALSE,"No cells found for this Cluster x (Suppressed/Unsuppressed)",0,0,""
"ExpandingOnly__Suppressed_vs_Unsuppressed__SplitBy_Cluster","CD8+ T_memory_costim+integrin","PostART_Suppressed_vs_PostART_Unsuppressed",FALSE,"Too few cells: PostART_Suppressed=20, PostART_Unsuppressed=10",20,10,""
"ExpandingOnly__Suppressed_vs_Unsuppressed__SplitBy_Cluster","NK_bright","PostART_Suppressed_vs_PostART_Unsuppressed",FALSE,"No cells found for this Cluster x (Suppressed/Unsuppressed)",0,0,""
"ExpandingOnly__Suppressed_vs_Unsuppressed__SplitBy_Cluster","NK-T","PostART_Suppressed_vs_PostART_Unsuppressed",FALSE,"Too few cells: PostART_Suppressed=613, PostART_Unsuppressed=11",613,11,""
"ExpandingOnly__Suppressed_vs_Unsuppressed__SplitBy_Cluster","NK-like_CD8+ T_PD1+","PostART_Suppressed_vs_PostART_Unsuppressed",FALSE,"Too few cells: PostART_Suppressed=3, PostART_Unsuppressed=8",3,8,""
"ExpandingOnly__Suppressed_vs_Unsuppressed__SplitBy_Cluster","NK_56low","PostART_Suppressed_vs_PostART_Unsuppressed",FALSE,"Too few cells: PostART_Suppressed=1, PostART_Unsuppressed=0",1,0,""
"ExpandingOnly__Suppressed_vs_Unsuppressed__SplitBy_Cluster","CD8+ T_B-like","PostART_Suppressed_vs_PostART_Unsuppressed",FALSE,"Too few cells: PostART_Suppressed=13, PostART_Unsuppressed=5",13,5,""
"ExpandingOnly__Suppressed_vs_Unsuppressed__SplitBy_Cluster","γδ1 T","PostART_Suppressed_vs_PostART_Unsuppressed",FALSE,"No cells found for this Cluster x (Suppressed/Unsuppressed)",0,0,""
"ExpandingOnly__Suppressed_vs_Unsuppressed__SplitBy_Cluster","γδ2_CTL","PostART_Suppressed_vs_PostART_Unsuppressed",FALSE,"Too few cells: PostART_Suppressed=4, PostART_Unsuppressed=6",4,6,""
"ExpandingOnly__Suppressed_vs_Unsuppressed__SplitBy_Cluster","NK-like_CD8+ T_KLRG1+","PostART_Suppressed_vs_PostART_Unsuppressed",TRUE,"",202,105,"nCount_RNA;PID"
"ExpandingOnly__Suppressed_vs_Unsuppressed__SplitBy_Cluster","NK-like_CD8+ T_CCR6+","PostART_Suppressed_vs_PostART_Unsuppressed",FALSE,"Too few cells: PostART_Suppressed=2, PostART_Unsuppressed=370",2,370,""
"ExpandingOnly__Suppressed_vs_Unsuppressed__SplitBy_Cluster","CD8+ T_effector_prog","PostART_Suppressed_vs_PostART_Unsuppressed",FALSE,"No cells found for this Cluster x (Suppressed/Unsuppressed)",0,0,""
"ExpandingOnly__Suppressed_vs_Unsuppressed__SplitBy_Cluster","CD4+ T","PostART_Suppressed_vs_PostART_Unsuppressed",FALSE,"Too few cells: PostART_Suppressed=133, PostART_Unsuppressed=7",133,7,""
"ExpandingOnly__Suppressed_vs_Unsuppressed__SplitBy_Cluster","NK-like_CD8+ T_KIR3DL1+","PostART_Suppressed_vs_PostART_Unsuppressed",FALSE,"Too few cells: PostART_Suppressed=193, PostART_Unsuppressed=8",193,8,""
