"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,2.91649426665152,0.899,0.163,0,"GZMB"
0,-5.28080063733242,0.035,0.76,0,"IL7R"
0,2.69993850356986,0.879,0.159,0,"GZMH"
0,2.54829330493075,0.958,0.243,0,"GNLY"
0,-5.35593656741697,0.05,0.718,0,"CCR7"
0,2.35562455499649,0.999,0.333,0,"NKG7"
0,2.57035344013107,0.905,0.264,0,"FGFBP2"
0,2.52492445251239,0.878,0.239,0,"PRF1"
0,-5.95652880945197,0.02,0.658,0,"LEF1"
0,2.15470106795366,0.996,0.364,0,"CCL5"
0,2.05373270333188,0.98,0.359,0,"CST7"
0,-5.50153958309557,0.029,0.64,0,"LTB"
0,2.04746473822214,0.89,0.324,0,"APOBEC3G"
0,-1.24640744255441,0.997,1,0,"RPS13"
0,-1.04072394895121,0.999,1,0,"RPL32"
0,-1.18615534939772,1,1,0,"RPL13"
0,-1.11085074381888,1,1,0,"RPS12"
1.97626258336499e-322,-1.29479623608432,0.996,1,4.42999020687095e-318,"RPS8"
7.26567998117679e-319,-0.959363190370132,1,1,1.62867482458059e-314,"RPS28"
1.39940685131577e-317,-1.18746001035357,0.998,0.999,3.13691039790943e-313,"TPT1"
2.14743454925905e-314,-1.01752890695327,0.998,0.999,4.81368928561908e-310,"RPS23"
9.38770255073079e-311,2.09040659735387,0.867,0.271,2.10434740377181e-306,"ZEB2"
8.7780082345815e-309,-0.769098472562238,1,1,1.96767832586379e-304,"RPL30"
9.5137443849498e-309,-1.44165591072838,0.937,0.989,2.13260094133035e-304,"RPS5"
3.74005482053146e-308,-0.926924666729984,0.999,1,8.38370688570333e-304,"EEF1A1"
5.28393612081199e-307,-0.980994488131678,0.999,1,1.18444712084122e-302,"RPL18A"
1.21966962990109e-289,1.71133332399359,0.887,0.532,2.73401144238629e-285,"EFHD2"
9.70528646824555e-285,-0.746111771385567,1,1,2.17553701472192e-280,"RPL28"
2.01793149954105e-279,-0.941588567309328,1,1,4.52339524937123e-275,"RPLP1"
2.96839313940707e-274,-0.825738363204695,0.999,1,6.65395006129489e-270,"RPL19"
9.19744048161658e-274,-0.90209799991008,0.998,0.999,2.06169825835917e-269,"RPL37"
1.96827025586873e-265,-0.917183454773991,1,1,4.41207460555534e-261,"RPL39"
1.39912506918764e-263,2.32370289330663,0.786,0.203,3.13627875509101e-259,"KLRD1"
1.68205495692792e-256,-1.40508583895034,0.821,0.97,3.77049439144962e-252,"PABPC1"
6.82468609391474e-256,-0.954036549320593,0.99,0.998,1.52982163481193e-251,"RPLP2"
1.799637557536e-254,-0.917544295511494,0.994,0.998,4.0340675489727e-250,"RPL8"
8.85530717176027e-253,-0.773544326082292,1,1,1.98500565562178e-248,"RPL34"
2.91721587493542e-252,-1.27854215631938,0.964,0.992,6.53923110525525e-248,"RPLP0"
2.41593316534293e-251,-0.876717862243185,0.998,0.999,5.41555578343272e-247,"RPS21"
1.80448232712668e-248,-0.812828394561856,0.999,1,4.04492758448716e-244,"RPL11"
1.20200224894536e-239,0.689651389197474,1,1,2.69440824123593e-235,"HLA-B"
2.31303813095012e-237,-1.09980719863113,0.988,0.998,5.18490627433779e-233,"RPS3A"
2.44585715935348e-235,0.697310622439066,1,1,5.48263340840675e-231,"B2M"
4.13302029749753e-227,-0.863641208398247,0.999,0.999,9.26457829887046e-223,"RPL29"
5.8250022321229e-227,-0.848599536302354,0.996,0.998,1.30573250035267e-222,"RPL36"
7.74005896458711e-224,-1.0031161368157,0.994,0.998,1.73501161750185e-219,"RPS6"
3.63043982768542e-223,-0.7274691877492,1,1,8.13799391773963e-219,"RPL10"
6.8365737937428e-221,-0.886843044759497,0.994,0.999,1.53248638160539e-216,"RPL18"
6.969473298357e-219,-1.11724255827757,0.914,0.982,1.56227713455971e-214,"RPL22"
1.00218742185014e-216,1.88003759135087,0.802,0.321,2.24650332481927e-212,"OASL"
7.94596006710973e-216,-1.46540466535099,0.83,0.961,1.78116640864332e-211,"EEF1B2"
1.78956029663754e-215,-5.38779505116537,0.018,0.507,4.01147836094271e-211,"NELL2"
5.51624766682318e-214,-0.81791211281676,0.996,0.999,1.23652207699508e-209,"RPS25"
1.67019884856224e-212,-0.873136448171246,0.999,1,3.74391773893711e-208,"RPS18"
2.03333503383313e-209,-1.01440589442004,0.977,0.993,4.55792381184034e-205,"RPL5"
1.37816950185704e-208,0.650303016734043,1,0.998,3.08930475536274e-204,"HLA-C"
1.01860922308813e-198,1.10691267862577,0.986,0.862,2.28331443447436e-194,"GAPDH"
1.50397880494072e-198,2.50503720531631,0.518,0.136,3.37131888915512e-194,"LGALS1"
6.14718530541602e-198,1.97115623125928,0.697,0.249,1.37795305806205e-193,"C12orf75"
1.21730086100596e-197,-2.14731282621979,0.258,0.794,2.72870161003096e-193,"TCF7"
1.73392081567321e-192,-1.05452817509775,0.982,0.996,3.88675690041307e-188,"RPS2"
2.14358383707572e-192,2.08234150139446,0.65,0.22,4.80505752918894e-188,"CHST12"
1.39712610030824e-191,-1.33652884153355,0.797,0.953,3.13179786645094e-187,"EEF1G"
4.17886057774466e-183,-0.682188004484221,0.995,0.999,9.36733387107242e-179,"RPL35A"
