"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,3.91347069845861,0.988,0.106,0,"CST7"
0,4.30650300909594,0.936,0.062,0,"GZMH"
0,4.20864379976937,0.926,0.062,0,"GZMB"
0,-5.96452115813705,0.023,0.883,0,"LEF1"
0,-6.37121181829138,0.029,0.886,0,"CCR7"
0,-5.44533569539015,0.074,0.922,0,"LTB"
0,4.18378184226298,0.91,0.08,0,"GNLY"
0,-5.07372843141672,0.05,0.876,0,"IL7R"
0,4.09625036880757,0.934,0.124,0,"PRF1"
0,3.57613258537835,0.995,0.203,0,"CCL5"
0,3.89795464530394,0.995,0.213,0,"NKG7"
0,-3.92320878146157,0.153,0.934,0,"TCF7"
0,3.76846933396823,0.865,0.117,0,"HLA-DPB1"
0,3.76853994171742,0.771,0.092,0,"HLA-DPA1"
0,-7.4472730401851,0.004,0.666,0,"ACTN1"
0,3.75565953683056,0.716,0.061,0,"ZEB2"
0,3.4510093065962,0.833,0.194,0,"EFHD2"
0,2.8122450525977,0.855,0.239,0,"GZMA"
0,3.77083846395892,0.669,0.06,0,"HLA-DRB1"
0,3.26395066079601,0.737,0.142,0,"C12orf75"
0,2.89297500358261,0.935,0.423,0,"FGFBP2"
0,1.51324469666274,0.863,0.401,0,"ANXA1"
0,2.15157416337159,0.881,0.472,0,"CD99"
0,1.51737646012119,0.907,0.715,0,"PLAAT4"
0,1.63519713347319,0.954,0.769,0,"CD8A"
0,-1.49703060003763,0.85,0.991,0,"SARAF"
0,1.45746104634447,0.991,0.901,0,"CYBA"
0,-1.33835910670517,0.905,0.992,0,"RPL9"
0,1.91733203524336,0.975,0.895,0,"CD74"
0,-1.63204183335358,0.927,0.996,0,"RPS5"
0,-1.50285554981149,0.945,0.995,0,"RPLP0"
0,-1.18469559712304,0.973,0.998,0,"RPLP2"
0,-1.13727778082817,0.984,0.999,0,"RPL8"
0,-0.953459414578185,0.993,1,0,"RPL18"
0,-1.02005240298288,0.993,1,0,"RPL37"
0,-1.46070516283764,0.994,1,0,"TPT1"
0,-1.28775758440946,0.996,1,0,"RPL18A"
0,-0.947352299099554,0.996,1,0,"RPL36"
0,-1.00896055696967,0.997,1,0,"RPS21"
0,-0.988810114116792,0.996,0.999,0,"RPS3A"
0,-1.02137380349025,0.998,1,0,"RPL29"
0,-1.14385369548609,0.998,1,0,"RPL39"
0,-1.39593025676522,0.997,0.999,0,"RPS8"
0,-0.888482220182171,0.999,1,0,"RPL10"
0,-0.867750370900441,0.999,1,0,"RPL11"
0,-0.915333364640381,0.999,1,0,"RPL19"
0,-0.885962327129215,0.999,1,0,"RPL34"
0,-1.36945652601873,0.999,1,0,"RPS13"
0,-1.13963083139468,0.999,1,0,"RPS23"
0,0.742896472932858,1,1,0,"B2M"
0,-0.979272817538744,1,1,0,"EEF1A1"
0,1.12438341661989,1,1,0,"HLA-B"
0,0.840863742469889,0.999,0.999,0,"HLA-C"
0,-1.32591139447211,1,1,0,"RPL13"
0,-0.814084178867835,1,1,0,"RPL30"
0,-1.29744141250581,1,1,0,"RPL32"
0,-1.19067955463744,1,1,0,"RPLP1"
0,-1.29637371593144,1,1,0,"RPS12"
0,-1.32150858747382,1,1,0,"RPS18"
0,-1.0210977823124,1,1,0,"RPS28"
2.16894818524307e-321,0.678010187553675,1,0.999,4.86191425204087e-317,"HLA-A"
1.24167484745548e-315,1.82616641817651,0.854,0.515,2.7833383380562e-311,"CLIC1"
9.44148020752779e-313,2.6708200802381,0.652,0.197,2.11640220331943e-308,"APOBEC3G"
2.28634852722523e-308,3.28308512340661,0.684,0.172,5.12507885862807e-304,"ITGB1"
