"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.77821888731314e-18,0.497636690471033,1,0.797,6.22765545780113e-14,"CCL5"
5.04552790422115e-15,-3.62420506728269,0.113,0.367,1.13100553501021e-10,"LTB"
1.67551117765473e-14,0.432497492130708,0.995,0.808,3.75582585583085e-10,"NKG7"
7.02739395126987e-14,-3.37474660553632,0.059,0.322,1.57526062811665e-09,"IL7R"
2.64055311326451e-13,0.697106273197052,0.91,0.593,5.91906385869372e-09,"GZMB"
1.23383373627088e-11,0.743050296575994,0.912,0.627,2.7657617032248e-07,"PRF1"
4.47946613465406e-11,-1.89310432915283,0.201,0.435,1.00411712874405e-06,"TCF7"
5.54706247758481e-11,0.550839880872612,0.869,0.559,1.24342952497541e-06,"GZMH"
1.63544730909341e-10,0.533098653901462,0.992,0.825,3.66601868806378e-06,"CST7"
1.84482027125929e-09,-8.14149862271961,0,0.102,4.13534912005482e-05,"IFNG-AS1"
2.12347949857822e-09,0.783277398918689,0.765,0.503,4.75999164401295e-05,"EFHD2"
3.04581201714521e-09,0.582699074973839,0.972,0.774,6.82749221763271e-05,"GNLY"
1.54725333326657e-08,-3.19207839121286,0.052,0.209,0.000346832307185034,"LEF1"
4.16435819712159e-08,0.300862038214789,1,1,0.000933482533466775,"HLA-B"
6.10397645503772e-08,0.647458696766876,0.881,0.65,0.00136826736216125,"FGFBP2"
6.6218439711965e-08,-1.82783835413435,0.119,0.345,0.00148435254458341,"CD27"
2.14356685086785e-07,-7.02632761991315,0,0.09,0.00480501945290537,"FAAH2"
3.08477049169073e-06,-7.25967119399945,0,0.096,0.0691482153417394,"ACTN1"
3.19450724753776e-06,-6.82801225135683,0.003,0.119,0.0716080744608065,"CCR7"
3.64902057251173e-06,2.14291441044908,0.054,0.034,0.081796445153423,"TRBV7-3"
5.53213297476188e-06,-2.26718367206801,0.041,0.198,0.124008292762262,"SATB1"
5.6866652839335e-06,-4.53214139443309,0.01,0.124,0.127472289004653,"AQP3"
1.16281344822262e-05,-6.55638953518628,0,0.062,0.260656262553582,"UBE2E2"
1.52542010761812e-05,-3.93500228141753,0.005,0.09,0.341938171323679,"BEX3"
1.69917052502551e-05,-0.744946115361551,0.611,0.706,0.380886064889719,"PABPC1"
1.92838955441075e-05,0.820676068543703,0.469,0.26,0.432267802516714,"PATL2"
2.08721963612956e-05,-7.45685474661819,0,0.073,0.467871153634802,"MAL"
2.17415278334532e-05,-6.39598106945032,0,0.056,0.487358087914688,"IL23A"
2.23904084293851e-05,-4.98805819639966,0.003,0.073,0.501903395353096,"SLAMF1"
2.44961112764475e-05,0.629403068558239,0.75,0.542,0.549104830372847,"HLA-DPB1"
3.44957779999052e-05,0.729128540810146,0.448,0.294,0.773257359645876,"BRD2"
3.58682984787377e-05,0.465415234781624,0.879,0.712,0.804023778699385,"ANXA1"
5.02576444784095e-05,-1.02571038509011,0.229,0.35,1,"PDE7A"
5.19849581263403e-05,-4.09184726195572,0.021,0.085,1,"TRBV19"
5.92665781029483e-05,-6.53702587010529,0,0.062,1,"LEF1-AS1"
6.16060002593314e-05,-0.527455122855673,0.802,0.864,1,"RPL10A"
7.02469002716632e-05,1.38508825458874,0.222,0.09,1,"TIMM17B"
7.58620010698262e-05,-3.97911956002061,0.008,0.09,1,"ID3"
8.52251759396842e-05,-2.4841242817117,0.008,0.073,1,"TRAV17"
0.000117572109023819,-0.367666038836264,1,1,1,"RPL10"
0.000123718858810023,0.568516403402469,0.758,0.542,1,"GZMA"
0.000124287194860275,-0.328882548910951,1,1,1,"RPL28"
0.000124389641360907,-0.334350145880805,0.997,1,1,"RPL19"
0.000125258236769037,0.931507106662615,0.371,0.254,1,"SERPINB9"
0.000129422529368913,0.498816023624162,0.668,0.463,1,"APOBEC3G"
0.000146000026341501,-4.24185331317623,0.005,0.102,1,"MYC"
0.000148396115186857,0.706272290523528,0.624,0.475,1,"C12orf75"
0.000159439660428317,-1.91245866577793,0.039,0.136,1,"TMEM63A"
0.000178567970824706,0.407152089169829,0.83,0.638,1,"KLRD1"
0.000184520894889253,0.751178065717332,0.58,0.384,1,"CHST12"
0.000186281455498341,6.86128882385308,0.082,0.006,1,"TRBV5-4"
0.000196516172939683,-0.643035899970067,0.098,0.209,1,"ANTKMT"
0.000196871239146241,3.44853148516812,0.085,0.017,1,"TRBV14"
0.00021007888974794,0.719873463669025,0.441,0.294,1,"PTPN4"
